geography_code,country_of_birth_3a-001,country_of_birth_3a-002
E00031574,93.4,6.6
E00031575,97.3,2.7
E00031576,96,4
E00031577,96.1,3.9
E00031578,93,7
E00031579,94.8,5.2
E00031580,97.7,2.3
E00031581,95.5,4.5
E00031582,95.4,4.6
E00031583,98.2,1.8
E00031584,98.2,1.8
E00031602,97.6,2.4
E00031603,95.8,4.2
E00031604,96.3,3.7
E00031605,94,6
E00031607,95.4,4.6
E00031608,94.1,5.9
E00031609,94.8,5.2
E00031610,94.3,5.7
E00031611,96.5,3.5
E00031612,92.1,7.9
E00031613,94.3,5.7
E00031614,90.5,9.5
E00031615,94.1,5.9
E00031616,95.8,4.2
E00031617,96.1,3.9
E00031696,90.8,9.2
E00031697,94.5,5.5
E00031698,94.8,5.2
E00031699,97.2,2.8
E00031700,93.5,6.5
E00031701,87.7,12.3
E00031702,91.2,8.8
E00031703,98.3,1.7
E00031704,97.4,2.6
E00031705,93.9,6.1
E00031706,94.8,5.2
E00031707,90.8,9.2
E00031708,85.8,14.2
E00031709,95.5,4.5
E00031710,95.7,4.3
E00031711,94.7,5.3
E00031712,94.4,5.6
E00031713,96,4
E00031714,95.5,4.5
E00031715,88.3,11.7
E00031716,96,4
E00031717,95.8,4.2
E00031718,91.5,8.5
E00031719,97.9,2.1
E00031720,98.1,1.9
E00031721,93.5,6.5
E00031722,95.3,4.7
E00031723,92.6,7.4
E00031725,96.3,3.7
E00031726,92.4,7.6
E00031727,97.6,2.4
E00031728,90.9,9.1
E00031729,95.3,4.7
E00031730,93.9,6.1
E00031731,91.2,8.8
E00031732,89.6,10.4
E00031990,97.6,2.4
E00031991,94.1,5.9
E00031993,97.9,2.1
E00031994,98.3,1.7
E00031995,98.9,1.1
E00031996,95.4,4.6
E00031997,98.8,1.2
E00031998,96,4
E00031999,96,4
E00032000,96.5,3.5
E00032001,96.1,3.9
E00032002,95,5
E00032003,89.8,10.2
E00032004,95.7,4.3
E00032005,97.2,2.8
E00032006,97.5,2.5
E00032007,99.6,0.4
E00032008,96.8,3.2
E00032009,96.1,3.9
E00032010,97.2,2.8
E00032011,98.6,1.4
E00032012,97.2,2.8
E00032013,95.3,4.7
E00032014,99.1,0.9
E00032015,96.5,3.5
E00032016,99.3,0.7
E00032017,99.1,0.9
E00032018,95.9,4.1
E00032019,98.2,1.8
E00032020,98,2
E00032021,92.7,7.3
E00032022,98.6,1.4
E00032023,97,3
E00032024,98.3,1.7
E00032025,97.8,2.2
E00032026,97.7,2.3
E00032027,95.8,4.2
