geography_code,sex-001,sex-002
E00031574,54.8,45.2
E00031575,52.1,47.9
E00031576,52.5,47.5
E00031577,51.4,48.6
E00031578,47.3,52.7
E00031579,49.7,50.3
E00031580,49.9,50.1
E00031581,52.6,47.4
E00031582,51.7,48.3
E00031583,49.5,50.5
E00031584,55.2,44.8
E00031602,47.7,52.3
E00031603,50,50
E00031604,48.5,51.5
E00031605,53,47
E00031607,51.4,48.6
E00031608,49.2,50.8
E00031609,49.6,50.4
E00031610,52.7,47.3
E00031611,52.3,47.7
E00031612,53.1,46.9
E00031613,56,44
E00031614,48.7,51.3
E00031615,45.1,54.9
E00031616,52.6,47.4
E00031617,52.8,47.2
E00031696,51.6,48.4
E00031697,48.5,51.5
E00031698,50,50
E00031699,47.7,52.3
E00031700,53.8,46.2
E00031701,51,49
E00031702,53.1,46.9
E00031703,53.1,46.9
E00031704,50.4,49.6
E00031705,50,50
E00031706,50.2,49.8
E00031707,49.6,50.4
E00031708,51.6,48.4
E00031709,51.1,48.9
E00031710,48.5,51.5
E00031711,52.8,47.2
E00031712,47.2,52.8
E00031713,50.5,49.5
E00031714,52.1,47.9
E00031715,50.3,49.7
E00031716,54.5,45.5
E00031717,48.7,51.3
E00031718,51.3,48.7
E00031719,55.9,44.1
E00031720,53.5,46.5
E00031721,51.7,48.3
E00031722,46.6,53.4
E00031723,53.4,46.6
E00031725,50.9,49.1
E00031726,50.5,49.5
E00031727,50.2,49.8
E00031728,51.6,48.4
E00031729,49.8,50.2
E00031730,47.8,52.2
E00031731,49.5,50.5
E00031732,53.1,46.9
E00031990,51.4,48.6
E00031991,51.5,48.5
E00031993,48.9,51.1
E00031994,50.3,49.7
E00031995,49.5,50.5
E00031996,52.5,47.5
E00031997,49.3,50.7
E00031998,47.9,52.1
E00031999,51,49
E00032000,52.3,47.7
E00032001,53,47
E00032002,58.3,41.7
E00032003,48.4,51.6
E00032004,50,50
E00032005,52.8,47.2
E00032006,51.2,48.8
E00032007,49.3,50.7
E00032008,50,50
E00032009,50.2,49.8
E00032010,51,49
E00032011,50.2,49.8
E00032012,49.8,50.2
E00032013,49.3,50.7
E00032014,44.8,55.2
E00032015,50,50
E00032016,52.2,47.8
E00032017,49.8,50.2
E00032018,45.9,54.1
E00032019,47.1,52.9
E00032020,51.4,48.6
E00032021,52.8,47.2
E00032022,53.1,46.9
E00032023,55.6,44.4
E00032024,51.9,48.1
E00032025,51.5,48.5
E00032026,52.3,47.7
E00032027,50.6,49.4
E00032029,47.5,52.5
E00032030,52.5,47.5
E00032031,49.3,50.7
E00032032,54.8,45.2
E00032033,54.6,45.4
E00032034,51.3,48.7
E00032035,51,49
E00032036,49.2,50.8
E00032037,51.6,48.4
E00032038,53.9,46.1
E00032197,46.6,53.4
E00032198,50.5,49.5
E00032200,47.8,52.2
E00032201,56.5,43.5
E00032202,47.2,52.8
E00032203,54.9,45.1
E00032204,52.1,47.9
E00032205,52.5,47.5
E00032212,45.5,54.5
E00032213,51.5,48.5
E00032214,54.6,45.4
E00032215,49.2,50.8
E00032216,47.9,52.1
E00032217,49.2,50.8
E00032218,51.6,48.4
E00032219,51,49
E00032220,46.9,53.1
E00032222,48.2,51.8
E00032223,49.7,50.3
E00032224,46.1,53.9
E00032225,51.9,48.1
E00032226,45.9,54.1
E00032239,49.6,50.4
E00032240,52.8,47.2
E00032241,52,48
E00032242,53.2,46.8
E00032243,52.6,47.4
E00032244,54.5,45.5
E00032245,49.3,50.7
E00032246,51.9,48.1
E00032278,46.7,53.3
E00032279,53,47
E00032280,53.6,46.4
E00032281,47.2,52.8
E00032282,49.2,50.8
E00032283,45.7,54.3
E00032285,59,41
E00032288,48.1,51.9
E00032294,52.4,47.6
E00032295,51.4,48.6
E00032298,49.2,50.8
E00032299,51.4,48.6
E00032303,50.5,49.5
E00032308,45.3,54.7
E00032309,50.2,49.8
E00032311,50.5,49.5
E00032312,50.6,49.4
E00032313,39.4,60.6
E00032315,49.3,50.7
E00032318,53.3,46.7
E00032319,50.3,49.7
E00032322,48.7,51.3
E00032426,54.5,45.5
E00032427,51,49
E00032428,47.7,52.3
E00032429,48.5,51.5
E00032430,53.9,46.1
E00032431,51.8,48.2
E00032432,55.2,44.8
E00032433,54.9,45.1
E00032434,50,50
E00032435,45.2,54.8
E00032436,52.9,47.1
E00032437,48.6,51.4
E00032438,53.5,46.5
E00126500,52.5,47.5
E00126501,50.3,49.7
E00126502,48.3,51.7
E00126503,51.1,48.9
E00126504,49.2,50.8
E00126505,48.5,51.5
E00126506,50.8,49.2
E00126507,50.5,49.5
E00126508,48.6,51.4
E00126509,55.3,44.7
E00126510,56.8,43.2
E00126511,49.6,50.4
E00126512,51.2,48.8
E00126600,51.6,48.4
E00126601,50.4,49.6
E00126602,49.4,50.6
E00126604,56.3,43.7
E00126605,47.1,52.9
E00126607,51.6,48.4
E00126613,49.9,50.1
E00126614,48.6,51.4
E00126615,48.9,51.1
E00126616,50.6,49.4
E00126617,51,49
E00126618,47.7,52.3
E00126619,44.2,55.8
E00126679,44.4,55.6
E00126680,51.4,48.6
E00126681,52.8,47.2
E00126682,50.9,49.1
E00126683,53.2,46.8
E00126684,49.2,50.8
E00126685,54.1,45.9
E00126686,50.3,49.7
E00126687,51.7,48.3
E00126688,43.9,56.1
E00126689,47.5,52.5
E00126690,52.7,47.3
E00126691,49,51
E00126692,56.9,43.1
E00126693,49.1,50.9
E00126694,56.4,43.6
E00126695,50.7,49.3
E00126696,49.3,50.7
E00126697,50,50
E00126698,48.4,51.6
E00126699,54.2,45.8
E00126701,52.4,47.6
E00126702,54.4,45.6
E00126710,49.4,50.6
E00126712,48.2,51.8
E00126714,49.8,50.2
E00126715,48.9,51.1
E00126716,51.8,48.2
E00126717,49.2,50.8
E00126718,54,46
E00126719,46.6,53.4
E00129250,52.1,47.9
E00129251,49.1,50.9
E00129253,51.4,48.6
E00129254,51.5,48.5
E00129255,48.2,51.8
E00129256,49.2,50.8
E00129257,48.7,51.3
E00129258,53.4,46.6
E00129259,51.5,48.5
E00129260,51.2,48.8
E00129261,53.1,46.9
E00129262,49.7,50.3
E00129263,48,52
E00129264,52.8,47.2
E00129265,55.7,44.3
E00129266,49,51
E00129267,52.6,47.4
E00129268,53.5,46.5
E00129269,52.5,47.5
E00129307,55.1,44.9
E00129308,50.6,49.4
E00129309,55.8,44.2
E00129310,47.1,52.9
E00129311,51.4,48.6
E00129312,49.1,50.9
E00129313,48.6,51.4
E00129314,50.6,49.4
E00129315,51.7,48.3
E00129316,52.7,47.3
E00129317,47.7,52.3
E00129318,48.4,51.6
E00129319,48.6,51.4
E00129320,50.2,49.8
E00129367,50.2,49.8
E00129368,51.3,48.7
E00129370,53.2,46.8
E00129371,47,53
E00129372,50.9,49.1
E00129373,52.1,47.9
E00129380,50,50
E00129421,52.7,47.3
E00129422,49.2,50.8
E00129423,51.8,48.2
E00129435,50.3,49.7
E00129436,53,47
E00129437,50.3,49.7
E00129438,53.4,46.6
E00129451,52.8,47.2
E00129452,50,50
E00129453,52.4,47.6
E00129454,52.3,47.7
E00129455,56,44
E00129456,53,47
E00129457,49.3,50.7
E00129458,52.8,47.2
E00129459,52.3,47.7
E00129460,52.6,47.4
E00129461,50.8,49.2
E00129462,50.3,49.7
E00129463,50.8,49.2
E00129501,53.6,46.4
E00129502,53.3,46.7
E00129503,55.4,44.6
E00129504,50.2,49.8
E00129505,50.8,49.2
E00129506,49.1,50.9
E00129507,54.1,45.9
E00129508,51.4,48.6
E00129509,52.2,47.8
E00129510,51.3,48.7
E00129511,51.4,48.6
E00129512,52.7,47.3
E00129513,51,49
E00129514,54.8,45.2
E00129515,50.9,49.1
E00129516,56.6,43.4
E00129517,40.2,59.8
E00129518,52,48
E00129519,51,49
E00129520,49.3,50.7
E00129521,52,48
E00129522,50.5,49.5
E00129523,49.1,50.9
E00129524,50.3,49.7
E00129526,49.5,50.5
E00129527,49.8,50.2
E00129528,42.6,57.4
E00129529,54.8,45.2
E00129530,55,45
E00129531,49,51
E00129532,52.6,47.4
E00129533,54.3,45.7
E00129534,52.1,47.9
E00129535,43.4,56.6
E00129536,52,48
E00129537,48.9,51.1
E00129538,47.1,52.9
E00129539,49.2,50.8
E00129540,52.7,47.3
E00129541,49.5,50.5
E00129542,53.2,46.8
E00129545,53.8,46.2
E00129546,50.4,49.6
E00129547,49.1,50.9
E00129548,50,50
E00129549,45.5,54.5
E00129569,51.5,48.5
E00129570,52.9,47.1
E00129571,46.6,53.4
E00129572,56.7,43.3
E00129573,52,48
E00129577,53.6,46.4
E00129578,48.9,51.1
E00129579,50.9,49.1
E00129580,53,47
E00129581,53,47
E00129585,48.3,51.7
E00129588,51.3,48.7
E00129589,49.8,50.2
E00129590,50.3,49.7
E00129591,50.9,49.1
E00129592,54.3,45.7
E00129593,49,51
E00129594,54.1,45.9
E00129595,48.3,51.7
E00129596,50.8,49.2
E00129597,54.4,45.6
E00129598,53.6,46.4
E00129599,52.5,47.5
E00129600,51,49
E00168459,52.2,47.8
E00168473,44.9,55.1
E00168818,49.6,50.4
E00168819,52.4,47.6
E00168820,50.4,49.6
E00168821,48.2,51.8
E00168822,48.7,51.3
E00170497,48.3,51.7
E00170505,49.4,50.6
E00170506,52.3,47.7
E00170507,54.2,45.8
E00170519,48.9,51.1
E00170521,52.1,47.9
E00181413,50.1,49.9
E00181420,51.4,48.6
E00181433,53.4,46.6
E00181443,48.1,51.9
E00181447,49.9,50.1
E00181450,50.6,49.4
E00181461,49.7,50.3
E00181464,50.9,49.1
E00181474,53.2,46.8
E00181477,48.6,51.4
E00181482,49.5,50.5
E00181484,49.9,50.1
E00181485,49.3,50.7
E00181498,44.7,55.3
E00181503,50.3,49.7
E00182017,54,46
E00182032,51.5,48.5
