geography_code,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E00015250,4.4,7.8,6.4,78.1,3.3
E00015251,4.4,4,5.2,84.5,2
E00015252,4.5,41.5,4.9,45.9,3.3
E00015253,7.8,3.8,4.7,81.3,2.5
E00015254,1.2,5.6,5.9,79.3,8
E00015255,2.6,2.9,4.2,88.3,1.9
E00015256,1.3,2.5,2.1,94.1,0
E00015258,4.4,4.1,6.3,82,3.3
E00015259,10.2,7.1,5.3,75.5,1.9
E00015260,4.6,3.5,2.6,89.3,0
E00015261,5.7,5.7,2.6,85.1,0.9
E00015262,4,11.9,5.2,79,0
E00015263,10.4,10.4,4.4,66.7,8.1
E00015265,1.7,15.2,7.2,71,4.8
E00015266,3.3,51.4,2.8,32.6,9.9
E00015267,7,8.3,3.7,79.7,1.3
E00015280,6.9,12.4,7.3,72.1,1.3
E00015281,3.3,8.1,3.3,79.9,5.3
E00015282,5.6,29.1,4.6,55.8,4.9
E00015284,8.6,14.5,8.6,66.1,2.2
E00015286,10.4,34.2,10.8,34.5,10.1
E00015287,9.6,40.7,5.6,34.8,9.3
E00015289,7,1.6,9.9,79.6,1.9
E00015290,5.5,24.5,13.7,51.5,4.7
E00015292,8.7,1.4,2.5,85.2,2.2
E00015293,3.1,8.4,3.1,81.3,4.1
E00015294,3.6,5.6,7.6,82.5,0.8
E00015295,6.3,6.7,4.1,81.9,1.1
E00015296,4.9,5.6,6.3,79.2,3.9
E00015297,8.7,26.6,5.9,55.9,2.8
E00015298,5.7,19.7,7.9,59.4,7.3
E00015299,1.5,4.9,4.2,87.1,2.3
E00015300,5.4,8.1,3.9,82.2,0.4
E00015301,2.5,28.3,6.1,55.7,7.4
E00015302,7.7,29.4,11.9,46.4,4.6
E00015303,6.1,14.9,3.9,73.2,1.8
E00015304,6.5,10.9,8.6,71.9,2.1
E00015305,1.8,37.2,7.1,51.8,2.1
E00015306,3.8,36.8,4.2,50.6,4.6
E00015307,4.3,2,5.5,86.7,1.6
E00015308,8.1,16.5,10,63.8,1.5
E00015309,5.4,17,4.7,69.4,3.5
E00015311,5.5,16.3,9.4,59.3,9.4
E00015312,3,3.4,2.2,88.8,2.6
E00015313,4.5,7.5,5,79.5,3.5
E00015314,2.5,13.6,8.6,71.7,3.6
E00015315,4.6,0.4,5.7,88.9,0.4
E00015316,3.5,10,5.6,79.1,1.8
E00015317,6.3,1.9,7.9,82.1,1.9
E00015318,1.8,22,8.5,66,1.8
E00015319,3.8,8.6,5.8,79,2.7
E00015320,4.9,37,10.2,32.1,15.8
E00015321,6.3,7.2,6.1,73.7,6.8
E00015322,4.2,28,7.9,57.3,2.5
E00015323,4.2,23.8,7.9,58.2,5.9
E00015324,4.9,8.9,2.4,82.7,1.1
E00015325,4.5,29.1,4.1,59.1,3.2
E00015326,4,22.7,4.4,65.8,3.1
E00015327,6.3,14.3,8.4,67.5,3.4
E00015328,7.5,25.1,6.6,51.2,9.6
E00015329,8,3.2,8.8,79.2,0.8
E00015330,7.2,23.6,10.3,55.5,3.4
E00015331,3.7,36.5,7.1,39.4,13.3
