geography_code,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E02000024,6.9,29,64
E02000025,7.6,35.1,57.4
E02000026,7.5,26,66.6
E02000027,7.9,27.2,65
E02000028,7.1,28.6,64.2
E02000029,7.3,26.7,65.9
E02000030,8.8,21.7,69.5
E02000031,7.6,28.1,64.3
E02000032,11.1,17.8,71.1
E02000033,9,28,63.1
E02000034,9.4,27.2,63.5
E02000035,9.2,31.5,59.3
E02000036,10.7,23.6,65.6
E02000037,8.4,20.9,70.7
E02000277,10.8,20.5,68.8
E02000278,10.1,24.7,65.2
E02000279,10.4,24.7,64.9
E02000280,6.9,27.2,65.9
E02000281,8.2,26.6,65.2
E02000282,9.4,24.9,65.7
E02000283,11.4,17.1,71.6
E02000284,6.7,30.1,63.2
E02000285,7.7,20.1,72.2
E02000286,5.1,36.8,58.1
E02000287,7.8,26.8,65.5
E02000288,13.1,24,63
E02000289,8.3,19.2,72.5
E02000290,8.7,28.9,62.4
E02000291,7.6,33.9,58.6
E02000292,10.7,23.3,65.9
E02000293,6.9,24.8,68.3
E02000294,12.3,20.6,67.1
E02000295,9.1,27.7,63.2
E02000296,10.8,29.1,60.1
E02000297,10.1,24.9,65
E02000298,9,23.9,67.1
E02000299,12,25.6,62.4
E02000300,13.8,25.2,60.9
E02000301,10.1,27.7,62.2
E02000302,13,24.2,62.9
E02000303,12.3,29,58.7
E02000304,10.6,20.9,68.5
E02000305,11.4,26.7,61.8
E02000306,9.2,30.2,60.6
E02000307,13.9,19.9,66.2
E02000433,7.9,31,61.1
E02000895,8.4,29.4,62.2
E02000898,9.1,29.5,61.4
E02000899,10.8,25.3,63.9
E02003258,7.1,28.4,64.5
E02003259,6.6,22.6,70.9
E02003260,8.7,27.5,63.8
E02003261,8.2,28.6,63.1
E02003262,9.8,29.5,60.7
E02003263,9.8,23.6,66.6
E02003264,11.1,18.3,70.6
E02003265,6.1,30.4,63.5
E02003266,9.1,28,62.9
E02003267,21.1,14.1,64.7
E02003268,17.4,20.3,62.3
E02003269,10.2,28.3,61.5
E02003270,11.8,25,63.1
E02003271,7.7,23.7,68.6
E02003272,24.7,16.3,59
E02003273,11.9,24.6,63.5
E02003274,15.6,26,58.4
E02003276,18.8,23,58.3
E02003277,12.9,25.9,61.2
E02003278,11.9,34.6,53.6
E02003459,3.2,28.2,68.6
E02003460,5.1,23.9,71
E02003461,5.1,24.6,70.3
E02003462,4.1,29.3,66.6
E02003463,9.1,25.1,65.8
E02003464,9.6,25.4,65
E02003465,6.4,31.4,62.3
E02003466,9.7,26.6,63.7
E02003467,11.4,30.1,58.5
E02003468,5.7,31.8,62.5
E02003469,6.4,26.8,66.8
E02003470,9.4,27.9,62.7
E02003471,11.9,28.5,59.6
E02003472,13.1,38.1,48.8
E02003473,6.1,27.6,66.3
E02003474,9.8,23.3,66.9
E02003476,14.1,27.7,58.1
E02003478,6.3,26.7,67
E02003479,12.6,25.5,61.9
E02003480,5.6,27.1,67.4
E02003481,9.8,32.8,57.4
E02003482,4.3,25.5,70.2
E02003483,6.9,19.2,73.9
E02003484,6.6,28.1,65.3
E02003485,7.9,22.9,69.2
E02003486,6,21.7,72.3
E02003487,6.6,24.3,69
E02003488,9.6,28.5,61.9
E02003489,7.3,25.9,66.8
E02003490,8.5,21.7,69.8
E02003599,3.9,25.3,70.8
E02003600,4.6,27.6,67.8
E02003601,3.8,26,70.2
E02003602,5.3,23,71.7
E02003603,4.1,31.4,64.5
E02003604,4.6,22.1,73.3
E02003605,6.6,22.6,70.8
E02003606,4.4,22.6,73.1
E02003607,4.7,23.7,71.6
E02003608,4.2,27.1,68.7
E02003609,4.2,25.8,69.9
E02003610,3.3,26.8,69.9
E02003611,3.6,23.8,72.5
E02003612,3.6,23.7,72.7
E02003613,3.7,28.9,67.4
E02003614,3.6,25.3,71.1
E02003615,4.6,21.1,74.3
E02003616,3.7,22.6,73.7
E02003617,4.7,27,68.3
E02003618,4.3,27.4,68.3
E02003619,5.5,21.9,72.7
E02003620,4.5,30.1,65.4
E02003621,4.8,25.5,69.7
E02003622,5.9,30.4,63.7
E02003623,4.8,22.5,72.6
E02003624,5,42.4,52.6
E02003625,6,47.3,46.7
E02003626,6.3,28.2,65.5
E02003627,7.3,42.3,50.4
E02003628,15.8,21.7,62.5
E02003629,8.2,30.6,61.1
E02003630,13.5,28.6,58
E02003631,7.7,30,62.3
E02003632,7.8,28.7,63.5
E02003633,7.6,23.9,68.5
E02003635,4.4,21.3,74.3
E02003636,4.5,25.7,69.8
E02003637,4.9,23.1,72
E02003638,4.3,21.1,74.6
E02003639,4.4,36.4,59.2
E02003640,3.7,29.4,66.9
E02003641,3.6,24.7,71.7
E02003642,9.3,24.5,66.3
E02003643,3.8,23.6,72.5
E02003644,6.9,25.1,68
E02003645,8,23.3,68.7
E02003646,6.7,24.9,68.4
E02003647,6.3,34,59.6
E02003648,7,29.5,63.5
E02003649,4.8,26.2,68.9
E02003650,4.9,26.3,68.8
E02003651,4.5,26.6,69
E02003652,4.3,23.5,72.3
E02003653,4.3,31.3,64.4
E02003654,4.8,21.4,73.8
E02003655,4.9,22.5,72.6
E02003656,3.7,28.6,67.7
E02003657,5.1,20.2,74.7
E02003658,4.1,22.1,73.9
E02003659,5.9,21.9,72.2
E02003660,3.7,21.9,74.4
E02003661,5,24.2,70.8
E02003662,5.9,33.4,60.6
E02003663,6.9,18.2,74.9
E02003664,7.3,29.4,63.3
E02003665,4.8,28.4,66.8
E02003666,8,41.8,50.2
E02003667,5.2,29.8,64.9
E02003668,4.9,24.5,70.5
E02003669,9.9,27.9,62.2
E02003670,6,29.4,64.6
E02003671,6,31.3,62.7
E02003672,4.2,21.6,74.2
E02003673,4.1,25,70.8
E02003674,3.9,22.6,73.6
E02003675,4.4,29,66.6
E02003676,4.9,21.7,73.4
E02003677,6.5,25.6,67.9
E02003678,6,25.8,68.3
E02003679,4.9,36,59.1
E02003680,3.4,26.9,69.8
E02003681,3.9,25.3,70.8
E02003682,3.5,26.8,69.7
E02003683,4,22.5,73.5
E02003685,4.3,23.7,72
E02003696,4.2,32,63.8
E02003697,3.9,21,75
E02003698,4.3,19.4,76.3
E02003699,5,26.3,68.7
E02003701,7.4,26.8,65.8
E02003702,6,22.1,71.8
E02003703,9.4,27.8,62.8
E02003704,4.1,23.1,72.8
E02003705,12,24.8,63.2
E02003706,7.6,28.1,64.3
E02003707,9.9,26.9,63.3
E02003708,18.3,28,53.7
E02003709,7.6,27.9,64.5
E02003710,12.3,26,61.7
E02003711,5.6,34.5,59.9
E02003755,4,31.4,64.7
E02003756,3.8,25.9,70.3
E02003757,3.9,25.9,70.1
E02003758,3.8,25.2,71
E02003760,11.5,26.3,62.1
E02003761,6.5,24.5,69
E02003762,4.3,25.7,70
E02003763,4.5,27.9,67.6
E02003764,6,34.6,59.4
E02003765,4.5,36.7,58.8
E02003766,4.2,32.3,63.5
E02003767,3.8,22.3,73.9
E02003768,3.7,25.9,70.4
E02003769,3.1,27.4,69.5
E02003770,3.6,24.4,72
E02003771,4.1,36.8,59.1
E02003772,3.7,26.8,69.4
E02003773,5,29.9,65.1
E02003774,5,31.6,63.5
E02003787,3.8,26.4,69.8
E02003793,4,22.1,73.9
E02004843,5.4,19,75.6
E02004844,6.9,24.1,69
E02004845,5.1,37.7,57.2
E02004846,5.7,22.3,72
E02004847,4.9,27.7,67.3
E02004848,6.6,22.5,70.9
E02004849,5.9,20.2,73.9
E02004850,6.5,29.3,64.3
E02004851,5.2,29.9,64.9
E02004852,6.4,28.7,64.9
E02004853,5.6,28,66.3
E02004854,8,28.5,63.5
E02004855,9,33.6,57.4
E02004856,3.6,26.2,70.2
E02004857,3.7,30.1,66.2
E02004858,3.6,29.1,67.3
E02004859,3.2,28,68.8
E02004860,4.9,27.9,67.2
E02004861,3.5,29.8,66.8
E02004862,8.3,29.4,62.3
E02004863,7.7,30.1,62.2
E02004864,2.6,32.7,64.6
E02004865,5,32.4,62.7
E02004866,5.8,27.1,67.1
E02004867,3.1,24.3,72.6
E02004868,6.6,25.8,67.6
E02004869,2.8,26.4,70.8
E02004870,6.6,34.3,59.1
E02004871,4.1,26.2,69.7
E02004872,6,21.9,72
E02004873,4.7,29.8,65.5
E02004874,6.6,25.4,67.9
E02004875,7.1,25.1,67.8
E02004876,5.2,25.7,69.1
E02004877,5.4,25.8,68.8
E02004878,3.8,23,73.1
E02004887,4.2,23.6,72.2
E02004889,3.6,31.3,65.1
E02004890,3.8,32,64.3
E02004891,3.3,29.4,67.4
E02004892,3.9,30.2,65.9
E02004893,3.7,25.4,70.9
E02004894,4.5,36,59.4
E02004895,4.1,28.6,67.3
E02004896,7,29.4,63.6
E02004897,6.8,23.6,69.6
E02004898,7.4,29.7,62.9
E02004899,4.8,23.1,72.1
E02004900,5.7,23.3,71
E02004901,7.6,30.8,61.6
E02004902,9.9,25,65.1
E02004903,7.6,24.1,68.3
E02004904,5.7,32,62.3
E02004905,7,22.7,70.2
E02004906,9.3,25.9,64.9
E02004907,5.4,29.4,65.2
E02004908,5.1,27.2,67.8
E02004909,4.1,31.6,64.3
E02004910,3.2,27.3,69.5
E02004911,3.7,34.2,62.1
E02004912,3.4,33.7,62.9
E02004914,4.4,31.9,63.7
E02004915,4.5,33.8,61.7
E02004916,5.7,28,66.3
E02004917,5.4,30.3,64.3
E02004918,5.6,34.5,59.9
E02004919,4.1,27.3,68.6
E02004920,3.6,33.8,62.6
E02004921,3.6,29.7,66.7
E02004922,4.5,25,70.5
E02004923,3.7,28.3,67.9
E02004924,3.4,20.9,75.7
E02004925,3.4,24.4,72.1
E02004926,3.2,27.7,69.1
E02004927,3.9,23.2,72.9
E02004928,3.3,20.7,76
E02004929,4.3,25.4,70.3
E02004930,4.1,28.4,67.5
E02004931,4.7,26.2,69.1
E02004932,4.9,24.8,70.4
E02004933,3.8,17.4,78.8
E02004934,5.3,30,64.7
E02004935,5,37.6,57.4
E02004936,4.6,22.2,73.2
E02004937,3,26.3,70.8
E02004939,5.9,29.8,64.3
E02004940,6.3,28.3,65.4
E02004941,6.6,27.3,66
E02004942,5.1,27.9,66.9
E02004943,5.4,25.3,69.3
E02004944,7.9,26.7,65.3
E02004945,7,24.8,68.2
E02004946,6.5,32.6,60.9
E02004948,4.6,32.7,62.8
E02004949,5.9,36.7,57.5
E02004950,7.4,24.4,68.2
E02004951,7.8,33.8,58.4
E02004952,5.1,27.6,67.3
E02004953,7.4,24.4,68.2
E02004954,6,30.1,63.8
E02004955,6.6,26.3,67.1
E02004956,5.3,31.5,63.3
E02004957,5.5,25.8,68.7
E02004958,5.2,23.2,71.5
E02004959,6.4,28.9,64.7
E02004960,4.4,21.3,74.3
E02004961,4.8,24.1,71.1
E02004962,5.4,28,66.6
E02004963,8.3,22.5,69.2
E02004964,5.7,27.6,66.7
E02004965,7.2,27.3,65.5
E02004966,10,19.2,70.8
E02004967,6,33,60.9
E02004968,7.1,29.4,63.5
E02004969,6.6,24,69.4
E02004970,7.3,28,64.8
E02004971,9.7,25.5,64.8
E02004972,7.6,24.1,68.3
E02004973,12.4,28.7,58.9
E02004974,7.8,28,64.3
E02004975,9,20.5,70.6
E02004976,9.9,38.8,51.3
E02004977,15.9,24.9,59.2
E02004978,10.2,27.7,62.1
