geography_code,accommodation_type_3a-001,accommodation_type_3a-002,accommodation_type_3a-003
E02000024,65.9,34.1,0
E02000025,49.1,50.9,0
E02000026,75.3,24.7,0
E02000027,68.7,31.2,0.1
E02000028,53.3,46.7,0
E02000029,55.1,44.9,0
E02000030,84.7,11.9,3.3
E02000031,59.5,40.5,0
E02000032,94,5.9,0.1
E02000033,69.1,30.9,0
E02000034,50.1,49.8,0.1
E02000035,42.1,57.8,0
E02000036,67.1,32.9,0
E02000037,67.4,32.6,0
E02000277,73.6,26.3,0.1
E02000278,61.7,38.2,0.1
E02000279,57.8,42.2,0
E02000280,68.8,30.6,0.6
E02000281,57.8,42.2,0
E02000282,44.3,55.5,0.1
E02000283,85.6,14.3,0
E02000284,58.6,41.4,0
E02000285,90,10,0
E02000286,42.7,57.3,0
E02000287,63.1,36.9,0
E02000288,61.8,38,0.2
E02000289,92.4,7.6,0
E02000290,41.1,58.5,0.4
E02000291,32.1,67.9,0
E02000292,83.7,16.2,0.1
E02000293,72.9,27.1,0
E02000294,78.8,21,0.2
E02000295,56.8,43.1,0.1
E02000296,41.3,58.7,0
E02000297,82.2,17.7,0.1
E02000298,73.3,26.7,0
E02000299,69.5,30.4,0.1
E02000300,66.8,33,0.2
E02000301,55.8,44.1,0.1
E02000302,76.3,23.7,0
E02000303,55.5,44.5,0.1
E02000304,73.2,26.7,0.1
E02000305,43.7,56.3,0
E02000306,29.8,70.1,0.1
E02000307,89,10.9,0.1
E02000433,44.9,55.1,0
E02000895,74.2,25.8,0
E02000898,68.2,31.7,0
E02000899,74,26,0
E02003258,93.1,6.9,0
E02003259,82.1,17.8,0.1
E02003260,67.3,32.6,0.1
E02003261,89.7,10.3,0
E02003262,73.7,26.3,0
E02003263,82.6,16.2,1.1
E02003264,97.4,2.5,0.1
E02003265,83.8,16.1,0.1
E02003266,85.2,14.8,0
E02003267,87.2,12.7,0.1
E02003268,87.4,12.5,0
E02003269,78.1,21,1
E02003270,92.4,7.6,0
E02003271,89.8,10.2,0
E02003272,82.9,17.1,0
E02003273,86,13.9,0
E02003274,60.1,39.8,0.1
E02003276,71.8,28.1,0.1
E02003277,74.3,25.7,0
E02003278,48.6,51.2,0.2
E02003459,93.6,6.3,0.1
E02003460,92,7.9,0.1
E02003461,92,8,0
E02003462,88.1,11.9,0
E02003463,90.3,9.7,0
E02003464,87.3,12.7,0
E02003465,84.4,15.6,0
E02003466,79,20.9,0
E02003467,78.5,21.3,0.3
E02003468,83,17,0
E02003469,96.7,3.3,0
E02003470,78.7,21.3,0
E02003471,83.5,16.5,0
E02003472,34.6,65.1,0.3
E02003473,85.7,14.3,0
E02003474,81.7,17.9,0.5
E02003476,78.5,21.4,0.1
E02003478,88,12,0
E02003479,84.3,15.7,0
E02003480,85.5,14.4,0
E02003481,66.5,33.3,0.3
E02003482,82,17.9,0
E02003483,88.6,11.4,0
E02003484,87.5,12.5,0
E02003485,82.6,17.3,0.1
E02003486,90.3,9.6,0
E02003487,91.8,8.2,0
E02003488,80.4,19.6,0
E02003489,84.4,15.6,0
E02003490,82.5,17.5,0.1
E02003599,91.3,8.7,0
E02003600,87.5,12.1,0.4
E02003601,91.4,8.4,0.3
E02003602,96.8,3,0.3
E02003603,82.7,17.2,0.1
E02003604,89,10.2,0.8
E02003605,93.9,5.5,0.7
E02003606,96.3,2.4,1.3
E02003607,92.2,7.8,0
E02003608,90,9.8,0.2
E02003609,89.1,10.9,0
E02003610,88.8,11.1,0.1
E02003611,89,5.3,5.7
E02003612,87.3,12.6,0.1
E02003613,86.2,13.7,0
E02003614,94.3,5.6,0.1
E02003615,95.5,4.3,0.3
E02003616,96.9,2.7,0.4
E02003617,94.5,3.6,1.8
E02003618,89.4,6.3,4.2
E02003619,95.1,3.6,1.3
E02003620,87.6,12.3,0.1
E02003621,96.9,3.1,0
E02003622,86.9,13.1,0
E02003623,91,7.1,1.9
E02003624,50.8,49.1,0.1
E02003625,42.4,57.4,0.2
E02003626,90.5,6.8,2.7
E02003627,43.6,56.4,0.1
E02003628,78.7,21.2,0
E02003629,74.3,25.5,0.2
E02003630,69.9,30.1,0
E02003631,81.9,18.1,0
E02003632,86.4,13.6,0
E02003633,86.8,13.2,0
E02003635,93.8,5.9,0.4
E02003636,97,2.9,0.1
E02003637,94.2,5.1,0.7
E02003638,94.5,5.4,0.1
E02003639,67.8,32.1,0.1
E02003640,79.1,20.8,0.1
E02003641,88.8,11.2,0
E02003642,89.8,10.1,0.1
E02003643,84.5,15.1,0.4
E02003644,86.3,13.6,0.1
E02003645,87,13,0
E02003646,81.6,18.2,0.2
E02003647,60.1,39.7,0.2
E02003648,67.9,32,0.1
E02003649,83.3,16.7,0
E02003650,90.3,4.2,5.5
E02003651,88.7,2.4,8.9
E02003652,92,7.8,0.2
E02003653,83.3,16.7,0
E02003654,96,2.6,1.4
E02003655,96.4,2.9,0.7
E02003656,90.6,9.3,0
E02003657,96.1,3,0.9
E02003658,94.2,5.5,0.2
E02003659,91.3,8.6,0.2
E02003660,96.8,2.2,1
E02003661,96,4,0
E02003662,79,21,0
E02003663,85.6,14.4,0
E02003664,71.3,28.6,0.1
E02003665,82.5,17.4,0
E02003666,48.2,51.6,0.2
E02003667,79.2,20.7,0.1
E02003668,90.7,9.3,0
E02003669,71.5,28.4,0
E02003670,79.1,20.8,0.1
E02003671,85.3,14.7,0
E02003672,93.4,6.4,0.1
E02003673,91.7,8.1,0.2
E02003674,96.2,3.6,0.2
E02003675,88.3,11.6,0.1
E02003676,89.2,5.1,5.7
E02003677,81.6,18.3,0.1
E02003678,84.6,15.3,0
E02003679,64.7,35.1,0.2
E02003680,89,10.8,0.1
E02003681,75.6,24.3,0.1
E02003682,82.9,17,0.1
E02003683,77.2,22.7,0
E02003685,91.4,8.6,0
E02003696,82.9,17,0.1
E02003697,95.3,2.8,1.9
E02003698,96.7,2.5,0.8
E02003699,87.7,11.6,0.7
E02003701,79.1,20.8,0.1
E02003702,91.7,8.1,0.2
E02003703,65.6,34.3,0
E02003704,85.6,11.7,2.7
E02003705,76.1,23.8,0.1
E02003706,72.3,27.7,0
E02003707,65.1,34.8,0
E02003708,66.2,33.7,0.1
E02003709,71.5,28.4,0.1
E02003710,61.4,38.5,0.1
E02003711,53.3,46.7,0
E02003755,85.2,13.7,1
E02003756,94.8,4,1.2
E02003757,93,6.2,0.8
E02003758,95.1,3.6,1.3
E02003760,90.3,9.4,0.3
E02003761,94.5,5.4,0
E02003762,92.3,7.2,0.5
E02003763,93.5,6.4,0.1
E02003764,69,30.9,0.1
E02003765,75.1,22.5,2.4
E02003766,79,20.1,1
E02003767,98.1,1.8,0.1
E02003768,90.7,6.1,3.2
E02003769,94.3,4.8,0.9
E02003770,83.5,15.8,0.6
E02003771,72.8,27,0.2
E02003772,89.5,10.5,0.1
E02003773,83.3,15.6,1.1
E02003774,86.3,13.3,0.3
E02003787,97,2.5,0.5
E02003793,97.9,1.5,0.6
E02004843,89.5,10.4,0.1
E02004844,83.9,15.9,0.3
E02004845,51.4,48.2,0.4
E02004846,84.7,15.3,0.1
E02004847,63.6,36.1,0.3
E02004848,81.6,18.3,0.1
E02004849,94.6,5.3,0.1
E02004850,74.6,24.9,0.5
E02004851,83.9,16,0
E02004852,67.9,31.2,0.9
E02004853,82.1,17.8,0.1
E02004854,71.7,28,0.3
E02004855,51.4,46.7,1.9
E02004856,90.2,9.6,0.2
E02004857,84.9,15,0.2
E02004858,89.9,10.1,0
E02004859,86.8,9,4.2
E02004860,59.9,40.1,0
E02004861,86.7,10.3,3
E02004862,73.3,26.6,0.1
E02004863,69.1,30.8,0.1
E02004864,73.9,26,0.1
E02004865,68.4,31.5,0.1
E02004866,85.1,14.8,0
E02004867,81.1,18.9,0
E02004868,66.3,33.4,0.4
E02004869,76.8,23.1,0.1
E02004870,52.9,47,0.1
E02004871,87.3,12.7,0
E02004872,86.1,13.9,0
E02004873,68.1,31.7,0.2
E02004874,84.8,15.2,0
E02004875,75.9,24,0.1
E02004876,85,13,2
E02004877,82.6,17.1,0.2
E02004878,90.7,9.3,0.1
E02004887,88.9,10.8,0.3
E02004889,71.3,28.5,0.1
E02004890,63.3,36.7,0
E02004891,83.2,16.7,0.1
E02004892,72.5,27.5,0
E02004893,80,19.8,0.2
E02004894,54.9,44.9,0.2
