geography_code,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E02000024,86.4,9.9,3.7
E02000025,84.3,11.2,4.6
E02000026,85.4,10.3,4.3
E02000027,82.9,11.6,5.5
E02000028,86.5,10,3.5
E02000029,86.4,10,3.7
E02000030,85.5,10.1,4.3
E02000031,86.1,10.1,3.8
E02000032,85.3,11.2,3.5
E02000033,83.5,12.4,4.1
E02000034,86.8,9,4.2
E02000035,85.2,10.9,3.9
E02000036,84.9,10.9,4.2
E02000037,87,9.4,3.6
E02000277,82,12.7,5.3
E02000278,79.7,13.6,6.7
E02000279,83.8,11.2,5
E02000280,83,11.8,5.2
E02000281,83.1,11.4,5.5
E02000282,81.6,12.1,6.3
E02000283,83.3,11.5,5.2
E02000284,85.2,10.8,4.1
E02000285,85.7,11,3.3
E02000286,85.7,10.7,3.6
E02000287,84.8,10.6,4.6
E02000288,82.5,12,5.5
E02000289,86.3,10.2,3.5
E02000290,83.8,10.5,5.7
E02000291,83.8,11.3,4.9
E02000292,84.5,11.2,4.3
E02000293,86.9,9.8,3.3
E02000294,81.6,12.8,5.6
E02000295,85.4,10.9,3.8
E02000296,83.9,11.5,4.5
E02000297,84.3,11.6,4.1
E02000298,87.7,9.4,2.9
E02000299,82.2,12.1,5.7
E02000300,83.3,11.8,5
E02000301,81.4,12.8,5.8
E02000302,84.6,10.9,4.5
E02000303,80.2,13.3,6.5
E02000304,86.3,10.5,3.1
E02000305,86.3,10.2,3.5
E02000306,80,12.9,7.1
E02000307,84.6,11.1,4.3
E02000433,82.9,12,5.2
E02000895,81.4,13.1,5.5
E02000898,81.5,12.9,5.7
E02000899,84.3,11.6,4.2
E02003258,84.7,11.6,3.7
E02003259,83.6,12.7,3.7
E02003260,81.2,13,5.8
E02003261,80.4,13.7,6
E02003262,79.9,13.9,6.2
E02003263,82.9,12.1,5
E02003264,85.6,10.9,3.4
E02003265,82.7,12.8,4.5
E02003266,80.7,13.3,6.1
E02003267,83.8,11.9,4.3
E02003268,84.3,11.1,4.6
E02003269,84.1,12.1,3.8
E02003270,83,12.4,4.7
E02003271,85.7,10.7,3.6
E02003272,82.5,12.4,5
E02003273,83.3,11.7,4.9
E02003274,81.6,12.9,5.5
E02003276,84.7,11.4,3.9
E02003277,81.2,12.8,6
E02003278,84.8,10.8,4.4
E02003459,85.6,11,3.4
E02003460,86.1,10.5,3.4
E02003461,82.7,12.9,4.4
E02003462,85.9,10.7,3.5
E02003463,81.8,13.2,5
E02003464,81.1,13.3,5.6
E02003465,81.3,13.8,4.9
E02003466,84.7,11.4,3.9
E02003467,80.3,13.9,5.8
E02003468,83.3,12.6,4
E02003469,83.2,12.3,4.5
E02003470,79,14.5,6.5
E02003471,80.6,13.9,5.5
E02003472,87,9.5,3.5
E02003473,85.1,11.5,3.4
E02003474,86.7,9.9,3.5
E02003476,80.8,12.5,6.7
E02003478,85.3,10.8,3.9
E02003479,83,11.4,5.5
E02003480,85.2,10.8,4
E02003481,79.6,13.8,6.6
E02003482,87.9,9.3,2.8
E02003483,89.2,7.8,3
E02003484,84,11.4,4.6
E02003485,80.6,14.5,4.8
E02003486,89.5,7.8,2.7
E02003487,81.3,13.1,5.5
E02003488,81,13.8,5.2
E02003489,81.2,13.5,5.3
E02003490,83.8,11.2,4.9
E02003599,83.9,11.6,4.5
E02003600,81.6,14,4.5
E02003601,85.4,11.2,3.4
E02003602,83.6,12.6,3.9
E02003603,83.5,12.5,4
E02003604,85.6,10.3,4.1
E02003605,87.2,9.9,2.8
E02003606,85.8,10.5,3.7
E02003607,86.9,9.7,3.5
E02003608,84.3,11.8,3.9
E02003609,86.3,10.5,3.2
E02003610,87.7,9.7,2.6
E02003611,85.4,11.3,3.2
E02003612,86.8,10.1,3.1
E02003613,82.5,12.5,5
E02003614,87.3,10,2.7
E02003615,87,9.7,3.3
E02003616,84.9,11.6,3.6
E02003617,84.3,11.8,3.9
E02003618,85.4,10.5,4
E02003619,85,11.3,3.7
E02003620,82.5,13.1,4.4
E02003621,82.6,13.3,4.2
E02003622,80.5,13.4,6.2
E02003623,88.4,9.1,2.5
E02003624,81.9,13.5,4.7
E02003625,79,14.4,6.6
E02003626,85,11.5,3.5
E02003627,83.2,12.1,4.7
E02003628,83.2,12,4.8
E02003629,81,13,6
E02003630,82.3,12.3,5.4
E02003631,80,14.6,5.4
E02003632,82.3,13.6,4.1
E02003633,84.3,11.8,3.9
E02003635,87.3,9.2,3.5
E02003636,84.8,11.8,3.4
E02003637,84.4,11.8,3.8
E02003638,84.7,11.6,3.6
E02003639,81.4,13.6,5
E02003640,84.1,12.4,3.5
E02003641,87.1,9.6,3.2
E02003642,82.8,12.3,5
E02003643,87,9.7,3.3
E02003644,83.2,12.1,4.7
E02003645,84,12.6,3.4
E02003646,84.4,11.2,4.4
E02003647,83.1,12.2,4.7
E02003648,82.5,12.1,5.4
E02003649,84.4,12.2,3.3
E02003650,82.3,12.9,4.9
E02003651,83.3,12.2,4.5
E02003652,88.7,9.1,2.2
E02003653,85.1,11.3,3.6
E02003654,86.7,10.1,3.2
E02003655,86.4,10.6,3.1
E02003656,84.9,11.6,3.5
E02003657,86.8,9.9,3.3
E02003658,86.7,10.1,3.1
E02003659,87.7,9.6,2.7
E02003660,87.1,9.8,3.1
E02003661,85.3,11.5,3.2
E02003662,83.9,12.2,4
E02003663,88.3,9.1,2.5
E02003664,83.4,12.4,4.2
E02003665,85.4,11.3,3.3
E02003666,82.7,12.6,4.6
E02003667,86.7,10.2,3.1
E02003668,85.4,11.5,3.1
E02003669,82.5,12.7,4.8
E02003670,85.9,10.9,3.2
E02003671,83.9,11.9,4.1
E02003672,86.7,9.8,3.5
E02003673,86.3,10.4,3.2
E02003674,88,9.2,2.8
E02003675,87.8,9.2,3
E02003676,87,9.9,3.1
E02003677,85,10.9,4.1
E02003678,86.8,10.3,2.9
E02003679,84.2,11.6,4.2
E02003680,87.3,9.9,2.8
E02003681,87.9,9,3.1
E02003682,89.6,7.9,2.5
E02003683,88.7,8.4,2.8
E02003685,88.3,9,2.7
E02003696,82.6,13.1,4.3
E02003697,88.6,8.4,3
E02003698,88.5,9.3,2.2
E02003699,85,11.5,3.5
E02003701,85.1,11.4,3.5
E02003702,88.8,8.7,2.5
E02003703,87.2,9.7,3.1
E02003704,89.3,8.1,2.6
E02003705,85.3,10.9,3.8
E02003706,84.7,11.4,3.9
E02003707,85.8,11.1,3.2
E02003708,83.7,11.7,4.6
E02003709,83.9,11.9,4.2
E02003710,87.9,9.1,3
E02003711,86.3,10.3,3.4
E02003755,80.2,14.5,5.3
E02003756,83.7,12.4,4
E02003757,82.6,12.8,4.6
E02003758,85.1,11.1,3.8
E02003760,82.3,12.4,5.3
E02003761,80.9,14,5.1
E02003762,85.5,10.3,4.1
E02003763,84.9,11.5,3.6
E02003764,84.8,11.3,3.9
E02003765,82.1,13,4.9
E02003766,86.2,10.3,3.5
E02003767,86.2,10.2,3.5
E02003768,85.2,11.4,3.4
E02003769,79.9,14.8,5.3
E02003770,86.9,9.9,3.2
E02003771,81.2,14.2,4.6
E02003772,85.3,11.2,3.5
E02003773,82.9,12.6,4.5
E02003774,79.3,15,5.6
E02003787,83.8,11.7,4.4
E02003793,84.4,11.7,3.9
E02004843,85.3,11,3.7
E02004844,83.6,12,4.4
E02004845,82.8,12.6,4.6
E02004846,87.7,9.7,2.7
E02004847,84.8,11.3,3.9
E02004848,85.7,10.6,3.8
E02004849,86.6,10.2,3.1
E02004850,83.2,11.9,4.9
E02004851,81.6,12.9,5.4
E02004852,83.3,12.5,4.2
E02004853,81.5,12.6,5.9
E02004854,83,12.2,4.7
E02004855,81.7,12.7,5.6
E02004856,87.2,9.8,3
E02004857,87.2,9.5,3.3
E02004858,85.9,10.5,3.6
E02004859,88.5,9.2,2.3
E02004860,85.2,11.1,3.7
E02004861,85.4,10.8,3.7
E02004862,80.3,14,5.7
E02004863,79.6,14.1,6.2
E02004864,88.3,9,2.8
E02004865,83.6,12.2,4.2
E02004866,81.6,13.4,5
E02004867,88.1,9,2.9
E02004868,83.4,12.1,4.6
E02004869,89.2,8.1,2.7
E02004870,84.6,11.5,3.9
E02004871,83.9,12.1,4
E02004872,84,12.1,3.9
E02004873,88,8.9,3.1
E02004874,84,11.6,4.5
