geography_code,english_proficiency_4a-001,english_proficiency_4a-002,english_proficiency_4a-003
E02000024,87.8,10.3,1.9
E02000025,86.3,11.6,2.1
E02000026,87.6,10.4,2
E02000027,83.7,13.9,2.4
E02000028,83.7,13.3,3
E02000029,81.8,14.4,3.8
E02000030,88,10.4,1.6
E02000031,82.7,14.3,3
E02000032,83.8,13.4,2.8
E02000033,82.1,14.8,3.1
E02000034,80,16.4,3.6
E02000035,74.6,20.9,4.5
E02000036,79.4,17,3.6
E02000037,83.7,13.7,2.6
E02000277,80,14,6.1
E02000278,76.2,15.4,8.4
E02000279,76.6,15.8,7.6
E02000280,90,7.7,2.4
E02000281,83.5,12.4,4.1
E02000282,74.9,16.6,8.5
E02000283,76.8,16.7,6.5
E02000284,87.8,9.3,2.8
E02000285,90.4,7.6,2
E02000286,88,9.6,2.3
E02000287,85.7,11.6,2.7
E02000288,71.6,19.1,9.3
E02000289,89.9,8.4,1.7
E02000290,72.9,18.6,8.5
E02000291,78.6,16.2,5.2
E02000292,81.2,13.5,5.3
E02000293,89.6,8.3,2
E02000294,72.7,18.9,8.4
E02000295,81.6,14.2,4.2
E02000296,72.3,21.7,6
E02000297,85,11.7,3.3
E02000298,89.7,8.3,2
E02000299,66.4,22.8,10.8
E02000300,68.4,22.4,9.2
E02000301,69.1,21,9.8
E02000302,77.3,17.2,5.6
E02000303,69.1,20.4,10.5
E02000304,84.4,12.5,3.1
E02000305,74.8,19.9,5.4
E02000306,66.9,21.6,11.5
E02000307,69.5,20.9,9.6
E02000433,80.1,16.4,3.5
E02000895,88.7,8.7,2.6
E02000898,88.4,9.1,2.5
E02000899,81.3,14.4,4.3
E02003258,89.1,9.1,1.8
E02003259,85.4,11.6,3
E02003260,83.3,13,3.7
E02003261,87.6,9.7,2.7
E02003262,82.6,13.4,4
E02003263,80.7,15,4.3
E02003264,86.4,10.6,3
E02003265,90.5,8.1,1.4
E02003266,81.7,15.1,3.1
E02003267,71.8,19.2,9
E02003268,74.4,18.8,6.8
E02003269,84,13.1,2.9
E02003270,76.7,19.4,3.8
E02003271,86.9,11.5,1.7
E02003272,69.9,19.1,11
E02003273,82.5,14.2,3.3
E02003274,62.8,23.4,13.8
E02003276,61,26.7,12.3
E02003277,75.2,19.4,5.5
E02003278,65.7,28.1,6.2
E02003459,98.3,1.5,0.2
