geography_code,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E02000024,59.7,3.6,36.7
E02000025,60.1,4.6,35.4
E02000026,57.1,3.3,39.6
E02000027,57.3,4.3,38.4
E02000028,61.6,3.8,34.6
E02000029,62.1,4.9,33
E02000030,56.7,2.4,40.9
E02000031,60.1,3.7,36.3
E02000032,59,3.3,37.6
E02000033,60.1,3.9,36
E02000034,61,4,35
E02000035,61,4.5,34.5
E02000036,60.8,3.5,35.8
E02000037,60.7,4,35.3
E02000277,53.9,5.2,40.8
E02000278,49.3,5.3,45.4
E02000279,56.5,5.9,37.6
E02000280,58.8,3.8,37.4
E02000281,57.4,4.9,37.7
E02000282,48.5,6.3,45.2
E02000283,53.7,5.7,40.6
E02000284,61.2,3.7,35.1
E02000285,60.1,2.8,37.1
E02000286,59.3,2.8,37.9
E02000287,56.9,2.6,40.6
E02000288,51.6,5.3,43.1
E02000289,58.5,3.3,38.1
E02000290,52.3,6.1,41.6
E02000291,57.3,4.8,37.8
E02000292,58.8,4.2,37
E02000293,55.9,2.8,41.3
E02000294,51,5.4,43.6
E02000295,57.6,3.5,38.8
E02000296,57.8,4.5,37.7
E02000297,58.3,3.2,38.5
E02000298,62.3,2.9,34.8
E02000299,51.7,5.4,42.9
E02000300,53.5,4.6,41.9
E02000301,51.3,5.5,43.3
E02000302,57.5,4.1,38.4
E02000303,49.7,5.4,44.9
E02000304,59.1,3.3,37.6
E02000305,64.1,4.3,31.7
E02000306,48.1,6.5,45.4
E02000307,57.1,4.5,38.4
E02000433,54.2,3,42.8
E02000895,55,3.6,41.5
E02000898,57.1,4.3,38.6
E02000899,58.8,4.2,37
E02003258,61.4,2.6,36
E02003259,58.7,4.2,37.1
E02003260,55.5,5.5,39
E02003261,53.4,3.8,42.9
E02003262,54.2,5.1,40.7
E02003263,56.2,4.4,39.4
E02003264,59.9,3.4,36.7
E02003265,59.9,3.1,37
E02003266,57.6,4.7,37.7
E02003267,52.6,5.6,41.7
E02003268,54.6,5.1,40.3
E02003269,62.2,4.2,33.7
E02003270,57.3,3.8,38.9
E02003271,66.3,3.9,29.8
E02003272,50,5.2,44.8
E02003273,60.1,5.1,34.7
E02003274,49,6.9,44.1
E02003276,51.8,9.5,38.7
E02003277,54.9,6.1,39.1
E02003278,62.5,7.2,30.3
E02003459,58.8,2.1,39.1
E02003460,62.7,2.2,35.1
E02003461,57.4,2.8,39.8
E02003462,65.7,2.8,31.6
E02003463,57.4,3.7,38.9
E02003464,58.9,5.7,35.4
E02003465,57.6,2.7,39.8
E02003466,66.9,4.2,28.8
E02003467,57.8,4.3,37.9
E02003468,60.6,3.2,36.3
E02003469,60.3,3,36.8
E02003470,54.4,6.2,39.4
E02003471,59.9,4.1,36
E02003472,67.5,5.4,27
E02003473,63.7,3.4,32.9
E02003474,66.2,3.7,30.2
E02003476,57.6,5,37.4
E02003478,64.5,3.2,32.2
E02003479,62.1,4.6,33.3
E02003480,69.3,3.4,27.3
E02003481,56.9,5.8,37.3
E02003482,66.6,2.6,30.8
E02003483,71.8,3.4,24.8
E02003484,63.6,3.7,32.7
E02003485,59.2,3.5,37.4
E02003486,71,3.4,25.7
E02003487,56.7,3.2,40
E02003488,59.2,4.1,36.7
E02003489,60.5,3.2,36.3
E02003490,62.4,4.9,32.7
E02003599,64.2,3,32.8
E02003600,60.8,2.7,36.6
E02003601,62.7,2,35.2
E02003602,59.6,1.7,38.7
E02003603,66.3,2.9,30.9
E02003604,68.5,2.2,29.2
E02003605,59,3.6,37.5
E02003606,60.9,2.6,36.5
E02003607,67,2.6,30.4
E02003608,65.8,2.5,31.7
E02003609,67.3,2.3,30.5
E02003610,65,2.3,32.7
E02003611,64.2,2.1,33.7
E02003612,68,2.5,29.4
E02003613,62.1,2.7,35.2
E02003614,67.8,2.4,29.8
E02003615,61.9,2.1,36
E02003616,57.4,2.3,40.3
E02003617,56.6,2.3,41.1
E02003618,60.3,2.2,37.4
E02003619,61.8,2.5,35.6
E02003620,54.7,3.2,42.1
E02003621,54.9,2.2,43
E02003622,58,4,38.1
E02003623,66,2.5,31.5
E02003624,54.9,3.8,41.3
E02003625,57.1,4.6,38.3
E02003626,64.2,2.6,33.1
E02003627,63.5,4.9,31.6
E02003628,57.2,4.7,38.1
E02003629,60.8,4.3,34.9
E02003630,63.2,4.7,32
E02003631,59.2,3.8,37
E02003632,63.5,3.1,33.4
E02003633,65.6,3.6,30.8
E02003635,68.4,2.6,29.1
E02003636,61.6,2.3,36
E02003637,63.3,2.3,34.4
E02003638,58.9,2.9,38.2
E02003639,63.1,2.8,34.1
E02003640,60.9,2.4,36.7
E02003641,63.4,1.8,34.8
E02003642,62.3,4.4,33.3
E02003643,70.9,2.5,26.6
E02003644,64.8,3.3,32
E02003645,62.5,2.9,34.5
E02003646,64.5,3.1,32.4
E02003647,65.7,3.1,31.2
E02003648,60.4,4,35.6
E02003649,61.1,2.4,36.5
E02003650,54.7,2.3,42.9
E02003651,59.8,1.8,38.3
E02003652,61,2.3,36.6
E02003653,59.6,2.7,37.7
E02003654,60,2.1,37.9
E02003655,63.6,1.8,34.6
