geography_code,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E02003654,90.4,0.3,9,0.3
E02003655,91.5,0.3,7.8,0.4
E02003656,88.3,0.2,11.1,0.4
E02003657,88.6,0.3,10.7,0.4
E02003658,88.4,0.2,10.9,0.4
E02003659,90.4,0.3,8.9,0.4
E02003660,90.9,0.3,8.5,0.3
E02003661,90.5,0.4,8.7,0.3
E02003662,89.8,0.2,9.3,0.6
E02003663,89.5,0.2,9.9,0.4
E02003664,89.6,0.2,9.4,0.9
E02003665,88.5,0.4,10.9,0.3
E02003666,85.9,0.2,12.7,1.2
E02003667,88.7,0.1,10.4,0.7
E02003668,92.6,0.3,6.8,0.4
E02003669,92.1,0.2,7.1,0.7
E02003670,90,0.2,8.9,0.9
E02003671,91.9,0.2,7.4,0.6
E02003672,87.5,0.3,11.7,0.4
E02003673,88.1,0.3,11,0.5
E02003674,90.4,0.3,9,0.4
E02003675,88,0.2,10.8,1
E02003676,92,0.3,7.3,0.4
E02003677,91.5,0.2,7.8,0.5
E02003678,90.9,0.3,8.3,0.4
E02003679,89.7,0.3,9.5,0.5
E02003680,91.2,0.5,7.7,0.6
E02003681,89.9,0.3,8.9,0.9
E02003682,91,0.3,7.9,0.7
E02003683,89,0.3,10.1,0.6
E02003685,90.7,0.5,8.2,0.5
E02003696,90.5,0.3,8.7,0.5
E02003697,88.3,0.4,10.6,0.7
E02003698,90.7,0.3,8.4,0.7
E02003699,91.2,0.3,8.4,0.1
E02003701,89.6,0.4,9.3,0.8
E02003702,87.3,0.4,11.5,0.8
E02003703,87.3,0.8,11.1,0.8
E02003704,91,0.2,8.3,0.5
E02003705,90.5,0.2,8.1,1.2
E02003706,90.6,0.3,8.6,0.5
E02003707,88.9,0.2,10.2,0.7
E02003708,90.1,0.2,8.6,1
E02003709,92.4,0.2,7.1,0.3
E02003710,84.1,0.7,12.2,3
E02003711,87.2,0.2,11.8,0.8
E02003755,89.6,0.1,9.9,0.4
E02003756,91.6,0.2,7.7,0.5
E02003757,88.8,0.2,10.7,0.4
E02003758,89.4,0.2,9.7,0.7
E02003760,91.5,0.2,7.3,1
E02003761,90.6,0.2,8.4,0.9
E02003762,84.8,0.2,13.3,1.7
E02003763,91.1,0.3,8,0.6
E02003764,86,0.3,11.7,1.9
E02003765,88.6,0.3,10.4,0.8
E02003766,88.1,0.2,10.9,0.8
E02003767,90.7,0.3,8.4,0.6
E02003768,90.9,0.2,8.5,0.4
E02003769,88.8,0.2,10.6,0.4
E02003770,89.8,0.2,9.4,0.6
E02003771,88.5,0.2,10.7,0.6
E02003772,90,0.2,9.4,0.4
E02003773,90.7,0.2,8.7,0.3
E02003774,90.5,0.2,8.8,0.5
E02003787,91.6,0.3,7.9,0.3
E02003793,91.7,0.3,7.7,0.3
E02004843,93.1,0.2,6.4,0.2
E02004844,92.4,0.1,7.3,0.2
E02004845,89.6,0.1,9.8,0.5
E02004846,92.5,0.2,6.9,0.4
E02004847,91.8,0.1,7.9,0.2
E02004848,92.9,0.2,6.5,0.4
E02004849,92.1,0.3,7.4,0.3
E02004850,92.3,0.2,7.1,0.4
E02004851,93.4,0.1,6.2,0.3
E02004852,90.8,0.2,8.5,0.5
E02004853,92.7,0.2,6.8,0.2
E02004854,91.1,0.2,8.1,0.6
E02004855,90.5,0.2,8.4,0.9
E02004856,91.8,0.2,7.3,0.7
E02004857,88.1,0.4,10.5,1
E02004858,91.2,0.5,7.8,0.5
E02004859,92,0.3,7.3,0.5
E02004860,89.8,0.2,9.2,0.8
E02004861,91.4,0.4,7.7,0.5
E02004862,92.6,0.2,6.4,0.8
E02004863,91.3,0.1,7.7,0.8
E02004864,89.3,0.5,9.6,0.6
E02004865,90,0.2,9.2,0.6
E02004866,89.1,0.1,10.3,0.4
E02004867,92.1,0.3,6.9,0.7
E02004868,91,0.1,8.3,0.5
E02004869,89.8,0.4,8.9,0.9
E02004870,88.5,0.2,10.2,1.1
E02004871,93.2,0.2,6.3,0.3
E02004872,93.5,0.2,5.8,0.4
E02004873,87.1,0.3,12,0.6
E02004874,91.3,0.2,8.1,0.4
E02004875,91.2,0.2,8,0.7
E02004876,89.8,0.3,9.5,0.5
E02004877,91,0.3,8.2,0.4
E02004878,91,0.2,8.6,0.3
E02004887,91.7,0.2,7.7,0.4
E02004889,90.8,0.2,8.5,0.4
E02004890,89.7,0.4,9.4,0.5
E02004891,90.4,0.3,8.9,0.4
E02004892,91.3,0.2,8.2,0.3
E02004893,89.6,0.2,9.8,0.4
E02004894,86.7,0.3,12.4,0.6
E02004895,89.5,0.8,8.6,1.2
E02004896,90.6,0.8,8,0.6
E02004897,91.7,0.5,7.4,0.4
E02004898,90.6,0.7,8,0.7
E02004899,91.6,0.2,7.5,0.7
E02004900,90,0.5,8.6,0.9
E02004901,89.9,0.2,9.1,0.8
E02004902,91.9,0.2,7.1,0.8
E02004903,89.5,0.4,9,1
E02004904,91.2,0.3,7.7,0.8
E02004905,89.7,0.4,9.3,0.6
E02004906,89.7,0.2,9.2,0.9
E02004907,90.2,0.3,9,0.6
E02004908,91.4,0.3,7.5,0.8
E02004909,89.2,0.3,10,0.4
E02004910,90,0.2,9.5,0.3
E02004911,91.4,0.2,7.9,0.5
E02004912,92,0.3,7.5,0.3
E02004914,91.1,0.2,8.4,0.3
E02004915,92,0.2,7.3,0.4
E02004916,91.5,0.2,7.6,0.6
E02004917,91.6,0.3,7.8,0.3
E02004918,87.9,0.4,10.7,1
E02004919,91.5,0.4,7.7,0.5
E02004920,90.4,0.3,8.8,0.6
E02004921,91.1,0.3,8,0.6
E02004922,91,0.2,8.4,0.4
E02004923,90.9,0.3,8.4,0.4
E02004924,90.5,0.3,8.1,1.1
E02004925,90,0.3,8.7,1
E02004926,88.1,0.4,10.3,1.2
E02004927,91.5,0.4,7.6,0.5
E02004928,90.7,0.5,8.1,0.7
E02004929,91.4,0.3,7.7,0.6
E02004930,90.7,0.4,8.2,0.6
E02004931,91.1,0.5,7.5,0.9
E02004932,89.7,0.2,9.5,0.6
E02004933,91,0.6,7.7,0.7
E02004934,84.5,0.4,12.6,2.5
E02004935,79.6,0.6,17.6,2.3
E02004936,88.8,0.4,9.7,1.2
E02004937,90,0.4,8.6,1
E02004939,90.9,0.2,7.9,1
E02004940,89.4,0.3,9.1,1.2
E02004941,91.4,0.2,7.7,0.7
E02004942,90.2,0.3,9,0.6
E02004943,92,0.2,7.3,0.4
E02004944,90.3,0.2,8.7,0.7
E02004945,89.4,0.2,8.8,1.5
E02004946,91.2,0.3,7.5,1
E02004948,90.7,0.2,7.8,1.3
E02004949,89.5,0.3,9.2,1
E02004950,92.7,0.2,6.6,0.5
E02004951,89.6,0.4,8.6,1.4
E02004952,91.8,0.2,7.7,0.4
E02004953,93.3,0.2,6.1,0.5
E02004954,92.4,0.3,6.8,0.5
E02004955,93.2,0.2,6.2,0.4
E02004956,90,0.2,9.3,0.5
E02004957,91.6,0.3,7.8,0.3
E02004958,92.9,0.4,6.3,0.3
E02004959,89.1,0.6,8.7,1.6
E02004960,91.7,0.5,6.8,1
E02004961,92.9,0.4,6.2,0.6
E02004962,90.7,0.4,8.1,0.8
E02004963,94,0.2,5.3,0.5
E02004964,92.7,0.2,6.7,0.3
E02004965,92.3,0.2,6.8,0.6
E02004966,88.9,0.3,9.3,1.4
E02004967,89.9,0.2,9.3,0.6
E02004968,91.5,0.1,7.9,0.5
