geography_code,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E02000024,80.4,15.4,4.2
E02000025,78.3,16.1,5.7
E02000026,83.6,11.3,5.1
E02000027,76.1,15.8,8.2
E02000028,77.5,18.3,4.2
E02000029,76,18.1,5.9
E02000030,83.6,12,4.5
E02000031,78.8,17.5,3.7
E02000032,84.6,13,2.4
E02000033,77.5,17.7,4.8
E02000034,74.1,21.2,4.8
E02000035,68.5,27.2,4.3
E02000036,75.5,19.3,5.2
E02000037,82.1,14.5,3.4
E02000277,75,16.7,8.3
E02000278,74.2,17.1,8.7
E02000279,72.4,20,7.6
E02000280,81.6,10.2,8.2
E02000281,78.7,13.7,7.6
E02000282,72.2,18.7,9.1
E02000283,75.1,18,6.9
E02000284,78.5,14.6,6.9
E02000285,83.6,11,5.3
E02000286,81,14,5
E02000287,83.2,13.3,3.5
E02000288,71.2,21.3,7.5
E02000289,86.9,9.4,3.7
E02000290,73.1,19.4,7.5
E02000291,71.6,21.6,6.8
E02000292,75.7,18.2,6
E02000293,85.2,10.8,4
E02000294,72.5,20.4,7.1
E02000295,77.6,18.3,4.1
E02000296,66.8,27.3,5.9
E02000297,81.4,14,4.6
E02000298,84.1,13.1,2.8
E02000299,67.2,26.3,6.5
E02000300,65.9,29,5.1
E02000301,69.4,23.4,7.1
E02000302,76.6,18.9,4.5
E02000303,70.8,21.9,7.3
E02000304,81.4,15.6,3
E02000305,69.7,26.4,3.9
E02000306,72.6,20.2,7.2
E02000307,69.9,25.5,4.6
E02000433,78.5,18.5,3
E02000895,81.8,10.8,7.5
E02000898,81.6,11.3,7.1
E02000899,76.8,17.4,5.8
E02003258,80.3,12.7,7
E02003259,70.7,17.5,11.8
E02003260,67,18.3,14.7
E02003261,77.5,12.5,10
E02003262,70.1,17.8,12.1
E02003263,70,20,10
E02003264,83.8,11.2,5.1
E02003265,77.2,13.2,9.6
E02003266,70.5,17.7,11.9
E02003267,76,19.6,4.5
E02003268,70.7,22.7,6.5
E02003269,70,20.3,9.7
E02003270,68.8,23.5,7.7
E02003271,72.9,18,9.2
E02003272,74.1,20.7,5.2
E02003273,68.5,20.7,10.8
E02003274,62.3,32.2,5.5
E02003276,56.2,36.2,7.7
E02003277,63.5,25.4,11.1
E02003278,46.3,43.9,9.8
E02003459,86.3,4.2,9.5
E02003460,84.5,5.6,9.9
E02003461,82.9,4.9,12.1
E02003462,82.8,6.9,10.3
E02003463,75.7,13.3,11
E02003464,66.9,15.5,17.6
E02003465,79.3,12.5,8.1
E02003466,74.6,13.3,12.1
E02003467,64.1,22.2,13.7
E02003468,78.9,9.7,11.5
E02003469,78.2,12,9.8
E02003470,64.1,15.5,20.4
E02003471,65,21.7,13.4
E02003472,50.9,38.7,10.4
E02003473,75.8,16.4,7.8
E02003474,73.5,18.4,8.1
E02003476,54.7,29.1,16.2
E02003478,76,15.9,8.1
E02003479,59.3,27.8,12.9
E02003480,76.4,13.6,10
E02003481,63,19.1,17.9
E02003482,84,8.5,7.5
E02003483,79.9,13.2,6.9
E02003484,75,14.8,10.2
E02003485,73.1,11.6,15.3
E02003486,79.2,13.9,6.9
E02003487,74.9,10.7,14.5
E02003488,69.2,18.1,12.7
E02003489,75.9,11.2,12.9
E02003490,66.7,17,16.3
E02003599,79.1,4.3,16.5
E02003600,80.2,4.5,15.4
E02003601,84.3,3.2,12.5
E02003602,84.2,3.1,12.7
E02003603,79.3,5.7,15
E02003604,81.7,5.4,12.9
E02003605,74.8,15.1,10.2
E02003606,85.1,4,10.9
E02003607,83.2,5.3,11.5
E02003608,83.8,3.6,12.5
E02003609,85.6,2.9,11.5
E02003610,87.9,3.7,8.4
E02003611,85.8,3.2,11
E02003612,87,3.7,9.3
E02003613,83.1,4.1,12.8
E02003614,86,5.1,8.8
E02003615,87.3,3.9,8.7
E02003616,86.3,3.2,10.5
E02003617,85.9,4,10.1
E02003618,83.6,5.3,11.1
E02003619,83.5,6.1,10.4
E02003620,78.3,9.9,11.8
E02003621,80.4,9.1,10.5
E02003622,68.7,14.7,16.6
E02003623,84.3,8.2,7.5
E02003624,73.3,16.3,10.3
E02003625,63,22.6,14.4
E02003626,75.7,13.5,10.8
E02003627,64.5,25,10.5
E02003628,65.2,25.8,9
E02003629,61.7,22.8,15.5
E02003630,55.2,32.5,12.3
E02003631,72.2,13.1,14.7
E02003632,70.1,18,12
E02003633,71.7,14.8,13.5
E02003635,81.2,5.8,13
E02003636,83.9,6.5,9.5
E02003637,85.6,4.9,9.5
E02003638,82,4.9,13
E02003639,77,7,15.9
E02003640,82.2,6.9,10.9
E02003641,87.1,4.3,8.6
E02003642,63.6,18.4,18
E02003643,81.8,7,11.3
E02003644,72.1,14.6,13.3
E02003645,76.6,13.9,9.5
E02003646,73.9,12.6,13.6
E02003647,70.3,17.9,11.8
E02003648,70.1,13.3,16.6
E02003649,82,9.1,8.9
E02003650,84.7,3.6,11.7
E02003651,84.7,5.7,9.6
E02003652,84.1,7.3,8.5
E02003653,79.7,9.1,11.2
E02003654,87.6,3.5,8.9
E02003655,84.5,3.6,12
E02003656,84.4,3.8,11.8
E02003657,86.2,3.8,10
E02003658,84.6,5.9,9.5
E02003659,83.8,6.2,10
E02003660,87.4,3.1,9.6
E02003661,85.4,3.2,11.5
E02003662,77.4,11.7,10.8
E02003663,74.8,13.6,11.6
E02003664,71.2,16.9,11.9
E02003665,79.4,9.4,11.2
E02003666,69.7,20.7,9.5
E02003667,79.1,11.6,9.4
E02003668,84.6,6.2,9.1
E02003669,71.2,14.3,14.5
E02003670,79,11.1,9.9
E02003671,74.9,11.4,13.6
E02003672,87.1,4.3,8.6
E02003673,86.4,4.1,9.5
E02003674,88.7,3.5,7.8
E02003675,86.7,5.1,8.2
E02003676,89.3,4,6.7
E02003677,78.5,9.4,12.1
E02003678,83.6,7.7,8.7
E02003679,78.2,10.7,11.1
E02003680,89.4,3.6,7
E02003681,85.2,8,6.8
E02003682,86.9,7.7,5.5
E02003683,85.6,7.7,6.7
E02003685,89.8,5,5.2
E02003696,83.5,4.9,11.6
E02003697,89.1,3.4,7.4
E02003698,90.8,3.7,5.5
E02003699,85.6,3.9,10.5
E02003701,81.4,9.8,8.8
E02003702,87.7,5.6,6.7
E02003703,77.7,15.2,7.1
E02003704,88.5,5.2,6.4
E02003705,75.9,15.8,8.3
E02003706,76,12.9,11.1
E02003707,75.3,15.4,9.4
E02003708,70.9,21.2,7.9
E02003709,73.6,13,13.4
E02003710,72.9,20.8,6.3
E02003711,77.7,12.8,9.5
E02003755,75.7,5,19.3
E02003756,80.8,4.7,14.5
E02003757,81.2,3.3,15.5
E02003758,81.8,4.4,13.8
E02003760,55.7,24.2,20.1
E02003761,72.8,13.4,13.9
E02003762,78.4,10.7,10.9
E02003763,80.6,7.9,11.5
E02003764,68.7,20.3,11
E02003765,78.4,9.8,11.9
E02003766,79,8.9,12.1
