geography_code,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E02000024,11.6,4.8,5.4,73.6,4.6
E02000025,11.2,7.4,6,70.3,5.2
E02000026,12.5,4.1,5.1,69.7,8.5
E02000027,15.7,10.3,6.7,61.1,6.1
E02000028,16.9,6.9,5.4,63.8,7
E02000029,11.8,6.4,7.5,65.6,8.6
E02000030,19,5.2,4.6,65.1,6.1
E02000031,19.7,4,6,62,8.4
E02000032,20.9,3.6,5.5,58.9,11.2
E02000033,15.4,6.5,6.9,62.2,8.9
E02000034,17,5.6,5.7,64.3,7.4
E02000035,22.2,4.5,4.7,59.5,9.1
E02000036,21.5,10.4,4.6,55,8.5
E02000037,23,7.2,3.6,55.7,10.6
E02000277,6.6,24.7,6.9,48.3,13.5
E02000278,7.6,24.1,6.7,47.2,14.4
E02000279,7.4,30.7,7.2,41.1,13.6
E02000280,4.7,9.2,6.1,73.4,6.7
E02000281,9.3,17.2,7.3,53.8,12.4
E02000282,9.1,28.3,5.7,42.3,14.7
E02000283,9.4,23.3,5.9,46.5,15
E02000284,6.8,9.2,6.8,71.6,5.5
E02000285,8.4,7,5.3,73.1,6.2
E02000286,8.3,7,6.2,71.8,6.7
E02000287,15.1,4.5,5.6,63.9,10.9
E02000288,18.8,29.6,4.4,34.1,13.1
E02000289,13.9,5.6,5.8,63.2,11.5
E02000290,14.2,29.6,6.2,34.6,15.4
E02000291,8.2,14.3,7.3,60.8,9.4
E02000292,10.5,15.7,7.2,54.3,12.2
E02000293,10.2,5.1,4.9,72.1,7.7
E02000294,14,28.5,4.3,36.6,16.6
E02000295,14,6.6,6.9,61.6,10.8
E02000296,15.3,6.2,5.6,62.3,10.6
E02000297,12.5,8,5.5,62.3,11.7
E02000298,8.1,3.7,7.1,73.4,7.8
E02000299,12.6,32.1,4.8,34.4,16.1
E02000300,13.3,27.6,5.1,40.6,13.4
E02000301,10.6,33.6,6,35,14.8
E02000302,12.6,11.8,6.1,57.2,12.2
E02000303,14.1,26.6,4.9,40.2,14.2
E02000304,13.8,3.8,8.1,65.4,9
E02000305,8,6.3,5.9,70.8,9
E02000306,11.6,36.7,4.8,30.7,16.2
E02000307,14.6,19.9,4.8,44.2,16.4
E02000433,37.6,5.6,2.9,46.5,7.5
