geography_code,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E02000024,29,32.5,16.5,21.9
E02000025,35.1,29.4,16.1,19.4
E02000026,26,29.5,18.6,25.9
E02000027,27.2,26.2,20.5,26.1
E02000028,28.6,31.5,18.1,21.8
E02000029,26.7,28.2,20.2,24.9
E02000030,21.7,32.5,18,27.8
E02000031,28.1,31.2,17.6,23.1
E02000032,17.8,26.5,21,34.7
E02000033,28,27.7,18.9,25.4
E02000034,27.1,29.8,19,24.1
E02000035,31.6,32,17,19.5
E02000036,23.6,26.1,18.9,31.4
E02000037,20.9,28.9,18.6,31.5
E02000277,20.5,28.1,21.2,30.3
E02000278,24.7,24.4,20.2,30.7
E02000279,24.7,25,21.3,29
E02000280,27.2,28.9,19.5,24.5
E02000281,26.6,26.5,21,25.9
E02000282,24.9,23.3,20.6,31.1
E02000283,17.1,25,20.9,37
E02000284,30.1,30,18.3,21.6
E02000285,20.2,30.7,20.4,28.7
E02000286,36.9,32,15.4,15.8
E02000287,26.8,29.8,18.7,24.7
E02000288,24,21.1,18.9,36.1
E02000289,19.2,29.5,19.6,31.6
E02000290,28.8,25.4,19.3,26.5
E02000291,33.9,30.4,16.4,19.4
E02000292,23.3,25.8,21.5,29.5
E02000293,24.8,32.2,17.1,25.8
E02000294,20.6,23.9,18.9,36.6
E02000295,27.8,27.3,19.3,25.7
E02000296,29.1,27.8,19.2,23.9
E02000297,24.9,29.2,18,27.9
E02000298,23.9,29.3,19.4,27.4
E02000299,25.6,22.4,20.1,31.9
E02000300,25.2,22.9,19.5,32.4
E02000301,27.7,24.2,18.3,29.8
E02000302,24.1,26.9,18.5,30.4
E02000303,29.1,22,17.3,31.7
E02000304,20.9,30.1,19.6,29.4
E02000305,26.8,30.4,19.9,23
E02000306,30.2,23,18.9,27.9
E02000307,19.9,24.6,20.9,34.6
E02000433,31,33.6,15.1,20.3
E02000895,29.4,27.7,16.8,26
E02000898,29.5,28.8,18.2,23.4
E02000899,25.3,26.5,17.7,30.5
E02003258,28.4,32.7,16.4,22.6
E02003259,22.6,33.2,19.4,24.8
E02003260,27.5,23.5,19.9,29.1
E02003261,28.6,30.8,15.8,24.8
E02003262,29.5,24.5,16.9,29.1
E02003263,23.6,27.1,17.2,32.1
E02003264,18.3,28.1,17.6,36
E02003265,30.4,32.1,17.2,20.3
E02003266,28,23.8,17.3,30.9
E02003267,14.1,18.2,13.2,54.5
E02003268,20.3,20.1,16,43.6
E02003269,28.2,29,17.8,25
E02003270,25,26.8,17.2,31
E02003271,23.7,33.7,19.2,23.4
E02003272,16.3,16.5,13.3,53.9
E02003273,24.6,27.2,17.5,30.7
E02003274,26,16.8,14.4,42.8
E02003276,22.9,19.3,16.6,41.2
E02003277,25.9,22.2,18.5,33.4
E02003278,34.6,26.9,16.3,22.2
E02003459,28.2,37.9,15.3,18.6
E02003460,23.9,39.7,16.6,19.8
E02003461,24.6,37,16.4,22
E02003462,29.3,35.5,16.5,18.7
E02003463,25.1,36.9,16.7,21.3
E02003464,25.4,29.4,17.8,27.4
E02003465,31.4,37.1,15.8,15.7
E02003466,26.6,34.4,16.3,22.7
E02003467,30.1,30.4,15.9,23.7
E02003468,31.8,35.5,15.1,17.6
E02003469,26.9,37.6,16.9,18.6
