geography_code,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E00044139,65.1,20.6,14.3
E00044140,79.2,15.2,5.5
E00044141,76.4,13,10.5
E00044142,81.6,12.3,6.1
E00044143,79.5,16.9,3.6
E00044144,63.6,22.9,13.4
E00044145,70.3,22.7,7
E00044146,72.5,18.9,8.7
E00044147,62.3,21.8,15.9
E00044148,78.1,12.9,9.1
E00044149,70.3,20.8,8.9
E00044150,68.6,18.2,13.2
E00044151,79.7,11.8,8.6
E00044152,78.2,15.7,6.1
E00044153,81.8,11,7.2
E00044154,72.3,16.1,11.6
E00044155,61.9,23.2,14.9
E00044156,77.4,14.3,8.2
E00044157,76.5,14,9.6
E00044158,79.8,14.6,5.7
E00044159,77.3,14.7,8
E00044160,80,12.5,7.5
E00044161,80.2,15.2,4.6
E00044162,73.8,17.3,8.8
E00044163,60.4,25.2,14.4
E00044164,65.6,23.8,10.6
E00044165,88.4,8.6,3
E00044166,60.3,23.1,16.6
E00044168,54.9,22.9,22.2
E00044169,72,15.7,12.3
E00044170,77.9,14.6,7.5
E00044171,68.4,20.5,11
E00044172,77.4,16.3,6.3
E00044173,84.8,11.3,3.9
E00044174,68.6,17.8,13.6
E00044175,78.6,13.5,7.9
E00044177,81.6,12,6.4
E00044185,83,10.5,6.6
E00044189,77.2,16.5,6.3
E00044191,87.9,8.8,3.3
E00044197,74.5,14.5,11.1
E00044200,80.5,10.4,9.2
E00044203,72.2,16.9,11
E00044317,76.7,13.5,9.7
E00044318,67.7,24.6,7.8
E00044319,77.4,14.2,8.4
E00044320,79.9,14.1,6
E00044321,75.9,12.9,11.2
E00044322,81.5,15.2,3.3
E00044323,65.2,21.5,13.3
E00044324,70.9,20.8,8.3
E00044325,79.6,12.4,8.1
E00044327,74.7,15.1,10.2
E00044328,79.6,15.4,5
E00044329,77.4,13.6,9
E00044330,61,25.3,13.7
E00044331,76.1,15,8.9
E00044332,75.6,13.5,10.9
E00044333,82.5,8.8,8.8
E00044336,69.4,20.3,10.3
E00044337,69.9,17.3,12.9
E00044338,74.7,17.6,7.7
E00044339,75.6,15.1,9.3
E00044340,73.2,15.6,11.2
E00044341,73.4,15.4,11.2
E00044342,72.6,17.5,9.9
E00044343,66.1,23.1,10.8
E00044344,71.7,13.3,15
E00044345,66.5,22.5,11
E00044346,72.3,16.2,11.5
E00044347,72.6,20.9,6.5
E00044348,62.2,23.5,14.3
E00044349,70,17.7,12.3
E00044463,71.7,18.9,9.4
