geography_code,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E02002985,28,36.8,16.2,18.9
E02002986,31.8,35.4,15.3,17.5
E02002987,27.5,38.4,14.1,20.1
E02002988,32.5,34.2,15.5,17.8
E02002989,30.2,33,16.3,20.5
E02002990,35.3,36.7,14.5,13.4
E02002991,42.5,38.1,9.2,10.2
E02002992,31.4,32.7,14.6,21.3
E02002993,38.5,37.3,11.2,13
E02002994,27.1,37.1,15,20.8
E02002995,33.5,29.9,17.2,19.4
E02002996,28.4,37.9,13.6,20.2
E02002997,28.6,33.8,14,23.7
E02002998,27.5,29.4,15.1,28
E02002999,29.2,33,16,21.8
E02003000,25.4,40.1,15.3,19.2
E02003001,25.3,36.2,14.6,23.9
E02003002,30.8,31.7,16.3,21.2
E02003003,26.1,33.1,17.9,22.9
E02003004,20.3,38.7,17.6,23.4
E02003005,21.2,39.2,15.8,23.8
E02003006,25.7,35.1,18,21.2
E02003007,26,36.5,16.3,21.2
E02003008,26.9,34.5,18.4,20.3
E02003009,28.5,36.6,16.1,18.8
E02003010,24.1,35.8,17.2,22.9
E02003011,26,36.8,16.1,21.2
E02003012,29.8,32.8,17.4,20
E02003013,28.4,26.8,17.6,27.2
E02003014,28.4,28.6,19.6,23.5
E02003015,26,32.5,19.6,21.9
E02003016,25.6,30.9,17.4,26.1
E02003017,33.8,33.1,14.2,18.9
E02003018,25.6,33.3,18,23
E02003019,29.9,32.9,16.7,20.5
E02003020,26.5,34.4,13.4,25.8
E02003021,23,30,16.8,30.1
E02003022,22.5,35.2,14.7,27.5
E02003023,32.5,32.4,14.5,20.6
E02003024,30.8,31.3,15.9,22.1
E02003025,27.9,28.1,17.3,26.7
E02003026,26.6,39.1,14.4,19.9
E02003027,25.3,31.2,15.9,27.5
E02003028,26.9,32.5,15.1,25.6
E02003029,26.5,28.5,17.6,27.4
E02003030,33.3,29.6,15.3,21.8
E02003031,26.5,34.4,14.3,24.8
E02003032,29.2,30.4,16.9,23.5
E02003033,29.5,36.2,13.1,21.2
E02003036,35.9,39,11,14.1
E02003037,33.2,38.5,12.3,15.9
E02003038,30.5,32.4,18.2,18.9
E02003039,33.1,32.3,15.9,18.6
E02003040,35.4,36.9,15.6,12
E02003041,36.3,40.5,12.7,10.5
E02003044,27.5,38.4,16.6,17.5
E02003045,37.1,38.6,11.5,12.7
E02003046,29.4,36.7,17,16.9
E02003047,29.1,35,15.9,19.9
E02003048,32.3,39.5,13.7,14.5
E02003049,27.6,34.6,18.3,19.6
E02003050,35.6,40.6,13.2,10.6
E02003051,23.8,34.5,18.2,23.5
E02003052,25.3,36.3,19,19.4
E02003053,26.9,32,16.6,24.5
E02003054,27.8,34.3,17,20.9
E02003055,22.9,28.3,19,29.8
E02003056,26.1,28.5,17.7,27.6
E02003057,25.7,35.7,17.2,21.5
E02003058,28.3,33.3,18,20.4
E02003059,31,33.8,15.3,20
E02003060,30.5,33.1,16.3,20.1
E02003061,26.8,31.7,18.8,22.8
E02003062,30.8,27.1,18.5,23.7
E02003063,23.4,38.4,16.3,22
E02003064,31.4,27.1,17.8,23.7
E02003065,35.6,36.1,13.1,15.2
E02003066,23.7,42.7,14.7,18.9
E02003067,29.9,32.3,16.1,21.6
E02003068,26.5,39.3,16,18.2
E02003070,24.1,37.1,15,23.8
E02003072,33.3,38.2,12.4,16.1
E02003073,23.6,41,16.1,19.3
E02003075,21,35.7,16.8,26.4
E02003077,24.6,38.7,14.6,22.1
E02003088,26.7,39.9,13.6,19.8
E02003090,24.9,37.7,16.1,21.2
E02003091,28.4,37.4,15.8,18.4
E02003092,20.3,38.7,18,23
E02003093,24.4,41.7,14.5,19.4
E02003094,23.9,37.2,16.8,22.1
E02003095,22.1,39.4,16.9,21.7
E02003096,29.8,34.8,17.8,17.7
E02003097,30.1,39.5,13.3,17.2
E02003098,25.1,33.3,18.7,22.9
E02003099,27.4,36.2,16.1,20.3
E02003101,25,34.3,18.2,22.5
E02003102,20.1,39.1,16.3,24.4
E02003103,22.5,34.7,19.9,22.9
E02003104,27.2,35.7,17,20
E02003105,25.9,36.1,17.1,20.9
E02003107,30.3,30.1,16.1,23.5
E02003108,24.3,38,17.1,20.6
E02003109,21.7,35,17.7,25.5
E02003110,19.3,35.9,19.1,25.7
