geography_code,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E02002985,1.5,0.8,2.6,94.8,0.3
E02002986,1.8,0.7,2.6,94.6,0.4
E02002987,1.7,0.4,1.5,96,0.5
E02002988,2.2,1.2,3.9,91.7,1
E02002989,7,1.3,3.5,86.9,1.3
E02002990,3.4,1.7,3.9,89.8,1.2
E02002991,7.3,1.5,3.6,86,1.6
E02002992,5.2,1.7,3.3,89.3,0.6
E02002993,7.4,1.8,4.3,84.5,2
E02002994,2,0.8,2.5,94.1,0.7
E02002995,3.3,2.6,4.3,88.6,1.2
E02002996,8,1.3,4.2,85,1.5
E02002997,6.2,1.3,4.1,86.4,1.9
E02002998,4.6,1.5,3.7,89.1,1.2
E02002999,3.9,1,2.6,91.6,0.9
E02003000,1.1,0.3,1.2,97,0.4
E02003001,1.8,1,3.1,93.3,0.9
E02003002,4.2,0.9,3.9,89.9,1.2
E02003003,5.8,1.9,3.2,87.2,1.9
E02003004,1.2,0.2,1.6,96.7,0.3
E02003005,0.6,0.2,0.9,98.2,0.1
E02003006,1.6,0.8,2.1,95,0.4
E02003007,0.9,0.2,1.3,97.6,0.1
E02003008,0.8,0.6,2,96.4,0.1
E02003009,1.2,0.2,1.3,97.1,0.2
E02003010,1.4,0.4,1.5,96.5,0.2
E02003011,1,0.2,1.2,97.4,0.2
E02003012,6.2,5.5,4.7,81.6,1.9
E02003013,10.5,7.2,4.1,76.1,2.1
E02003014,1.9,4.1,3.7,88.8,1.5
E02003015,8.6,5.3,4.4,79.9,1.8
E02003016,9.5,10.9,5.6,71.6,2.4
E02003017,3.6,1.8,3.9,89.2,1.4
E02003018,3.9,3.1,3.8,88.2,1.1
E02003019,3.1,1.4,2.6,91.6,1.3
E02003020,5.5,0.9,2.7,89.4,1.7
E02003021,5.4,2.8,4.4,86,1.4
E02003022,3.9,1,3.6,90.3,1.2
E02003023,12.5,5.5,4.9,75.1,2
E02003024,10.4,8,5.5,73.6,2.5
E02003025,13.2,12.6,5.6,66.5,2.1
E02003026,6.6,1,3.6,87.2,1.5
E02003027,3.7,2.5,4.7,87.7,1.4
E02003028,4.4,1.3,4.3,88.7,1.3
E02003029,13,9.2,5,70.4,2.4
E02003030,14.4,9.3,6.4,66.4,3.3
E02003031,3.3,2,5,88.4,1.3
E02003032,12.8,9.8,5.8,69.1,2.5
E02003033,5.1,1.4,5.2,86.9,1.4
E02003036,10.5,5.3,5.6,75.4,3.2
E02003037,6.6,1.4,4.4,85.3,2.3
E02003038,5.4,5.5,4.3,82.9,1.8
E02003039,7.7,8,5.7,76.7,1.9
E02003040,4.1,5.7,5.7,82.3,2.3
E02003041,5.1,1.2,4.1,88,1.7
E02003044,3.4,3.3,3.9,88.4,0.9
E02003045,5.6,3.3,5.2,84.1,1.7
E02003046,3.2,3.7,5.1,86.8,1.1
E02003047,2.3,2,3.6,91.2,1
E02003048,5.7,2.7,4.6,85.6,1.5
E02003049,3.3,2.5,3.8,89.6,0.9
E02003050,4.6,3.3,4,86.3,1.9
E02003051,5,4.7,4.7,83.4,2.1
E02003052,1.9,1.1,2.9,93.6,0.5
E02003053,5.4,2,3.8,87.7,1
E02003054,4.1,2.1,3.6,89.2,1
E02003055,4.1,4.6,4.4,85.8,1.1
E02003056,4,4.5,3.2,87.2,1.1
E02003057,1.9,1.5,2.8,93.1,0.8
E02003058,3.5,2.3,2.7,90.5,1
E02003059,2.3,1.6,2.7,92.8,0.7
E02003060,2.6,1.6,2.4,92.8,0.6
E02003061,1,2.6,3.4,92.5,0.4
E02003062,2.7,1.7,3.1,92.2,0.4
E02003063,1.7,0.6,1.5,95.7,0.6
E02003064,1.7,2.4,3.3,91.8,0.7
E02003065,1.8,0.5,2.1,94.6,0.9
E02003066,0.9,0.2,1.1,97.4,0.3
E02003067,1.6,0.3,2.2,95.4,0.5
E02003068,1,0.5,2.3,95.8,0.4
E02003070,1.8,0.4,2.2,95.1,0.5
E02003072,1.2,0.4,1.5,96.4,0.5
E02003073,1.2,0.4,1.6,96.6,0.3
E02003075,1.4,0.4,1.8,96.1,0.3
E02003077,0.6,0.4,1.3,97.6,0.1
E02003088,0.9,0.3,1.7,96.7,0.4
E02003090,1.4,0.7,2.1,95.3,0.5
E02003091,0.9,0.3,1.5,97,0.3
E02003092,0.9,0.6,1.3,97,0.2
E02003093,1.1,0.2,1.2,97.3,0.2
E02003094,2.6,1.5,2,92.8,1
E02003095,1.8,1,1.8,94.8,0.7
E02003096,1.7,0.6,2,95,0.6
E02003097,1.1,0.2,1.4,97,0.3
E02003098,11.2,2.4,3.2,81.2,2
E02003099,2,0.5,1.8,95.2,0.5
E02003101,11.3,2.4,3,81.5,1.9
E02003102,1,0.7,1.8,96.2,0.4
E02003103,1.5,0.4,1.9,95.8,0.4
E02003104,4.5,1.5,2.3,90.3,1.4
E02003105,2.2,0.6,2.1,94.3,0.8
E02003107,8.7,3.2,4.5,81.8,1.8
E02003108,3.4,2.1,3,90.8,0.8
E02003109,3.6,0.8,2.1,92.8,0.7
E02003110,4.5,2.2,2.9,89.3,1
E02003111,3.8,2.1,2.1,91,1
E02003112,3,1,3,91.9,1
E02003113,0.8,0.4,1.1,97.4,0.3
E02003114,2,2,2.2,93.1,0.7
E02003115,4.1,2.9,3.6,88.2,1.3
E02003116,2.2,2.1,3.1,91.8,0.8
E02003117,3.1,2.1,3.4,90.8,0.7
E02003118,1.7,0.9,2.3,94.7,0.3
E02003119,1.4,0.8,2,95.5,0.3
E02003120,1.9,0.8,2.1,94.9,0.4
E02003121,1.1,0.4,1.4,96.6,0.5
E02003172,1.9,0.9,2.6,93.6,1
E02003173,1.8,0.8,1.9,95.1,0.5
E02003174,2.4,0.8,2,93.8,1
E02003175,6.7,0.9,2.5,88.2,1.7
E02003176,2,0.9,2.7,93,1.4
E02003177,4.1,0.9,3,90.2,1.8
E02003178,3.1,1.2,3.4,91.1,1.2
E02003179,6.1,1.7,3.7,85.8,2.7
E02003180,5.5,2.1,4.6,85.4,2.3
E02003181,5.5,0.9,4.4,86,3.2
E02003182,5.4,1.6,2.8,88.6,1.7
E02003183,4.2,1.5,3.7,87.7,2.9
E02003194,1.3,0.6,1.1,96.8,0.2
E02003195,2.1,0.8,1.7,94.5,0.9
E02003196,2.3,0.2,1.4,95.7,0.4
E02003197,1.6,0.5,1.3,96,0.6
E02003198,2.5,0.5,1.7,94.8,0.5
E02003199,1.8,0.6,1,96.2,0.4
E02003200,2.7,0.8,2.4,93,1.1
E02003201,3.7,0.8,2.3,92.1,1.1
E02003214,3.3,1.6,3,91.3,0.8
E02003215,3.6,1.3,1.5,93,0.6
E02003216,4.5,1.5,2.5,90.1,1.3
E02003217,5,3.4,2.8,87.9,0.9
E02003218,6.3,2.5,3,87.3,0.9
