geography_code,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E02002985,14.9,40.5,5.7,36.2,2.8
E02002986,14.9,42.7,6.4,33.7,2.2
E02002987,11.8,39.5,5.9,40.2,2.7
E02002988,11.1,30.7,4.6,51.7,1.9
E02002989,11.6,32.8,4.7,47.9,3
E02002990,8,30.8,3.1,56.1,1.9
E02002991,6.5,31.6,1.9,57.8,2.2
E02002992,10.4,32.3,3.5,52,1.8
E02002993,6.8,40,2.7,48.3,2.2
E02002994,9.3,31.6,3.6,53.6,1.9
E02002995,22.5,44.6,5.5,24.6,2.9
E02002996,4.2,50.6,1.6,41.6,1.9
E02002997,7.1,52.2,2.4,36.7,1.6
E02002998,10.4,51.1,3.6,32.9,2.1
E02002999,19.4,42.3,6.5,29.9,1.9
E02003000,14.2,37.6,5.4,40.7,2
E02003001,7.6,29.9,3.1,58.1,1.3
E02003002,10.9,36.4,3.3,47.6,1.8
E02003003,14.2,42.1,5.4,35.6,2.7
E02003004,14.3,42.4,6.3,34.6,2.4
E02003005,11.1,36.2,4.4,46.2,2.2
E02003006,13.5,49.6,5.4,29.3,2.1
E02003007,17.7,44.1,7.1,28.8,2.3
E02003008,16.9,47.5,7.3,26.1,2.2
E02003009,17.2,45.7,7.8,27.1,2.3
E02003010,19,49.8,7.4,21.5,2.4
E02003011,19.9,46.2,7.9,23,3
E02003012,19.4,40.6,5.6,31.5,2.9
E02003013,22.6,40.5,5,29,2.9
E02003014,26.4,44.1,5.3,20.9,3.1
E02003015,13.6,34.5,4.2,45.3,2.5
E02003016,16.7,39.3,3.9,37.8,2.2
E02003017,11.6,27.1,3.3,55.7,2.3
E02003018,16.9,36.9,5.5,37.9,2.7
E02003019,23.6,42.2,6.2,24.9,3.1
E02003020,7.6,27.2,3.2,59.7,2.4
E02003021,8.3,36.2,2.3,51.7,1.6
E02003022,6.1,24.7,2.4,65.5,1.3
E02003023,15.1,41.2,4.5,36.6,2.6
E02003024,16.3,39.3,4.9,37,2.5
E02003025,19.7,37.5,4.4,35.6,2.7
E02003026,5.3,45,2,46.2,1.5
E02003027,5,28.9,1.7,63.4,1
E02003028,5.3,25.3,1.9,66,1.4
E02003029,21.3,43.5,4.6,27.7,2.9
E02003030,15,36.7,3.8,42.6,1.9
E02003031,3.7,30.3,1.2,64.2,0.6
E02003032,18.9,39,5.2,34.5,2.4
E02003033,2.4,42.1,0.9,53.6,1.1
E02003036,4.2,35.3,1.1,57.9,1.4
E02003037,2.6,34.6,1.1,60.8,0.8
E02003038,18.4,41.5,6,31.7,2.4
E02003039,19.5,36.3,5.3,35.7,3.2
E02003040,14,29.5,3.7,50.7,2.1
E02003041,3.4,28.4,1.2,65.4,1.5
E02003044,16.2,41.1,7.6,32.7,2.4
E02003045,4.3,39.3,1.2,54.1,1.2
E02003046,14,36.4,4.5,42.9,2.2
E02003047,9.8,25.6,3.2,60.4,1.1
E02003048,8.9,27.2,2.5,60,1.4
E02003049,18.7,39.6,6,33,2.7
E02003050,13.9,29.7,3.4,50.9,2.1
E02003051,13.6,29.7,3.3,51.4,2
E02003052,14,33.9,4.6,45.5,2
E02003053,15.6,34.5,3.9,43.7,2.3
E02003054,15.7,41.2,5.5,35.3,2.3
E02003055,27.4,40.2,5,24.7,2.6
E02003056,30.4,40.3,5.9,20.1,3.3
E02003057,20,42.5,7.2,27.9,2.4
E02003058,21.7,46.8,7.3,21.4,2.8
E02003059,20.8,44,6.8,25.5,2.8
E02003060,21.7,46.1,7.4,21.8,2.9
E02003061,27.3,44.6,6.7,18.6,2.7
E02003062,29.4,45.3,6.1,15.9,3.3
E02003063,20.6,47.4,8.3,21.3,2.4
E02003064,31.7,44.9,5.3,14.8,3.3
E02003065,13.2,38.7,5.4,40.4,2.3
E02003066,10.4,38.4,5.6,43.8,1.7
E02003067,11.9,43,5.5,37,2.5
E02003068,14.4,37.4,5.7,40.5,2.1
E02003070,10.4,35.1,4.3,48.1,2.1
E02003072,14.7,44.2,6.4,31.5,3.2
E02003073,9.7,41.8,4.9,41.4,2.2
E02003075,9.5,36,4,48.5,2.1
E02003077,14,37.8,6.2,39.2,2.9
E02003088,12.8,38.4,5.5,40.9,2.4
E02003090,10.4,39.5,5.2,42.7,2.2
E02003091,13.9,41.1,5.6,36.4,2.9
E02003092,12.6,43.9,5.7,35.9,1.9
E02003093,11.4,38.3,5.8,42.1,2.3
E02003094,15.3,41.5,6.1,34.7,2.3
E02003095,12.5,47.9,6.6,30.7,2.3
E02003096,18.5,48.9,6.9,23.2,2.5
E02003097,14.4,42.1,6.6,33.8,3.1
E02003098,8.6,40.9,4.6,43.6,2.4
E02003099,19.3,47.7,7.8,22,3.2
E02003101,9.4,41,4.8,42.4,2.5
E02003102,12.7,41.1,6.6,37.3,2.2
E02003103,15,54,7.5,21,2.5
E02003104,13.8,43.8,6.5,33.1,2.7
E02003105,15.4,39.4,7.1,35.3,2.8
E02003107,14.1,43.4,5.9,33.8,2.8
E02003108,14.5,43.2,6.7,33.3,2.3
E02003109,11.9,43.3,6.6,36,2.3
E02003110,9.6,44,5.1,39.6,1.7
E02003111,14.4,38.8,6.2,38.2,2.3
E02003112,19,44.7,7.7,26.2,2.4
E02003113,13.6,39.9,5.7,38.8,1.9
E02003114,17.3,44,8,27.6,3.1
E02003115,19.4,43.9,6.9,27.1,2.7
E02003116,21.5,46,7.8,21.5,3.2
E02003117,17.6,45.3,7,27.3,2.8
E02003118,16.2,48.2,7.5,26.1,2
E02003119,17.9,47.9,7.8,24.3,2.1
E02003120,15.1,45.3,8.3,28.9,2.4
E02003121,15.3,46,8.9,27.5,2.3
E02003172,22.4,45.6,7.3,21.5,3.2
E02003173,24.2,43.8,8.8,20.1,3.2
E02003174,17.6,45.3,8.1,25.8,3.2
E02003175,14.7,47.1,6,29.4,2.8
E02003176,26.3,45.9,6,18.9,3
E02003177,13.5,46.4,6.2,31.9,2.1
E02003178,18.7,47.7,6.7,23.9,3
E02003179,20.6,42.3,6.4,27.3,3.5
E02003180,11.5,52.5,4.6,29.5,2
E02003181,11.7,43.4,5.1,37.4,2.4
E02003182,10.8,40.7,5.2,40.9,2.3
E02003183,10.2,43.3,4.1,40.3,2.1
E02003194,12.1,43,6.7,35.6,2.6
E02003195,17.2,47.7,6.6,25.8,2.7
E02003196,12.9,41,6.4,37.2,2.5
E02003197,16.9,47.8,6.3,25.9,3.1
E02003198,15.3,50.6,7.7,23.7,2.8
E02003199,19.8,45.9,7.1,24.5,2.7
E02003200,22.9,44.6,7.5,22.1,2.9
E02003201,20.3,44.7,7.1,24.7,3.2
E02003214,26.8,50.4,5.7,14.1,3
E02003215,19.6,46,8.7,23,2.7
E02003216,20.4,47.3,7.2,21.8,3.3
E02003217,21.9,47.5,6.3,21.2,3
E02003218,27.1,46.3,5.6,17.5,3.4
E02003219,10.2,44.2,4.9,38.8,1.9
E02003220,17.7,48,7.5,23.7,3.1
E02003221,24.3,44.4,6.2,20.2,4.9
E02003222,9.8,49.7,5,33.1,2.4
E02003223,17.1,43.9,6.3,28.9,3.7
E02003224,18.7,47.6,7.9,22.5,3.3
E02003225,13.6,46.3,6,30.9,3.1
E02003226,21.1,40.5,5,24.7,8.7
E02003227,27.3,47.4,4.7,16.2,4.5
E02003228,17.2,43.4,6.1,29.2,4.1
E02003229,13.7,49.2,5.2,29.1,2.8
E02003230,15.8,36.9,4.9,37.5,4.9
E02003231,28.5,45.4,5.1,17,3.9
E02003232,12,40,5,40.7,2.3
E02003233,22.2,47.2,5.6,21,4.1
E02003234,20.2,48,6.4,22.1,3.4
E02003235,11.6,40.6,5,40.2,2.6
E02003236,15.4,43,6.3,32.8,2.5
E02003368,16.8,42.7,6.7,31.6,2.2
E02003376,17,42,5.6,32.3,3.1
E02003384,12.9,38.6,4.6,41.9,2
E02003550,20,43.3,6.9,27.5,2.5
E02003552,28.2,41.2,5.9,21.1,3.6
E02003554,15.8,33.2,5.1,42.7,3.2
E02003555,22,44.2,6.3,25,2.4
E02003558,20.6,37.8,5.2,33,3.2
E02003559,11.2,34.6,4.4,46.9,2.9
E02003560,26.3,46.6,7.2,16.6,3.3
E02003563,20.3,38.4,6.3,31.4,3.6
E02003567,21.6,44.5,5.8,24.7,3.4
E02003568,10.2,34.5,3.9,48.3,3.1
E02003569,16.8,37.4,5.8,36.7,3.2
E02003571,10.2,44.3,2.7,39.6,3.1
E02004236,17.3,44.2,7.7,27.2,3.5
E02004237,15.1,44.5,6.3,31.4,2.7
E02004238,17.6,39.1,7.4,32.1,3.8
E02004239,15.1,43.5,7.3,31.1,3
E02004240,23,48.5,6.5,20,2.1
E02004241,16.4,42.6,6.2,31.6,3.1
E02004243,14.2,43.4,6,33.6,2.8
E02004244,13.7,46.9,7.8,28.7,2.9
E02004245,14.8,45.4,6.7,30.3,2.8
E02004246,16.4,39.2,7.2,34,3.2
E02004247,13,41.9,6.6,36.4,2
E02004248,21,41,8.3,25.6,4.1
E02004249,10.1,40.5,5.3,41.8,2.2
E02004250,20,41.7,8.7,25.6,4
E02004251,17.6,43.6,8.2,27.8,2.8
E02004252,15.5,40.9,6.2,34.8,2.5
E02004253,15.7,42.4,7.5,31.1,3.3
E02004254,11.8,46.8,7.4,31.5,2.4
E02004255,20.2,45.2,6.9,24.8,3
E02004256,14.1,44.7,6,32.7,2.6
E02004257,15.7,46.6,7.2,28.2,2.3
E02004258,18.4,42,6.9,29.4,3.3
E02004259,12.6,41.6,5.8,37.3,2.7
E02004260,13.4,45.4,6.7,31.9,2.6
E02004261,17.5,45,6.7,27.8,3
E02004262,15.1,42.5,5.7,34,2.7
E02004263,15.5,41.7,6.2,33.7,2.9
E02004264,17.9,47.2,7.8,24,3.1
E02004269,15.4,40.6,5.8,35.5,2.7
E02004270,13.3,40.3,6.1,38,2.2
E02004271,14.3,41.6,6.4,35.3,2.3
E02004272,13.1,39.8,5.7,38.6,2.7
E02004274,17.7,41.4,7.6,30.4,2.8
E02004779,15.4,40.6,6.1,35.3,2.6
E02004780,19.7,48.4,8.2,20.9,2.9
E02004781,13.8,49.4,6.8,27.6,2.4
E02004782,19.8,45.7,7.9,23.6,3
E02004783,13.9,47.6,7.7,28.5,2.3
E02004784,15.9,39.2,7.7,34.2,3
E02004785,14.1,37.9,5.8,39.8,2.5
E02004786,13.7,46.6,6.5,30.6,2.7
E02004787,14.6,43,7.5,31.4,3.5
E02004788,14,41.1,6.1,36.4,2.4
E02004790,18.7,42.5,6.6,29.3,2.8
E02004793,11.3,35.9,5,45.1,2.7
E02004794,12.9,40.3,5.5,38.7,2.6
E02004795,13.4,36.9,5.1,41.6,2.9
E02004796,16.9,42.3,7.9,29.7,3.1
E02004797,16.2,44.1,7.1,30.1,2.7
E02004798,19.8,46.5,7,24,2.7
E02004799,20.1,43.2,8,25.4,3.2
E02004800,17.7,38,8,31,5.4
E02004814,12.2,45.8,5.1,34.3,2.6
E02004815,21.1,50.9,5.9,18.3,3.8
E02004817,19,46.3,6,25.3,3.5
E02004818,14.3,43.4,6.3,33.3,2.7
E02004819,15.9,44.5,6.4,30.5,2.7
E02004820,12.7,43,5.2,36.6,2.5
E02004821,10.1,38.5,4.6,44.7,2.1
E02004822,12.5,37.1,4.1,44,2.2
E02004823,13.2,38.5,6.4,39.3,2.5
E02004824,18.8,37.1,5.3,35.8,3
E02004825,14.9,39.3,6.3,36.6,2.8
E02004826,12,37.3,4.8,44,1.9
E02004828,13.2,41.5,5.5,37.2,2.6
E02005988,12.3,44.8,6.4,34.2,2.4
E02005991,13.5,39.3,5.3,39.2,2.7
E02006047,12.8,38,4.8,42.4,2
E02006048,17.1,44.4,6.6,29.4,2.6
E02006049,15,43.6,7.1,31.6,2.7
E02006050,17,39.2,4.8,36.8,2.1
E02006051,13.8,39.2,4.9,39.5,2.6
E02006052,14.2,40.2,5.9,37.4,2.2
E02006053,16.6,42.5,5.8,32.8,2.3
E02006054,14.7,40.3,5.7,37.3,2.1
E02006055,20.2,44.9,6.7,25.7,2.6
E02006056,17,41.3,5.7,33.7,2.4
E02006057,16.8,41.6,5.3,33.7,2.5
E02006058,16.6,46.7,6.4,27.7,2.6
E02006059,13.1,39.1,4.5,41.2,2
E02006060,20.6,44.2,5.7,26.5,3.1
E02006061,14.1,41.3,5.6,36.8,2.2
E02006075,13.4,41,4.9,38.9,1.8
E02006076,15.4,40,5.5,36.4,2.7
E02006077,16.5,43.9,6.2,30.8,2.6
E02006079,16.3,44.9,6.7,28.9,3.2
E02006080,11.5,45.2,7.4,33.9,2
E02006082,15.7,43.5,7.2,30.9,2.7
E02006083,16.8,42.7,7.8,29.6,3
E02006085,15.2,46.9,8.7,26.3,3
E02006086,13.5,47.3,7.4,29.3,2.6
E02006087,18.4,46.8,7.9,24,3
E02006088,20.6,44.7,7.4,23.6,3.7
E02006089,20.3,42.4,7.1,26.5,3.6
E02006090,16.4,45.9,8.4,27,2.3
E02006091,16.1,41.4,7.6,32.5,2.4
E02006092,12.6,46.5,9.2,29.2,2.5
E02006094,14.3,42.4,7.9,32.6,2.9
E02006095,19.6,43.7,8.2,25.4,3.1
E02006634,12.9,38.2,4.6,42,2.4
E02006635,14.7,40.9,4.4,37.5,2.5
E02006636,13.6,39.2,5.4,39.6,2.2
E02006637,15.1,47.4,6.3,28.7,2.5
E02006638,19.2,41.6,6.5,29.7,3
E02006639,15.2,43.3,6.3,32.9,2.3
E02006640,13.2,39.4,4.3,40.8,2.2
E02006641,12.4,43.8,5.5,35.9,2.4
E02006642,13.7,42.3,5.5,36.7,1.9
E02006645,12.2,38.7,4.3,43,1.8
E02006646,13.1,43.8,6.2,34.6,2.4
E02006647,11.5,38.6,4.7,43.4,1.8
E02006648,11.5,38.3,4,43.9,2.3
E02006649,16.6,46,5.4,29.3,2.7
E02006650,12.8,47.4,7.5,29.9,2.3
E02006651,10.7,36.8,5.5,45.4,1.6
E02006652,12.4,43.6,4.3,37.9,1.9
E02006653,13.8,46.7,5.4,31.9,2.3
E02006654,17.6,42.5,4.8,32.4,2.7
E02006655,11.7,41.7,4.8,39.4,2.4
E02006656,9.3,48.7,5.1,34.4,2.6
E02006657,17.6,49.3,5,25.9,2.2
E02006658,14,46.5,5.6,30.9,3.1
E02006659,10.9,38.3,4.8,43.9,2.1
E02006660,14.2,39.9,5.4,38.2,2.4
E02006661,9.5,48.4,8.6,31.5,1.9
E02006662,15.4,49,6,26.6,3
E02006663,16.6,48.3,5.1,27.6,2.5
E02006664,13.8,41.1,5.3,37.4,2.4
E02006665,15.5,42.2,5.5,34.1,2.7
E02006666,12.7,41.3,5.1,38.7,2.1
E02006667,19.6,48.6,5,24.7,2.1
E02006668,14.9,41,5,36.7,2.3
E02006669,14.3,40.7,4.7,37.7,2.6
E02006670,15.6,38.6,5.6,36.9,3.3
E02006671,13.6,34.8,4.6,44.3,2.6
E02006672,11.5,40.7,5.1,40.6,2.2
E02006673,15.7,37.1,4.2,39.6,3.4
E02006674,13.4,39.4,4.4,40,2.9
E02006675,10.9,39.7,4.9,42.3,2.2
E02006676,13.6,38.3,5.1,40.8,2.3
E02006677,14.3,37.5,5.5,39.9,2.8
E02006678,18.6,49.8,7,22.1,2.5
E02006679,13.2,45.9,6.1,32.6,2.2
E02006680,20.1,47.6,6.5,22.9,2.9
E02006681,10.8,33.8,4.1,49.3,2.1
E02006682,11.2,32.9,4.1,49,2.8
E02006683,13.3,45,5.7,33.8,2.2
E02006684,19.5,44.4,6.2,26.8,3.2
E02006685,14.9,45.8,5.5,31.4,2.3
