geography_code,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E02002985,5.2,28,66.8
E02002986,3.4,31.8,64.8
E02002987,3.5,27.5,69
E02002988,5.5,32.4,62
E02002989,7.1,30.2,62.7
E02002990,8.8,35.3,55.9
E02002991,10,42.5,47.5
E02002992,7.7,31.4,60.9
E02002993,14.9,38.5,46.6
E02002994,5.3,27.1,67.6
E02002995,10.6,33.6,55.8
E02002996,15.3,28.4,56.3
E02002997,24.7,28.6,46.8
E02002998,22.7,27.5,49.8
E02002999,10.7,29.2,60.1
E02003000,4.3,25.4,70.3
E02003001,7.3,25.3,67.4
E02003002,8.2,30.8,61
E02003003,10.9,26.1,63
E02003004,5.7,20.3,74
E02003005,6.3,21.2,72.5
E02003006,6.7,25.7,67.6
E02003007,4.3,26,69.7
E02003008,5.2,26.9,67.9
E02003009,4,28.5,67.5
E02003010,4.2,24.1,71.8
E02003011,4.2,26,69.8
E02003012,7.7,29.8,62.5
E02003013,11.6,28.4,60
E02003014,8.5,28.4,63.1
E02003015,13,26,61
E02003016,19.4,25.6,55
E02003017,5.4,33.8,60.9
E02003018,6.4,25.6,68
E02003019,8.4,30,61.6
E02003020,3.5,26.5,70
E02003021,20.7,23,56.3
E02003022,4.5,22.5,73
E02003023,10.7,32.5,56.8
E02003024,12.6,30.8,56.6
E02003025,14,28,58
E02003026,5.6,26.6,67.8
E02003027,16.4,25.3,58.3
E02003028,11.9,26.9,61.2
E02003029,10.7,26.4,62.9
E02003030,12.9,33.3,53.8
E02003031,18.2,26.5,55.3
E02003032,11.4,29.2,59.3
E02003033,26.2,29.5,44.3
E02003036,19.4,36,44.6
E02003037,23.8,33.2,43
E02003038,9.1,30.5,60.4
E02003039,9.4,33.2,57.4
E02003040,13.1,35.4,51.5
E02003041,16.3,36.3,47.4
E02003044,7.5,27.5,65
E02003045,17.1,37.2,45.8
E02003046,8.6,29.4,62
E02003047,15,29.1,55.9
E02003048,12.6,32.3,55.1
E02003049,7.4,27.5,65.1
E02003050,14,35.6,50.3
E02003051,14,23.8,62.2
E02003052,11.1,25.3,63.6
E02003053,9,26.9,64.1
E02003054,6.9,27.9,65.2
E02003055,9.7,22.9,67.3
E02003056,10.1,26.1,63.7
E02003057,6.8,25.7,67.6
E02003058,7,28.3,64.7
E02003059,6.4,31,62.6
E02003060,5.5,30.5,64
E02003061,7.4,26.8,65.8
E02003062,8.4,30.8,60.8
E02003063,5.3,23.3,71.4
E02003064,6.4,31.4,62.3
E02003065,4.2,35.5,60.3
E02003066,3.4,23.7,72.8
E02003067,3.6,29.9,66.5
E02003068,4.5,26.5,69
E02003070,3.8,24.1,72
E02003072,3.5,33.4,63.1
E02003073,3,23.6,73.4
E02003075,4.9,21,74.1
E02003077,6.1,24.6,69.3
E02003088,5.7,26.7,67.5
E02003090,3.6,24.9,71.5
E02003091,4.1,28.5,67.4
E02003092,5.2,20.3,74.5
E02003093,5.8,24.4,69.8
E02003094,6.7,23.9,69.4
E02003095,4.8,22.1,73.1
E02003096,4.1,29.8,66.1
E02003097,4.2,30.1,65.7
E02003098,5.5,25.1,69.4
E02003099,5.1,27.4,67.4
E02003101,6.1,25,69
E02003102,3.8,20.1,76.1
E02003103,5.5,22.5,72
E02003104,5.5,27.2,67.3
E02003105,4.5,25.9,69.5
E02003107,16.7,30.3,53
E02003108,5.9,24.3,69.8
E02003109,4.1,21.7,74.1
E02003110,5.1,19.3,75.6
E02003111,5.3,30.5,64.2
E02003112,5.5,28,66.5
E02003113,5.3,24.4,70.4
E02003114,5.2,30.9,63.9
E02003115,7,31.7,61.4
E02003116,6.1,32.2,61.7
E02003117,7,27.9,65.1
E02003118,4.5,26.9,68.6
E02003119,4.4,24.1,71.5
E02003120,4.6,26.5,68.8
E02003121,4.1,27.3,68.5
E02003172,6.9,29.2,63.9
E02003173,6,30.2,63.8
E02003174,6.5,28.6,64.9
E02003175,5.7,26.7,67.6
E02003176,8.2,30.5,61.3
E02003177,7.5,22.5,70
E02003178,11.1,28.1,60.8
E02003179,6.5,32.9,60.6
E02003180,22.1,25.9,52
E02003181,13.2,24.4,62.4
E02003182,7,24.1,68.9
