geography_code,heating_type_3a-001,heating_type_3a-002
E02002985,0.8,99.2
E02002986,1,99
E02002987,0.9,99.1
E02002988,0.8,99.2
E02002989,0.8,99.2
E02002990,1.5,98.5
E02002991,1.9,98.1
E02002992,1.3,98.7
E02002993,2.6,97.4
E02002994,0.9,99.1
E02002995,1.1,98.9
E02002996,1.2,98.8
E02002997,1.3,98.7
E02002998,0.9,99.1
E02002999,0.9,99.1
E02003000,0.8,99.2
E02003001,0.5,99.5
E02003002,0.9,99.1
E02003003,0.7,99.3
E02003004,1,99
E02003005,1.2,98.8
E02003006,0.9,99.1
E02003007,0.8,99.2
E02003008,1.3,98.7
E02003009,0.4,99.6
E02003010,1,99
E02003011,1,99
E02003012,0.9,99.1
E02003013,1.4,98.6
E02003014,1,99
E02003015,1,99
E02003016,1.1,98.9
E02003017,1.2,98.8
E02003018,0.7,99.3
E02003019,1.2,98.8
E02003020,0.5,99.5
E02003021,1.1,98.9
E02003022,0.2,99.8
E02003023,1.5,98.5
E02003024,0.9,99.1
E02003025,1.4,98.6
E02003026,1.3,98.7
E02003027,1.6,98.4
E02003028,1.5,98.5
E02003029,1.6,98.4
E02003030,2.7,97.3
E02003031,2,98
E02003032,1.5,98.5
E02003033,2.2,97.8
E02003036,2.6,97.4
E02003037,1.8,98.2
E02003038,1.4,98.6
E02003039,1.9,98.1
E02003040,2,98
E02003041,1.8,98.2
E02003044,1.5,98.5
E02003045,3,97
E02003046,1.3,98.7
E02003047,1.4,98.6
E02003048,1.5,98.5
E02003049,1.3,98.7
E02003050,1.7,98.3
E02003051,1.3,98.7
E02003052,1.2,98.8
E02003053,0.8,99.2
E02003054,1.1,98.9
E02003055,1.1,98.9
E02003056,1.3,98.7
E02003057,1.1,98.9
E02003058,0.9,99.1
E02003059,1,99
E02003060,1,99
E02003061,1.4,98.6
E02003062,1.3,98.7
E02003063,0.7,99.3
E02003064,1.2,98.8
E02003065,0.8,99.2
E02003066,0.3,99.7
E02003067,0.3,99.7
E02003068,0.7,99.3
E02003070,0.6,99.4
E02003072,1,99
E02003073,0.4,99.6
E02003075,0.6,99.4
E02003077,0.9,99.1
E02003088,1.1,98.9
E02003090,0.9,99.1
E02003091,1,99
E02003092,0.9,99.1
E02003093,0.9,99.1
E02003094,1,99
E02003095,0.6,99.4
E02003096,1.8,98.2
E02003097,0.7,99.3
E02003098,1.1,98.9
E02003099,0.9,99.1
E02003101,0.8,99.2
E02003102,0.7,99.3
E02003103,1.3,98.7
E02003104,1.1,98.9
E02003105,0.6,99.4
E02003107,1.4,98.6
E02003108,0.9,99.1
E02003109,0.5,99.5
E02003110,0.3,99.7
E02003111,0.4,99.6
E02003112,0.9,99.1
E02003113,1.2,98.8
E02003114,0.8,99.2
E02003115,1.4,98.6
E02003116,0.8,99.2
E02003117,1.1,98.9
E02003118,1.4,98.6
E02003119,0.6,99.4
E02003120,0.7,99.3
E02003121,0.7,99.3
E02003172,1.2,98.8
E02003173,1,99
E02003174,1,99
E02003175,1.9,98.1
E02003176,1.8,98.2
E02003177,0.9,99.1
E02003178,1.2,98.8
E02003179,1.3,98.7
E02003180,1.6,98.4
E02003181,1.1,98.9
E02003182,0.9,99.1
E02003183,0.8,99.2
E02003194,0.6,99.4
E02003195,1.5,98.5
E02003196,0.4,99.6
E02003197,0.7,99.3
E02003198,1.9,98.1
E02003199,2,98
E02003200,1.5,98.5
E02003201,1.6,98.4
E02003214,1.8,98.2
E02003215,1,99
E02003216,0.8,99.2
E02003217,1.4,98.6
E02003218,1.3,98.7
E02003219,0.9,99.1
E02003220,1,99
E02003221,1.7,98.3
E02003222,1.1,98.9
E02003223,1.6,98.4
E02003224,0.7,99.3
E02003225,1.8,98.2
E02003226,3.6,96.4
E02003227,2.2,97.8
E02003228,1.6,98.4
E02003229,1.4,98.6
E02003230,2.6,97.4
E02003231,1.7,98.3
E02003232,1.4,98.6
E02003233,1.1,98.9
E02003234,1.7,98.3
E02003235,0.6,99.4
E02003236,0.7,99.3
E02003368,1.3,98.7
E02003376,0.9,99.1
E02003384,1.1,98.9
E02003550,1.7,98.3
E02003552,1.2,98.8
E02003554,1.3,98.7
E02003555,1.8,98.2
E02003558,2.9,97.1
E02003559,1.1,98.9
E02003560,1.7,98.3
E02003563,2,98
E02003567,1.4,98.6
E02003568,3.4,96.6
E02003569,2.7,97.3
E02003571,2.7,97.3
E02004236,1.3,98.7
E02004237,0.8,99.2
E02004238,0.8,99.2
E02004239,0.5,99.5
E02004240,1.1,98.9
E02004241,1,99
E02004243,1.4,98.6
E02004244,0.6,99.4
E02004245,0.7,99.3
E02004246,0.6,99.4
E02004247,1.8,98.2
E02004248,0.8,99.2
E02004249,0.7,99.3
E02004250,1.1,98.9
E02004251,0.7,99.3
E02004252,1.3,98.7
E02004253,0.5,99.5
E02004254,0.4,99.6
E02004255,1.2,98.8
E02004256,1.7,98.3
E02004257,1.5,98.5
E02004258,1,99
E02004259,1.4,98.6
E02004260,1.2,98.8
E02004261,1.1,98.9
E02004262,2.1,97.9
E02004263,1.3,98.7
E02004264,1.1,98.9
E02004269,1.2,98.8
E02004270,1.6,98.4
E02004271,2,98
E02004272,1.5,98.5
E02004274,1,99
E02004779,1.6,98.4
E02004780,1.5,98.5
E02004781,1.7,98.3
E02004782,1.4,98.6
E02004783,1.3,98.7
E02004784,0.6,99.4
E02004785,1.3,98.7
E02004786,1.3,98.7
E02004787,1.3,98.7
E02004788,1.1,98.9
E02004790,1.5,98.5
E02004793,0.5,99.5
E02004794,0.8,99.2
E02004795,1.4,98.6
E02004796,0.6,99.4
E02004797,1.4,98.6
E02004798,0.9,99.1
E02004799,1.4,98.6
E02004800,0.6,99.4
E02004814,0.6,99.4
E02004815,1.2,98.8
E02004817,0.9,99.1
E02004818,0.8,99.2
E02004819,0.7,99.3
E02004820,1,99
E02004821,1.3,98.7
E02004822,1.2,98.8
E02004823,1.5,98.5
E02004824,0.9,99.1
E02004825,0.6,99.4
E02004826,0.7,99.3
E02004828,0.5,99.5
E02005988,0.7,99.3
E02005991,1,99
E02006047,1.6,98.4
E02006048,1.2,98.8
E02006049,0.8,99.2
E02006050,1.3,98.7
E02006051,1.2,98.8
E02006052,1.3,98.7
E02006053,1.3,98.7
E02006054,1,99
E02006055,1.1,98.9
E02006056,1.6,98.4
E02006057,2,98
E02006058,1.4,98.6
E02006059,1.9,98.1
E02006060,1.8,98.2
E02006061,1.4,98.6
E02006075,2,98
E02006076,1,99
E02006077,1,99
E02006079,1.2,98.8
E02006080,1.5,98.5
E02006082,1.4,98.6
E02006083,1.7,98.3
E02006085,1.2,98.8
E02006086,1.2,98.8
E02006087,1.8,98.2
E02006088,2.3,97.7
E02006089,2.7,97.3
E02006090,1.9,98.1
E02006091,1.9,98.1
E02006092,1,99
E02006094,1.4,98.6
E02006095,1.9,98.1
E02006634,0.9,99.1
E02006635,0.8,99.2
E02006636,1.2,98.8
E02006637,0.7,99.3
E02006638,1.3,98.7
E02006639,1.5,98.5
E02006640,1,99
E02006641,0.9,99.1
E02006642,1.6,98.4
E02006645,0.8,99.2
E02006646,0.7,99.3
E02006647,0.9,99.1
E02006648,1.2,98.8
E02006649,1.6,98.4
E02006650,0.8,99.2
E02006651,0.9,99.1
E02006652,0.7,99.3
E02006653,0.4,99.6
E02006654,1.4,98.6
E02006655,0.8,99.2
E02006656,1.5,98.5
E02006657,0.7,99.3
E02006658,0.9,99.1
E02006659,0.9,99.1
E02006660,1.1,98.9
E02006661,1.5,98.5
E02006662,0.8,99.2
E02006663,0.6,99.4
E02006664,1.1,98.9
E02006665,1.6,98.4
E02006666,0.7,99.3
E02006667,1,99
E02006668,0.8,99.2
E02006669,1.4,98.6
E02006670,1.2,98.8
E02006671,1.1,98.9
E02006672,1,99
E02006673,1.6,98.4
E02006674,1.1,98.9
E02006675,0.9,99.1
E02006676,1.8,98.2
E02006677,1,99
E02006678,1.2,98.8
E02006679,0.6,99.4
E02006680,1.4,98.6
E02006681,0.7,99.3
E02006682,1,99
E02006683,0.8,99.2
E02006684,1.5,98.5
E02006685,0.6,99.4
E02006686,1,99
E02006687,0.7,99.3
E02006688,1.5,98.5
E02006689,1,99
E02006690,1.2,98.8
E02006692,0.9,99.1
E02006693,0.6,99.4
E02006694,1.3,98.7
E02006695,1.5,98.5
E02006847,0.5,99.5
E02006848,0.8,99.2
E02006849,0.3,99.7
E02006886,0.9,99.1
E02006887,3.8,96.2
E02006888,3,97
E02006889,3.5,96.5
E02006890,2.2,97.8
E02006949,1.6,98.4
E02006950,2.8,97.2
E02006951,3.4,96.6
E02006952,4.2,95.8
E02007023,0.8,99.2
E02007024,1.2,98.8
E02007025,1.3,98.7
E02007026,0.9,99.1
E02007064,1.1,98.9
E02007065,0.9,99.1
E02007066,0.7,99.3
E02007067,0.5,99.5
E02007076,1,99
E02007077,0.4,99.6
E02007078,1.3,98.7
W02000344,0.6,99.4
W02000345,0.7,99.3
