geography_code,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E02002985,32.3,14.7,38.5,14.4
E02002986,36.1,18,33.1,12.8
E02002987,31.6,13.8,42.8,11.8
E02002988,28,11.5,49,11.6
E02002989,37.6,12,39.5,10.9
E02002990,32.8,11.4,46.1,9.7
E02002991,31.2,11.1,50.6,7.1
E02002992,35.6,12,43.9,8.5
E02002993,36.8,10.5,45.1,7.6
E02002994,24.1,13.5,51.6,10.9
E02002995,51.5,11.9,20.1,16.5
E02002996,25.4,12.3,54.9,7.4
E02002997,36,13,41.8,9.2
E02002998,38.1,11.5,39.1,11.3
E02002999,42.3,13.2,29.7,14.8
E02003000,29.1,17,40.7,13.2
E02003001,25.8,11.4,55.2,7.6
E02003002,35.7,12.4,42,9.9
E02003003,38.7,13.6,31.1,16.6
E02003004,21.7,23.8,37,17.4
E02003005,16.1,25.1,45.5,13.2
E02003006,35.9,15.1,31.7,17.3
E02003007,22.6,31.9,28.3,17.2
E02003008,27.8,29.7,23.9,18.6
E02003009,29.3,27.8,26.5,16.4
E02003010,34.3,29.3,18.7,17.7
E02003011,30.4,29.6,23,17
E02003012,54.5,7.2,24.9,13.3
E02003013,62,6.2,17.5,14.4
E02003014,62.8,8.1,15.3,13.8
E02003015,48.8,5.3,35.7,10.2
E02003016,49,6.4,32.4,12.2
E02003017,35.6,6.1,50.4,7.9
E02003018,46.3,7,34.6,12.1
E02003019,55.9,8.7,23.1,12.3
E02003020,33.6,6.6,53.1,6.7
E02003021,41.8,6.2,44.2,7.8
E02003022,31.6,5.4,57.5,5.5
E02003023,43.3,7.7,36.2,12.9
E02003024,44.8,8.3,32.9,14
E02003025,47.5,5.5,31.4,15.6
E02003026,31.4,7.3,54.7,6.7
E02003027,34.9,5.5,52.6,7
E02003028,33.3,6,55.1,5.5
E02003029,49.4,8.4,26,16.1
E02003030,43.1,6.8,36.1,14
E02003031,34.9,5.7,52.5,6.9
E02003032,45.5,8.2,30,16.3
E02003033,33.5,6.5,54.8,5.2
E02003036,36.6,7.1,49.5,6.8
E02003037,34.7,7.8,52,5.5
E02003038,45.9,10.1,28.5,15.6
E02003039,41.7,9,34.1,15.2
E02003040,39,7.9,41.2,11.9
