geography_code,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E02002985,19.8,42.9,28.4,8.9
E02002986,19.7,44.1,28.9,7.3
E02002987,12.3,40.4,33.4,13.9
E02002988,19.7,49.6,24.1,6.6
E02002989,22.8,45.8,23.9,7.6
E02002990,29.7,49.5,17,3.7
E02002991,38.8,41.2,16.3,3.7
E02002992,23.2,44.9,24.7,7.3
E02002993,40.2,42.5,13.9,3.4
E02002994,10.2,40.8,35.3,13.8
E02002995,37.3,40.8,16.5,5.4
E02002996,26.3,45.8,21.7,6.2
E02002997,33.5,45.1,16.7,4.8
E02002998,29.4,44.1,20.2,6.3
E02002999,22.5,45.1,24.6,7.8
E02003000,8.9,35.3,38.9,17
E02003001,13.9,47.5,31.4,7.2
E02003002,23.9,43.7,25,7.3
E02003003,19.9,44.1,27.7,8.4
E02003004,7.5,33.7,39.5,19.3
E02003005,4.8,30.6,42.1,22.4
E02003006,10.9,39.4,33.8,15.9
E02003007,9.9,36,37.7,16.4
E02003008,13.9,41.9,31.5,12.7
E02003009,12.6,38.7,35.2,13.6
E02003010,10.8,41.4,33.8,14
E02003011,14.5,37.9,32.8,14.9
E02003012,23.7,44.6,23.8,7.9
E02003013,26,42.6,23.6,7.8
E02003014,30.5,41.4,22,6.1
E02003015,22,45.5,25,7.5
E02003016,26.3,46.3,20.5,6.9
E02003017,18.9,46.1,29,6
E02003018,15.3,46.2,27.7,10.9
E02003019,21.4,45.7,25.2,7.7
E02003020,12,38.9,38.9,10.2
E02003021,16.7,50.5,25.1,7.7
E02003022,9.8,43.6,37.9,8.7
E02003023,19.1,46,25.6,9.3
E02003024,24.4,46,22.9,6.7
E02003025,25,45.7,21,8.3
E02003026,10.4,40.9,36.8,11.8
E02003027,18.4,52.3,23.8,5.6
E02003028,16.6,47.5,28.5,7.4
E02003029,20.7,44.6,25.7,9.1
E02003030,24.2,47.7,21,7
E02003031,22,48.3,22.9,6.8
E02003032,19.2,49.2,24.1,7.6
E02003033,27.8,46.5,19.3,6.3
E02003036,39.3,43.4,14.3,3
E02003037,30,45.2,18.8,6
E02003038,20.4,46.7,24.9,8
E02003039,24.5,48.3,21.1,6.2
E02003040,30.7,51.4,15.2,2.8
E02003041,25.9,47.5,21.4,5.3
E02003044,14.2,46.9,28.9,10
E02003045,33,47.9,15.5,3.6
E02003046,19.8,52,22.2,6
E02003047,25.9,51.6,18.1,4.4
E02003048,27.4,53.1,16.2,3.3
E02003049,19.4,48.6,23.8,8.2
E02003050,36.6,45.3,15,3.1
E02003051,24.6,53.1,18.3,4
E02003052,19.7,50.8,23.3,6.2
E02003053,19.8,47.7,25.2,7.3
E02003054,18.4,47.4,25.4,8.7
E02003055,26.4,44.5,21.7,7.4
E02003056,27.8,43.8,20.5,7.9
E02003057,16.9,44.2,28.7,10.3
E02003058,19.8,44.3,27.5,8.3
E02003059,23.5,44,24.1,8.3
E02003060,19.6,40.7,28.5,11.2
E02003061,26,44,22.9,7.1
E02003062,32.5,41.3,19.7,6.4
E02003063,11.6,41.7,34.4,12.2
E02003064,39.3,40.7,15,5
E02003065,14.6,46.8,30.6,8
E02003066,6.9,33.5,44,15.6
E02003067,12.3,42.2,35.9,9.6
E02003068,11.1,40.7,34.7,13.5
E02003070,7.7,36.5,41.4,14.4
E02003072,15.8,43.2,30.5,10.4
E02003073,7.7,39.5,38.5,14.2
E02003075,6.7,35,39.7,18.6
E02003077,6.1,32.1,39.2,22.6
E02003088,8.9,33.8,37.9,19.4
E02003090,8.7,37.8,40.4,13
E02003091,14.2,38.5,33.7,13.5
E02003092,4.6,29.8,42,23.6
E02003093,6.9,32,39.7,21.4
E02003094,6.9,35.9,38.1,19.1
E02003095,8.9,36,40.1,15
E02003096,14.2,43.4,30.6,11.8
E02003097,13,40.5,33.5,13.1
E02003098,9.1,44.4,35.1,11.4
E02003099,14.5,44.5,29.4,11.6
E02003101,10.6,45.2,33.8,10.3
E02003102,7.4,33.7,41.3,17.6
E02003103,10.3,40.6,36.9,12.2
E02003104,12.6,45.1,31.3,11.1
E02003105,10.6,36.3,35.8,17.2
E02003107,22.8,42.1,24.4,10.7
E02003108,8.8,38.5,37.9,14.9
E02003109,8.3,36.6,39.2,15.9
E02003110,7,39.5,41.3,12.2
E02003111,16.5,39,32.2,12.3
E02003112,18.6,39.3,30.3,11.9
E02003113,7.2,33,38.7,21
E02003114,18.7,41.9,29.4,9.9
E02003115,19.8,46.1,25.4,8.7
E02003116,21,43.6,25.1,10.3
E02003117,17.9,42.3,29.2,10.6
E02003118,10.3,40,35.8,13.9
E02003119,12.5,39.5,33.8,14.2
E02003120,12.8,38.4,34.4,14.4
E02003121,9.8,40.2,36.3,13.6
E02003172,16.1,43,29,11.9
E02003173,17.3,41.2,30.2,11.3
E02003174,13.2,41,33.3,12.6
E02003175,11.9,45.2,32,10.9
E02003176,25.5,41.2,23.7,9.6
E02003177,10.6,39.4,36.4,13.6
E02003178,17.5,41.3,30.5,10.7
E02003179,24,42.7,24.8,8.5
E02003180,23.1,41.8,24.4,10.7
E02003181,14.3,39.5,33.7,12.6
E02003182,11.2,40.5,35.9,12.4
E02003183,13.4,39.5,32,15.1
E02003194,6.9,36.5,39.4,17.1
E02003195,8.6,37.5,38.3,15.6
E02003196,10.1,31.6,39.4,18.9
E02003197,14.3,39.4,34,12.2
E02003198,11.3,42.1,34.8,11.8
E02003199,12.7,41,34.3,12
E02003200,15.4,43.2,29.5,11.9
E02003201,19,42,28.2,10.8
E02003214,37.7,39.1,18.4,4.8
E02003215,14.9,42.6,32.5,10
E02003216,16.6,41.5,30.8,11.1
E02003217,22.5,41.5,26.8,9.3
E02003218,24.8,42,24.1,9
E02003219,6.1,32.8,45,16.2
E02003220,15.4,39.3,33,12.3
E02003221,29.6,44,20.2,6.3
E02003222,9.4,41.8,37.3,11.5
E02003223,21.7,47.3,23.9,7.1
E02003224,13.8,42.8,33.3,10.1
E02003225,13.7,45.7,31.1,9.5
E02003226,45.7,39.7,12.3,2.3
E02003227,40.7,38.6,16.6,4.2
E02003228,21.6,44,26.2,8.2
E02003229,10.2,42.6,35.5,11.7
E02003230,37.8,44.4,15.1,2.6
E02003231,32,42.1,19.1,6.9
E02003232,15.7,45.9,29.8,8.5
E02003233,23.4,42.4,26.2,7.9
E02003234,19.5,41.6,29.1,9.9
E02003235,16.1,44.5,31.4,7.9
E02003236,11.6,40.4,35.6,12.3
E02003368,10.4,35.7,37.7,16.3
E02003376,15,44.1,30,11
E02003384,7.2,32.3,38.1,22.4
E02003550,18.6,45.8,27.2,8.4
E02003552,27.1,43.2,22.5,7.2
E02003554,19.8,48,25.2,7
E02003555,21.7,45.6,24.9,7.8
E02003558,34.8,44.9,16.1,4.1
E02003559,15.9,42.7,31.2,10.2
E02003560,30.3,43.2,20.1,6.4
E02003563,31.5,43.9,19.8,4.8
E02003567,21.2,44.1,26,8.7
E02003568,29,48.2,18.1,4.8
E02003569,32.8,48.4,15.8,2.9
E02003571,46.4,41.2,9.3,3.1
E02004236,9.3,39.9,35.5,15.3
E02004237,12.7,38.8,33.7,14.8
E02004238,16,45.6,28.1,10.3
E02004239,10.6,43.2,34.8,11.4
E02004240,21.9,44.5,24.3,9.3
E02004241,21.6,46.8,24.3,7.4
E02004243,5.5,31.7,39.1,23.7
E02004244,6.7,37.2,38.3,17.8
E02004245,8.7,35.1,38.5,17.7
E02004246,7.5,32.7,39.5,20.4
E02004247,5.4,25.8,42.6,26.3
E02004248,12.3,43.9,29.9,13.9
E02004249,6.4,32.4,43.6,17.5
E02004250,15.5,43.2,29.1,12.1
E02004251,8.9,36.8,38.1,16.2
E02004252,19,45.4,27.6,8
E02004253,9.5,36.2,36.8,17.5
E02004254,6.7,35.9,38.9,18.5
E02004255,15.8,45.4,27.1,11.7
E02004256,6.2,36.8,37.9,19.1
E02004257,14.5,44.6,30.3,10.6
E02004258,11.1,40,33.2,15.8
E02004259,6,36,39.2,18.8
E02004260,7.4,38.1,37,17.5
E02004261,17.8,42.6,29.6,10
E02004262,5.5,33.5,39,21.9
E02004263,8.6,35,37.5,18.9
E02004264,10.2,41.2,35,13.7
E02004269,18.9,49.5,24.7,6.9
E02004270,7,36.1,38.5,18.4
E02004271,8,41.4,34,16.6
E02004272,8.1,37,37.2,17.7
E02004274,18.8,46.4,26.1,8.8
E02004779,10.3,35.1,35.5,19.1
E02004780,14.9,40.7,32.5,11.9
E02004781,8.6,38.8,37.8,14.9
E02004782,19.8,39.9,28.9,11.5
E02004783,10.6,38.1,37.2,14.1
E02004784,5.8,29.7,40.4,24.1
E02004785,9.5,32.4,35.4,22.7
E02004786,8.3,39.4,37.5,14.9
E02004787,13.3,40,34,12.7
E02004788,6.6,32,39.4,22.1
E02004790,16.4,41.2,30.1,12.3
E02004793,8.5,33.5,37.3,20.7
E02004794,6.5,30.5,40.8,22.2
E02004795,12.5,41.7,31,14.9
E02004796,7.9,37.3,36.9,18
E02004797,14.2,42.9,31.7,11.2
E02004798,17.7,41.8,27.7,12.7
E02004799,19.2,46.4,25.1,9.3
E02004800,10.7,44.9,32.4,11.9
E02004814,8.1,34.4,40.1,17.5
E02004815,24.9,44.1,24.1,6.8
E02004817,21.1,42.6,26.4,9.9
E02004818,9.7,39.1,35.5,15.6
E02004819,16,40,32.1,11.9
E02004820,6.1,31.2,42.2,20.5
E02004821,5.6,31.4,43.8,19.1
E02004822,6.2,29.8,40.7,23.3
E02004823,10.6,42.8,35.5,11
E02004824,23.5,47.8,22.2,6.5
E02004825,9.5,35.2,39.2,16
E02004826,5.5,32.3,41.8,20.4
E02004828,7.5,32.9,41.6,18.1
E02005988,10,38.6,39.3,12.1
E02005991,15.3,40.9,32.7,11.1
E02006047,7.6,36.8,36.8,18.8
E02006048,8.6,34.3,37.9,19.1
E02006049,10.2,41.2,35.2,13.4
E02006050,23,46.1,23.9,7
E02006051,8.3,37.2,35.8,18.7
E02006052,8.9,37,35.3,18.7
E02006053,15.7,43.2,31.7,9.3
E02006054,20.9,45.7,25.5,7.9
E02006055,14.7,41.5,31.8,12
E02006056,7,34.6,37.2,21.2
E02006057,19.4,45.9,25.7,9
E02006058,9,36.8,37.3,16.9
E02006059,4.6,32,39,24.4
E02006060,19.5,45.6,25.7,9.1
E02006061,10.7,38.2,34.9,16.2
E02006075,7.7,40.3,34.6,17.5
E02006076,8.5,37.1,36,18.4
E02006077,11.1,40.8,33.6,14.5
E02006079,11.6,40.1,34.5,13.8
E02006080,8,36,37.2,18.7
E02006082,8.7,40.2,36.1,15
E02006083,10.7,41.4,32.1,15.8
E02006085,12.3,44.2,33.7,9.8
E02006086,10.4,38.7,36.4,14.5
E02006087,17.1,46.5,27.5,8.9
E02006088,23.5,44.4,23.8,8.3
E02006089,31,45.3,18,5.7
E02006090,16.1,44.9,30.1,8.8
E02006091,8.3,38.8,36.1,16.8
E02006092,10.1,42.5,34.7,12.6
E02006094,9.6,36.8,37.4,16.1
E02006095,13.9,45.3,29.1,11.7
E02006634,7.3,34.1,38.1,20.5
E02006635,17.8,41.9,29.5,10.8
E02006636,10.6,40.1,33.3,16
E02006637,14.6,43.6,32.2,9.6
E02006638,26.9,42.2,22.5,8.4
E02006639,7.9,34.7,38,19.4
E02006640,6.2,31.8,42,20
E02006641,8.9,36.6,38.4,16.2
E02006642,6.1,36.1,38.8,19
E02006645,11.3,39.4,34.9,14.4
E02006646,7.9,33,41.3,17.8
E02006647,4.5,25.2,43.7,26.7
E02006648,6.8,34.9,39.7,18.6
E02006649,15.6,43,31.1,10.3
E02006650,9.2,38.1,38.3,14.5
E02006651,5,30.2,42.8,22
E02006652,13.4,41.2,34.2,11.3
E02006653,11.8,40.5,34.6,13.1
E02006654,24.9,45.4,23.1,6.6
E02006655,5.8,30.7,41.1,22.4
E02006656,10.4,42.3,33.9,13.4
E02006657,15,41.2,32.4,11.4
E02006658,13.3,41.4,33.8,11.6
E02006659,8.7,38.1,39.5,13.7
E02006660,13.5,41.1,34.6,10.8
E02006661,5.8,39.5,42,12.6
E02006662,10.6,38.4,35.6,15.4
E02006663,14.4,38.7,34.7,12.2
E02006664,7.6,32.2,40.3,19.8
E02006665,9.6,39.5,34.8,16.1
E02006666,15.4,39.8,34.3,10.5
E02006667,20,43,29.3,7.7
E02006668,16.9,42,30.1,11
E02006669,12.5,38.6,34.4,14.6
E02006670,26,47.3,21.4,5.3
E02006671,26.4,47.5,21.1,5
E02006672,10.8,39.8,35.8,13.5
E02006673,26.5,46.9,21.1,5.5
E02006674,21.1,44.4,26.8,7.7
E02006675,5.6,30.5,41.2,22.7
E02006676,9.3,38.5,35.9,16.3
E02006677,7.3,32.2,39.5,21
E02006678,12.3,42.4,33.5,11.8
E02006679,7.9,35.3,39.7,17.2
E02006680,19.5,42.4,26.6,11.4
E02006681,9.8,36.6,38.4,15.2
E02006682,17.1,46.2,28.5,8.2
E02006683,8.5,37.3,38.5,15.7
E02006684,28.3,45.2,19.9,6.5
E02006685,14.7,40.2,34,11.1
E02006686,18,37.6,31.5,12.9
E02006687,19.3,40.4,30.6,9.7
E02006688,17.2,45.3,27.3,10.2
E02006689,7.1,34.3,40.4,18.2
E02006690,8.7,36.4,37.7,17.1
E02006692,16.3,44.6,29.8,9.3
E02006693,14,40.7,33.6,11.7
E02006694,21.9,43,26.2,8.9
E02006695,7.7,33.4,40.2,18.7
E02006847,6.4,39.4,40.9,13.3
E02006848,10.2,46.2,35.7,7.9
E02006849,5.9,37.8,43.5,12.8
E02006886,7.3,35.7,40,16.9
E02006887,55.2,38,6.3,0.4
E02006888,42.1,42,12.8,3.1
E02006889,44,44.2,9.8,2
E02006890,31.4,47.9,16.5,4.3
E02006949,31.2,49.8,15.1,4
E02006950,46.3,41.6,9.8,2.2
E02006951,53.8,35.2,8.2,2.8
E02006952,47.6,42.6,8.2,1.5
E02007023,11.9,40.8,34.8,12.4
E02007024,15.4,45.5,28.3,10.9
E02007025,11.8,42.3,35.2,10.8
E02007026,10.2,46.9,35.9,6.9
E02007064,18,42.1,28.4,11.5
E02007065,13.9,48,31.1,6.9
E02007066,16.7,48,27.4,7.9
E02007067,8.7,40.2,38.2,13
E02007076,10.4,38.6,41.3,9.7
E02007077,9.9,38.9,42.3,8.9
E02007078,28.3,42,22.3,7.4
W02000344,6.8,31.9,42.7,18.6
W02000345,19.1,42,28.6,10.3
