geography_code,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E02002985,9.8,22.4,49.1,18.7
E02002986,13.9,26.7,44.6,14.8
E02002987,6.7,21.5,35.8,36
E02002988,10.8,25.6,42.2,21.4
E02002989,10.1,21.3,47,21.7
E02002990,23.1,28,33.3,15.7
E02002991,32.2,31.4,17.9,18.4
E02002992,15.4,18.9,33.6,32.1
E02002993,32.1,30.3,20.1,17.6
E02002994,6.3,17.6,35.6,40.4
E02002995,19,34.1,37.6,9.4
E02002996,12.2,23.9,25.4,38.5
E02002997,18.9,32.9,25.6,22.5
E02002998,12.2,25.3,34.2,28.4
E02002999,8,24.7,49,18.3
E02003000,5.8,16.8,40.4,37.1
E02003001,8.5,13.4,33.5,44.5
E02003002,10.1,27.8,35.1,27
E02003003,4.7,25.4,53.8,16.1
E02003004,6.7,15,40.6,37.7
E02003005,4.1,12.6,34.6,48.7
E02003006,6.2,22.5,41.3,30
E02003007,6.9,21.8,46.2,25.1
E02003008,8.9,28.4,45.4,17.3
E02003009,6.6,26.4,42,25
E02003010,4.3,23.5,55.5,16.8
E02003011,6.3,18.8,50.3,24.6
E02003012,10.1,37.2,38.3,14.4
E02003013,11.9,17.8,59.5,10.8
E02003014,11.9,35.4,44.1,8.5
E02003015,6.5,27.7,46.6,19.1
E02003016,9.6,24.6,50.3,15.6
E02003017,12.8,25.4,32,29.9
E02003018,10.1,9.2,61.4,19.4
E02003019,10.2,27.3,51.2,11.3
E02003020,7.4,14.4,31.1,47.1
E02003021,6.8,19.5,47.2,26.5
E02003022,2.8,9.6,36.9,50.7
E02003023,11.7,27.7,37.1,23.5
E02003024,15,27.9,39.3,17.8
E02003025,11.9,19.8,53.4,14.9
E02003026,5,20.6,25.2,49.2
E02003027,12.1,23.3,31.7,33
E02003028,13.5,24.3,22.4,39.8
E02003029,8.9,18.4,62.1,10.6
E02003030,18.3,27.2,38.3,16.3
E02003031,21.3,21.4,19,38.3
E02003032,10.3,26.6,51.8,11.2
E02003033,24.5,31,14.1,30.3
E02003036,34.3,35.1,12.6,18
E02003037,26.6,37.6,14.7,21.1
E02003038,14.3,27.6,49.4,8.8
E02003039,17.7,28,45.9,8.5
E02003040,19.8,48.4,26.1,5.6
E02003041,23,42.3,17,17.7
E02003044,9.1,23,57.1,10.8
E02003045,26.2,36.7,17.9,19.1
E02003046,11.3,31,49.2,8.6
E02003047,18.5,29.3,32.9,19.4
E02003048,22.4,38.6,27.5,11.4
E02003049,9.3,26.5,54.1,10.1
E02003050,26.9,40.1,26.5,6.5
E02003051,10.6,29.9,46.6,12.8
E02003052,7.1,28.9,51.3,12.8
E02003053,12.1,13,53.4,21.6
E02003054,14.8,17,48.6,19.6
E02003055,6.3,12.1,73.4,8.2
E02003056,9.4,17.9,67,5.6
E02003057,7.9,14.4,63.6,14.1
E02003058,11.1,25.7,52.6,10.7
E02003059,14.2,26.2,47.6,12
E02003060,13.2,17.1,51.4,18.4
E02003061,8.7,30.9,51.7,8.7
E02003062,16.3,22.7,52.6,8.4
E02003063,2.2,15.5,63.1,19.3
E02003064,15.3,35.1,44.2,5.4
E02003065,12,35.7,30,22.3
E02003066,4.3,16.8,30.1,48.8
E02003067,10.7,22.1,34.7,32.5
E02003068,4.8,21.9,42.6,30.7
E02003070,4.7,18.2,31.9,45.2
E02003072,9.5,20.4,45,25.1
E02003073,1.8,9.9,37.8,50.5
E02003075,3.6,10.7,35.6,50.1
E02003077,4,18.9,35.8,41.3
E02003088,6.7,16.7,33.4,43.2
E02003090,6.4,16.4,39,38.1
E02003091,8.3,14.1,46.1,31.5
E02003092,4.5,12.3,36.3,46.9
E02003093,4.6,14.6,37.2,43.6
E02003094,5.1,20.6,36,38.4
E02003095,5.8,19.4,35.1,39.7
E02003096,9,26.2,47.2,17.7
E02003097,6.6,15.8,44.4,33.3
E02003098,9.3,32.2,30.7,27.8
E02003099,6,21.5,57.8,14.7
E02003101,9.4,31.2,32.6,26.8
E02003102,2.9,14.9,43,39.2
E02003103,4.1,13.7,75,7.2
E02003104,6.8,16.3,58.9,17.9
E02003105,6.5,12.8,49.8,30.9
E02003107,12.8,18.4,48.1,20.7
E02003108,7.8,24.4,41.2,26.6
E02003109,3.3,9.7,48.4,38.6
E02003110,3.3,21.7,37.4,37.6
E02003111,12.8,17.6,41.4,28.1
E02003112,12.1,18.2,54.3,15.3
E02003113,5.9,16.8,39.1,38.2
E02003114,12.8,22.4,50.9,13.8
E02003115,14,27.3,48,10.7
E02003116,13.5,24.8,52.6,9.1
E02003117,12.2,26.4,46.6,14.9
E02003118,10.5,23,45.2,21.3
E02003119,5.8,25.9,47.6,20.7
E02003120,8.2,17.2,45.3,29.3
E02003121,6.6,23.3,41.5,28.6
E02003172,7.8,35.4,44.9,11.9
E02003173,8.3,47.5,37.1,7.2
E02003174,8.4,32.5,41.3,17.8
E02003175,8.7,30.7,41.4,19.2
E02003176,16.6,39.8,34.6,9.1
E02003177,5.5,23.8,48.5,22.2
E02003178,12.1,28,44.3,15.6
E02003179,16.2,30.9,40.7,12.1
E02003180,16.6,26.7,33.2,23.4
E02003181,10.4,21.5,34.8,33.3
E02003182,6.4,17.6,30.3,45.7
E02003183,12.7,24.1,17.1,46.1
E02003194,4.2,19.7,31.9,44.2
E02003195,6.4,20.9,45.4,27.3
E02003196,4,17.1,33.5,45.5
E02003197,11.9,25.4,33.6,29.1
E02003198,10.5,26.6,45,17.9
E02003199,8.8,34.7,41.7,14.8
E02003200,7.6,35.6,42.8,14
E02003201,14,29.9,44.2,11.9
E02003214,12,42.8,41.2,4
E02003215,9.1,24.2,44.7,22
E02003216,9.5,22.8,50,17.7
E02003217,14.9,20.9,48,16.2
E02003218,12.6,13.4,62.1,12
E02003219,5.6,15,33.8,45.6
E02003220,8,24.4,45.4,22.2
E02003221,16,31.5,46.3,6.3
E02003222,7.8,26.9,31,34.3
E02003223,12.9,38.9,39.1,9
E02003224,4.9,24.4,52.8,18
E02003225,16.3,27.3,29.9,26.5
E02003226,29.4,35.3,26.7,8.6
E02003227,19.2,28.5,48.3,4
E02003228,8.1,20.1,53.6,18.1
E02003229,6.8,27.1,33.5,32.6
E02003230,23.6,41.1,26,9.4
E02003231,7.8,27.2,60.2,4.8
E02003232,11.3,29.2,30.1,29.4
E02003233,15.8,25,42.8,16.5
E02003234,10.9,16.5,56,16.6
E02003235,8.8,28.2,35.6,27.3
E02003236,7,20.8,43.6,28.6
E02003368,8.7,24.4,37.9,29
E02003376,11.8,28.2,39.8,20.2
E02003384,6.1,18.2,36.6,39.2
E02003550,11.2,19.8,61.9,7.1
E02003552,24.3,18.8,52,5
E02003554,18,28.2,33.5,20.3
E02003555,15.7,29.7,44.3,10.3
E02003558,22.8,34,36.6,6.6
E02003559,6.4,15.9,44.5,33.2
E02003560,18.1,38.6,36.3,7
E02003563,25.3,27.6,40.8,6.3
E02003567,9.7,24.7,54.3,11.4
E02003568,33.1,30.8,17.8,18.3
E02003569,33.3,34.3,26.1,6.3
E02003571,33.9,36.8,10.3,18.9
E02004236,5.2,28.3,48.8,17.6
E02004237,6.4,24.7,42.1,26.8
E02004238,12.4,31.9,35.7,20
E02004239,3.9,34.5,38.7,22.9
E02004240,16.1,30.2,44.3,9.4
E02004241,20.5,32.6,33.6,13.3
E02004243,3.3,21,43,32.7
E02004244,4.2,22.3,47.7,25.8
E02004245,3.9,24,35.5,36.6
E02004246,3.8,17.6,39,39.5
E02004247,3,16.7,40,40.3
E02004248,6.3,39.7,33.6,20.5
E02004249,4.6,17.6,35.5,42.3
E02004250,11.3,33.4,36.9,18.4
E02004251,2.2,28.6,48.1,21.1
E02004252,17.3,33.3,34.4,15
E02004253,5.2,22.9,33.8,38.1
E02004254,3.6,21.5,43.9,31
E02004255,9.6,34.5,35.2,20.6
E02004256,3.6,21.9,41.3,33.2
E02004257,12.1,27.3,42,18.6
E02004258,7.4,25.5,41,26.2
E02004259,4.4,20.5,41.9,33.2
E02004260,6.2,23,43.8,27
E02004261,15.5,30,37.4,17.1
E02004262,4.6,21.2,41.4,32.8
E02004263,8.6,19.3,42,30.1
E02004264,6.7,32.5,43.7,17.2
E02004269,10.8,30.3,39.5,19.4
E02004270,3.8,19.2,43.5,33.4
E02004271,5.7,24.6,41.9,27.7
E02004272,5.2,23.1,41.5,30.2
