geography_code,country_of_birth_3a-001,country_of_birth_3a-002
E02002985,93.4,6.6
E02002986,92.1,7.9
E02002987,93.8,6.2
E02002988,86.2,13.8
E02002989,82,18
E02002990,78.8,21.2
E02002991,74.3,25.7
E02002992,85.9,14.1
E02002993,75.8,24.2
E02002994,89.3,10.7
E02002995,86.6,13.4
E02002996,77.7,22.3
E02002997,82.2,17.8
E02002998,85.5,14.5
E02002999,88.1,11.9
E02003000,93.9,6.1
E02003001,87.2,12.8
E02003002,85.8,14.2
E02003003,83.9,16.1
E02003004,94.5,5.5
E02003005,95.1,4.9
E02003006,91.7,8.3
E02003007,95.3,4.7
E02003008,94.5,5.5
E02003009,95.8,4.2
E02003010,95.5,4.5
E02003011,96,4
E02003012,79.8,20.2
E02003013,74.9,25.1
E02003014,81.7,18.3
E02003015,79.7,20.3
E02003016,76.9,23.1
E02003017,86.4,13.6
E02003018,88,12
E02003019,83.8,16.2
E02003020,87.2,12.8
E02003021,84.9,15.1
E02003022,89,11
E02003023,81.6,18.4
E02003024,79,21
E02003025,78,22
E02003026,85.1,14.9
E02003027,86,14
E02003028,84.5,15.5
E02003029,80.2,19.8
E02003030,75,25
E02003031,84.8,15.2
E02003032,76.2,23.8
E02003033,82.4,17.6
E02003036,73.5,26.5
E02003037,78.3,21.7
E02003038,82.4,17.6
E02003039,80.6,19.4
E02003040,77.6,22.4
E02003041,79.4,20.6
E02003044,88.3,11.7
E02003045,79.9,20.1
E02003046,84.5,15.5
E02003047,85.7,14.3
E02003048,83.2,16.8
E02003049,87.1,12.9
E02003050,78.2,21.8
E02003051,82.9,17.1
E02003052,91.2,8.8
E02003053,87.5,12.5
E02003054,88.3,11.7
E02003055,84.5,15.5
E02003056,85.2,14.8
E02003057,92.1,7.9
E02003058,89.8,10.2
E02003059,90.2,9.8
E02003060,91.6,8.4
E02003061,91.2,8.8
E02003062,90.9,9.1
E02003063,94,6
E02003064,90.5,9.5
E02003065,89.9,10.1
E02003066,93.7,6.3
E02003067,92.4,7.6
E02003068,92.2,7.8
E02003070,92.3,7.7
E02003072,94.1,5.9
E02003073,93.2,6.8
E02003075,93.4,6.6
E02003077,94.6,5.4
E02003088,94.3,5.7
E02003090,92.2,7.8
E02003091,93.2,6.8
E02003092,95.2,4.8
E02003093,95,5
E02003094,91.2,8.8
E02003095,93.1,6.9
E02003096,92.7,7.3
E02003097,95.1,4.9
E02003098,76.8,23.2
E02003099,93.3,6.7
E02003101,76.9,23.1
E02003102,94.8,5.2
E02003103,93.2,6.8
E02003104,87.6,12.4
E02003105,93.7,6.3
E02003107,79.8,20.2
E02003108,90.8,9.2
E02003109,93.4,6.6
E02003110,88.7,11.3
E02003111,90.8,9.2
E02003112,92.2,7.8
E02003113,95,5
