geography_code,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E02002985,81.6,3.9,14.4
E02002986,78.8,4.4,16.8
E02002987,87.2,3.3,9.5
E02002988,82.9,8.3,8.8
E02002989,77.5,11,11.5
E02002990,77.8,14.9,7.3
E02002991,77.4,17,5.6
E02002992,84.2,8.4,7.5
E02002993,76.7,16.7,6.5
E02002994,87.2,4.3,8.5
E02002995,68.5,9.2,22.3
E02002996,81.1,15,3.9
E02002997,80,12.4,7.6
E02002998,80,9.2,10.8
E02002999,75.6,7.5,16.9
E02003000,85.8,3.1,11.1
E02003001,86.9,6.4,6.7
E02003002,79.8,7.9,12.2
E02003003,75.2,10.1,14.7
E02003004,85,3,12
E02003005,89,1.6,9.4
E02003006,82,4.7,13.3
E02003007,81.8,2.6,15.6
E02003008,75.4,3.6,21
E02003009,82.5,2.4,15.1
E02003010,79.5,2.4,18.1
E02003011,79,2,19
E02003012,68.9,13.6,17.6
E02003013,66,16.2,17.8
E02003014,59.7,15.9,24.3
E02003015,76.6,11.8,11.6
E02003016,73.3,14.1,12.7
E02003017,83.9,6.8,9.4
E02003018,77.9,6.8,15.3
E02003019,70.8,12.8,16.4
E02003020,86.8,6.8,6.4
E02003021,81.4,9.6,9
E02003022,89.6,5.2,5.3
E02003023,80.6,10.2,9.1
E02003024,74.2,12.1,13.7
E02003025,75.1,11.4,13.5
E02003026,88,7.6,4.4
E02003027,86.1,8.2,5.7
E02003028,86.8,9,4.3
E02003029,72.6,10.5,17
E02003030,76.4,13.9,9.7
E02003031,87.5,9,3.5
E02003032,72.6,15.4,12
E02003033,86,10.7,3.3
E02003036,77.8,18.3,3.9
E02003037,83.2,14.4,2.4
E02003038,73.7,12,14.2
E02003039,74.1,12.2,13.7
E02003040,71.9,16,12.1
E02003041,83.6,13.8,2.5
E02003044,80,8.2,11.8
E02003045,82.6,13.3,4.2
E02003046,75.8,10.7,13.5
E02003047,83.2,9.7,7.1
E02003048,81.5,10.9,7.7
E02003049,76.1,8.4,15.5
E02003050,72,16.3,11.7
E02003051,76.6,11.6,11.8
E02003052,84.4,5.8,9.8
E02003053,82.6,7.4,10
E02003054,79.9,7.9,12.1
E02003055,66.6,11.5,21.8
E02003056,65,10.4,24.6
E02003057,82.3,5.1,12.6
E02003058,76,7,17
E02003059,76.4,7,16.6
E02003060,80.1,5.2,14.7
E02003061,71.3,6.6,22.1
E02003062,66.5,6.4,27.1
E02003063,84.7,3.9,11.4
E02003064,63.1,7.6,29.3
E02003065,84.5,6.1,9.4
E02003066,88.5,3.5,8
E02003067,86,4.5,9.6
E02003068,84.1,4.5,11.4
E02003070,89.1,3.6,7.2
E02003072,83.1,3,13.9
E02003073,89.1,3.1,7.8
E02003075,88.3,3.4,8.3
E02003077,88.4,2.6,9
E02003088,87.1,2.7,10.2
E02003090,82.2,4.8,13.1
E02003091,82.5,3.9,13.6
E02003092,84.5,2.4,13
E02003093,87.6,2.7,9.7
E02003094,82.8,5.6,11.6
E02003095,84.3,3.8,11.9
E02003096,77.4,4.7,17.9
E02003097,86,2.2,11.7
E02003098,77.4,15.3,7.3
E02003099,77.5,4.5,18.1
E02003101,76.2,15.6,8.2
E02003102,86.2,2.4,11.5
E02003103,78.6,4.1,17.2
E02003104,79.7,7.9,12.4
E02003105,84.7,3.1,12.2
E02003107,73.3,14.1,12.6
E02003108,80.8,5.3,13.9
E02003109,87.9,3.3,8.8
E02003110,85.3,6.3,8.3
E02003111,83.5,5.4,11.1
E02003112,78.6,4.6,16.7
E02003113,86.3,2.1,11.6
E02003114,78.9,5.6,15.6
E02003115,75.2,8.4,16.4
E02003116,74.5,6.9,18.6
E02003117,79.3,6.9,13.8
E02003118,83.9,4.5,11.7
E02003119,82.1,3,14.9
E02003120,84.6,3.3,12
E02003121,86.2,2.3,11.5
E02003172,75.2,4.8,20
E02003173,75.8,5.5,18.8
E02003174,83,5.5,11.6
E02003175,80.2,8.3,11.5
E02003176,68.3,7.2,24.6
E02003177,83,6.5,10.5
E02003178,77,7.4,15.6
E02003179,73,10,17
E02003180,76.3,12.5,11.2
E02003181,81,10.2,8.8
E02003182,84.3,8.5,7.2
E02003183,83.1,10.4,6.5
E02003194,89,2.6,8.4
E02003195,79.7,4.5,15.7
E02003196,89.6,2.7,7.8
E02003197,81.5,4.4,14.2
E02003198,78.8,4.9,16.3
E02003199,79.6,3.8,16.6
E02003200,71.3,9.4,19.3
E02003201,74,9.5,16.5
E02003214,61.2,6.9,31.9
E02003215,81.9,6,12.1
E02003216,76.2,6.9,16.9
E02003217,70,8.9,21.1
E02003218,67.2,8.5,24.2
E02003219,83.3,6.1,10.5
E02003220,79.8,6.9,13.3
E02003221,53.4,30.4,16.2
E02003222,81.9,8.3,9.8
E02003223,64.1,22.9,13
E02003224,82.4,6.2,11.4
E02003225,75.1,13.1,11.8
E02003226,32.5,58.3,9.2
E02003227,56.9,18.3,24.8
E02003228,64.5,26.5,9
E02003229,79.2,9.4,11.5
E02003230,52,37.4,10.6
E02003231,57.5,17,25.5
E02003232,75.6,14.5,9.9
E02003233,69.9,11.7,18.4
E02003234,74.5,8.3,17.2
E02003235,80.6,10.2,9.2
E02003236,81,5.5,13.6
E02003368,80.7,5.1,14.3
E02003376,77.7,5.1,17.1
E02003384,84.4,3.9,11.8
E02003550,74.2,10.9,14.8
E02003552,69.1,10.9,20
E02003554,72,17.5,10.4
E02003555,71.8,12,16.2
E02003558,57.6,24.7,17.7
E02003559,78.7,13,8.3
E02003560,66.5,9.4,24
E02003563,66.6,17.3,16.1
E02003567,69.9,13.4,16.7
E02003568,65,27.2,7.9
E02003569,58.9,28.3,12.8
E02003571,61.9,31,7.1
E02004236,83.3,2.6,14.1
E02004237,85.1,2.8,12.1
E02004238,85.2,3.6,11.1
E02004239,86.2,3.2,10.6
E02004240,73.6,3.7,22.6
E02004241,83.1,4.5,12.4
E02004243,84.8,1.6,13.5
E02004244,86.8,2,11.2
E02004245,84.3,2.2,13.5
E02004246,87.4,3,9.6
E02004247,85.7,1.8,12.5
E02004248,82.2,2.2,15.6
E02004249,87.7,2.4,10
E02004250,80.7,3.5,15.8
E02004251,84.6,1.6,13.7
E02004252,80.5,2.7,16.8
E02004253,87.4,2.4,10.2
E02004254,87.4,1.8,10.8
E02004255,75,3.9,21.1
E02004256,81.3,3.5,15.2
E02004257,75.7,4.9,19.4
E02004258,75,4.9,20.1
E02004259,83.4,2.8,13.8
E02004260,81.9,4.3,13.7
E02004261,77.5,3.1,19.4
E02004262,81.8,2,16.1
E02004263,84.7,1.5,13.8
E02004264,82.2,2.7,15.1
E02004269,78.7,3.5,17.8
E02004270,83.2,2.2,14.7
E02004271,79.6,2.2,18.2
E02004272,81.7,2.1,16.2
E02004274,76.6,2.6,20.7
E02004779,84.2,2.6,13.2
E02004780,79.4,2.2,18.3
E02004781,84.6,3,12.4
E02004782,80.8,2.8,16.4
E02004783,84.9,2.8,12.3
E02004784,87.9,1.9,10.2
E02004785,87,3.2,9.8
E02004786,83.9,3.1,13
E02004787,86.4,2.5,11.1
E02004788,87.5,2.5,10
E02004790,80.3,3,16.7
E02004793,87.1,3.6,9.3
E02004794,87.7,2.4,9.9
E02004795,85.4,4.7,10
E02004796,86.3,2.1,11.6
E02004797,79.2,5.8,15
E02004798,75.3,3.7,20.9
E02004799,78.3,5.8,15.9
E02004800,85.2,3.4,11.4
E02004814,85.6,4.5,9.9
E02004815,60.9,13.1,26
E02004817,75.6,8.1,16.3
E02004818,83.2,5.1,11.7
E02004819,80.7,7.1,12.2
E02004820,85,3,12
E02004821,88.3,3.4,8.3
E02004822,86.4,2.6,11
E02004823,85.7,3,11.4
E02004824,82,3.5,14.6
E02004825,85.8,3.4,10.7
E02004826,86,3.2,10.8
E02004828,87,4.6,8.4
E02005988,78.1,5.8,16.1
E02005991,78.8,5.9,15.3
E02006047,83.8,3.1,13.1
E02006048,81.1,2.7,16.1
E02006049,82.1,3.6,14.3
E02006050,73.4,5.7,20.9
E02006051,82.6,4.1,13.3
E02006052,81.5,4.3,14.2
E02006053,75.4,5.2,19.4
E02006054,80.1,4.5,15.4
E02006055,70.4,9.8,19.9
E02006056,79.7,2.4,17.9
E02006057,76.6,5.1,18.3
E02006058,81.1,3.7,15.2
E02006059,84.9,2.9,12.2
E02006060,74.4,5.1,20.4
E02006061,83.7,2.7,13.6
E02006075,82.5,3.9,13.5
E02006076,81.9,2.3,15.9
E02006077,79.6,2.2,18.2
E02006079,75.6,5.5,18.9
E02006080,82.1,3.3,14.6
E02006082,77.5,2.8,19.8
E02006083,79.3,2.9,17.9
E02006085,74.4,7.5,18.2
E02006086,77,6.8,16.2
E02006087,68.4,8.5,23.1
E02006088,61.5,11.2,27.2
E02006089,57.5,23.1,19.4
E02006090,73.1,8.1,18.8
E02006091,80.4,2,17.6
E02006092,80.8,4.9,14.3
E02006094,81.5,1.8,16.7
E02006095,75,3.4,21.6
E02006634,84.7,3.1,12.2
E02006635,83.5,4,12.5
E02006636,82.5,3.3,14.2
E02006637,78.4,3.8,17.8
E02006638,76.5,4.1,19.3
E02006639,81.7,2.3,16
E02006640,84.8,2.8,12.4
E02006641,83.2,2.1,14.7
E02006642,82.5,2,15.5
E02006645,81.7,5.4,12.9
E02006646,81.9,5,13.1
E02006647,87.3,2,10.7
E02006648,84.4,4.8,10.8
E02006649,78,4.5,17.5
E02006650,81.5,6.3,12.2
E02006651,85.6,4.2,10.2
E02006652,80.8,5.1,14
E02006653,80.9,4,15.2
E02006654,74.5,6.6,18.8
E02006655,83.6,2.9,13.6
E02006656,82.3,4.8,12.9
E02006657,76.1,3.7,20.2
E02006658,81,2.8,16.2
E02006659,84.9,3.7,11.4
E02006660,82.1,3.1,14.8
E02006661,78,9.6,12.4
E02006662,80.5,3.5,15.9
E02006663,79.5,4.4,16.1
E02006664,86.1,2,11.9
E02006665,81.1,2.1,16.8
E02006666,82,4,14
E02006667,70.6,5.9,23.5
E02006668,82.5,4,13.5
E02006669,81.5,3.5,15
E02006670,75.7,11.5,12.8
E02006671,75.5,11.2,13.2
E02006672,81,5.7,13.3
E02006673,77.9,8.1,14
E02006674,76.3,8.5,15.3
E02006675,87.4,2.1,10.5
E02006676,83.6,2.7,13.7
E02006677,85.7,2.1,12.2
E02006678,75.8,2.7,21.5
E02006679,83.3,3.1,13.6
E02006680,75.5,4.2,20.4
E02006681,87.7,2.9,9.4
E02006682,83.9,3.4,12.7
E02006683,81.4,4,14.6
E02006684,65.8,14.2,20
E02006685,77.2,8.3,14.5
E02006686,72.8,6.1,21.1
E02006687,71.2,9.2,19.6
E02006688,73.3,8.4,18.3
E02006689,82.8,2.9,14.3
E02006690,80.9,2.6,16.5
E02006692,75.5,6.2,18.2
E02006693,77.5,3.4,19
E02006694,75.9,5.4,18.7
E02006695,84.2,2.2,13.6
E02006847,81.2,9.5,9.4
E02006848,74.9,15.6,9.5
E02006849,82.2,9.1,8.7
E02006886,83.5,5,11.4
E02006887,66.4,26.6,7
E02006888,73.5,17.7,8.9
E02006889,69.7,19.7,10.7
E02006890,72.8,17.9,9.3
E02006949,81.8,11.6,6.6
E02006950,76.1,18.4,5.5
E02006951,69.4,28.3,2.3
E02006952,70.2,25.2,4.6
E02007023,74.6,3.1,22.3
E02007024,76.3,4.9,18.8
E02007025,77.4,6.8,15.8
E02007026,75.7,10.7,13.5
E02007064,72.1,12.8,15.1
E02007065,69.6,17.9,12.4
E02007066,77.2,15.5,7.2
E02007067,83.4,8,8.6
E02007076,76.4,10.5,13.1
E02007077,76.6,7.5,15.9
E02007078,72.8,10.1,17.1
W02000344,87,2.2,10.8
W02000345,77.8,2.5,19.7
