geography_code,disability_3a-001,disability_3a-002
E02002985,18.5,81.5
E02002986,19,81
E02002987,15.7,84.3
E02002988,16.1,83.9
E02002989,17.1,82.9
E02002990,14.9,85.1
E02002991,15.5,84.5
E02002992,14.9,85.1
E02002993,16.8,83.2
E02002994,14.2,85.8
E02002995,23.8,76.2
E02002996,12.7,87.3
E02002997,15.1,84.9
E02002998,17.4,82.6
E02002999,18.6,81.4
E02003000,16.7,83.3
E02003001,14.2,85.8
E02003002,17.3,82.7
E02003003,17.8,82.2
E02003004,15.8,84.2
E02003005,13.9,86.1
E02003006,17.3,82.7
E02003007,16,84
E02003008,19.6,80.4
E02003009,15.9,84.1
E02003010,16.7,83.3
E02003011,18,82
E02003012,20.1,79.9
E02003013,21.2,78.8
E02003014,21.3,78.7
E02003015,17.6,82.4
E02003016,19.1,80.9
E02003017,17.5,82.5
E02003018,19,81
E02003019,19.6,80.4
E02003020,16.2,83.8
E02003021,14.7,85.3
E02003022,13.3,86.7
E02003023,20.4,79.6
E02003024,20.2,79.8
E02003025,19.7,80.3
E02003026,14.4,85.6
E02003027,12.6,87.4
E02003028,13.3,86.7
E02003029,19.3,80.7
E02003030,16.2,83.8
E02003031,13.2,86.8
E02003032,15.9,84.1
E02003033,13.4,86.6
E02003036,14.7,85.3
E02003037,12.3,87.7
E02003038,17,83
E02003039,18.8,81.2
E02003040,18,82
E02003041,13.1,86.9
E02003044,15.4,84.6
E02003045,14.9,85.1
E02003046,16.4,83.6
E02003047,14.3,85.7
E02003048,14.9,85.1
E02003049,17.7,82.3
E02003050,18.6,81.4
E02003051,15.2,84.8
E02003052,15.6,84.4
E02003053,17.4,82.6
E02003054,16.8,83.2
E02003055,20.1,79.9
E02003056,24.2,75.8
E02003057,18,82
E02003058,20.5,79.5
E02003059,18.3,81.7
E02003060,20.5,79.5
E02003061,21.8,78.2
E02003062,24.2,75.8
E02003063,16.6,83.4
E02003064,23.5,76.5
E02003065,16.5,83.5
E02003066,14.5,85.5
E02003067,15,85
E02003068,16.3,83.7
E02003070,14.1,85.9
E02003072,20.2,79.8
E02003073,14.9,85.1
E02003075,14.1,85.9
E02003077,13.1,86.9
E02003088,17.2,82.8
E02003090,18.1,81.9
E02003091,18.4,81.6
E02003092,16,84
E02003093,16.3,83.7
E02003094,16.2,83.8
E02003095,15.1,84.9
E02003096,18.8,81.2
E02003097,18.5,81.5
E02003098,11.5,88.5
E02003099,19.2,80.8
E02003101,12.7,87.3
E02003102,15.2,84.8
E02003103,16.2,83.8
E02003104,16.4,83.6
E02003105,17.6,82.4
E02003107,17.6,82.4
E02003108,16.4,83.6
E02003109,14.1,85.9
E02003110,12,88
E02003111,17.2,82.8
E02003112,19.9,80.1
E02003113,15.1,84.9
E02003114,18,82
E02003115,18.8,81.2
E02003116,21.4,78.6
E02003117,17.9,82.1
E02003118,14.7,85.3
E02003119,17.3,82.7
E02003120,16.6,83.4
E02003121,16.2,83.8
E02003172,23,77
E02003173,23.5,76.5
E02003174,19.6,80.4
E02003175,17.2,82.8
E02003176,26.2,73.8
E02003177,14,86
E02003178,20.5,79.5
E02003179,23.1,76.9
E02003180,15.8,84.2
E02003181,14.7,85.3
E02003182,14.2,85.8
E02003183,15.3,84.7
E02003194,15.8,84.2
E02003195,17.8,82.2
E02003196,16.3,83.7
E02003197,18.4,81.6
E02003198,17.7,82.3
E02003199,20,80
E02003200,21.5,78.5
E02003201,19.1,80.9
E02003214,23.8,76.2
E02003215,17.9,82.1
E02003216,18.7,81.3
E02003217,21.5,78.5
E02003218,22.3,77.7
E02003219,12.5,87.5
E02003220,16.7,83.3
E02003221,16.4,83.6
E02003222,13.1,86.9
E02003223,14.1,85.9
E02003224,16.1,83.9
E02003225,14.6,85.4
E02003226,10.2,89.8
E02003227,21.7,78.3
E02003228,12.1,87.9
E02003229,14.7,85.3
E02003230,13.9,86.1
E02003231,21.3,78.7
E02003232,13.3,86.7
E02003233,20.4,79.6
E02003234,19,81
E02003235,14.8,85.2
E02003236,17.2,82.8
E02003368,15,85
E02003376,16.1,83.9
E02003384,14.1,85.9
E02003550,18.1,81.9
E02003552,23,77
E02003554,17.5,82.5
E02003555,18.4,81.6
E02003558,18,82
E02003559,14.5,85.5
E02003560,21.8,78.2
E02003563,17.9,82.1
E02003567,17.6,82.4
E02003568,14.3,85.7
E02003569,17.1,82.9
E02003571,16,84
E02004236,19.8,80.2
E02004237,18.6,81.4
E02004238,21.7,78.3
E02004239,18.3,81.7
E02004240,23.5,76.5
E02004241,19.7,80.3
E02004243,16.4,83.6
E02004244,16.2,83.8
E02004245,17.9,82.1
E02004246,19,81
E02004247,16.3,83.7
E02004248,23.2,76.8
E02004249,14,86
E02004250,23.4,76.6
E02004251,19.3,80.7
E02004252,20.7,79.3
E02004253,18.7,81.3
E02004254,16,84
E02004255,21,79
E02004256,16.2,83.8
E02004257,18.3,81.7
E02004258,19.9,80.1
E02004259,19.3,80.7
E02004260,15.5,84.5
E02004261,20.6,79.4
E02004262,17.8,82.2
E02004263,17.2,82.8
E02004264,18.1,81.9
E02004269,19.7,80.3
E02004270,16.8,83.2
E02004271,19.2,80.8
E02004272,18,82
E02004274,22.6,77.4
E02004779,17.2,82.8
E02004780,19.7,80.3
E02004781,15.7,84.3
E02004782,20.3,79.7
E02004783,15.5,84.5
E02004784,18.2,81.8
E02004785,17.8,82.2
E02004786,16.3,83.7
E02004787,18.4,81.6
E02004788,17.1,82.9
E02004790,19.7,80.3
E02004793,17.2,82.8
E02004794,16.4,83.6
E02004795,17.5,82.5
E02004796,17.5,82.5
E02004797,17.6,82.4
E02004798,23.1,76.9
E02004799,23.1,76.9
E02004800,22.5,77.5
E02004814,13.4,86.6
E02004815,20.6,79.4
E02004817,18.7,81.3
E02004818,15.8,84.2
E02004819,16,84
E02004820,14,86
E02004821,13.8,86.2
E02004822,14.4,85.6
E02004823,15.7,84.3
E02004824,21.7,78.3
E02004825,15.9,84.1
E02004826,14.4,85.6
E02004828,14.3,85.7
E02005988,14.4,85.6
E02005991,16.2,83.8
E02006047,16,84
E02006048,16.9,83.1
E02006049,16.6,83.4
E02006050,21,79
E02006051,16.1,83.9
E02006052,17.3,82.7
E02006053,17.9,82.1
E02006054,21,79
E02006055,16.3,83.7
E02006056,16.6,83.4
E02006057,21.9,78.1
E02006058,16.2,83.8
E02006059,15.1,84.9
E02006060,19.4,80.6
E02006061,17.5,82.5
E02006075,13.8,86.2
E02006076,18.2,81.8
E02006077,20.1,79.9
E02006079,17.8,82.2
E02006080,14.5,85.5
E02006082,18.5,81.5
E02006083,19,81
E02006085,16.9,83.1
E02006086,16.2,83.8
E02006087,20.3,79.7
E02006088,20.4,79.6
E02006089,19.5,80.5
E02006090,18.7,81.3
E02006091,18.4,81.6
E02006092,15.7,84.3
E02006094,19.1,80.9
E02006095,20.3,79.7
E02006634,14.8,85.2
E02006635,16.7,83.3
E02006636,16.5,83.5
E02006637,18.1,81.9
E02006638,22.8,77.2
E02006639,18.8,81.2
E02006640,14,86
E02006641,17,83
E02006642,15.8,84.2
E02006645,15.1,84.9
E02006646,15.7,84.3
E02006647,14.6,85.4
E02006648,14,86
E02006649,19.1,80.9
E02006650,14,86
E02006651,12.8,87.2
E02006652,15.8,84.2
E02006653,16,84
E02006654,22,78
E02006655,15.8,84.2
E02006656,15.5,84.5
E02006657,17.9,82.1
E02006658,17.2,82.8
E02006659,14.1,85.9
E02006660,17.6,82.4
E02006661,10.5,89.5
E02006662,16.1,83.9
E02006663,17.4,82.6
E02006664,16.3,83.7
E02006665,20,80
E02006666,17.3,82.7
E02006667,18.1,81.9
E02006668,18.6,81.4
E02006669,17.8,82.2
E02006670,18,82
E02006671,19.1,80.9
E02006672,16.3,83.7
E02006673,19.7,80.3
E02006674,17.4,82.6
E02006675,15.7,84.3
E02006676,16.6,83.4
E02006677,16.1,83.9
E02006678,18.4,81.6
E02006679,15.9,84.1
E02006680,22.2,77.8
E02006681,16.7,83.3
E02006682,18.4,81.6
E02006683,16.7,83.3
E02006684,19.9,80.1
E02006685,16,84
E02006686,21.5,78.5
E02006687,18.7,81.3
E02006688,19.3,80.7
E02006689,16.3,83.7
E02006690,18.8,81.2
E02006692,16.4,83.6
E02006693,19,81
E02006694,21.7,78.3
E02006695,17.6,82.4
E02006847,11.1,88.9
E02006848,10.4,89.6
E02006849,11.6,88.4
E02006886,13.7,86.3
E02006887,15.1,84.9
E02006888,17.1,82.9
E02006889,16.1,83.9
E02006890,16,84
E02006949,16.6,83.4
E02006950,15.6,84.4
E02006951,13.9,86.1
E02006952,13.9,86.1
E02007023,19.3,80.7
E02007024,19.7,80.3
E02007025,13.5,86.5
E02007026,9.8,90.2
E02007064,18,82
E02007065,14.5,85.5
E02007066,13.7,86.3
E02007067,15.5,84.5
E02007076,13.6,86.4
E02007077,13.4,86.6
E02007078,20.4,79.6
W02000344,16.4,83.6
W02000345,21,79
