geography_code,is_carer_5a-001,is_carer_5a-002,is_carer_5a-003,is_carer_5a-004
E02002985,91.3,4.2,1.8,2.8
E02002986,91,4.6,1.6,2.9
E02002987,90.9,5.7,1.6,1.8
E02002988,92.1,4.9,1.4,1.6
E02002989,90.8,5.3,1.6,2.4
E02002990,92.9,4.5,1.1,1.5
E02002991,93.8,4.1,0.9,1.2
E02002992,92.1,4.9,1.2,1.8
E02002993,95,2.9,1,1
E02002994,91.6,5.5,1.2,1.7
E02002995,91.5,3.5,2,3.1
E02002996,94.6,3.8,0.6,0.9
E02002997,95.1,3.1,0.8,1
E02002998,92.9,4,1,2
E02002999,90.2,4.9,2.2,2.7
E02003000,90.4,5.6,1.5,2.5
E02003001,92.8,4.5,1,1.6
E02003002,91.3,4.5,1.8,2.5
E02003003,89.9,6,1.6,2.6
E02003004,90.8,5.3,1.3,2.6
E02003005,91.2,5.5,1.1,2.1
E02003006,91.7,4.5,1.4,2.4
E02003007,90.9,5.1,1.7,2.3
E02003008,90.2,5,2,2.8
E02003009,90.9,5.1,1.5,2.5
E02003010,90.8,4.6,1.9,2.7
E02003011,90.4,4.6,1.7,3.3
E02003012,90.8,3.9,2.1,3.2
E02003013,90.9,3.7,2.5,2.9
E02003014,90.1,3.9,2.5,3.5
E02003015,92.2,4,1.6,2.2
E02003016,92,3.6,1.9,2.6
E02003017,90.9,5.2,1.7,2.2
E02003018,90,4.8,1.9,3.3
E02003019,91,4.3,1.9,2.8
E02003020,93,4.8,0.8,1.4
E02003021,94.2,3.3,1.1,1.4
E02003022,90.8,6.2,1,2
E02003023,90.7,5.1,2,2.3
E02003024,92.1,3.9,1.7,2.3
E02003025,91.2,3.9,2.1,2.8
E02003026,93,4.4,1,1.6
E02003027,94.3,4,0.8,0.9
E02003028,93.5,4.6,0.8,1
E02003029,90.5,3.8,2.1,3.6
E02003030,92.4,4.2,1.8,1.6
E02003031,93.9,4.5,0.9,0.8
E02003032,92.2,3.8,1.9,2.1
E02003033,95.7,3.2,0.6,0.5
E02003036,95.7,2.9,0.7,0.7
E02003037,96.1,3,0.4,0.4
E02003038,91.4,4.4,1.8,2.4
E02003039,91.4,4.3,1.8,2.6
E02003040,93.8,3.6,1.4,1.2
E02003041,95,3.7,0.6,0.7
E02003044,90.9,5.1,1.7,2.3
E02003045,95,3.6,0.7,0.7
E02003046,91.8,4,1.5,2.7
E02003047,93.7,3.7,1,1.6
E02003048,93.3,4.1,1.3,1.2
E02003049,91.3,4.4,1.6,2.7
E02003050,93.7,3,1.5,1.8
E02003051,93,3.5,1.5,2
E02003052,92.3,3.7,1.4,2.5
E02003053,91.4,4.9,1.6,2.1
E02003054,90.9,5.2,1.6,2.3
E02003055,90.1,4,2.4,3.4
E02003056,88.8,4.1,2.8,4.2
E02003057,90.1,5.3,1.8,2.8
E02003058,89.9,4.4,2.1,3.6
E02003059,91,4.4,1.8,2.8
E02003060,89.9,5,2.1,3
E02003061,90.1,4.1,2.4,3.5
E02003062,88.8,4.1,3.1,4
E02003063,90.1,5,1.6,3.3
E02003064,89.5,3.5,3,4
E02003065,91.9,4.8,1.2,2.1
E02003066,90.9,5.9,1.1,2.1
E02003067,92.3,4.5,1.2,2
E02003068,91.3,5.2,1.2,2.4
E02003070,91.6,5.1,1.3,2
E02003072,90.3,5.7,1.3,2.6
E02003073,91.2,5.6,1.2,2.1
E02003075,91.1,5.3,1.3,2.3
E02003077,91.7,4.9,1.2,2.2
E02003088,90.3,5.7,1.4,2.6
E02003090,91.3,4.8,1.4,2.5
E02003091,89.6,6.5,1.8,2.2
E02003092,91,5.3,1.5,2.1
E02003093,90.1,6.2,1.3,2.5
E02003094,90.6,5.4,1.5,2.6
E02003095,91.7,4.8,1.3,2.2
E02003096,90.9,4.6,1.8,2.7
E02003097,90.3,5.3,1.6,2.8
E02003098,92.9,4.5,1.1,1.5
E02003099,91.2,4.2,1.7,2.9
E02003101,93.2,3.9,1.2,1.7
E02003102,91.1,4.9,1.2,2.8
E02003103,91.2,4.8,1.6,2.4
E02003104,91.2,4.7,1.5,2.6
E02003105,91.2,5,1.5,2.4
E02003107,92.7,3.8,1.7,1.9
E02003108,91.2,4.6,1.6,2.6
E02003109,90.7,5.4,1.6,2.2
E02003110,92.8,4.2,1.4,1.7
E02003111,91.9,4.7,1.2,2.2
E02003112,90,4.8,2.2,3
E02003113,90.6,5.7,1.4,2.3
