geography_code,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E02002985,94.4,1.5,4.1
E02002986,94.2,1.3,4.5
E02002987,95.2,1.2,3.6
E02002988,87.8,3.4,8.8
E02002989,86.1,3.4,10.5
E02002990,81.1,4.4,14.5
E02002991,78.6,4.5,17
E02002992,87.1,3.7,9.2
E02002993,79.4,4.1,16.6
E02002994,92.2,2.4,5.4
E02002995,89,1.7,9.3
E02002996,79.9,4.9,15.2
E02002997,84.5,3.4,12.1
E02002998,88,3.3,8.7
E02002999,90.9,1.9,7.2
E02003000,95.1,1.6,3.4
E02003001,89.8,3.3,6.9
E02003002,88.6,3,8.4
E02003003,87.5,2.8,9.7
E02003004,95.5,1.2,3.3
E02003005,95.8,1.7,2.5
E02003006,93.7,1.5,4.8
E02003007,96.3,1,2.7
E02003008,95.3,1.1,3.5
E02003009,97,0.8,2.2
E02003010,95.9,1,3.1
E02003011,97.2,0.6,2.3
E02003012,84.6,2.7,12.7
E02003013,81.8,2.2,16.1
E02003014,83.6,1.8,14.6
E02003015,84.3,3.2,12.5
E02003016,82.6,3.2,14.2
E02003017,89.3,3.6,7.1
E02003018,90.7,2.2,7.1
E02003019,85.9,1.9,12.2
E02003020,89.4,2.8,7.7
E02003021,86,3.3,10.6
E02003022,91,3.4,5.6
E02003023,86.3,3,10.7
E02003024,84.6,3.1,12.3
E02003025,84.4,3.6,12
E02003026,88.9,3.7,7.4
E02003027,85.7,4.5,9.8
E02003028,86.5,4.1,9.4
E02003029,85.9,3,11
E02003030,81.7,3.3,15
E02003031,84.8,5.2,10.1
E02003032,82.1,2.9,15
E02003033,84.5,4.5,11.1
E02003036,75.8,5.3,18.9
E02003037,79.9,4.6,15.4
E02003038,85,2.4,12.6
E02003039,84.6,3.3,12.1
E02003040,79,4.4,16.6
E02003041,81.6,4.7,13.7
E02003044,90.4,2.2,7.4
E02003045,80.6,5.5,13.9
E02003046,86.5,3.1,10.4
E02003047,85.3,4.1,10.6
E02003048,83.7,4.1,12.2
E02003049,89.7,2.3,7.9
E02003050,80.8,3.4,15.9
E02003051,84.2,3.7,12.1
E02003052,90.8,2.5,6.7
E02003053,88.8,2.7,8.5
E02003054,90.6,2,7.4
E02003055,87.5,2.1,10.4
E02003056,88.7,1.9,9.4
E02003057,93.3,1.5,5.2
E02003058,91.9,1.6,6.6
E02003059,91.9,1.5,6.6
E02003060,94.2,1.2,4.6
E02003061,92.3,1.1,6.7
E02003062,92.7,1.2,6.1
E02003063,95.7,0.6,3.7
E02003064,91.3,1.1,7.5
E02003065,92.3,1.8,6
E02003066,95.5,1.2,3.3
E02003067,94.7,1.1,4.2
E02003068,93.9,1.7,4.5
E02003070,94.3,1.8,3.9
E02003072,95.6,1.4,3
E02003073,95.2,1.6,3.3
E02003075,93.8,1.8,4.4
E02003077,95.7,1,3.3
E02003088,95.5,1.5,3.1
E02003090,94.3,1.3,4.4
E02003091,95.1,1,3.9
E02003092,96.5,0.8,2.7
E02003093,96.1,1,3
E02003094,93.4,1.4,5.2
E02003095,94.9,1.3,3.8
E02003096,94.9,1,4.1
E02003097,97,0.6,2.4
E02003098,83.1,3.6,13.3
E02003099,94.9,1,4.1
E02003101,83,3.2,13.8
E02003102,95.8,1.3,2.9
E02003103,95.5,0.7,3.8
E02003104,91.5,1.5,7
E02003105,95.3,1.3,3.4
E02003107,84.3,2.3,13.3
E02003108,93.2,1.7,5.1
E02003109,95.5,1,3.5
E02003110,92.1,1.8,6.1
E02003111,92.9,1.9,5.3
E02003112,94.6,1.2,4.2
E02003113,96.4,1.1,2.4
E02003114,93.4,1.1,5.5
E02003115,90.5,1.4,8.1
E02003116,92.1,1.1,6.8
E02003117,91.9,1.6,6.6
E02003118,94.9,1,4.1
E02003119,96.3,0.8,2.8
E02003120,95.3,1.1,3.6
E02003121,97,0.9,2.1
E02003172,94.6,1.1,4.3
E02003173,94.5,1.1,4.4
E02003174,93.9,1.2,4.9
E02003175,90.6,2,7.4
E02003176,92.8,1.2,6
E02003177,92.5,1.6,5.9
E02003178,91.5,1.8,6.7
E02003179,89.1,1.7,9.2
E02003180,85.9,2.5,11.7
E02003181,88.2,2.5,9.3
E02003182,89.6,2.2,8.2
E02003183,87.4,2.8,9.9
E02003194,95.9,1.5,2.6
E02003195,95,1,4
E02003196,96.1,1,2.9
E02003197,95,1.2,3.7
E02003198,94.3,1.1,4.6
E02003199,95.6,1.1,3.3
E02003200,90.3,1.6,8.1
E02003201,89.8,1.6,8.5
E02003214,93,0.8,6.2
E02003215,93.4,1,5.5
E02003216,92.3,1.2,6.5
E02003217,90,1.7,8.4
E02003218,91.4,1.2,7.4
E02003219,92.7,1.9,5.4
E02003220,92.3,1.5,6.2
E02003221,68.5,2.5,29
E02003222,90.1,2.2,7.7
E02003223,76.3,2.9,20.8
E02003224,93.1,1.1,5.9
E02003225,85.9,2.6,11.5
E02003226,41.5,3.2,55.3
E02003227,79.8,1.9,18.3
E02003228,72,3,25
E02003229,89.6,1.9,8.5
E02003230,60.8,3.2,35.9
E02003231,81,1.8,17.2
E02003232,83.2,3.3,13.5
E02003233,86.5,2,11.5
E02003234,89.9,1.9,8.2
E02003235,87.8,2.8,9.4
E02003236,93.3,1.4,5.3
E02003368,93.7,1.5,4.8
E02003376,93.5,1.4,5.1
E02003384,94.6,1.5,3.9
E02003550,87.9,2.1,10
E02003552,87.6,1.9,10.5
E02003554,80.1,3.5,16.5
E02003555,87.6,2.1,10.3
E02003558,73.9,3.6,22.5
E02003559,83.4,3.9,12.8
E02003560,90.9,1.2,8
E02003563,81.4,2.7,16
E02003567,85.9,2.1,11.9
E02003568,71.6,4,24.4
E02003569,70.7,3.8,25.5
E02003571,66.1,3.8,30.1
E02004236,96.3,1.1,2.6
E02004237,96.1,1.1,2.8
E02004238,95.6,1.1,3.3
E02004239,95.8,1.1,3
E02004240,95.8,0.9,3.3
E02004241,94.4,1.2,4.4
E02004243,97.3,1,1.8
E02004244,97.4,0.9,1.7
E02004245,96.7,1.1,2.2
E02004246,95.8,1.2,3
E02004247,97.2,0.9,1.9
E02004248,97.3,0.6,2
E02004249,96.5,1.1,2.3
E02004250,95.8,1.1,3.2
E02004251,97.6,0.7,1.7
E02004252,96,1.1,3
E02004253,96.9,0.7,2.3
E02004254,97,0.9,2.1
E02004255,95.1,1.2,3.7
E02004256,95.4,1,3.7
E02004257,93.8,1.3,4.9
E02004258,94.2,1.2,4.7
E02004259,95.1,1.4,3.5
E02004260,93.9,1.3,4.8
E02004261,95.1,1.1,3.8
E02004262,96.4,1.1,2.5
E02004263,97.3,0.9,1.8
E02004264,96.7,0.8,2.5
E02004269,94,1.9,4
E02004270,96.1,1.1,2.8
E02004271,96.3,1.2,2.5
E02004272,96.3,1.1,2.6
E02004274,95.2,1.5,3.3
E02004779,95.8,1.2,3
E02004780,97.4,0.6,1.9
E02004781,96.4,0.9,2.7
E02004782,96.3,1,2.7
E02004783,96.5,0.8,2.6
E02004784,97,1,2
E02004785,95.3,1.2,3.5
E02004786,95.6,1.2,3.2
E02004787,96.3,1.2,2.5
E02004788,95.8,1.5,2.7
E02004790,96.1,0.8,3.1
E02004793,93.8,2,4.2
E02004794,95.9,1.5,2.6
E02004795,93.4,1.7,5
E02004796,97.2,0.8,2.1
E02004797,92.9,1.6,5.5
E02004798,95.3,0.9,3.8
E02004799,93.6,1.1,5.3
E02004800,95.4,1.2,3.4
E02004814,94.6,1.6,3.7
E02004815,86.8,1.6,11.6
E02004817,91.1,1.5,7.5
E02004818,93.4,1.6,5
E02004819,92.1,1.3,6.6
E02004820,96,0.8,3.3
E02004821,94.7,1.6,3.7
E02004822,95.9,1.2,2.9
E02004823,95.6,1.4,3
E02004824,94.9,1.4,3.7
E02004825,95.1,1.4,3.5
E02004826,95.1,1.5,3.4
E02004828,93.7,1.7,4.6
E02005988,93.2,1.6,5.2
E02005991,92.5,1.8,5.7
E02006047,94.5,1.8,3.7
E02006048,94.9,1.6,3.5
E02006049,95,1.5,3.5
E02006050,91.1,2.1,6.7
E02006051,93.8,1.6,4.6
E02006052,94.4,1.5,4.1
E02006053,92.4,1.6,6
E02006054,93.1,2.2,4.6
E02006055,90,1.3,8.7
E02006056,95.6,1.3,3.1
E02006057,92.3,2.4,5.3
E02006058,94.3,1.7,3.9
E02006059,94.6,1.4,3.9
E02006060,93.2,1.5,5.3
E02006061,95.5,1.2,3.3
E02006075,93.5,2.1,4.4
E02006076,96.3,1,2.7
E02006077,96.6,1,2.4
E02006079,94.3,1.3,4.4
E02006080,95.7,1,3.3
E02006082,96.4,0.9,2.8
E02006083,95.9,1,3.1
E02006085,91.5,1.4,7.1
E02006086,92.7,1.2,6.1
E02006087,91.2,1.1,7.7
E02006088,88.6,1.4,10
E02006089,77.2,1.9,20.9
E02006090,91.1,1.4,7.6
E02006091,96.9,1,2.2
E02006092,94.4,1,4.6
E02006094,96.8,0.8,2.4
E02006095,95.4,0.9,3.6
E02006634,94.6,1.6,3.7
E02006635,93.3,2.3,4.3
E02006636,95.1,1.4,3.5
E02006637,95,1.2,3.8
E02006638,94.3,1.4,4.4
E02006639,96.4,1.1,2.5
E02006640,95.9,1.2,3
E02006641,96.3,1.4,2.4
E02006642,96.8,1.2,2
E02006645,91.9,2.4,5.6
E02006646,93.6,1.8,4.6
E02006647,96.6,1.1,2.3
E02006648,93.6,1.6,4.7
E02006649,94.5,1.2,4.3
E02006650,92.6,1.3,6.1
E02006651,94.5,1.4,4.1
E02006652,93.2,1.6,5.2
E02006653,94.5,1.3,4.1
E02006654,91.8,1.8,6.4
E02006655,95.8,1.1,3.1
E02006656,93.6,1.6,4.8
E02006657,95.4,1.2,3.4
E02006658,96.4,1,2.6
E02006659,94.2,1.6,4.1
E02006660,94.9,1.5,3.6
E02006661,88.1,1.8,10.1
E02006662,95.8,0.9,3.3
E02006663,94.5,1,4.4
E02006664,96.5,0.9,2.6
E02006665,96.8,1,2.2
E02006666,93.8,1.8,4.4
E02006667,93.4,1.4,5.2
E02006668,95,1.4,3.6
E02006669,94.8,1.7,3.5
E02006670,86.5,2.2,11.4
E02006671,86.2,2.2,11.6
E02006672,92.5,1.8,5.6
E02006673,89.5,2.1,8.4
E02006674,88.8,2.7,8.5
E02006675,96.5,1.1,2.4
E02006676,95.2,1.4,3.4
E02006677,96.1,1.4,2.6
E02006678,96,1.2,2.8
E02006679,95.8,1,3.2
E02006680,94.9,1.1,4
E02006681,94.2,1.9,3.9
E02006682,92.8,2.5,4.7
E02006683,94.5,1.4,4
E02006684,84.6,1.8,13.5
E02006685,91.1,1.7,7.1
E02006686,93.2,1.5,5.3
E02006687,89.9,1.8,8.3
E02006688,90.4,1.5,8.1
E02006689,95.9,1.1,3
E02006690,95.9,1.2,2.9
E02006692,92.6,0.9,6.4
E02006693,95.4,1,3.5
E02006694,93.8,1.2,5
E02006695,96.1,1,2.9
E02006847,89.5,2.2,8.3
E02006848,84.1,2.7,13.1
E02006849,89.3,2.4,8.3
E02006886,93.2,1.9,5
E02006887,68.1,5.2,26.6
E02006888,74.6,3.9,21.5
E02006889,73.6,3.4,23.1
E02006890,75.3,4.4,20.3
E02006949,80.1,4.9,15
E02006950,74.9,4.6,20.4
E02006951,65.9,5.5,28.6
E02006952,68.3,5.2,26.6
E02007023,95.9,1.1,3
E02007024,94.4,1.4,4.2
E02007025,92.4,1.3,6.2
E02007026,87.2,1.9,10.9
E02007064,86.9,2.2,10.9
E02007065,81.4,3.7,14.9
E02007066,81.9,3.1,15
E02007067,89.1,2.6,8.3
E02007076,87.9,2.3,9.8
E02007077,91.8,1.6,6.6
E02007078,89.2,1.5,9.2
W02000344,96.5,1.2,2.3
