geography_code,english_proficiency_4a-001,english_proficiency_4a-002,english_proficiency_4a-003
E00158766,95.3,4.4,0.3
E00158767,97.4,2.6,0
E00158768,96.1,3.7,0.2
E00158769,97.3,2.4,0.3
E00158770,97.6,2.4,0
E00158771,99.5,0.5,0
E00158774,96.4,3.6,0
E00158776,97,3,0
E00158778,99.4,0.6,0
E00158779,98.4,1.3,0.3
E00158789,99,0,1
E00158790,98,0.9,1.1
E00158791,97.5,2.5,0
E00158793,99.3,0.7,0
E00158794,96.4,3.6,0
E00158795,98.8,1.3,0
E00158796,95.5,4.1,0.4
E00158797,97.9,1.7,0.4
E00158798,99.2,0.8,0
E00158799,94.6,5,0.4
E00158800,97.2,2.6,0.2
E00158801,93.6,6.1,0.3
E00158802,92.4,6.9,0.7
E00158803,79.8,18.1,2.1
E00158804,99.1,0.9,0
E00158806,95.1,4.3,0.7
E00158807,93.4,5.3,1.3
E00158808,92.9,6.1,1.1
E00158809,89.4,6.9,3.7
E00158810,82.4,13,4.6
E00158811,91.9,8.1,0
E00158812,88.7,10.5,0.8
E00158813,97.2,2.8,0
E00158814,94.4,5.6,0
E00158815,90.6,8.9,0.4
E00158816,94.6,4.4,1
E00158818,97.3,0.8,1.9
E00158819,99.6,0.4,0
E00158820,100,0,0
E00158821,99.3,0.7,0
E00158822,97.7,2.3,0
E00158823,99.6,0.4,0
E00158824,99.1,0.5,0.5
E00158825,98.5,1.1,0.4
E00158829,98.5,1.5,0
E00158830,100,0,0
E00158831,93.7,4.8,1.5
E00158832,87.3,11.4,1.2
E00158833,95.5,3.9,0.6
E00158834,91.4,7.3,1.4
E00158835,89.3,8.7,2
E00158836,95.1,3.6,1.3
E00158837,93.4,5.6,1
E00158838,92.5,6.7,0.7
E00158839,92.3,6.5,1.2
E00158840,92.9,5.4,1.7
E00158841,95.6,3.7,0.7
E00158843,94.8,4.3,0.9
E00158844,90.9,7.5,1.6
E00158845,88.2,10.5,1.3
E00158846,96.6,3.1,0.3
E00158847,91.5,7.3,1.2
E00158848,96.4,2.9,0.7
E00158849,99.3,0.7,0
E00158850,92.7,6.6,0.7
E00158851,88.6,8.1,3.3
E00158853,94.7,4.8,0.5
E00158855,91.5,7.9,0.6
E00158856,94.4,3.5,2.1
E00158857,88.3,11.7,0
E00158858,93.6,5.5,0.8
E00158859,97.3,2.7,0
E00158860,98.8,0.9,0.3
E00158861,98.1,1.9,0
E00158862,99.3,0.7,0
E00158863,99.8,0.2,0
E00158865,72.4,21.5,6.1
E00158866,83.1,13.7,3.1
E00158867,84.3,12.8,2.9
E00158868,85.4,13.6,1
E00158869,84.9,13.9,1.2
E00158870,90.2,7.6,2.2
E00158871,91.7,7.7,0.6
E00158873,91.7,5,3.3
E00158876,72,22.8,5.2
E00158877,73.4,17.9,8.6
E00158878,74.3,18.3,7.4
E00158879,69.1,23.9,6.9
E00158880,76.4,20.5,3.1
E00158881,84.4,12.3,3.4
E00158882,70.2,22.1,7.7
E00158883,75.4,17.2,7.4
E00158884,88.6,11,0.4
E00158885,87.2,11,1.8
E00158886,69.8,24,6.3
E00158888,72.6,22.4,5
E00158889,90.6,8.5,0.9
E00158890,97,3,0
E00158891,87.8,9.9,2.3
E00158892,87.6,10.1,2.3
E00158893,66.8,30.1,3.1
E00158894,84,14.2,1.8
E00158895,88.8,9.1,2.1
E00158896,80.4,16.5,3
E00158897,84.7,12.6,2.7
E00158898,88.6,10,1.3
E00158899,59.9,29.1,11
E00158901,68.1,25.3,6.6
E00158903,67.1,25.2,7.8
E00158906,82.4,12.9,4.7
E00158907,95.7,3.9,0.4
E00158908,95.9,4.1,0
E00158909,86.2,12.4,1.4
E00158910,87.7,11.5,0.8
E00158911,83.7,14.7,1.7
E00158912,83.7,14.8,1.4
E00158913,90.1,8.1,1.8
E00158914,85.3,12,2.7
E00158915,85.5,13.2,1.3
E00158916,92.1,6.8,1.1
E00158917,96.1,3.9,0
E00158918,92.9,6.3,0.8
E00158919,97.9,2.1,0
E00158920,93.4,5.9,0.8
E00158921,95.4,4.2,0.4
E00158922,89.4,9.5,1.1
E00158923,80.7,16.5,2.8
E00158924,70.6,25.3,4.2
E00158925,88.9,8.1,3
E00158926,83.9,14.2,1.9
E00158927,87.9,11.6,0.5
E00158928,93.3,6.7,0
E00158929,97,3,0
E00158931,94,5.4,0.6
E00158932,96.1,3.9,0
E00158933,94,5.5,0.5
E00158934,96,3,1
E00158935,92.7,7,0.3
E00158936,94.7,4.7,0.6
E00158937,91.4,7.5,1.1
E00158944,98.4,1.6,0
E00159114,95.7,3.4,0.9
