geography_code,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E00050306,92.6,0,7.4
E00050307,92.9,0,7.1
E00050308,92.1,0.3,7.6
E00050309,95.4,0,4.6
E00050310,89,0,11
E00050320,90.8,0.4,8.8
E00050321,88,1.5,10.5
E00050322,93.5,0.3,6.1
E00050323,90.6,0.4,9
E00050324,93.6,0,6.4
E00050325,85.5,0.3,14.2
E00050326,96.8,0.3,2.9
E00050327,78.6,1.3,20.1
E00050328,72.4,1.4,26.2
E00050329,92,1.9,6.1
E00050330,92.8,3.3,4
E00050331,74,1.4,24.7
E00050332,78.5,2.6,18.9
E00050333,89.1,1.1,9.9
E00050334,89.1,2.5,8.5
E00050335,91.2,0.3,8.5
E00050336,92.3,0.4,7.4
E00050337,88.9,0.8,10.2
E00050338,93.5,0,6.5
E00050339,95.3,0.6,4.1
E00050341,82.8,1.1,16.1
E00050342,92.1,0,7.9
E00050343,88,2.2,9.8
E00050386,89.7,1,9.3
E00050387,95.8,0,4.2
E00050388,95.4,0.9,3.7
E00050389,94.9,1,4
E00050390,97.8,0,2.2
E00050391,95.8,0.3,3.8
E00050392,90.5,0.6,8.9
E00050393,97,0.5,2.5
E00050394,94,0,6
E00050395,89.1,1.1,9.8
E00050396,95.7,0,4.3
E00050397,98,0,2
E00050398,93.2,0,6.8
E00050399,96.8,0.6,2.5
E00050400,94.6,0.3,5.1
E00050401,95.7,0.4,3.9
E00050402,90.3,1.8,7.9
E00050403,90.9,1.4,7.7
E00050404,96.3,0.5,3.3
E00050405,90.3,0.3,9.4
E00050406,90.6,0.6,8.8
E00050407,93.8,0.7,5.5
E00050408,90.1,0.6,9.3
E00050409,93.9,1.5,4.7
E00050410,91.9,0.3,7.8
E00050411,83.4,0,16.6
E00050412,90.6,1.1,8.3
E00050413,86.9,0.9,12.2
E00050414,89.6,0.3,10
E00050415,96.2,0,3.8
E00050416,89.4,0,10.6
E00050417,93.4,0.5,6.1
E00050418,91.6,1.5,6.8
E00050419,95.7,0,4.3
E00050420,89.8,1,9.3
E00050423,90,2.6,7.4
E00050424,89.8,0.8,9.3
E00050427,94.9,1.6,3.5
E00050428,96.7,0.8,2.5
E00050429,91.1,3.3,5.6
E00050431,92.5,0.9,6.6
E00050432,90.5,1.5,8
E00050433,87.5,1.2,11.3
E00050434,88.9,3.7,7.4
E00050436,95.1,1.3,3.6
E00050438,90.7,0,9.3
E00050440,86.3,1.6,12.1
E00050442,94.7,0,5.3
E00050443,95.5,0,4.5
E00050444,91.1,3.4,5.5
E00050445,92,2.4,5.6
E00050446,98.3,0.3,1.4
E00050447,87.1,1.2,11.7
E00050448,92.8,1.4,5.8
E00050449,88.8,3,8.2
E00050450,89.3,2.7,7.9
E00050451,91.9,0.6,7.5
E00050452,91.4,0.8,7.8
E00050453,91.7,1.6,6.7
E00050454,93.2,0.6,6.3
E00050455,93.5,0,6.5
E00050456,93.2,0.3,6.5
E00050457,98.1,1,1
E00050458,86.3,3.3,10.4
E00050459,90.6,1.9,7.5
E00050460,98.7,0,1.3
E00050461,84.8,3.6,11.6
E00050543,85.7,3.1,11.2
E00050544,82,1,17
E00050545,92,0.6,7.5
E00050559,87.6,1.4,11
E00050560,75.9,0.5,23.5
E00050561,93,0.6,6.4
E00050562,96.4,0,3.6
E00050563,84.7,1.1,14.1
E00050564,93.1,0.8,6.1
E00050565,91.8,0.9,7.2
E00050566,77.5,0.3,22.2
E00050567,83.3,1.6,15
E00050568,88.7,3.8,7.5
E00050569,86.4,0,13.6
E00050570,84.1,0.8,15.1
E00050571,90.8,1,8.2
E00050572,88.4,0,11.6
E00050573,83.9,0.6,15.5
E00050574,87,0.6,12.5
E00050575,80.3,1.9,17.8
E00050577,74.3,4.1,21.7
E00050620,91.5,0.8,7.7
E00050621,88.1,1.5,10.4
E00050629,77.2,1,21.8
E00050630,95,0.9,4.1
E00050631,92.5,0.4,7.1
E00050632,91.4,1.7,6.9
E00050634,87.4,3.1,9.6
E00050635,91.1,4.4,4.4
E00050636,94.4,0.7,4.9
E00050637,94.6,0.7,4.7
E00050638,89.2,0.6,10.2
E00050639,86.7,3.3,10
E00050640,87.7,1.8,10.5
E00050641,90.5,0.8,8.7
E00050642,92.7,3,4.3
E00050643,88.6,3.6,7.8
E00050644,94.7,0.9,4.4
E00050645,84.3,1.3,14.4
E00050646,88.5,2,9.6
E00050647,86.4,2.4,11.2
E00050649,92.9,2.8,4.2
E00050650,90.5,0.3,9.2
E00050651,91.5,2.7,5.8
E00050652,89.1,1.9,9.1
E00050653,85,3.1,11.8
E00050654,86.2,5.4,8.4
E00050655,84.7,2.2,13.1
E00050656,85,0.3,14.7
E00050995,95.7,0.5,3.9
E00050996,95,1.1,3.9
E00050997,93.2,0.8,6
E00050998,98.2,0,1.8
E00050999,98.1,0,1.9
E00051000,96.7,0,3.3
E00051001,97.3,0,2.7
E00051002,97.3,0.6,2.1
E00051003,91.8,1.1,7.1
E00051004,94.5,2.4,3.1
E00051005,88.1,0.3,11.6
E00051007,94.9,0.3,4.8
E00051008,94.3,0,5.7
E00051009,95.2,0,4.8
E00051012,95.9,0,4.1
E00051013,99.1,0.3,0.6
E00051015,90.6,2.1,7.4
E00051017,94.1,0.3,5.5
E00051018,94.9,0.8,4.3
E00051021,89.1,1.3,9.6
E00051022,88.5,1.7,9.8
E00051024,95,0.6,4.4
E00051026,90.9,0.6,8.5
E00051027,88,1.3,10.7
E00051028,90.5,1,8.4
E00051029,93.5,3.1,3.4
E00051030,96.7,0,3.3
E00051031,89.9,1.8,8.3
E00051033,94.9,0.9,4.2
E00051034,92.4,0.6,7
E00051036,74.8,1.7,23.5
E00051037,89,0.4,10.6
E00051038,89.6,0.6,9.8
E00051039,78.8,0.6,20.6
E00051040,76.5,1.4,22.2
E00051041,87,1.8,11.2
E00051042,98.5,0,1.5
E00051045,87.4,0.4,12.2
E00051047,74.5,1.6,23.9
E00051055,96.8,1.1,2.2
E00051056,82,5.8,12.1
E00051057,97.9,0,2.1
E00051058,97.6,0,2.4
E00051060,90.6,1.9,7.5
E00051065,93.2,0,6.8
E00051066,91.3,2.5,6.2
E00051067,83.2,0.4,16.5
E00051069,92.6,2.3,5
E00051070,74.5,5.5,20
E00051071,71.4,1.1,27.5
E00051072,83.8,0,16.2
E00051073,85.2,2,12.8
E00051849,93.9,0.3,5.8
E00051854,90.6,2.8,6.6
E00051866,90.5,1.4,8.1
E00051872,87.7,1.4,10.9
E00051885,91.8,1.2,7
E00051924,85,2.3,12.6
E00051925,65.9,2.3,31.8
E00051926,71.6,1.9,26.5
E00051927,75.1,2,22.8
E00051928,77.4,2.4,20.1
E00052155,92.9,1.1,6
E00052159,94.4,0.4,5.2
E00052180,78.1,1,20.9
E00052181,90.2,5.7,4.1
E00052182,94.9,1.2,3.9
E00052183,74.3,5.7,20
E00052184,96.5,0.8,2.7
E00052185,86.6,1,12.4
E00052186,92.3,4.2,3.4
E00052187,92.7,1.3,6.1
E00052188,94.5,2.4,3.2
E00052189,82.5,2.4,15.1
E00052190,91.5,1.7,6.8
E00052191,91.3,1.9,6.7
E00052192,92.3,4.2,3.4
E00052193,93,3.5,3.5
E00052194,90,3,6.9
E00052195,92.8,2.6,4.6
E00052196,94.1,0.6,5.3
E00052197,85.7,3,11.3
E00052198,91.8,1.5,6.8
E00052199,87.9,2.7,9.4
E00052200,89.2,1.5,9.3
E00052201,94,1.2,4.8
E00052202,93.2,2.1,4.7
E00052203,93.9,3.1,3.1
E00052204,92.5,1,6.5
E00052205,92.2,2.3,5.5
E00052206,90.6,3.5,5.8
E00052207,90.6,3.1,6.3
E00052208,89.4,4,6.6
E00052209,95.8,1,3.2
E00052210,90.4,2.3,7.3
E00052211,96.7,1.3,2
E00052212,91.2,1.1,7.7
E00052213,94.6,1,4.4
E00052214,89.6,5.5,4.9
E00052215,86.2,2.6,11.2
E00052216,93,2.6,4.4
E00052217,80.5,3.1,16.4
E00052218,89.5,1.9,8.5
E00052219,75.5,2.2,22.3
E00052220,97.5,0.8,1.7
E00052221,84.4,6.8,8.8
E00052222,72.8,2.9,24.3
E00052223,62.9,2,35.1
E00052224,86.9,1.8,11.2
E00052225,87.4,1.5,11.1
E00052226,88.2,1.5,10.3
E00052227,84.3,2.8,13
E00052228,65,2.7,32.3
E00052229,82.5,2.7,14.7
E00052230,64.4,1.7,33.8
E00052231,90.4,0.7,8.9
E00052232,77.8,1.2,21
E00052233,84.9,5.9,9.2
E00052234,78.9,0.2,20.9
E00052235,87.2,3.8,9
E00052236,83.2,3.4,13.4
E00052237,84.4,1,14.6
E00052238,90.5,1.7,7.8
E00052239,87.8,1.2,11
E00052240,85.9,3,11.1
E00052241,88,1.5,10.4
E00052242,90,0.5,9.5
E00052243,91.4,1,7.7
E00052244,92.4,1.1,6.5
E00052245,87.8,2.3,9.9
E00052246,89.8,1.3,8.9
E00052247,88,1.8,10.2
E00052248,88.2,0.9,10.9
E00052249,78.5,3.8,17.7
E00052250,77.3,4.3,18.4
E00052251,72.6,1.9,25.5
E00052252,79.5,4.1,16.5
E00052253,72.9,2,25.1
E00052254,84.7,3,12.3
E00052255,74.1,2.3,23.6
E00052256,83.6,3.4,13
E00052257,78.9,2.6,18.5
E00052258,73,2.8,24.2
E00052259,82.2,3,14.9
E00052260,81.6,2.4,16
E00052261,72.6,2,25.4
E00052262,78.8,1.3,19.9
E00052340,72.6,3.3,24.1
E00052341,85.3,0.8,13.9
E00052342,81.1,3.2,15.6
E00052343,73,3,24.1
E00052344,82.4,1.1,16.5
E00052345,77.5,1.3,21.2
E00052346,80.1,2,17.9
E00052347,84.8,0.9,14.3
E00052349,83.3,1.2,15.5
E00052350,83.6,3,13.5
E00052351,77.2,2.8,20
E00052352,84.9,2.7,12.4
E00052353,78.3,3.5,18.2
E00052354,78.8,2.3,19
E00052355,64.1,5.3,30.6
E00052356,69.9,3.8,26.3
E00052357,80.5,4.5,15
E00052358,77.1,2.4,20.5
E00052359,73.6,3.4,23
E00052360,64,2.4,33.6
E00052361,70.5,4.4,25.1
E00052362,76.3,2.6,21.1
E00052363,86.2,1.7,12.1
E00052364,75.1,1.8,23.1
E00052365,78.1,0.3,21.6
E00052366,80.2,4.3,15.5
E00052367,86.2,0.3,13.5
E00052368,70.8,2.5,26.8
E00052369,88,1.9,10.1
E00052370,86.5,1.2,12.2
E00052371,83.7,2.5,13.8
E00052372,82.2,2.1,15.7
E00052373,80.7,4.4,14.8
E00052374,77.6,1.7,20.7
E00052375,74.9,1.3,23.7
E00052376,91.7,2.4,5.9
E00052377,82.3,1.1,16.6
E00052378,77.9,1.4,20.7
E00052379,79.9,3.4,16.8
E00052393,87.4,2.1,10.5
E00052395,85.6,0.6,13.8
E00052396,82.4,2.3,15.2
E00052397,88.8,0,11.2
E00052399,72.3,2.7,24.9
E00052400,82.8,2.3,14.9
E00052401,82.9,0.6,16.6
E00052402,73.2,2.3,24.5
E00052404,72.8,1.5,25.7
E00052406,86.2,2.4,11.5
E00052407,89,3.1,7.9
E00052408,68,3,29.1
E00052409,83.9,2,14.1
E00052410,95.5,0,4.5
E00052411,90.2,2.8,7
E00165818,90.9,1.9,7.2
E00168229,77.9,2.1,20
E00168230,90.8,0.6,8.6
E00168231,88.7,2.3,9
E00168232,89.3,0.4,10.2
E00168233,85.8,3,11.2
E00168239,86.9,5,8.1
E00168240,67.1,2.5,30.4
E00168241,93.5,0.5,6
E00168243,60.3,4.5,35.3
E00168255,64.5,5.1,30.3
E00168256,66.4,2.1,31.5
E00168257,64.3,1.6,34.1
E00168258,78.2,5.6,16.2
E00177371,92.6,1.5,5.9
E00177374,92.4,2.4,5.2
E00177376,87.5,6.9,5.6
E00177392,69.7,2.7,27.6
E00177398,85.8,11,3.1
E00177402,74.6,2.5,22.8
E00177409,69.8,3,27.1
E00177411,85,1.5,13.6
E00177418,62.3,5,32.7
E00177434,64.9,2.7,32.4
E00177435,96,0.9,3.2
E00177441,73,5.1,21.9
E00177456,70.8,1,28.2
E00177475,67.6,6.9,25.5
E00177479,90.2,1.8,8
