geography_code,in_full_time_education-001,in_full_time_education-002
E00000922,25.6,74.4
E00000923,17.9,82.1
E00000924,25.3,74.7
E00000925,29.3,70.7
E00000926,23.2,76.8
E00000927,26.1,73.9
E00000928,27.9,72.1
E00000929,25.7,74.3
E00000930,29.8,70.2
E00000931,37.4,62.6
E00000932,28,72
E00000934,35.9,64.1
E00000935,23.8,76.2
E00000936,20.2,79.8
E00000937,25.7,74.3
E00000938,29,71
E00000939,26.2,73.8
E00000940,24.2,75.8
E00000943,20,80
E00000944,26.4,73.6
E00000945,29,71
E00000961,30,70
E00000962,31.6,68.4
E00000963,29.9,70.1
E00000964,24.4,75.6
E00000965,22.5,77.5
E00001108,25.1,74.9
E00001117,24.5,75.5
E00001118,31.9,68.1
E00001119,26.1,73.9
E00001120,25.6,74.4
E00001121,23.7,76.3
E00001122,20.4,79.6
E00001123,30.4,69.6
E00001124,29.3,70.7
E00001125,33.7,66.3
E00001126,22.7,77.3
E00001127,26,74
E00001128,22.9,77.1
E00001129,28.7,71.3
E00001130,21.8,78.2
E00001131,25.6,74.4
E00001132,16.5,83.5
E00001133,21.7,78.3
E00001134,16.7,83.3
E00001136,20.4,79.6
E00001137,21.4,78.6
E00001138,27.6,72.4
E00001139,23,77
E00001140,18,82
E00001207,25.1,74.9
E00001208,21.7,78.3
E00001209,22,78
E00001210,19.1,80.9
E00001212,22.7,77.3
E00001213,16.8,83.2
E00001214,14.2,85.8
E00001215,14.8,85.2
E00001216,15.4,84.6
E00001217,18.9,81.1
E00001218,20.7,79.3
E00001219,22.2,77.8
E00001220,25.3,74.7
E00001221,20.4,79.6
E00001222,23,77
E00001223,13.9,86.1
E00001224,19.1,80.9
E00001226,17.3,82.7
E00001227,20.5,79.5
E00001228,20.6,79.4
E00001229,17.7,82.3
E00001230,15.8,84.2
E00001231,11.5,88.5
E00001232,19.3,80.7
E00001233,19.9,80.1
E00001234,12.5,87.5
E00001235,22.2,77.8
E00001236,19.3,80.7
E00001237,15.4,84.6
E00001238,17.7,82.3
E00001239,19.5,80.5
E00001240,19.6,80.4
E00001241,22.7,77.3
E00001242,22.7,77.3
E00001243,15.1,84.9
E00001244,11.7,88.3
E00001245,9.9,90.1
E00001246,8.1,91.9
E00001247,10.6,89.4
E00001249,19,81
E00001250,23,77
E00001251,14.8,85.2
E00001252,17.6,82.4
E00001253,16.2,83.8
E00001254,16.3,83.7
E00001259,23.8,76.2
E00001266,11.5,88.5
E00001267,19.3,80.7
E00001295,38.7,61.3
E00001296,21.4,78.6
E00001297,30.2,69.8
E00001298,23,77
E00001299,24.8,75.2
E00001300,25.3,74.7
E00001301,22.6,77.4
E00001303,17.9,82.1
E00001304,19.5,80.5
E00001308,11,89
E00001333,14.9,85.1
E00001334,14.5,85.5
E00001335,23.7,76.3
E00001336,18.9,81.1
E00001337,18.9,81.1
E00001340,20.9,79.1
E00001341,18.4,81.6
E00001342,19,81
E00001346,18.5,81.5
E00001349,13,87
E00001350,21.3,78.7
E00001351,13.1,86.9
E00001353,18.5,81.5
E00001354,17.8,82.2
E00001355,19.9,80.1
E00001356,10.4,89.6
E00001357,14.2,85.8
E00001361,30.6,69.4
E00001367,16.7,83.3
E00001368,23.9,76.1
E00001369,17.1,82.9
E00001370,18.5,81.5
E00001371,13.2,86.8
E00001372,19.4,80.6
E00001374,15.9,84.1
E00001375,21.8,78.2
E00001376,24.8,75.2
E00001380,19.9,80.1
E00001381,20.1,79.9
E00001382,25.6,74.4
E00001383,25.2,74.8
E00001384,17.4,82.6
E00001385,23.7,76.3
