areacd,country_of_birth_3a-001,country_of_birth_3a-002
E00032987,60.8,39.2
E00032988,89.1,10.9
E00032989,82.3,17.7
E00032990,73.6,26.4
E00032991,83.5,16.5
E00032992,78,22
E00032993,68.3,31.7
E00032994,80.9,19.1
E00032995,80.2,19.8
E00032996,90.1,9.9
E00032997,68.1,31.9
E00032998,82.6,17.4
E00032999,80.1,19.9
E00033000,60.3,39.7
E00033002,80.5,19.5
E00033004,84.1,15.9
E00033005,87.6,12.4
E00033006,78.2,21.8
E00033007,81.3,18.7
E00033008,80.6,19.4
E00033015,50.8,49.2
E00033016,66.9,33.1
E00033020,85.5,14.5
E00033021,69.7,30.3
E00033023,86.1,13.9
E00033032,85.5,14.5
E00033066,81.9,18.1
E00033067,84.8,15.2
E00033069,81.4,18.6
E00033070,82.2,17.8
E00033132,78.4,21.6
E00033133,85.4,14.6
E00033134,77.4,22.6
E00033135,84.4,15.6
E00033136,81.4,18.6
E00033137,70,30
E00033138,63.1,36.9
E00033139,86.6,13.4
E00033140,97,3
E00033141,74.8,25.2
E00033142,87.9,12.1
E00033143,62,38
E00033144,85.1,14.9
E00033145,82,18
E00033146,84.7,15.3
E00033147,87.3,12.7
E00033148,82,18
E00033149,84.5,15.5
E00033150,71.2,28.8
E00033151,64.1,35.9
E00033152,65.5,34.5
E00033153,83.8,16.2
E00033154,49.6,50.4
E00033155,74.9,25.1
E00033156,61.9,38.1
E00033157,56.2,43.8
E00033158,64.2,35.8
E00033159,70.4,29.6
E00033160,62.1,37.9
E00033161,83.7,16.3
E00033162,68,32
E00033163,75.4,24.6
E00033164,91.5,8.5
E00033171,95.1,4.9
E00033172,74.9,25.1
E00033173,98.6,1.4
E00033174,94.5,5.5
E00033175,95.6,4.4
E00033176,79.2,20.8
E00033177,96.8,3.2
E00033178,89.4,10.6
E00033179,94.7,5.3
E00033181,87,13
E00033182,78.1,21.9
E00033183,85.8,14.2
E00033185,91.8,8.2
E00033186,89.4,10.6
E00033187,73.2,26.8
E00033188,86.4,13.6
E00033189,60.4,39.6
E00033190,56.6,43.4
E00033191,89.7,10.3
E00033192,88.6,11.4
E00033193,90.7,9.3
E00033194,88.1,11.9
E00033195,91.9,8.1
E00033196,78.2,21.8
E00033197,91.1,8.9
E00033198,91.9,8.1
E00033199,90.5,9.5
E00033200,86.7,13.3
E00033201,87.4,12.6
E00033202,92.1,7.9
E00033203,90.5,9.5
E00033204,91.4,8.6
