geography_code,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E00075937,9.3,19.4,64.3,7
E00075938,9.4,24.4,56.9,9.4
E00075939,17.1,17.1,51.9,13.9
E00075940,7.8,23.3,62.2,6.7
E00075941,8.6,17.8,65.1,8.6
E00075942,13.8,23,47.4,15.8
E00075943,17.1,22.8,45.6,14.6
E00075944,7.2,22.2,63.9,6.7
E00075945,14.2,22.3,52.7,10.8
E00075946,14,26.6,47.6,11.9
E00075947,14.8,16.3,54.8,14.1
E00075948,13.7,13.7,61.7,10.9
E00075949,15.6,16.8,57.5,10.2
E00075950,9.2,16.6,63.2,11
E00075951,10.5,22.2,58,9.3
E00075952,16.4,20,55.9,7.7
E00075953,10.5,18.8,66.3,4.4
E00075954,15.9,19.2,53,11.9
E00075955,14.9,17.7,57.5,9.9
E00075956,10.8,20.3,61.4,7.6
E00075957,10.4,24.3,54.2,11.1
E00075958,7.9,15.3,70.1,6.8
E00075959,7.6,14.7,61.2,16.5
E00075960,12.5,26.7,54.2,6.7
E00075961,9.6,18.4,60.8,11.2
E00075962,9.5,24.9,50.9,14.8
E00075963,10.9,17.7,64.6,6.8
E00075964,6.1,19.5,64.6,9.8
E00075965,9.8,28.8,54,7.4
E00075966,10.5,27.5,54.4,7.6
E00075967,10.2,23.7,57,9.1
E00075968,9,22.2,61.1,7.6
E00075969,13,28.6,51.3,7.1
E00075970,7.3,22.8,61.8,8.1
E00075971,8.8,18.9,55.3,17.1
E00075972,7,19,63.3,10.8
E00075973,8.8,28.8,53.8,8.8
E00075974,10.4,32.3,47.9,9.4
E00075975,10.7,17.4,62.4,9.4
E00075976,12.6,27.2,51.5,8.7
E00075977,7.1,29.5,55.4,8
E00075978,16.3,18.4,53.1,12.2
E00075979,4.3,20,72.2,3.5
E00075980,8,27.3,60.2,4.5
E00075982,6.5,20.1,63,10.4
E00075983,0,28.2,66.7,5.1
E00075984,8.4,24.2,60,7.4
E00075985,7.7,26.8,54.5,10.9
E00075987,9,9.7,72.9,8.3
E00075988,1.9,21.2,64.4,12.5
E00075989,9.2,31.6,52.6,6.6
E00075991,6.8,30.8,56.4,6
E00075994,12.4,24,55.4,8.3
E00075995,12,28.9,47.2,12
E00075996,6.6,19.7,63.5,10.2
E00075997,4.1,16.4,73,6.6
E00075998,8.5,19.1,68.1,4.3
E00075999,14,25.2,52.4,8.4
E00076000,7.3,17.7,66.9,8.1
E00076001,18,25.2,52.3,4.5
E00076002,10.2,19.7,58.4,11.7
E00076003,14.6,22.3,53.8,9.2
E00076004,9,23.1,57.5,10.4
E00076005,8,17.4,69.6,5.1
E00076006,8.3,18.6,68.3,4.8
E00076007,5.8,18.8,68.8,6.5
E00076008,4.8,23.4,62.1,9.7
E00076009,6.2,19.1,60.5,14.2
E00076010,8.1,19.5,65,7.3
E00076011,6.7,22.7,65.3,5.3
E00076012,13.2,19.9,58.8,8.1
E00076013,8,15.4,51.2,25.3
E00076014,8.5,15.4,62.4,13.7
E00076015,8.5,15.7,68.6,7.2
E00076016,12.2,34.7,48,5.1
E00076017,13.6,17.7,56.5,12.2
E00076018,9,20,63,8
E00076019,10.2,23.4,57.7,8.8
E00076020,10.7,13.6,65,10.7
E00076021,13.8,15.6,58.8,11.9
E00076022,11.3,23.6,59.4,5.7
E00076023,6,31,58,5
E00076024,10,18.2,63.6,8.1
E00076025,5.2,15.7,70.4,8.7
E00076026,13.5,24.7,53.9,7.9
E00076027,19,21.5,56.2,3.3
E00076028,24.1,23.5,48.1,4.3
E00076029,22.2,17.1,52.5,8.2
E00076030,7.1,25.2,56.7,11
E00076031,13,27.2,51.9,8
E00076032,12.8,19.7,60.7,6.8
E00076033,27.2,16.2,50.3,6.3
E00076034,32,13.5,50.6,3.9
E00076035,23.5,20.3,50.3,5.9
E00076036,24.2,23.5,42.4,9.8
E00076037,18.9,23.2,51.6,6.3
E00076038,24.2,21.1,45.3,9.3
E00076039,16.8,13,59.5,10.7
E00076040,20.1,18,58.3,3.6
E00076041,30.4,19.3,45.2,5.2
E00076042,24.1,14.2,54.3,7.4
E00076043,11.9,37.3,47.5,3.4
E00076045,13.8,17.7,58,10.5
E00076047,25.9,17.9,50.9,5.4
E00076048,17.8,27.7,49.5,5
E00076050,15.6,12.9,61.9,9.5
E00076051,17.5,21.5,52.5,8.5
E00076052,15.5,19.6,63.5,1.4
E00076053,11.3,15.6,63.1,10
E00076054,7.1,29.3,53.3,10.3
E00076055,4.7,22,64.3,9
