areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00024141,12,40.6,39.1,8.3
E00024142,9.9,51.4,29.7,9
E00024143,19.7,42.5,29.1,8.7
E00024144,12.5,49.2,33.3,5
E00024145,6.9,43.5,35.9,13.7
E00024146,7.1,51.6,31.7,9.5
E00024147,6.9,47.3,31.3,14.5
E00024148,4.9,36.1,41.8,17.2
E00024150,16.7,47.2,32.4,3.7
E00024151,21.1,35.1,36.8,7
E00024152,43.1,45.8,10.4,0.7
E00024153,19.8,38.7,37.8,3.6
E00024154,17.5,35.7,38.1,8.7
E00024155,37.7,41.2,11.4,9.6
E00024156,40.6,33.1,20,6.3
E00024157,12.4,41.3,41.3,5
E00024158,39.3,43,15.6,2.2
E00024159,18,46.7,28.7,6.6
E00024160,32.3,45.2,16.1,6.5
E00024161,21.1,56.6,21.7,0.7
E00024162,23.7,39.3,27.4,9.6
E00024163,48,34.6,11,6.3
E00024164,23,47.2,23.6,6.2
E00024165,52.2,36.3,10.6,0.9
E00024166,28.1,37.8,26.7,7.4
E00024167,20.7,36.3,31.9,11.1
E00024168,33.6,47.6,13.3,5.6
E00024169,38.8,43.4,17.1,0.8
E00024170,24.3,47.1,19.9,8.8
E00024171,14.5,38.6,30.1,16.9
E00024172,44,45.5,8.2,2.2
E00024173,57.1,27.1,12.8,3
E00024175,27.2,45.6,23.2,4
E00024176,9.1,31.4,44.6,14.9
E00024177,3.4,23.4,55.9,17.2
E00024178,1.7,28.1,53.7,16.5
E00024179,8.5,37.3,35.9,18.3
E00024180,12.5,40.6,34.4,12.5
E00024181,5.9,23.5,48,22.5
E00024182,9.7,33,35.9,21.4
E00024183,4.8,48.9,39.2,7
E00024184,8.6,44,32.8,14.7
E00024185,22.6,50.4,20.9,6.1
E00024186,9.8,38.6,36.4,15.2
E00024187,8.9,40.3,39.5,11.3
E00024230,23,41.8,27.9,7.4
E00024231,35.6,38.1,19.5,6.8
E00024232,23,49.6,23.9,3.5
E00024233,8.8,36.8,44.8,9.6
E00024234,7.3,20.2,51.6,21
E00024235,18.7,54,16.7,10.7
E00024236,20.1,37.1,36.5,6.3
E00024237,12.4,38.8,34.7,14
E00024238,25.6,46.7,22.6,5
E00024239,7.5,34.7,46.9,10.9
E00024240,12.6,42,31.9,13.4
E00024241,22.7,54.5,18.9,3.8
E00024242,11.2,50,32.8,6
E00024243,10.3,45.2,36.5,7.9
E00024244,15.5,37.1,34.5,12.9
E00024245,22.2,46.2,28.2,3.4
E00024246,9.1,41.7,37.9,11.4
E00024247,8.8,36.8,48.8,5.6
