areacd,heating_type_3a-001,heating_type_3a-002
E00135278,5.8,94.2
E00135279,1.9,98.1
E00135280,6.3,93.7
E00135281,3.9,96.1
E00135283,4.3,95.7
E00135284,1.3,98.7
E00135285,5.1,94.9
E00135286,4.1,95.9
E00135287,0.7,99.3
E00135288,3.1,96.9
E00135290,1.9,98.1
E00135291,6.5,93.5
E00135292,2.3,97.7
E00135293,2.4,97.6
E00135294,5.3,94.7
E00135295,2.2,97.8
E00135296,3.6,96.4
E00135297,6.7,93.3
E00135298,1.8,98.2
E00135299,1.5,98.5
E00135300,0.6,99.4
E00135301,2.4,97.6
E00135302,1.7,98.3
E00135303,3.3,96.7
E00135304,2.2,97.8
E00135305,0.7,99.3
E00135306,2.1,97.9
E00135307,0,100
E00135308,0,100
E00135309,0.8,99.2
E00135311,0,100
E00135312,3.1,96.9
E00135313,2.6,97.4
E00135314,0,100
E00135315,1.5,98.5
E00135316,3.2,96.8
E00135317,4.8,95.2
E00135318,0.9,99.1
E00135319,0,100
E00135320,2.4,97.6
E00135321,2.2,97.8
E00135322,1.6,98.4
E00135323,2.1,97.9
E00135324,2.1,97.9
E00135325,5.5,94.5
E00135326,0.8,99.2
E00135327,0.6,99.4
E00135328,1.7,98.3
E00135329,2.4,97.6
E00135330,0,100
E00135331,4.4,95.6
E00135332,0.8,99.2
E00135333,1.4,98.6
E00135334,2.1,97.9
E00135335,0,100
E00135336,1.8,98.2
E00135337,5.2,94.8
E00135338,2.1,97.9
E00135340,2.4,97.6
E00135341,2.3,97.7
E00135342,1.6,98.4
E00135343,0.7,99.3
E00135344,3,97
E00135345,0.7,99.3
E00135346,4,96
E00135347,5.9,94.1
E00135348,5.9,94.1
E00135349,3.7,96.3
E00135350,4.7,95.3
E00135351,2.9,97.1
E00135352,1.7,98.3
E00135353,0.7,99.3
E00135354,0.7,99.3
E00135355,3.3,96.7
E00135356,1.7,98.3
E00135357,1.8,98.2
E00135358,2.6,97.4
E00135359,1,99
E00135361,0,100
E00135362,4.5,95.5
E00135363,2.1,97.9
E00135364,2.1,97.9
E00135365,0,100
E00135366,0,100
E00135367,1.5,98.5
E00135368,4.7,95.3
E00135369,6,94
E00135370,0.8,99.2
E00135371,0,100
E00135372,2.5,97.5
E00135373,6,94
E00135374,3.1,96.9
E00135375,0.8,99.2
E00135376,1,99
E00135377,0,100
E00135378,1.6,98.4
E00135379,0.8,99.2
E00135380,2.4,97.6
E00135381,0.8,99.2
E00135382,0.8,99.2
E00135383,1.6,98.4
E00135384,0.8,99.2
E00135923,1.2,98.8
E00135938,2,98
E00135939,8.8,91.2
E00135940,1.2,98.8
E00135941,4.9,95.1
E00135942,3,97
E00135943,3.1,96.9
E00135944,0,100
E00135945,0.7,99.3
E00135967,3.8,96.2
E00135968,1.5,98.5
E00135969,1.2,98.8
E00135970,1.6,98.4
E00135971,1.4,98.6
E00135972,2.3,97.7
E00135973,0.4,99.6
E00135974,4.4,95.6
E00136002,1.7,98.3
E00136003,3.4,96.6
E00136004,1.2,98.8
E00136005,7.6,92.4
E00136006,0.6,99.4
E00136007,3.2,96.8
E00136008,0.5,99.5
E00136009,1.4,98.6
E00136010,2.3,97.7
E00136011,1.8,98.2
E00136012,1.8,98.2
E00136013,3.9,96.1
E00136014,2.5,97.5
E00136015,0.9,99.1
E00136016,0.9,99.1
E00136019,3.7,96.3
E00136021,1.3,98.7
E00136098,4.1,95.9
E00136099,0.8,99.2
E00136100,0,100
