areacd,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00134648,4.9,24.5,43.4,27.3
E00134649,4.8,42.7,33.1,19.4
E00134650,27.8,26.4,35.4,10.4
E00134651,4.9,26.8,45.5,22.8
E00134652,9.9,40.5,32.1,17.6
E00134653,4.4,31.4,41.5,22.6
E00134654,1.4,43.6,45.7,9.3
E00134655,5.6,22.5,51.7,20.2
E00134656,1.6,20.5,42.5,35.4
E00134657,0.7,18.2,63.5,17.5
E00134684,1.2,14,46.5,38.4
E00134686,3.4,21.7,43.4,31.4
E00134687,3.2,17.7,50,29.1
E00134688,3.2,20.5,42.9,33.3
E00134689,0.8,7.6,47.1,44.5
E00134690,21.5,40.1,26.7,11.7
E00134691,0.8,10.1,49.6,39.5
E00134692,4.3,24.3,51.4,20
E00134693,0,15.9,47.8,36.2
E00134694,2.4,10.5,60.5,26.6
E00134695,1.6,6.3,53.1,39.1
E00134696,2.2,16.9,37.1,43.8
E00134697,0.6,11.4,40.3,47.7
E00134698,7.5,28.2,35.1,29.3
E00134699,4.2,13.4,53.5,28.9
E00134700,0,16.6,42.4,41.1
E00134701,2.5,15.6,46.9,35
E00134702,1.5,17.9,38.1,42.5
E00134703,1.6,22,55.1,21.3
E00134704,1.3,30.7,42.7,25.3
E00134705,2.3,6.9,77.9,13
E00134706,9.4,13.8,22.2,54.7
E00134707,24.3,18.1,28.5,29.2
E00134708,4.8,21,38.3,35.9
E00134709,0,3.8,52.7,43.5
E00134710,1.6,9.5,53.2,35.7
E00134711,0.7,25.5,50.3,23.5
E00134713,23.2,47.4,25.3,4.2
E00134714,6.3,17.2,35.9,40.6
E00134715,0,23.2,45.3,31.6
E00134716,8.1,21.2,50.5,20.2
E00134717,0,28.9,39.7,31.4
E00134719,2.7,11.7,36,49.5
E00134720,2.3,28.4,50,19.3
E00134721,2.3,15.9,38.6,43.2
E00134722,1.9,26.9,53.1,18.1
E00134723,1.2,25.9,46.9,25.9
E00134724,8.7,24.8,51,15.4
E00134725,0,10.8,48.3,40.8
E00134726,23.1,32,39.5,5.4
