geography_code,hh_deprivation-001,hh_deprivation-002,hh_deprivation-003,hh_deprivation-004,hh_deprivation-005
E00088773,47.7,36.2,14.6,1.5,0
E00088775,62.9,29.3,6,1.7,0
E00118604,56.2,31.4,11.7,0.7,0
E00118605,53.4,30.1,14.3,1.5,0.8
E00118607,25.2,34.8,28.7,11.3,0
E00118610,52.8,30.7,15.7,0.8,0
E00118611,40.3,42.9,9.2,7.6,0
E00118612,47.6,36.5,12,3.9,0
E00118613,57.4,34.4,6.6,1.6,0
E00118614,52,33.6,12,1.6,0.8
E00118615,45.4,34.6,17.7,2.3,0
E00118616,34.7,39.6,22.9,1.4,1.4
E00118618,48.2,32.5,14,5.3,0
E00118619,37.9,31,20,11,0
E00118620,43.3,31.2,19.1,6.4,0
E00118621,48.9,35,13.9,2.2,0
E00118622,53.2,38.1,7.9,0.8,0
E00118623,35.1,29,25.2,10.7,0
E00118624,28.9,39.3,26.7,5.2,0
E00118625,41,33.8,22.3,2.9,0
E00118626,45.8,38.7,14.1,1.4,0
E00118627,51.6,34,10.5,2,2
E00118628,47.2,28.9,19,4.9,0
E00118629,55.7,28.5,13.9,1.9,0
E00118630,45.2,33.9,15.3,4.8,0.8
E00118631,44.6,38.8,12.4,4.1,0
E00118632,31.1,36.9,18.9,8.2,4.9
E00118633,43,37.5,14.8,4.7,0
E00118634,58.3,34,7.6,0,0
E00118635,56.4,31.3,11,1.2,0
E00118636,44.4,29.9,15.4,7.7,2.6
E00118637,25,39.1,28.9,7,0
E00118646,73.4,20.1,6,0.5,0
E00118647,57.6,26.2,15.1,1.2,0
E00118650,70.6,22.8,6.6,0,0
E00118651,64.7,27.6,5.3,2.4,0
E00118653,66.7,27.7,5.7,0,0
E00118654,66.3,25.5,6.2,2.1,0
E00118655,48.1,27.9,17.5,6.5,0
E00118661,53.8,32.7,11.5,0,1.9
E00118663,56.7,31.8,10.2,1.3,0
E00118665,68.2,21.2,9.1,1.5,0
E00118666,63.9,32.3,3.8,0,0
E00118667,49.2,35.8,12.5,2.5,0
E00118668,45.5,32.1,15.7,6.7,0
E00118669,44,34.3,16.4,5.2,0
E00118670,28.8,43.2,22,5.3,0.8
E00118671,37.4,38.8,15.1,7.9,0.7
E00118672,44.9,40.7,14.4,0,0
E00118673,52.1,26.1,16.8,5,0
E00118674,43.2,34.4,17.6,4.8,0
E00118675,42.9,39.1,15.8,2.3,0
E00118676,47.7,35.9,14.1,1.6,0.8
E00118677,50.4,32.1,13.9,3.6,0
E00118678,40.9,36.2,18.9,3.9,0
E00118679,62.5,28.3,8.6,0.7,0
E00118680,41.8,30.5,22,5.7,0
E00118681,46.6,32.2,14.4,6.2,0.7
E00118682,55,35.1,7.6,2.3,0
E00118683,45.1,30.1,18.8,6,0
E00118684,39,31.9,22,6.4,0.7
E00118739,73.4,21.9,4.7,0,0
E00118740,65.6,23.4,9.4,1.6,0
E00118741,69.2,27.1,3.8,0,0
E00118742,68.9,23.8,7.4,0,0
E00118743,65.9,28.1,5.9,0,0
E00118766,65.5,31.1,2.5,0.8,0
E00118767,61.7,32.6,4.3,1.4,0
E00118768,70.6,25,3.7,0.7,0
E00118769,48.8,41.1,8.5,1.6,0
E00118770,66.9,26.2,4.6,2.3,0
E00118771,58.5,28,12.7,0,0.8
E00118772,72.2,24.3,3.5,0,0
E00118773,73.7,21.9,4.4,0,0
E00118774,59,32.4,6.5,1.4,0.7
E00118775,46.7,33.6,13.1,4.9,1.6
E00118776,59.6,24.1,13.5,2.1,0.7
E00118777,57,34.9,8.1,0,0
E00118778,70.4,25.2,4.4,0,0
E00118779,56.6,30.3,11.5,1.6,0
E00118780,40.8,38.8,15.6,4.1,0.7
E00118781,65.5,23.9,10.6,0,0
E00118782,53.8,33.5,11.4,1.3,0
E00118783,73.6,20,6.4,0,0
E00118784,44,36,15.2,4.8,0
E00118785,65.7,28.7,4.6,0.9,0
E00118786,52.6,37.6,6,3.8,0
E00118787,42.5,29.1,23.9,4.5,0
E00118788,54.6,33.1,9.2,3.1,0
E00118789,51.2,34.7,11.6,2.5,0
E00118790,56,28.4,10.4,3.7,1.5
E00118791,67.2,25.5,7.3,0,0
E00118792,48.1,29.3,18,4.5,0
E00118793,47.7,33.6,14.1,4.7,0
E00118794,46.8,34.7,15.3,3.2,0
E00118795,53.6,36.8,7.2,2.4,0
E00118796,45.1,35.2,16.2,3.5,0
E00118797,53.7,28.5,14.6,3.3,0
E00118798,64.2,29.2,5,1.7,0
E00118799,47.9,31.4,10.7,9.1,0.8
E00118800,30.8,36.9,22.3,10,0
E00118801,39.7,37.5,14.7,8.1,0
E00118802,44.4,38.3,13.5,3,0.8
E00118803,57,36.3,6.7,0,0
E00118804,32.2,38.8,21.5,5,2.5
E00118805,61.2,29.8,8.3,0.8,0
E00118806,56.5,26.5,14.1,2.9,0
E00118807,36.9,37.6,22.7,2.8,0
E00118808,51.2,31.5,14.2,3.1,0
E00118809,62.9,32.1,5,0,0
E00118810,43.9,38.9,14,2.5,0.6
E00118811,54.7,37.5,7,0.8,0
E00118812,55.3,34.8,7.6,2.3,0
E00118813,38.1,45.1,14.2,2.7,0
E00118814,61.7,30.1,8.3,0,0
E00118815,43.2,28,20.3,8.5,0
E00118816,46.5,38.2,11.8,3.5,0
E00118817,52.1,26.4,18.2,3.3,0
E00118818,61.9,24.6,10.4,3,0
E00118819,44.6,34.6,16.9,3.8,0
E00118820,60.8,25.3,9,4.8,0
E00118821,57,27.3,11.7,3.9,0
E00118822,46.9,33.6,15,4.4,0
E00118823,46,30.2,18.3,4,1.6
E00118824,42.7,36.3,16.1,4,0.8
E00118825,53.7,32.5,8.1,4.1,1.6
E00118826,45.1,39.8,12,3,0
E00118827,40.5,43.7,11.9,4,0
E00118828,42.9,33.3,19,4,0.8
E00118829,53.8,30.8,15.4,0,0
E00118830,40.6,35.9,16.4,5.5,1.6
E00118831,49.2,32,14.8,3.9,0
E00118832,37.4,35.9,19.8,6.9,0
E00118833,53.4,33.8,12,0.8,0
E00118834,45.1,35.3,14.7,4.9,0
E00118835,40.8,38.4,13.6,7.2,0
E00118836,29.1,39.7,22,9.2,0
E00118837,41.6,34.3,19,5.1,0
E00118838,52.1,27.1,15.3,5.6,0
E00118839,41.7,50,6.7,1.7,0
E00118840,49.7,34.5,9.7,6.2,0
E00118841,25.4,31,23.9,13.4,6.3
E00118842,17.6,43.4,36,2.9,0
E00118843,37.4,48.6,10.3,2.8,0.9
E00118844,19.4,42.7,28.2,8.7,1
E00118845,39.9,38.4,15.9,5.8,0
E00118846,46.5,43.6,9.9,0,0
E00118847,54.1,32.4,12.2,1.4,0
E00118848,46.3,41.5,8.9,3.3,0
E00118849,46.4,28.3,18.1,7.2,0
E00118850,46.6,32.9,15.1,4.1,1.4
E00118851,40,40,16.3,2.2,1.5
E00118852,42.7,36.8,14.5,6,0
E00118853,40.6,45.9,13.5,0,0
E00118854,38.7,44.4,15.3,1.6,0
E00118855,43.4,37.8,16.1,2.8,0
E00118856,44.4,33.3,18.8,3.4,0
E00118857,37.2,36.4,24,2.5,0
E00118858,43.4,34.1,14.7,6.2,1.6
E00118859,54.2,25.8,13.5,4.5,1.9
E00118860,51.6,39,9.3,0,0
E00118861,59.4,34.2,6.5,0,0
E00118862,61.2,34.1,4.7,0,0
E00118865,64.1,32,3.9,0,0
E00118866,53.9,29.1,10.6,3.5,2.8
E00118867,35.3,41.2,15.4,6.6,1.5
E00118868,60.3,30.5,6.6,2.6,0
E00118869,55.9,32.2,10.4,1.5,0
E00118870,36.1,36.8,17.4,6.9,2.8
E00118871,52.7,37.9,7.1,1.8,0.6
E00118872,19.5,36.8,27.8,12.8,3
E00118873,22,38.1,28,9.3,2.5
E00118875,50.9,32.9,13,3.1,0
