areacd,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E00069026,9.4,28.9,61.7
E00069027,2.6,28.8,68.6
E00069028,3,41.6,55.4
E00069029,0.7,43.1,56.2
E00069032,10.9,18.8,70.3
E00069033,5.8,65.7,28.5
E00069034,11.2,28,60.7
E00069035,3.6,44.1,52.3
E00069036,6.5,27.1,66.4
E00069037,4.8,31.7,63.5
E00069038,6,21.6,72.4
E00069039,3.4,42.2,54.3
E00129967,3.3,23.9,72.7
E00129968,1.5,30.1,68.4
E00129969,1.4,21.6,77
E00129970,4.6,32.9,62.5
E00129971,4.8,51.6,43.7
E00129972,2.6,36.8,60.5
E00129973,3,23.2,73.7
E00129974,7.5,21.1,71.4
E00129975,4.1,28.5,67.5
E00129977,8.1,19.2,72.7
E00129978,4.8,29.5,65.7
E00129979,4.7,25.8,69.5
E00129980,4.6,28.7,66.7
E00129981,2.5,21.5,76
E00129982,3.6,10.1,86.2
E00129983,1.4,21.7,76.9
E00129984,2.9,21.7,75.4
E00129985,4.2,26.6,69.2
E00129986,7.5,22.5,70
E00129987,2.8,41.3,55.9
E00129988,3.9,23.9,72.3
E00129989,6.3,28,65.7
E00129990,0.8,40.6,58.6
E00129991,4.4,17.6,77.9
E00129992,2.3,32.1,65.6
E00129994,3.5,3.5,92.9
E00129996,3.2,20,76.8
E00129997,0,31,69
E00129998,2.1,20.2,77.7
E00129999,0.7,45,54.3
E00130000,2.8,22.5,74.7
E00130001,6.3,31,62.7
E00130002,4.8,23.8,71.4
E00130003,1.8,54.5,43.8
E00130004,5.1,33.1,61.9
E00130005,1.2,25.7,73.1
E00130006,0,22.9,77.1
E00130007,3.2,22.9,73.9
E00130008,2.9,27.5,69.6
E00130011,1.2,21.7,77
E00130012,2,11.3,86.7
E00130013,4.3,36.2,59.4
E00130014,3.8,17.4,78.8
E00130015,3.6,19.7,76.6
E00130016,5.7,20.3,74
E00130042,1,19.2,79.8
E00130043,2.6,38.8,58.7
E00130044,4.4,29.9,65.7
E00130045,4.8,20.1,75.1
E00130046,6.6,22.6,70.8
E00130048,4.3,27.7,68.1
E00130050,6,20.3,73.7
E00130051,2.2,47.1,50.7
E00130052,5.8,37.2,57.1
E00130053,2.2,33.1,64.7
E00130054,2.6,30.3,67.1
E00130055,5.1,38.2,56.6
E00130114,0,35.3,64.7
E00130115,0,32.6,67.4
E00130116,3.7,39.8,56.5
E00130117,4.1,35.2,60.7
E00130118,3.4,49,47.6
E00130119,3.9,22.7,73.4
E00130120,3.9,29.9,66.1
E00130121,4.1,27.6,68.3
E00130122,1.7,31.3,67
E00130123,6.3,22.9,70.8
E00130124,3.3,26,70.7
E00130125,4.4,18.6,77
E00130126,0.7,23.8,75.5
E00130127,3.3,28.7,68
E00130128,5.5,28.7,65.7
E00130129,4.7,49.2,46.1
E00130130,2.5,23,74.5
E00130138,3.8,21.4,74.8
E00130139,3.8,32.6,63.6
E00130140,6.5,15.5,78
E00130141,1.7,27.1,71.2
E00130142,8.3,37.2,54.5
E00130143,2.3,34.1,63.6
E00130144,4.1,23,73
E00130145,0,17.4,82.6
E00130146,4,11.3,84.7
E00130147,5.3,18.6,76.1
E00130148,0.9,15.5,83.6
E00130149,4.6,30.7,64.7
E00130150,5.5,24.2,70.3
E00130151,2.4,48.4,49.2
E00130152,0.6,41.2,58.2
E00130153,0,38.4,61.6
E00130154,1.7,21.6,76.7
E00130155,9.5,11.4,79
E00130156,2.9,30.8,66.3
E00130157,6.3,28.8,64.9
E00130158,3.8,24.8,71.4
E00130159,5.8,18.7,75.5
E00130160,4.7,25.5,69.8
E00130161,0.9,18.7,80.4
E00130162,7.2,13.2,79.6
E00130163,3.6,21.7,74.7
E00130164,3.4,18.4,78.2
E00130165,2.3,22.5,75.2
E00130166,1.7,32.2,66.1
E00130167,1.4,34.2,64.4
E00130168,2.3,23.9,73.9
E00130191,3,44.7,52.3
E00130192,4.9,35.2,59.9
E00130193,2,33.8,64.2
E00130194,4.5,37.6,57.9
E00130195,5.4,46.9,47.6
E00130196,7.6,21.2,71.2
E00130198,10.7,21.4,67.9
E00130199,3.8,41.3,55
E00130200,5.6,29,65.4
E00130201,5.7,28.5,65.9
E00130203,2.9,36.8,60.3
E00130204,5.8,17.4,76.9
E00130206,2.7,20.9,76.4
E00130207,6.5,16.5,77
E00130208,3.4,35.3,61.3
E00130209,5.1,17.4,77.5
E00130210,4.7,31,64.3
E00130212,2.7,26.8,70.5
E00130759,2.5,36.6,60.9
E00130760,3.7,17.8,78.5
E00130761,4.1,23.5,72.4
E00130762,0,37.1,62.9
E00130763,8.1,16.1,75.8
E00130764,3.2,17.7,79
E00130765,2.6,12.8,84.6
E00130766,7.6,8.2,84.2
E00130767,6.9,22.8,70.3
E00130770,4,12.1,83.9
E00130771,4.3,20.7,75
E00130772,2.4,47.2,50.4
E00130774,3.8,22.1,74
E00130777,4.7,14.2,81.1
E00130779,7.1,20.7,72.2
E00130780,0.7,27.3,71.9
E00130784,5.3,16.7,78
E00130785,2.9,24.3,72.8
E00130786,4.7,26.2,69.2
E00130787,0,29.2,70.8
E00130788,4.9,22.3,72.8
E00130790,7.9,13.4,78.7
E00130791,9,24.6,66.4
E00130818,7.4,34.4,58.2
E00130945,4.8,21.9,73.3
E00130946,4,22.6,73.4
E00130947,5.2,23,71.7
E00130958,6.3,20.1,73.6
E00130959,2.4,18.9,78.7
E00130962,11,22,67
E00130963,10.1,16.5,73.4
E00130964,4.1,24.5,71.4
E00130965,5.8,15.7,78.5
E00131785,8.9,16.3,74.8
E00131786,10.9,18.8,70.3
E00131787,11.5,19.8,68.7
E00131791,7.5,22.4,70.1
E00131847,7.6,23.7,68.7
E00131850,9.4,17.1,73.5
E00131851,7.2,32,60.8
E00131852,3.7,40.7,55.6
E00131853,5.4,28.5,66.2
E00131854,5.1,35.6,59.3
E00131855,6.1,29.7,64.2
E00131856,4.5,42.1,53.4
E00131857,2.9,32.1,65
E00131858,2.8,53.8,43.4
E00131859,5.4,34.6,60
E00131860,8.8,40.9,50.4
E00131861,1.6,40.7,57.7
E00131862,6.4,26.8,66.9
E00131863,2.8,33.6,63.6
E00131865,3.8,41.4,54.9
E00131867,4.3,30.2,65.5
E00131868,4.7,20.8,74.5
E00131869,4.5,32.6,62.9
E00131870,5.2,30.2,64.7
E00131871,4.7,40.9,54.4
E00131872,1.6,28.8,69.6
E00131873,4.5,33,62.5
E00131874,4.1,24.6,71.3
E00131875,4,32.7,63.4
E00131876,0,27.1,72.9
E00131877,5,30,65
E00131878,9.9,15.3,74.8
E00131879,4.5,35.1,60.4
E00131880,7.7,22.1,70.2
E00131881,4.3,34.2,61.5
E00131882,8.5,23.8,67.7
E00131883,3.3,22.3,74.4
E00131884,4.4,20.2,75.4
E00131885,4.4,55.3,40.4
E00131886,5.8,31.7,62.5
E00131887,7,21.9,71.1
E00131888,3.7,25.9,70.4
E00131889,2.1,53.4,44.5
E00131890,1.9,34.9,63.2
E00131891,1.6,55.6,42.7
E00131892,3.2,37.3,59.5
E00131893,2.4,39.9,57.7
E00131894,4.2,22.5,73.3
E00131895,0.9,41.4,57.7
E00131896,4.2,27.7,68.1
E00131897,10.9,16.8,72.3
E00131898,5.8,31.4,62.8
E00131913,3.1,30.9,66
E00131914,6.4,27.3,66.4
E00131915,7.5,18.8,73.7
E00131916,2.6,22.6,74.7
E00131917,4.6,36.9,58.5
E00131918,9,39.8,51.1
E00131919,1.4,32.6,65.9
E00131920,2.7,34.5,62.7
E00131921,3.9,20.5,75.6
E00131922,2,30.7,67.3
E00131923,3.6,13.6,82.7
E00131924,4.1,38.1,57.8
E00131925,5,24.8,70.3
E00131926,2.4,40.5,57.1
E00131927,3.8,23.7,72.5
E00131928,5.8,26,68.3
E00131929,5.1,35.9,59
E00131930,3.9,34.4,61.7
E00131931,4.8,33.6,61.6
E00131932,3.4,27.6,69
E00131933,2.5,39.2,58.3
E00131934,3.1,32.6,64.3
E00131935,1.9,51.4,46.7
E00131936,0,23.1,76.9
E00131937,7.1,19.7,73.2
E00131938,2.2,28.4,69.4
E00131941,3.8,38.5,57.7
E00131942,5,44.6,50.4
E00131946,5.7,25.8,68.6
E00131947,6.1,28.7,65.2
E00131948,6.3,25,68.8
E00131949,3.5,32.6,63.8
E00131950,4.6,24.6,70.8
E00131951,5.5,29.9,64.6
E00131959,7.9,17.5,74.6
E00168099,3.9,31.6,64.5
E00168101,2.5,37,60.5
E00168102,1.7,21.6,76.7
E00170632,3.9,15.7,80.4
E00170633,2.9,27.1,70
E00170634,11.8,21.8,66.4
E00170635,4,42.4,53.7
E00170636,3.9,15,81.1
E00170648,3.3,13.2,83.5
E00178496,4.1,17.9,77.9
E00178499,6.1,10.5,83.3
E00178518,1.7,32.5,65.8
E00178549,8,16,75.9
E00178576,3.5,18.3,78.2
E00178597,8.5,34,57.4
E00178606,1.5,41.8,56.7
E00187341,0,29.5,70.5
E00187345,2.9,13,84.1
E00187346,4.1,34.7,61.2
E00187365,6.7,20,73.3
E00187389,1.6,12.7,85.7
E00187404,1.5,18.5,80
E00187405,0,25.8,74.2
E00187413,2.3,16.3,81.4
E00187425,0,21.1,78.9
E00187435,3,17.9,79.1
E00187457,2,26.7,71.3
E00187465,2.8,8.5,88.7
E00187500,3.7,14.6,81.7
E00187508,0.6,21.1,78.3
