areacd,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E00014078,7.5,51.6,40.9
E00014079,8.2,38.8,52.9
E00014082,3.1,33.8,63.1
E00014083,30.1,20.5,49.3
E00014084,13.8,36.9,49.2
E00014085,28.4,38.6,33
E00014086,9.5,23.8,66.7
E00014087,7.4,45.3,47.4
E00014088,6.3,49.5,44.2
E00014089,5.6,62,32.4
E00014090,10.1,39.2,50.6
E00014091,9.2,44.6,46.2
E00014092,2.8,47.9,49.3
E00014093,11.9,32.8,55.2
E00014094,14.3,39,46.8
E00014095,6.7,59,34.3
E00014096,9.2,47.1,43.7
E00014097,8.6,58,33.3
E00014098,9.7,34.7,55.6
E00014099,7.8,55.6,36.7
E00014100,8.8,33.3,57.8
E00014102,3.5,58.1,38.4
E00014107,12.7,43,44.3
E00014108,12,31,57
E00014109,10.8,48.2,41
E00014110,8.4,50.4,41.2
E00014111,14.5,37.3,48.2
E00014112,4,42,54
E00014223,11.6,46.3,42.1
E00014224,11.2,46.1,42.7
E00014225,3.1,56.3,40.6
E00014226,4.9,52.4,42.7
E00014227,11.6,40.6,47.8
E00014228,8.2,63,28.8
E00014229,9.5,56.8,33.8
E00014230,14.4,51.5,34
E00014231,11.4,25.3,63.3
E00014232,6.3,45.6,48.1
E00014233,3.1,73.2,23.7
E00014234,13.3,45.6,41.1
E00014236,9.9,64.9,25.2
E00014330,11,35.2,53.8
E00014331,8.7,40.2,51.1
E00014332,10.9,47.8,41.3
E00014334,16.7,31.3,52.1
E00014335,9.2,54.2,36.7
E00014336,10.3,35.6,54
E00014337,4.8,77.4,17.9
E00014338,6.5,35.5,58.1
E00014339,5.1,57.1,37.8
E00014341,4,53.5,42.6
E00014342,7.8,49.5,42.7
E00014344,2.7,85.1,12.2
E00014345,13.6,53.1,33.3
E00014347,9.3,41.1,49.5
E00014348,3,50.4,46.6
E00014351,11.5,44.9,43.6
E00014353,5.1,42.4,52.5
E00014354,30.6,25.9,43.5
E00014356,5.7,34,60.4
E00014357,5.6,44.4,50
E00014358,4.3,44.9,50.7
E00014359,12.7,35.2,52.1
E00014360,7.7,47.3,45.1
E00014361,3.6,67.5,28.9
E00014362,8.9,32.7,58.4
E00014363,9.2,38.8,52
E00014364,10.8,27.7,61.5
E00014365,2.6,20.5,76.9
E00014366,11,43.8,45.2
E00014367,3.8,46.3,50
E00014368,8.8,42.9,48.4
E00014370,3.6,69.6,26.8
E00014371,5.8,37.2,57
E00014581,7.8,57,35.2
E00014582,4.7,51.2,44.2
E00014583,3.9,50.6,45.5
E00014584,2.5,54.2,43.3
E00014585,3,60,37
E00014586,2.5,52.5,45
E00014587,2.2,60,37.8
E00014588,5.4,58.1,36.5
E00014589,6.2,35.8,58
E00014590,7.8,34.8,57.4
E00014591,8.5,29.3,62.2
E00014592,11,32.9,56.1
E00014593,11,32,57
E00014594,5.8,47.7,46.5
E00014596,3.8,39.7,56.4
E00014598,7.8,45.1,47.1
E00014599,12.6,31,56.3
E00014600,12.3,34.9,52.8
E00014601,9.1,48.9,42
E00014602,12.2,42.7,45.1
E00014603,8.9,43.3,47.8
E00014604,10.4,52.8,36.8
E00014605,9.4,43.8,46.9
E00014606,4.7,72.1,23.3
E00014607,13,37.4,49.6
E00014609,7.5,40.9,51.6
E00014611,14.1,32.9,52.9
E00014612,9.6,38.5,51.9
E00014646,14.8,43.4,41.8
E00014647,2.3,51.2,46.5
E00014648,6.7,37,56.3
E00014649,10.8,28.9,60.2
E00014650,0,64.6,35.4
E00014652,25.7,37.2,37.2
E00014653,11.1,64.2,24.7
E00014655,6.6,53.7,39.7
E00014658,14.2,36.8,49.1
E00014660,10.1,41.2,48.7
E00023532,9.6,40.4,50
E00023533,1.9,79.4,18.8
E00023537,11,33,56
E00023538,15.7,28.3,55.9
E00023539,7.2,26.1,66.7
E00023540,20.7,37.9,41.4
E00023541,4.6,71,24.4
E00023542,7.1,53.2,39.7
E00023543,13.3,43,43.8
E00023544,23.1,19.8,57.1
E00023545,13.4,29.5,57.1
E00023546,8.9,68.5,22.6
E00023547,13.8,44,42.2
E00023548,17.2,29.9,53
E00023549,16.5,21.6,61.9
E00023550,13.8,26.8,59.3
E00023551,12.2,23.7,64.1
E00023552,15.1,43.7,41.3
E00023554,7.6,41.5,50.8
E00023555,13.8,35.4,50.8
E00023556,3.7,39.8,56.5
E00023557,13.9,33.3,52.8
E00023558,11,38.5,50.5
E00023559,0.9,41.7,57.4
E00023560,9.4,41.2,49.4
E00023561,1.8,83.9,14.3
E00023562,0.6,87.4,12.1
E00023658,7.8,46.8,45.5
E00023659,11.7,36.7,51.7
E00023660,6.5,41.9,51.6
E00023661,7.4,37,55.6
E00023662,12.5,21.9,65.6
E00023663,4.5,57.6,37.9
E00023664,5.5,48.1,46.4
E00023665,6.5,51.1,42.4
E00023666,16.9,25.7,57.4
E00023668,13.6,51.5,34.8
E00023669,39.4,30.9,29.8
E00023670,23.2,28,48.8
E00023671,14,33.3,52.6
E00023672,17.5,43.3,39.2
E00023674,6.9,38.9,54.2
E00023675,11.3,36.3,52.5
E00023676,25.4,38.1,36.5
E00023678,10.9,34.4,54.7
E00023680,18.1,37.5,44.4
E00023681,18.5,30.8,50.7
E00023682,27.1,35.6,37.3
E00023685,2.2,45.7,52.2
E00023686,3.6,29.8,66.7
E00023688,13.2,37.7,49.1
E00023689,14.4,28.9,56.7
E00023690,9.4,43.8,46.9
E00023926,7.7,47,45.3
E00023935,9.5,57.8,32.8
E00023937,12.6,52.9,34.5
E00023938,8.5,43.4,48.1
E00023939,7,55.5,37.5
E00023941,7.5,65.8,26.7
E00023942,2.5,43,54.4
E00023943,8.7,43,48.3
E00023946,18.6,40.1,41.3
E00023948,13.6,37.9,48.5
E00023949,11.1,55.6,33.3
E00023950,3,67,30
E00023951,3.1,54.2,42.7
E00023953,9,50.6,40.4
E00023954,8.7,33.9,57.4
E00023963,10.9,42.2,46.9
E00023964,15.7,44.8,39.6
E00023965,16.9,50,33.1
E00023966,11.4,43.2,45.5
E00023967,12.9,37.6,49.4
E00023968,15.3,47.2,37.5
E00023969,23.2,40.6,36.2
E00023971,4.1,53.4,42.5
E00023974,4.3,40.5,55.2
E00023975,22.2,41.5,36.3
E00023977,10.8,30.8,58.5
E00023979,7.9,57.9,34.2
E00023980,4.4,37.8,57.8
E00023981,9.9,40.7,49.4
E00023982,10.3,36.2,53.4
E00023985,3.3,43.4,53.3
E00023986,13,45.5,41.6
E00023987,9.1,53.4,37.5
E00023988,20.3,24.6,55.1
E00023989,6.1,51.3,42.6
E00023990,6.8,66.7,26.5
E00023991,11.9,45.2,42.9
E00023992,12.1,50,37.9
E00023993,8.7,47.8,43.5
E00023994,5.6,61.1,33.3
E00023995,5.2,46.6,48.3
E00023996,12,48,40
E00023999,15.7,40.9,43.5
E00024002,13.6,40,46.4
