areacd,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00014078,18.9,44.2,14.7,22.1
E00014079,11.8,45.9,32.9,9.4
E00014082,9.2,47.7,27.7,15.4
E00014083,24,60,16,0
E00014084,37.3,23.9,16.4,22.4
E00014085,25,52.3,18.2,4.5
E00014086,20.3,43.1,16.3,20.3
E00014087,27.1,40.6,19.8,12.5
E00014088,38.3,37.2,14.9,9.6
E00014089,42.5,34.9,16,6.6
E00014090,22.8,27.8,27.8,21.5
E00014091,18.2,19.7,27.3,34.8
E00014092,37.8,43.2,17.6,1.4
E00014093,8.2,31.5,34.2,26
E00014094,20.8,24.7,27.3,27.3
E00014095,45.2,36.5,13.5,4.8
E00014096,31.5,37,13,18.5
E00014097,41.3,38.8,13.8,6.3
E00014098,22.9,18.6,35.7,22.9
E00014099,32.6,40.4,20.2,6.7
E00014100,7.7,20.2,26,46.2
E00014102,43,39.5,15.1,2.3
E00014107,12.5,31.3,42.5,13.8
E00014108,16.3,22.1,25,36.5
E00014109,20.5,62.7,12,4.8
E00014110,38.3,36.5,21.7,3.5
E00014111,27.4,42.9,15.5,14.3
E00014112,36.8,50,9.8,3.4
E00014223,31.2,19.4,12.9,36.6
E00014224,25.8,25.8,25.8,22.5
E00014225,42.1,29.5,12.6,15.8
E00014226,37,37,18.5,7.4
E00014227,26.3,28.5,40.9,4.4
E00014228,53.8,16.7,12.8,16.7
E00014229,33.3,45.3,17.3,4
E00014230,42.3,30.9,22.7,4.1
E00014231,7.7,9,39.7,43.6
E00014232,18.8,42.5,22.5,16.3
E00014233,76.3,19.6,3.1,1
E00014234,43,26.7,16.3,14
E00014236,62.1,21.6,11.2,5.2
E00014330,14.4,42.2,27.8,15.6
E00014331,21.1,36.7,21.1,21.1
E00014332,31.5,37,21.7,9.8
E00014334,10.4,43.8,33.3,12.5
E00014335,52.9,20.7,22.3,4.1
E00014336,17,29.5,33,20.5
E00014337,80,16.5,2.4,1.2
E00014338,14.3,17.5,22.2,46
E00014339,48.5,35.1,13.4,3.1
E00014341,18.8,57.4,22.8,1
E00014342,36.2,43.8,18.1,1.9
E00014344,91,8.1,0.9,0
E00014345,34.5,34.5,17.9,13.1
E00014347,29.2,46.2,16,8.5
E00014348,20.8,60,17.7,1.5
E00014351,26.3,39.5,22.4,11.8
E00014353,10.9,27.3,34.5,27.3
E00014354,18.8,8.9,31.3,41.1
E00014356,17.6,27.5,33.3,21.6
E00014357,32.9,39.7,17.8,9.6
E00014358,15.7,42.9,27.1,14.3
E00014359,8.5,43.7,25.4,22.5
E00014360,19.1,36,28.1,16.9
E00014361,38,31.6,22.8,7.6
E00014362,5.9,22.8,55.4,15.8
E00014363,16.7,49,25,9.4
E00014364,15.4,38.5,32.3,13.8
E00014365,7.8,14.3,37.7,40.3
E00014366,15.3,41.7,20.8,22.2
E00014367,20,38.8,30,11.3
E00014368,26.4,36.3,18.7,18.7
E00014370,57.7,24.3,10.8,7.2
E00014371,22.7,31.8,28.4,17
E00014581,40.9,40.9,9.4,8.7
E00014582,33.3,39.3,21.4,6
E00014583,37.5,25,28.8,8.8
E00014584,45.9,45.1,9,0
E00014585,45.5,36.6,10.9,6.9
E00014586,24.7,64.9,9.1,1.3
E00014587,54.9,33,9.9,2.2
E00014588,41.9,40.5,16.2,1.4
E00014589,16.9,50.6,21.7,10.8
E00014590,12,24.8,19.7,43.6
E00014591,17.4,20.9,15.1,46.5
E00014592,6.3,16.3,28.8,48.8
E00014593,6.2,20.6,33,40.2
E00014594,26.4,40.2,18.4,14.9
E00014596,37.7,23.4,18.2,20.8
E00014598,24.8,25.7,27.7,21.8
E00014599,19,15.5,21.4,44
E00014600,23.6,30,22.7,23.6
E00014601,31,34.5,14.9,19.5
E00014602,27.4,38.1,28.6,6
E00014603,9.9,38.5,26.4,25.3
E00014604,33.7,55.8,10.6,0
E00014605,25.3,42.1,29.5,3.2
E00014606,61.4,22.7,10.2,5.7
E00014607,21.9,21.1,28.9,28.1
E00014609,11.7,27.7,34,26.6
E00014611,21.4,21.4,15.5,41.7
E00014612,13.5,36.5,32.7,17.3
E00014646,28.6,29.4,10.9,31.1
E00014647,40.2,21.8,24.1,13.8
E00014648,11.3,12.2,36.5,40
E00014649,1.2,16.9,38.6,43.4
E00014650,53.1,21,11.1,14.8
E00014652,20.2,14,14,51.8
E00014653,67.4,26.7,5.8,0
E00014655,33.6,48.7,10.1,7.6
E00014658,15.2,17.1,21,46.7
E00014660,31.9,17.2,12.1,38.8
E00023532,29.8,47.4,19.3,3.5
E00023533,73.1,16.3,8.8,1.9
E00023537,27.1,25.2,21.5,26.2
E00023538,27.6,56.7,9.4,6.3
E00023539,19.6,23.2,56.5,0.7
E00023540,30.7,12.9,48.6,7.9
E00023541,83.1,7.7,8.5,0.8
E00023542,66.7,21.4,10.3,1.6
E00023543,37.8,18.9,34.6,8.7
E00023544,5.6,11.1,78.9,4.4
E00023545,35.1,24.3,15.3,25.2
E00023546,71.2,19.9,8.9,0
E00023547,32.1,57.8,8.3,1.8
E00023548,9,54.1,33.1,3.8
E00023549,3.1,14.4,80.4,2.1
E00023550,7.2,67.2,15.2,10.4
E00023551,6.2,89.1,3.1,1.6
E00023552,64.3,19,14.3,2.4
E00023554,41.9,51.3,6.8,0
E00023555,23.8,51.6,14.8,9.8
E00023556,25.2,71,1.9,1.9
E00023557,18.3,42.3,21.1,18.3
E00023558,21.3,62.8,14.9,1.1
E00023559,17.6,31.5,32.4,18.5
E00023560,11.8,36.5,35.3,16.5
E00023561,80.9,18.2,0.9,0
E00023562,93.7,3.4,2.9,0
E00023658,14.1,39.7,32.1,14.1
E00023659,27.1,32.2,25.4,15.3
E00023660,19.7,32.8,24.6,23
E00023661,25.9,30.9,19.8,23.5
E00023662,3,19.4,35.8,41.8
E00023663,14.1,50.7,21.1,14.1
E00023664,3.4,21.5,23.2,52
E00023665,20.2,40.4,24.5,14.9
E00023666,3.6,31.7,25.9,38.8
E00023668,23.8,39.7,28.6,7.9
E00023669,10.5,20,12.6,56.8
E00023670,13.6,21,28.4,37
E00023671,12.1,24.1,32.8,31
E00023672,18.8,32.3,35.4,13.5
E00023674,9.7,44.4,33.3,12.5
E00023675,13.6,37,30.9,18.5
E00023676,10.8,36.9,20,32.3
E00023678,12.5,46.9,31.3,9.4
E00023680,11.3,28.2,38,22.5
E00023681,11,17.1,29.5,42.5
E00023682,20,26.7,20,33.3
E00023685,39.1,40.2,14.1,6.5
E00023686,9.6,16.9,38.6,34.9
E00023688,14.3,35.7,26.8,23.2
E00023689,6.6,9.9,28.6,54.9
E00023690,20.7,34.5,24.1,20.7
E00023926,44,25.9,24.1,6
E00023935,34.5,47.4,12.9,5.2
E00023937,41.6,23,20.4,15
E00023938,29.9,28,27.1,15
E00023939,41.7,37,17.3,3.9
E00023941,55.8,29.3,12.9,2
E00023942,20,52.5,21.3,6.3
E00023943,41.5,34,21.8,2.7
E00023946,24.7,38.5,25.5,11.3
E00023948,38.5,40,18.5,2.9
E00023949,34.5,41.2,23.5,0.8
E00023950,64.6,21.2,12.1,2
E00023951,52,39.4,7.9,0.8
E00023953,29.4,62.4,7.1,1.2
E00023954,10.3,70.7,12.9,6
E00023963,34.4,36.1,21.3,8.2
E00023964,43.4,33.8,15.4,7.4
E00023965,39.5,49.2,10.5,0.8
E00023966,44.8,31,23,1.1
E00023967,37.6,43.5,14.1,4.7
E00023968,28.8,28.8,27.4,15.1
E00023969,31.9,53.6,8.7,5.8
E00023971,46.7,33.3,20,0
E00023974,22.2,65,12,0.9
E00023975,45.8,35.7,14.3,4.2
E00023977,25.4,42.9,19,12.7
E00023979,56.6,30.3,11.8,1.3
E00023980,30,42,24,4
E00023981,43.4,34.9,16.9,4.8
E00023982,22.3,39.7,34.7,3.3
E00023985,45.8,51.7,2.5,0
E00023986,35.4,54.4,8.9,1.3
E00023987,58.1,32.6,5.8,3.5
E00023988,7.7,24.6,63.1,4.6
E00023989,59.5,26.1,7.2,7.2
E00023990,61.8,6.9,23.7,7.6
E00023991,38.4,50,7,4.7
E00023992,44.8,25.4,20.9,9
E00023993,55.2,29,12,3.8
E00023994,41.1,32.2,21.1,5.6
E00023995,56.9,29.3,12.1,1.7
E00023996,49,33.3,10.8,6.9
E00023999,34.8,47.8,14.8,2.6
E00024002,24.2,56.8,18.2,0.8
E00024004,3.1,46.9,48,2
E00024005,36.8,48.5,12.9,1.8
E00024006,33.6,33.6,26.7,6.2
E00024007,6,36,39,19
E00024008,61.8,21.1,11.4,5.7
E00024009,62.5,21.9,10.4,5.2
E00024013,54.1,32.8,13.1,0
E00024014,49.1,40.6,7.5,2.8
E00024019,42.7,52.4,4.9,0
E00024021,68.8,11.5,18.5,1.3
E00024022,28.4,45.9,25,0.7
E00024023,18.8,58.8,17.6,4.8
E00024025,28.2,49.2,16.1,6.5
E00024031,7.4,35.3,33.8,23.5
E00024032,31.5,25,29.8,13.7
E00024033,45.7,19.8,18.5,16
E00024034,50,25.8,17.7,6.5
E00024036,61.5,20.8,16.7,1
E00024037,37.1,54.8,6.5,1.6
E00024038,41.1,32.6,17.9,8.4
E00024039,26.9,29.6,39.8,3.7
E00024040,44.9,34.7,14.3,6.1
E00024041,53.5,21.1,11.4,14
E00024042,40.7,39.8,9.7,9.7
E00024043,52.7,38.7,6,2.7
E00024044,47,35,14,4
E00024045,44,35,10,11
E00024046,37.1,30.2,16.4,16.4
E00024047,56.8,32.4,2.2,8.6
E00024048,22.3,54.3,23.4,0
E00024050,47.8,32.2,12.2,7.8
E00024052,48.4,36.3,10.2,5.1
E00024053,29.3,48.8,10.6,11.4
E00024054,34,40,13,13
E00024055,39.2,38.2,16.7,5.9
E00024056,35.5,21.8,19.1,23.6
E00024057,36.3,37.2,12.4,14.2
E00024058,26.9,35.4,26.9,10.9
E00024059,21.5,40.5,25.3,12.7
E00024060,25.5,41.2,19.6,13.7
E00024061,55.7,9.1,26.1,9.1
E00024062,53.7,41.1,3.2,2.1
E00024063,30.5,37.9,14.7,16.8
E00024064,50.5,33.3,15.2,1
E00024065,55.5,27.3,12.7,4.5
E00024066,27.7,55.4,15.4,1.5
E00024067,40.9,26.1,13.9,19.1
E00024068,29.1,33.6,11.8,25.5
E00024069,57.7,19.2,11.5,11.5
E00024070,43.3,19.9,28.4,8.5
E00024071,46.7,31.8,9.3,12.1
E00024109,21,31.2,23.2,24.6
E00024113,39.5,39.5,11.6,9.3
E00024118,25.9,25.9,23.5,24.7
E00170943,51.4,47.7,0.9,0
E00171041,67.2,31.7,0.5,0.5
E00171043,39.2,55.9,2.9,2
E00171044,43.4,51.8,3.6,1.2
E00171080,25,58.9,14.3,1.8
E00175091,44.9,39.8,11.2,4.1
E00175180,27.6,37.1,25.7,9.5
E00175202,60.2,31.1,5.8,2.9
E00175203,67,28,5,0
E00175206,15.3,34.7,23.6,26.4
E00175217,47.6,35.3,15.9,1.2
E00175222,71.9,15.7,9.8,2.6
E00175231,34.1,40.7,19.3,5.9
E00175239,31.1,47.3,18.9,2.7
E00175240,26.9,59.7,10.4,3
E00175241,39,36.6,18.3,6.1
E00175258,65.2,23.2,9.8,1.8
E00175278,74.2,11.5,12.1,2.2
E00183114,22.4,61.2,15.3,1.2
E00183137,29,63.8,6.7,0.5
E00183175,64.9,32.5,1.8,0.9
E00183188,34.9,55.2,7.6,2.3
E00183197,29.6,54.1,14.1,2.2
E00183201,35.8,60,3.2,1.1
E00183210,46.2,50.5,3.3,0
E00183214,36.4,49.3,11.4,2.9
E00183218,35.1,57.5,6.1,1.3
E00190364,37.6,32,30.4,0
E00190373,82.9,11.6,4.7,0.8
E00190374,33.3,50.3,13.2,3.1
E00190376,47,40.2,7.7,5.1
E00190378,24.3,52.9,11.4,11.4
E00190379,26.5,39.8,24.1,9.6
E00190380,19.6,35.1,22.7,22.7
E00190381,25.4,41.3,23,10.3
E00190384,44.1,28.7,18.4,8.8
E00190386,65.1,26.6,6,2.3
E00190387,41.5,35.9,14.8,7.7
E00190388,38.6,47.1,11.4,2.9
E00190389,26.6,48.4,16.1,8.9
E00190390,35.4,35.4,23.9,5.3
E00190394,37.8,31.1,31.1,0
E00190395,28.6,31.3,38.8,1.4
E00190408,40.7,28.8,23.7,6.8
E00190409,21.8,40.6,31.2,6.5
E00190414,23.8,10.7,9.5,56
E00190418,39.1,43,17.2,0.8
E00190428,80.9,5.7,2.5,10.8
E00190432,29.8,38.3,8.5,23.4
E00190434,31.5,49.5,16.2,2.7
E00190446,43.9,35.4,20.7,0
E00190462,3.2,51.3,22.8,22.8
