areacd,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E00107642,46.6,39.8,0,13.6
E00107643,40.9,38.6,0,20.5
E00107644,39.7,40.5,2.3,17.6
E00107645,50,31,0,19
E00107646,49.8,24.7,2.3,23.3
E00107647,25.6,14.5,1.7,58.1
E00107648,71.3,18.4,0,10.3
E00107649,32.7,23.1,1.9,42.3
E00107650,7.1,22.2,70.7,0
E00107651,45.1,43.6,0,11.3
E00107652,43.9,35,0.6,20.4
E00107653,35.4,29.7,13.3,21.5
E00107654,27.6,43.4,0.7,28.3
E00107655,17.9,25.7,50,6.4
E00107656,51.2,42.1,0.8,5.8
E00107657,55.6,34.9,0,9.5
E00107658,40.5,43.8,5.2,10.5
E00107659,50,37.7,0.8,11.5
E00107660,59.2,32.5,0,8.3
E00107661,23.4,29.8,15.3,31.5
E00107662,50,43.8,0,6.3
E00107663,52,37.6,0,10.4
E00107664,56.8,29.7,0,13.6
E00107665,58.2,28.4,0.7,12.8
E00107666,31.6,35.9,5.1,27.4
E00107667,51.8,30.9,0,17.3
E00107701,54.4,27.2,1.5,16.9
E00107702,63,31.9,0.7,4.4
E00107703,34.1,36.4,19.4,10.1
E00107704,43.8,16.1,2.2,38
E00107705,50.9,25.5,0.9,22.7
E00107706,56.3,32.5,1.6,9.5
E00107707,42.9,45.5,2.6,9.1
E00107708,49,20.7,11.7,18.6
E00107709,29.4,27,24.6,19
E00107775,54.3,32.3,0.8,12.6
E00107776,49.3,37.9,0,12.9
E00107777,47.8,41,7.5,3.7
E00107778,61.3,36.1,0.8,1.7
E00107779,46,34.3,1.5,18.2
E00107780,36.5,25.3,30,8.2
E00107781,53.1,35.4,3.8,7.7
E00107782,53.5,42.4,0,4
E00107783,28.8,17,53.6,0.7
E00107784,56.2,33.1,2.5,8.3
E00107785,59.5,37.3,0,3.2
E00107786,54.5,21.4,2.1,22.1
E00107787,65.7,26.4,2.8,5.1
E00107788,58,36.9,0.6,4.5
E00107789,47.3,47.3,0,5.3
E00107790,23.9,12.4,11.9,51.8
E00107791,52.3,32.6,0,15.2
E00107792,12.6,26.9,35.9,24.6
E00107793,43.4,37.5,9.6,9.6
E00107794,51.1,23.7,7.6,17.6
E00107795,32.6,34.7,1.4,31.3
E00107796,37.8,36.4,0,25.9
E00107797,32.8,26.7,31.3,9.2
E00107798,22.1,42.7,16.8,18.3
E00107799,26.7,39.8,1.2,32.3
E00107800,44.6,33.8,12.9,8.6
E00107801,44.3,38.9,0,16.8
E00107802,26.5,37.9,27.3,8.3
E00107803,27.8,42.4,4.9,25
E00107804,40.8,36.9,2.3,20
E00107805,33.9,37.2,0.8,28.1
E00107806,30.4,37,0,32.6
E00107807,34,36.8,9,20.1
E00107808,22.7,27.3,38.6,11.4
E00107809,39.3,43.6,1.7,15.4
E00107810,49.3,32,0,18.7
E00107811,48.2,35.3,5,11.5
E00107812,47.3,36.5,4.7,11.5
E00107813,36.2,32.6,4.3,26.8
E00107814,23.2,23.9,44.4,8.5
E00107815,46.4,34.3,1.4,17.9
E00107816,29.9,40.9,3.1,26
E00107817,37.8,18,37.8,6.3
E00107818,23.4,36.2,33.3,7.1
E00107820,57.4,38.2,0.5,3.9
E00107821,39.9,44,0,16.1
E00107822,28.2,46.9,10.7,14.1
E00107826,45.4,46.2,0,8.4
E00107827,52.4,34.7,0,12.9
E00107828,47,33.3,0,19.7
E00107829,43.9,35.8,0,20.3
E00107830,54.1,23,0,23
E00107831,33.6,28.8,28,9.6
E00107832,49,39.2,2,9.8
E00107833,36.6,29.9,23.9,9.7
E00107834,40.8,33.7,3.6,21.9
E00107835,43.3,26.9,13.4,16.4
E00107836,15,5.8,74.2,5
E00107837,47,37.6,2.8,12.7
E00107838,58.4,33.6,0,8
E00107840,50.8,43,0,6.3
E00107841,54.1,25.7,4.7,15.5
E00107842,45.5,37.2,0,17.2
E00123959,50,32.1,2.2,15.7
E00123960,38.3,43.8,1.6,16.4
E00123961,25.5,29.4,31.4,13.7
E00123963,43.5,36.5,0.9,19.1
E00124014,44.7,40.7,2,12.6
E00124133,44.4,36.3,5.6,13.8
E00124135,80.6,12.4,1.6,5.4
E00124136,39.8,30.1,20.3,9.8
E00124137,50,34.6,0.8,14.6
E00124138,32.5,39.2,19.2,9.2
E00124139,31.5,27.4,12.5,28.6
E00125849,36.2,34.5,0.9,28.4
E00125850,34.5,31.9,15.1,18.5
E00125851,11.1,23.8,54,11.1
E00125852,17.9,23.1,44.8,14.2
E00125853,14.4,25.4,0.8,59.3
E00125854,8,9.6,72,10.4
E00125855,25,26.5,34.6,14
E00125856,20.9,22.6,42.6,13.9
E00125857,15,17.5,40,27.5
E00125858,42.4,31.4,7.3,18.8
E00125859,19.6,18.6,32,29.9
E00125860,58.3,31.5,0.8,9.4
E00125861,56,20.1,15.7,8.2
E00125862,24.2,30.7,16.3,28.8
E00125863,49.6,33.6,0,16.8
E00125867,29.9,26.5,8.5,35
E00125872,30.6,33.6,1.5,34.3
E00125874,25,54.8,0.8,19.4
E00125875,28.9,25.6,1.7,43.8
E00125877,53.2,35.7,2.4,8.7
E00125878,21.7,21.7,10.2,46.5
E00125879,54.8,40.4,1,3.8
E00125880,23.8,27.8,3.2,45.2
E00125881,31.4,46.6,12.7,9.3
E00125882,57,38.8,0.8,3.3
E00125883,17.9,20.8,1.9,59.4
E00125884,8.3,11.5,3.2,77.1
E00125885,35.6,36.9,2,25.5
E00125886,19,27.2,0.6,53.2
E00125887,36.8,33.5,2.7,27
E00125888,55.9,33.6,0,10.5
E00125889,5.5,15.1,10.3,69.2
E00125890,33.1,23.8,9.9,33.1
E00125891,11.4,17.1,13.9,57.6
E00125892,17.8,17.2,6.1,58.9
E00125893,6.8,14.3,1.9,77
E00125894,61.5,17,1.1,20.3
E00125895,39.5,33.3,0.8,26.4
E00125962,28.5,30.5,28.5,12.6
E00125963,21,21.7,17.8,39.5
E00125964,49.6,39.5,0,10.9
E00125965,43.3,29.8,0,27
E00125966,45.4,46.9,0.8,6.9
E00125967,46.4,43.8,3.3,6.5
E00125968,55.4,26.8,5.7,12.1
E00125969,40.8,33.8,2.8,22.5
E00125970,37.5,27.7,30.4,4.5
E00125971,51.7,37,2.6,8.7
E00125972,49.2,31.7,0.8,18.3
E00125973,13.3,26.7,1.5,58.5
