geography_code,in_full_time_education-001,in_full_time_education-002
E02003524,24,76
E02003525,22.5,77.5
E02003526,17.5,82.5
E02003527,17.9,82.1
E02003529,21,79
E02003530,20,80
E02003531,16.8,83.2
E02003532,19.5,80.5
E02003533,18.7,81.3
E02003534,20.8,79.2
E02003535,21.7,78.3
E02003536,25.4,74.6
E02003537,19.4,80.6
E02003538,24.1,75.9
E02003540,19.4,80.6
E02003541,42.9,57.1
E02003542,30.2,69.8
E02003543,37.9,62.1
E02003544,19.2,80.8
E02003545,19.8,80.2
E02003546,15.5,84.5
E02003547,19.9,80.1
E02003548,20.3,79.7
E02003549,41.3,58.7
E02003551,38.4,61.6
E02003553,44.5,55.5
E02003556,19.8,80.2
E02003557,38.3,61.7
E02003561,36,64
E02003562,18.8,81.2
E02003564,20.2,79.8
E02003565,38.3,61.7
E02003566,18.7,81.3
E02003570,34.6,65.4
E02003572,19,81
E02003573,21.2,78.8
E02003574,15.9,84.1
E02003575,23.3,76.7
E02003576,19.9,80.1
E02003578,17.1,82.9
E02003579,16.5,83.5
E02003580,21.9,78.1
E02003581,15.9,84.1
E02003582,17.4,82.6
E02003583,16.5,83.5
E02004697,19.9,80.1
E02004698,17.6,82.4
E02004699,16,84
E02004700,18.8,81.2
E02004702,16.7,83.3
E02004703,17.7,82.3
E02004704,16.3,83.7
E02004705,19.7,80.3
E02004706,17.4,82.6
E02004707,19.2,80.8
E02004708,18.2,81.8
E02004709,17.5,82.5
E02004710,17,83
E02004712,21.9,78.1
E02004713,18.9,81.1
E02004714,15.5,84.5
E02004715,17.6,82.4
E02004716,17.8,82.2
E02004717,21.5,78.5
E02004718,17.4,82.6
E02004719,17.4,82.6
E02004720,15,85
E02004721,24.1,75.9
E02004722,17.7,82.3
E02004723,17.3,82.7
E02004724,18.1,81.9
E02004725,16.1,83.9
E02004726,15.9,84.1
E02004727,22.1,77.9
E02004728,17.4,82.6
E02004729,16.3,83.7
E02004730,15.3,84.7
E02004731,15.9,84.1
E02004732,17.7,82.3
E02004733,16.7,83.3
E02004734,15.2,84.8
E02004735,13.6,86.4
E02004736,15.4,84.6
E02004737,17.7,82.3
E02004738,15.1,84.9
E02004739,14.5,85.5
E02004740,15.2,84.8
E02004741,17.6,82.4
E02004742,16,84
E02004743,16.6,83.4
E02004744,24.3,75.7
E02004745,17.4,82.6
E02004746,17.9,82.1
E02004747,15.9,84.1
E02004748,15.9,84.1
E02004749,16.6,83.4
E02004750,15,85
E02004764,13.5,86.5
E02004765,14.8,85.2
E02004766,17.7,82.3
E02004767,22.4,77.6
E02004768,18.7,81.3
E02004769,23.3,76.7
E02004770,21.1,78.9
E02004771,20.8,79.2
E02004772,15.8,84.2
E02004774,14.7,85.3
E02004775,15.9,84.1
E02004776,12.6,87.4
E02004777,12,88
E02004778,11.7,88.3
E02004789,17.4,82.6
E02004791,21.5,78.5
E02004792,13.9,86.1
E02004827,21.2,78.8
E02004829,18.6,81.4
E02004830,18.3,81.7
E02004831,21.4,78.6
E02004832,16.7,83.3
E02004833,28.2,71.8
E02004834,24.9,75.1
E02004835,27.9,72.1
E02004836,47.7,52.3
E02004837,22.7,77.3
E02004838,20.5,79.5
E02004839,18,82
E02004840,16.4,83.6
E02004841,18.1,81.9
E02004842,17.5,82.5
E02006454,19.4,80.6
E02006455,19.4,80.6
E02006559,10.8,89.2
E02006560,12.6,87.4
E02006561,20.2,79.8
E02006563,17.3,82.7
E02006564,15.4,84.6
E02006566,16.2,83.8
E02006567,16.2,83.8
E02006568,24.2,75.8
E02006569,14.8,85.2
E02006570,19.1,80.9
E02006571,18.9,81.1
E02006572,19.9,80.1
E02006573,14.5,85.5
E02006821,20.1,79.9
E02006822,16.1,83.9
E02006829,15.3,84.7
E02006830,19.4,80.6
E02006831,14.6,85.4
E02006838,14.9,85.1
E02006839,18.1,81.9
E02006975,62.5,37.5
E02006976,27.6,72.4
E02007074,42.4,57.6
E02007075,12.2,87.8
