geography_code,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E02003524,77.3,15.7,7
E02003525,78.2,15,6.9
E02003526,82.4,13.4,4.3
E02003527,82.4,13,4.6
E02003529,83.7,12.5,3.9
E02003530,82.3,12.6,5.1
E02003531,84.8,11.9,3.4
E02003532,83.9,11.5,4.6
E02003533,80,14.5,5.6
E02003534,84.8,11.1,4
E02003535,83.4,12.2,4.4
E02003536,74.9,16.9,8.2
E02003537,83.1,12.4,4.5
E02003538,81,13.7,5.3
E02003540,81.8,13.4,4.8
E02003541,79.9,13.6,6.6
E02003542,85.9,10.7,3.3
E02003543,85.4,10.9,3.7
E02003544,84.9,10.7,4.4
E02003545,82.2,12.9,4.9
E02003546,83.6,12.4,4
E02003547,82.3,13,4.7
E02003548,83.8,11.5,4.7
E02003549,86.7,10,3.3
E02003551,80.7,13.8,5.5
E02003553,85.2,10.5,4.3
E02003556,83,12.8,4.2
E02003557,87.2,9.6,3.2
E02003561,83,11.9,5
E02003562,84.1,12,3.9
E02003564,80.9,13.9,5.2
E02003565,86.6,9.5,3.9
E02003566,79.3,14.3,6.4
E02003570,84.8,10.7,4.5
E02003572,82.2,13.1,4.7
E02003573,77.5,16,6.5
E02003574,81.6,13.1,5.2
E02003575,78.2,14.6,7.2
E02003576,81.4,12.9,5.7
E02003578,81.6,13.7,4.7
E02003579,83.7,11.7,4.5
E02003580,77.8,14.8,7.3
E02003581,79.8,14.8,5.4
E02003582,81.7,13.5,4.8
E02003583,76.1,16.5,7.4
E02004697,86.8,10.4,2.8
E02004698,79.6,15.7,4.7
E02004699,85.1,11.5,3.4
E02004700,85.3,10.7,4.1
E02004702,82.8,12.7,4.5
E02004703,87.1,10.3,2.6
E02004704,85,11.2,3.8
E02004705,85.4,10.7,3.9
E02004706,84.5,11.9,3.5
E02004707,86.5,10.5,3
E02004708,84.2,11.9,3.9
E02004709,85.9,10.7,3.4
E02004710,85.8,10.7,3.5
E02004712,87.4,9.8,2.9
E02004713,84.5,12.2,3.3
E02004714,84.2,12.4,3.4
E02004715,82.7,12.9,4.4
E02004716,84.3,11.5,4.1
E02004717,82.8,12.7,4.5
E02004718,81.3,14,4.7
E02004719,86.8,10.6,2.6
E02004720,83.6,12.2,4.1
E02004721,90.7,7.7,1.6
E02004722,81.3,13.3,5.4
E02004723,84.9,11.3,3.8
E02004724,85.2,10.7,4.2
E02004725,79.6,15.1,5.3
E02004726,85.2,11.2,3.6
E02004727,88.8,8.6,2.7
E02004728,84.5,11.8,3.8
E02004729,79.4,15.5,5.1
E02004730,84,12.3,3.7
E02004731,85.4,11.4,3.2
E02004732,86.2,10.2,3.6
E02004733,84.9,11.6,3.5
E02004734,83.2,12.7,4.1
E02004735,83,13,4
E02004736,83.1,12.8,4
E02004737,79.6,14.6,5.8
E02004738,81.7,14,4.4
E02004739,81.4,13.4,5.1
E02004740,81.8,13.7,4.5
E02004741,77.5,16.4,6.1
E02004742,74.5,18.1,7.4
E02004743,82.3,13.3,4.4
E02004744,82.5,13.1,4.4
E02004745,79.5,14.9,5.6
E02004746,82.4,12.9,4.7
E02004747,78.1,15.9,6.1
E02004748,76.1,16.8,7.1
E02004749,81.9,13.6,4.5
E02004750,81,14.3,4.7
E02004764,79.8,14.7,5.4
E02004765,85,11.6,3.4
E02004766,76.8,16.7,6.5
E02004767,77.1,15.9,6.9
E02004768,80.2,14,5.8
E02004769,77.4,15.8,6.8
E02004770,76.6,16.1,7.3
E02004771,77.2,15.4,7.4
E02004772,82.4,13.1,4.5
E02004774,82.3,13.2,4.5
E02004775,83,12.4,4.6
E02004776,81.4,13.9,4.7
E02004777,75,17.8,7.2
E02004778,75.5,17.4,7.1
E02004789,80.3,14.3,5.5
E02004791,80.2,13.8,6
E02004792,81.1,14.2,4.7
E02004827,90,7.9,2
E02004829,88.2,9,2.8
E02004830,88,9.3,2.7
E02004831,87.1,9.5,3.4
E02004832,84.9,11.7,3.4
E02004833,86.3,10.3,3.5
E02004834,81.2,13.3,5.5
E02004835,87.3,9.5,3.2
E02004836,83.3,12.4,4.3
E02004837,87.9,9.4,2.7
E02004838,87.9,9.2,2.8
E02004839,87.8,9.5,2.8
E02004840,84.9,11.2,3.9
E02004841,86.8,10.2,3
E02004842,84.6,11.2,4.2
E02006454,87.7,9.3,3
E02006455,84.2,11,4.8
E02006559,79.1,15.9,5
E02006560,77,17,5.9
E02006561,85.8,11.3,2.9
E02006563,86.4,10.5,3.1
E02006564,82.8,12.7,4.5
E02006566,84.2,11.9,3.9
E02006567,84.8,11,4.2
E02006568,81.7,13.3,4.9
E02006569,86.1,10.6,3.3
E02006570,82,12.7,5.3
E02006571,85.1,11.5,3.4
E02006572,83.6,12.2,4.2
E02006573,81.8,13.3,4.9
E02006821,84.6,11.7,3.7
E02006822,81.6,13.3,5.2
E02006829,84.2,11.8,3.9
E02006830,79.9,14.5,5.6
E02006831,82.1,14,3.9
E02006838,85.5,10.7,3.8
E02006839,86.3,10.2,3.5
E02006975,83.8,11.9,4.3
E02006976,73.1,17.5,9.4
E02007074,86.2,9.6,4.2
E02007075,89.7,8.1,2.2
