geography_code,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E02003524,25.2,29.6,18.8,26.4
E02003525,27,32.2,19.3,21.5
E02003526,26.9,36.8,15.3,21
E02003527,27.7,36.4,17.6,18.3
E02003529,24,31.1,19.9,25
E02003530,29.1,34.8,16,20.1
E02003531,28.7,34.8,17.7,18.7
E02003532,31.6,29.9,16.2,22.2
E02003533,31.2,33.2,16.8,18.8
E02003534,24.6,32.3,18.6,24.5
E02003535,25.6,31.4,20.4,22.6
E02003536,36.4,26.7,15.7,21.2
E02003537,26.4,33.1,18.7,21.8
E02003538,31.1,31.2,18.1,19.6
E02003540,32.4,32.9,16.7,18.1
E02003541,38.4,23.7,12.6,25.3
E02003542,27.3,32.1,18,22.6
E02003543,30.8,30.7,15.1,23.5
E02003544,32.1,35.2,17.5,15.2
E02003545,46,34.7,10.2,9
E02003546,35.3,36,15.5,13.2
E02003547,48.4,36.2,8.4,7
E02003548,37.4,33.9,12.9,15.8
E02003549,25.4,35.2,17.4,22.1
E02003551,39.9,29,14.4,16.7
E02003553,22.4,25.8,17.5,34.4
E02003556,26.2,34.7,17.8,21.3
E02003557,33.2,31.4,11.5,23.9
E02003561,39.3,28.1,12.8,19.8
E02003562,33.9,34.1,14.5,17.5
E02003564,30.7,33.7,16,19.6
E02003565,34.5,30.1,14.2,21.3
E02003566,30.6,34.7,14.7,19.9
E02003570,36.2,24.2,12.9,26.7
E02003572,26.3,34,18.3,21.4
E02003573,30.9,33.1,15.6,20.5
E02003574,32.4,35.8,14.7,17.1
E02003575,33.7,31.7,15.7,18.9
E02003576,31.5,31.4,17.1,20
E02003578,30.7,34.1,17.1,18.1
E02003579,33.5,35.7,15,15.7
E02003580,32.6,29.5,17.5,20.4
E02003581,38,34.5,13.8,13.7
E02003582,28.6,39.1,13.6,18.6
E02003583,33.2,38.7,13.5,14.6
E02004697,21.6,40.9,15.3,22.2
E02004698,37.5,31.4,14.9,16.2
E02004699,29.1,38.2,15.8,17
E02004700,23.3,35.8,18.7,22.3
E02004702,26.8,35.3,17.9,20
E02004703,18.8,43.1,16.9,21.1
E02004704,23.9,39.4,17,19.6
E02004705,27.9,35.1,15.3,21.8
E02004706,26,39,14.9,20.1
E02004707,25.9,40.2,15.4,18.5
E02004708,34.9,32.8,14.9,17.4
E02004709,21.8,40.7,17.2,20.3
E02004710,23.4,39.6,16.9,20.2
E02004712,20.2,38.8,14.9,26.1
E02004713,23.5,37,17.6,21.8
E02004714,29.1,39.8,14.3,16.8
E02004715,29.3,35.1,16.2,19.3
E02004716,25.1,36.9,17.2,20.8
E02004717,26.7,32.5,18.2,22.5
E02004718,33.2,33,15.9,17.9
E02004719,21.6,38.6,17.9,21.9
E02004720,31.1,39,13.7,16.1
E02004721,19.6,33.2,19.5,27.6
E02004722,32.2,33.8,15.3,18.7
E02004723,24.1,39.8,15.9,20.2
E02004724,24.2,37.1,18.7,19.9
E02004725,34.4,35.2,14.6,15.9
E02004726,28.1,40.8,15.7,15.4
E02004727,17.2,36.7,18.9,27.2
E02004728,26.8,36.2,17.7,19.3
E02004729,26.9,37.5,18.1,17.4
E02004730,24.6,42.3,14.7,18.4
E02004731,27.5,38.6,15,18.9
E02004732,25.1,38.9,15.7,20.3
E02004733,26.7,39.5,15.9,17.9
E02004734,31.2,37.5,15.2,16.1
E02004735,25.2,43.3,15.4,16.1
E02004736,25.5,42.2,14.7,17.6
E02004737,34.3,32.9,16.4,16.4
E02004738,28.2,39.1,15.4,17.3
E02004739,29.5,41.7,13.8,15
E02004740,26.4,43.2,13.9,16.5
E02004741,28.1,36.4,16.3,19.2
E02004742,33.6,35.2,14,17.2
E02004743,26.3,37.9,17.5,18.3
E02004744,24.6,31.5,19.9,24
E02004745,33.5,36.1,14.2,16.2
E02004746,29.6,39,14.1,17.2
E02004747,33.9,37.3,14.5,14.3
E02004748,44.1,33.4,11.9,10.7
E02004749,28.3,39.3,13.7,18.7
