geography_code,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E02003524,3.4,1.5,1.5,93.2,0.4
E02003525,7.9,2.7,2.3,86.2,0.9
E02003526,4.8,0.6,1.5,92.2,0.9
E02003527,4.2,2.1,2,91.1,0.6
E02003529,5.6,0.8,1.5,91.6,0.5
E02003530,5.3,4.5,2.1,86.8,1.3
E02003531,4.2,1.2,1.8,92.2,0.6
E02003532,7.1,3,1.8,86.4,1.7
E02003533,3.3,2.2,2,90.9,1.6
E02003534,6.3,2.3,1.9,88.3,1.3
E02003535,5.8,2.4,2.8,87.8,1.2
E02003536,9.5,5.9,2.3,79.5,2.8
E02003537,2.7,1.6,2.1,92.9,0.6
E02003538,9.7,4.3,2.7,81,2.3
E02003540,5.1,2.8,2.6,88.1,1.4
E02003541,15.9,6.8,4.1,69.2,4
E02003542,7.2,2.8,3.8,85,1.2
E02003543,9,4.8,4,80,2.2
E02003544,3.5,1.9,3.2,90.1,1.3
E02003545,7.3,3.5,3.4,83.6,2.2
E02003546,3.8,2.8,2.8,89,1.6
E02003547,7,3.6,3.2,82.8,3.3
E02003548,6.8,2.4,3.2,85.8,1.9
E02003549,19.4,2.3,4.1,70.1,4.1
E02003551,12.2,3.5,3.3,79.4,1.7
E02003553,21.2,3.6,3.8,67.6,3.7
E02003556,3.9,1.5,2.9,91,0.7
E02003557,14.7,2.2,3.4,75.9,3.7
E02003561,15.7,3.3,4.6,73,3.4
E02003562,6.8,2.3,3.4,85.9,1.6
E02003564,4.9,2.7,3.1,88,1.3
E02003565,13.1,4.3,4.6,73.9,4.1
E02003566,4.1,1.8,3.5,89.7,0.9
E02003570,38.4,8.6,3.7,42.9,6.4
E02003572,5.7,1,3.2,88.9,1.2
E02003573,2.8,1.4,2.9,91.9,1
E02003574,2.4,1.1,1.6,94.1,0.8
E02003575,2.7,1.7,2.6,92.4,0.5
E02003576,3,1.5,3.3,91.6,0.6
E02003578,2.2,0.7,2.6,94.2,0.4
E02003579,3.6,1.9,3.9,89.4,1.2
