geography_code,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E02003524,91.8,5.2,1.2,0.8,0.9
E02003525,85.1,6.3,2.1,2.5,4.1
E02003526,90.9,6.2,1.1,0.9,0.8
E02003527,89.1,6.7,1.9,1.2,1.1
E02003529,90.1,5.8,1.5,1.3,1.2
E02003530,87.1,7.5,2.3,1.4,1.7
E02003531,90.8,6.2,1.4,1,0.7
E02003532,83.2,8.3,3.3,2.4,2.8
E02003533,84.8,6.6,3.7,2.5,2.4
E02003534,85.3,7.9,2.7,2.4,1.7
E02003535,85.1,7.5,3.5,1.9,2
E02003536,79.3,12.2,3.7,2.5,2.3
E02003537,90.7,5.4,1.8,1.2,0.8
E02003538,75.6,10.7,5.8,4.1,3.7
E02003540,86.4,7.4,2.9,2,1.3
E02003541,73.9,14.3,4.2,3.4,4.1
E02003542,81.1,8.8,4.4,3.1,2.6
E02003543,76.5,10.4,4.7,4,4.4
E02003544,85.2,7.9,3,2.5,1.5
E02003545,75.5,10.3,5.1,4.6,4.5
E02003546,83.8,7.6,3.6,2.8,2.3
E02003547,74.9,10.3,4.9,4.4,5.6
E02003548,78.5,10.6,4.5,3.4,3
E02003549,71.4,14.1,4.4,4,6.1
E02003551,75.7,10.7,3.3,2.4,7.9
E02003553,66.1,14.2,5.9,5.4,8.4
E02003556,87.4,7.8,2.3,1.6,0.9
E02003557,72.8,11.7,4.4,5.1,6
E02003561,67.4,12.5,6.2,5.2,8.7
E02003562,80.9,11,4,2.5,1.6
E02003564,85.2,9.4,3,1.4,1
E02003565,62.9,14.2,7,7.7,8.3
E02003566,86,9.2,2.8,1.4,0.6
E02003570,49.8,21.7,9.1,8.9,10.5
E02003572,86.4,8.6,2.5,1.4,1.1
E02003573,88.3,7.6,2.1,1.1,0.8
E02003574,90.2,5.8,2.1,1.2,0.7
E02003575,88.9,7.3,2.3,1.1,0.4
E02003576,86.8,7.4,2.9,1.6,1.3
E02003578,89.6,6.7,2.3,1,0.4
E02003579,83.3,8.7,4.3,2.5,1.3
E02003580,85.7,7.9,3.7,1.7,1
E02003581,90.8,5.5,1.3,1,1.4
E02003582,94,4.4,0.6,0.7,0.4
E02003583,94.9,3.9,0.4,0.5,0.2
E02004697,90.3,6.8,0.7,1.1,1
E02004698,88.7,6.9,1.8,1.1,1.5
E02004699,91,6.4,1.1,0.9,0.6
E02004700,84.4,10.2,3,1.7,0.8
E02004702,89,7.7,1.6,1,0.7
E02004703,91.9,6,1,0.6,0.5
E02004704,89.7,7.4,1.4,0.5,1
E02004705,88.5,8.1,1.4,1.2,0.8
E02004706,90.2,7.1,1.5,0.7,0.5
E02004707,90.5,6.8,0.8,1,0.9
E02004708,89.3,7.3,1.7,1,0.6
E02004709,94.1,4.5,0.6,0.5,0.3
E02004710,94.4,4.6,0.5,0.3,0.3
E02004712,88,8.8,1.4,1.1,0.7
E02004713,90,7.1,1.4,0.9,0.6
E02004714,88.8,7.1,2,1.2,0.9
E02004715,89.5,6.7,1.9,1,0.9
E02004716,94,4.4,0.9,0.3,0.3
E02004717,86.2,8.6,2.3,1.7,1.1
E02004718,85,8.3,2.6,2.3,1.8
E02004719,94.3,4.1,0.8,0.5,0.3
E02004720,91,6.2,1.5,0.8,0.5
E02004721,91.1,6,1.4,0.9,0.7
E02004722,94.3,3.9,0.9,0.5,0.4
E02004723,94,4.3,0.9,0.5,0.3
E02004724,90.7,6.2,1.6,1.1,0.5
E02004725,93.5,4.8,1,0.3,0.5
E02004726,92,4.9,1.6,0.9,0.6
E02004727,92.6,5.3,1.2,0.6,0.3
