geography_code,heating_type_3a-001,heating_type_3a-002
E02003524,3.1,96.9
E02003525,3.7,96.3
E02003526,0.8,99.2
E02003527,2.9,97.1
E02003529,1.8,98.2
E02003530,1.6,98.4
E02003531,2.3,97.7
E02003532,2.4,97.6
E02003533,3.4,96.6
E02003534,2.4,97.6
E02003535,2.7,97.3
E02003536,2.1,97.9
E02003537,2.1,97.9
E02003538,2.6,97.4
E02003540,2.2,97.8
E02003541,3,97
E02003542,2,98
E02003543,2.4,97.6
E02003544,2,98
E02003545,3.4,96.6
E02003546,2.1,97.9
E02003547,2.6,97.4
E02003548,2.8,97.2
E02003549,1.5,98.5
E02003551,2.5,97.5
E02003553,3,97
E02003556,1.6,98.4
E02003557,2.6,97.4
E02003561,2.7,97.3
E02003562,2.4,97.6
E02003564,1.7,98.3
E02003565,2.6,97.4
E02003566,1.5,98.5
E02003570,3.2,96.8
E02003572,1.9,98.1
E02003573,2.1,97.9
E02003574,2.4,97.6
E02003575,1.8,98.2
E02003576,2.3,97.7
E02003578,1.6,98.4
E02003579,1.6,98.4
E02003580,1.6,98.4
E02003581,2.8,97.2
E02003582,1.4,98.6
E02003583,1.6,98.4
E02004697,0.5,99.5
E02004698,1.5,98.5
E02004699,0.9,99.1
E02004700,0.7,99.3
E02004702,1.4,98.6
E02004703,1,99
E02004704,1.3,98.7
E02004705,0.7,99.3
E02004706,0.6,99.4
E02004707,1.4,98.6
E02004708,1.3,98.7
E02004709,0.6,99.4
E02004710,0.6,99.4
E02004712,0.6,99.4
E02004713,0.6,99.4
E02004714,1,99
E02004715,1.2,98.8
E02004716,1,99
E02004717,1.3,98.7
E02004718,1.6,98.4
E02004719,0.8,99.2
E02004720,1.3,98.7
E02004721,0.4,99.6
E02004722,0.9,99.1
E02004723,0.6,99.4
E02004724,1.5,98.5
E02004725,1.4,98.6
E02004726,1.1,98.9
E02004727,0.5,99.5
E02004728,0.7,99.3
E02004729,0.9,99.1
E02004730,0.9,99.1
E02004731,0.9,99.1
E02004732,1.2,98.8
E02004733,1,99
E02004734,1.5,98.5
E02004735,1,99
E02004736,1.3,98.7
E02004737,1.7,98.3
E02004738,1.9,98.1
E02004739,0.9,99.1
E02004740,0.8,99.2
E02004741,1.3,98.7
E02004742,1,99
E02004743,1.8,98.2
E02004744,2.9,97.1
E02004745,1.8,98.2
E02004746,0.8,99.2
E02004747,2.2,97.8
E02004748,3,97
E02004749,1.4,98.6
E02004750,1.8,98.2
E02004764,0.7,99.3
E02004765,1.6,98.4
E02004766,1.2,98.8
E02004767,2.6,97.4
E02004768,1.9,98.1
E02004769,3.1,96.9
E02004770,3.3,96.7
E02004771,2.8,97.2
E02004772,1,99
E02004774,0.9,99.1
E02004775,1.3,98.7
E02004776,0.8,99.2
E02004777,2.6,97.4
E02004778,1.3,98.7
E02004789,0.9,99.1
E02004791,1,99
E02004792,0.9,99.1
E02004827,0.5,99.5
E02004829,0.8,99.2
E02004830,0.7,99.3
E02004831,0.5,99.5
E02004832,0.8,99.2
E02004833,0.6,99.4
E02004834,1.8,98.2
E02004835,1.4,98.6
E02004836,0.9,99.1
E02004837,0.9,99.1
E02004838,0.9,99.1
E02004839,0.8,99.2
E02004840,0.9,99.1
E02004841,0.9,99.1
E02004842,0.8,99.2
E02006454,0.5,99.5
E02006455,1,99
E02006559,0.5,99.5
E02006560,1,99
E02006561,1.2,98.8
E02006563,1.8,98.2
E02006564,1.1,98.9
E02006566,1.3,98.7
E02006567,1.2,98.8
E02006568,1.2,98.8
E02006569,1,99
E02006570,1.4,98.6
E02006571,0.8,99.2
E02006572,0.9,99.1
E02006573,1.2,98.8
E02006821,2.2,97.8
E02006822,1.6,98.4
E02006829,0.7,99.3
E02006830,1.6,98.4
E02006831,0.9,99.1
E02006838,0.7,99.3
E02006839,1.1,98.9
E02006975,2.2,97.8
E02006976,2.5,97.5
E02007074,3.3,96.7
E02007075,2.8,97.2
