geography_code,country_of_birth_3a-001,country_of_birth_3a-002
E00136780,97.1,2.9
E00136781,96.3,3.7
E00136782,95.4,4.6
E00136783,96.7,3.3
E00136784,92.4,7.6
E00136785,89.1,10.9
E00136786,95,5
E00136787,96.9,3.1
E00136791,94.9,5.1
E00136792,96.9,3.1
E00136793,97.7,2.3
E00136813,94.2,5.8
E00136814,97.3,2.7
E00136815,94.8,5.2
E00136816,96.6,3.4
E00136817,95.6,4.4
E00136818,98.1,1.9
E00136822,96.9,3.1
E00137044,97.2,2.8
E00153723,90.6,9.4
E00153724,95.1,4.9
E00153725,89.1,10.9
E00153726,85.7,14.3
E00153727,89.2,10.8
E00153728,86.7,13.3
E00153729,90.7,9.3
E00153730,93.1,6.9
E00153731,94.7,5.3
E00153732,91.6,8.4
E00153733,93.7,6.3
E00153734,93.3,6.7
E00153735,93.1,6.9
E00153736,94,6
E00153737,95.3,4.7
E00153860,96,4
E00153862,89,11
E00153864,97.4,2.6
E00153867,97.4,2.6
E00153868,95.3,4.7
E00153869,93,7
E00153875,96.4,3.6
E00153876,96.2,3.8
E00153877,93,7
E00153916,95,5
E00153917,97.5,2.5
E00153918,97.7,2.3
E00153919,92,8
E00153920,96.1,3.9
E00153921,87.7,12.3
E00153922,83.2,16.8
E00153923,94.1,5.9
E00153924,89.6,10.4
E00153925,97.1,2.9
E00153926,94.2,5.8
E00153927,85.1,14.9
E00153928,98.2,1.8
E00153929,94.4,5.6
E00153930,95.8,4.2
E00153931,89.2,10.8
E00153932,95.4,4.6
E00153934,95,5
E00153935,94.4,5.6
E00153936,95.9,4.1
E00153937,97.5,2.5
E00153987,92.2,7.8
E00153989,90.3,9.7
E00153990,97.8,2.2
E00153991,93.3,6.7
E00153992,93.2,6.8
E00153994,98.1,1.9
E00154006,95.5,4.5
E00154007,94.8,5.2
E00154008,95.9,4.1
E00154009,93.5,6.5
E00154010,97.1,2.9
E00154011,94,6
E00154012,94.3,5.7
E00154014,93,7
E00154015,90.3,9.7
E00154016,89.2,10.8
E00154017,91.6,8.4
E00154046,97.2,2.8
E00154047,91.8,8.2
E00154048,98.3,1.7
E00154050,95.8,4.2
E00154051,91.2,8.8
E00154054,92.3,7.7
E00154055,92.1,7.9
E00154056,95.3,4.7
E00154057,94.8,5.2
E00154058,88.6,11.4
E00154059,97.8,2.2
E00154068,93.4,6.6
E00154069,95.9,4.1
E00154070,92.4,7.6
E00154071,93,7
E00154072,90.6,9.4
E00154073,95.5,4.5
E00154074,94.1,5.9
E00154075,96.7,3.3
E00154076,96.1,3.9
E00154077,92.4,7.6
E00154107,94.6,5.4
E00154108,92.9,7.1
E00154109,99,1
E00154110,83.7,16.3
E00154111,91.1,8.9
E00154112,97.5,2.5
E00154113,92.8,7.2
E00154114,92.9,7.1
E00154130,93.1,6.9
E00154131,97.1,2.9
E00154132,90.3,9.7
E00154133,93.6,6.4
E00154134,94,6
E00154135,96.5,3.5
E00154136,96,4
E00154137,93.6,6.4
E00154138,81.6,18.4
E00154139,95.1,4.9
E00154140,96.2,3.8
E00154141,92.8,7.2
E00154142,94.4,5.6
E00154143,93.7,6.3
E00154144,95,5
E00154145,98.4,1.6
E00154146,92.2,7.8
E00154147,90.3,9.7
E00154148,91.6,8.4
E00154149,93.3,6.7
E00154150,99.3,0.7
E00154151,98,2
E00154152,92.9,7.1
E00154153,96.3,3.7
E00154154,97.8,2.2
E00154155,95.7,4.3
E00154156,96,4
E00154157,93,7
E00154158,98.8,1.2
E00154159,97.4,2.6
E00154160,98.3,1.7
E00154161,98.5,1.5
E00154162,96.6,3.4
E00154163,96.1,3.9
E00154164,97.1,2.9
E00154165,92.3,7.7
E00154166,96.1,3.9
E00154167,95.8,4.2
E00154168,97.6,2.4
E00154169,97.9,2.1
E00154170,97.2,2.8
E00154171,98.9,1.1
E00154172,97.7,2.3
E00154173,98.3,1.7
E00154174,98.5,1.5
E00154175,96.3,3.7
E00154176,95.1,4.9
E00154177,93.8,6.2
E00154178,97.4,2.6
E00154179,87.3,12.7
E00154180,95.4,4.6
E00154181,94.9,5.1
E00154182,90.6,9.4
E00154183,92.6,7.4
E00154184,94.9,5.1
E00154185,89.9,10.1
E00154186,94.1,5.9
E00154187,97.2,2.8
E00154188,93.7,6.3
E00154189,89.6,10.4
E00154190,95.6,4.4
E00154191,95.3,4.7
E00154192,90.3,9.7
E00154193,94.6,5.4
E00154194,94.7,5.3
E00154195,93.7,6.3
E00154196,97.3,2.7
E00154197,93.1,6.9
E00154198,93.7,6.3
E00154199,96.8,3.2
E00154200,97.7,2.3
E00154201,97,3
E00154202,95.7,4.3
