geography_code,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E00005280,79,16.1,4.9
E00005282,88.7,9.9,1.4
E00005285,86.3,10.1,3.7
E00005286,79.2,16.6,4.2
E00005337,91.3,6.5,2.2
E00005364,83.1,11.7,5.2
E00005365,88.2,8.1,3.7
E00005368,82.9,12.9,4.2
E00005369,78.8,15.2,6
E00005370,76.3,16.1,7.6
E00005371,67.2,23,9.8
E00005372,75,19,6
E00005373,78.7,11.8,9.4
E00005374,75.8,18.4,5.8
E00005375,77.9,15.3,6.8
E00005376,79.8,14.7,5.5
E00005377,69.3,16.5,14.3
E00005378,80.1,12.9,7
E00005379,75.3,17.1,7.6
E00005380,80.4,14.2,5.4
E00005381,79.9,13.4,6.7
E00005382,66.1,20.4,13.5
E00005383,75.5,18.6,5.9
E00005384,77.6,16.4,6
E00005385,81.5,15.1,3.3
E00005386,79.7,13.9,6.4
E00005387,74.8,15.5,9.7
E00005388,84.3,11.7,4
E00005390,81,12.4,6.6
E00005393,81.8,12.2,6.1
E00005394,86.6,9.4,4
E00005395,78.4,14.6,7
E00005482,87,8.7,4.2
E00005483,87.3,9.7,3
E00005484,81.6,13.8,4.6
E00005485,86.3,10.7,3
E00005486,83.3,12.3,4.4
E00005487,84.5,11.6,3.9
E00005488,90,9.1,0.9
E00005490,74.6,15.7,9.7
E00005491,83.1,11,5.9
E00005492,79.1,12.3,8.6
E00005496,80.7,12.3,6.9
E00005497,84.3,11.3,4.4
E00005499,80.3,12.9,6.9
E00005500,85.7,10,4.3
E00005501,87,8.5,4.5
E00005502,89.1,9.8,1.2
E00005503,84.9,11.3,3.8
E00005504,83,11.7,5.3
E00005505,78,16,6
E00005507,91.5,8.5,0
E00005509,85.6,11.5,2.9
E00005510,80.7,15.3,4
E00005512,87.2,9.1,3.7
E00005513,89,9.2,1.8
E00005515,92.2,7,0.8
E00005516,89,8.3,2.7
E00005517,85.1,12.5,2.4
E00005518,93.9,5.2,0.9
E00005576,84.4,10.5,5.1
E00005577,84.9,11.2,3.8
E00005578,86.8,9.4,3.8
E00005579,89.1,8.3,2.6
E00005580,87.7,11.4,0.9
E00005581,89.8,8,2.2
E00005582,80.8,14.8,4.5
E00005583,88.2,10.3,1.5
E00005585,85.5,12.1,2.5
E00005586,85,10.3,4.7
E00005587,81.7,12.4,5.9
E00005588,87.6,8.8,3.6
E00005589,83.3,12.9,3.8
E00005590,76.3,18.1,5.6
E00005591,83.2,11.2,5.6
E00005592,89.7,7,3.4
E00005603,83.7,12.4,3.9
E00005606,83.1,11.7,5.2
E00157276,75.4,17.2,7.4
E00157294,77,17.3,5.7
E00157296,88.1,7.5,4.4
E00157297,83.3,11.9,4.8
E00157298,88.5,9.3,2.2
E00157299,88,9.6,2.3
E00157300,85.6,10.2,4.2
E00157308,84.7,11,4.3
E00157309,83.2,13.2,3.6
E00157310,84.6,9.3,6
E00157311,76.8,19.6,3.6
E00157312,87.1,9.4,3.4
E00157313,72.5,20.5,7
E00157314,68.9,21.6,9.5
E00157315,89.2,8.9,1.9
E00157316,84.3,12.8,2.9
E00157317,85.6,12.1,2.3
E00157318,83,12.6,4.4
E00157319,84.1,12.4,3.5
E00157320,84.1,13.6,2.3
E00157321,72.8,22.5,4.7
E00157322,82.3,11.7,6
E00157323,89.6,8.3,2.1
E00157324,88.9,8.5,2.6
E00157325,91.4,6.2,2.4
E00157326,86.1,9.3,4.6
E00157327,79.8,13.8,6.5
E00157328,84.4,10.8,4.8
E00157329,89,9,2
E00157330,86.6,10.9,2.5
E00157331,84,12.5,3.5
E00157332,83.8,13.4,2.7
E00157333,82.2,14,3.8
E00157346,88.6,9.1,2.3
E00157347,85.6,11.2,3.2
E00157348,88.3,10.1,1.7
E00157349,85.1,11.6,3.4
E00157350,84.1,11.4,4.5
E00157352,90,8.3,1.8
E00157353,83.8,12.3,3.8
E00157355,86.1,11.7,2.2
E00157356,88.2,8.8,2.9
E00157357,85.5,9.8,4.6
E00157360,92.2,5.6,2.3
E00157361,90,7.5,2.5
E00170412,89.4,10.3,0.3
E00170413,78.4,18,3.6
E00170414,92,7.2,0.8
E00170421,76.5,16.7,6.8
E00170422,86.1,9.6,4.3
E00170425,87,11.6,1.3
E00174957,90.9,7.1,2
E00174959,86.6,11.1,2.2
E00190495,91.6,7,1.4
E00190498,84.2,12.4,3.4
