geography_code,has_ever_worked-001,has_ever_worked-002,has_ever_worked-003
E00005280,10.3,65.5,24.1
E00005282,17.7,46.8,35.4
E00005285,16.5,53.8,29.7
E00005286,10.5,65.8,23.7
E00005337,10.8,77.1,12
E00005364,14.7,61.1,24.2
E00005365,21.6,36.5,41.9
E00005368,14.3,49.6,36.1
E00005369,15,45,40
E00005370,6.9,56.9,36.3
E00005371,13.1,53.3,33.6
E00005372,14.9,47.1,37.9
E00005373,12.6,51.7,35.7
E00005374,13,50.4,36.5
E00005375,13.6,47.6,38.8
E00005376,11.7,61.7,26.6
E00005377,4.8,51.5,43.6
E00005378,9.7,54,36.3
E00005379,12.1,50.8,37.1
E00005380,14.2,48.8,37
E00005381,17.3,48.8,33.9
E00005382,12.6,59.5,27.9
E00005383,10.9,53.6,35.5
E00005384,12.6,50.5,36.9
E00005385,10,56.2,33.8
E00005386,10.2,50,39.8
E00005387,9,54.9,36.1
E00005388,17,51.8,31.3
E00005390,13.5,51.1,35.5
E00005393,5,77,18
E00005394,19.8,51.9,28.3
E00005395,12,51.9,36.1
E00005482,8.9,69.6,21.5
E00005483,14.9,68.4,16.7
E00005484,17.5,63.5,19
E00005485,7.8,76.5,15.7
E00005486,8.3,79.2,12.5
E00005487,11.2,67.2,21.6
E00005488,13.4,62.9,23.7
E00005490,2.4,75.6,22
E00005491,11.8,68.4,19.9
E00005492,13.3,57.1,29.5
E00005496,2.9,80.3,16.8
E00005497,10.6,61,28.5
E00005499,13,56.5,30.4
E00005500,15.6,62.3,22.1
E00005501,17.3,60.6,22.1
E00005502,22.9,51,26
E00005503,17.5,52.6,29.9
E00005504,14.4,51.9,33.7
E00005505,13.6,64.4,22
E00005507,14.1,69.9,16
E00005509,12.8,69.9,17.3
E00005510,4.3,75.9,19.9
E00005512,9.4,81.3,9.4
E00005513,6.8,81.6,11.7
E00005515,6.3,72.1,21.6
E00005516,8.9,74.1,17
E00005517,4.9,75.5,19.6
E00005518,16,70.6,13.4
E00005576,8.7,70.1,21.3
E00005577,15.1,65.8,19.2
E00005578,7.9,70.9,21.3
E00005579,13.7,69.6,16.7
E00005580,8.3,80.3,11.4
E00005581,9.9,81,9.1
E00005582,15.2,59,25.7
E00005583,9,72.1,18.9
E00005585,8.9,70.9,20.3
E00005586,14.4,62.9,22.7
E00005587,9.4,63,27.6
E00005588,16.5,60.2,23.3
E00005589,12.4,66.9,20.7
E00005590,9.7,71.5,18.8
E00005591,12,78,10
E00005592,8,75.4,16.7
E00005603,13.2,64.5,22.3
E00005606,14.5,56.4,29.1
E00157276,7.2,75.7,17.1
E00157294,15,50.5,34.6
E00157296,11.8,56.6,31.6
E00157297,12.3,70.2,17.5
E00157298,12,69.6,18.5
E00157299,13.2,72.4,14.5
E00157300,19,57.1,23.8
E00157308,14.4,70,15.6
E00157309,10.5,69.9,19.5
E00157310,9.6,66.7,23.7
E00157311,5.7,84.9,9.4
E00157312,14,68.8,17.2
E00157313,13.2,62.6,24.2
E00157314,11.3,65.1,23.6
E00157315,8.8,72.5,18.7
E00157316,17.5,58.8,23.7
E00157317,11.5,69.2,19.2
E00157318,12.9,64.6,22.4
E00157319,12.3,75.4,12.3
E00157320,13.9,74.8,11.3
E00157321,9.2,77,13.8
E00157322,8.8,67.5,23.7
E00157323,12.9,74.2,12.9
E00157324,9,80.5,10.5
E00157325,12.7,80.9,6.4
E00157326,7.5,76.3,16.3
E00157327,6.4,72.3,21.3
E00157328,13.5,70.8,15.6
E00157329,9.5,71.6,18.9
E00157330,14.1,77.8,8.1
E00157331,9.6,76.3,14
E00157332,11.2,77.6,11.2
E00157333,7.7,75.4,16.9
E00157346,21.4,60.7,17.9
E00157347,20.9,59.3,19.8
E00157348,14.8,70.5,14.8
E00157349,18.6,52.9,28.6
E00157350,18.2,62.3,19.5
E00157352,19.3,67.9,12.8
E00157353,19.8,70.3,9.9
E00157355,21,64.5,14.5
E00157356,20.9,70.1,9
E00157357,12.3,74.5,13.2
E00157360,12.4,69.4,18.2
E00157361,14.4,70.5,15.2
E00170412,14.1,63.5,22.4
E00170413,26.1,30.4,43.5
E00170414,19,59.5,21.4
E00170421,4.5,87.3,8.2
E00170422,13.6,67,19.3
E00170425,12.8,69.1,18.1
E00174957,13.3,70.7,16
E00174959,12.9,67.1,20
E00190495,31.4,45.7,22.9
E00190498,22.1,64.7,13.2
