areacd,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E02002805,52.9,47.1
E02002809,41.4,58.6
E02002827,43.1,56.9
E02002828,55.9,44.1
E02002829,38.1,61.9
E02002830,41.8,58.2
E02002831,57.2,42.8
E02002832,57.1,42.9
E02002833,57.6,42.4
E02002834,46.6,53.4
E02002836,58.6,41.4
E02002837,50.5,49.5
E02002838,34.3,65.7
E02002839,49.9,50.1
E02002842,32.2,67.8
E02002843,61.2,38.8
E02002844,53.8,46.2
E02002845,49.9,50.1
E02002846,47.1,52.9
E02002847,58.3,41.7
E02002848,51.9,48.1
E02002849,22.6,77.4
E02002851,57.9,42.1
E02002852,30.9,69.1
E02002853,52.9,47.1
E02002854,34.8,65.2
E02002855,38.2,61.8
E02002856,30.2,69.8
E02002857,27.9,72.1
E02002858,53.7,46.3
E02002860,42.4,57.6
E02002861,32.2,67.8
E02002862,31.9,68.1
E02002863,46.8,53.2
E02002864,52.8,47.2
E02002865,51.8,48.2
E02002866,58.1,41.9
E02002867,52.4,47.6
E02002868,47.6,52.4
E02002869,32.8,67.2
E02002871,37.7,62.3
E02002872,33.7,66.3
E02002873,33.9,66.1
E02002874,34.7,65.3
E02002875,32.2,67.8
E02002876,37.5,62.5
E02002877,34.6,65.4
E02002878,32.7,67.3
E02002879,37.7,62.3
E02002880,34.6,65.4
E02002881,35.7,64.3
E02002882,30.2,69.8
E02002883,32.5,67.5
E02002884,35.7,64.3
E02002885,34.7,65.3
E02002886,48.9,51.1
E02002887,39.6,60.4
E02002888,31.8,68.2
E02002889,6.5,93.5
E02002890,13,87
E02002891,43.1,56.9
E02002892,38,62
E02002893,18.6,81.4
E02002895,15,85
E02002896,28.8,71.2
E02002897,57.8,42.2
E02002898,10.6,89.4
E02002901,46.7,53.3
E02002902,31.3,68.7
E02002903,38.7,61.3
E02002904,36.4,63.6
E02003237,55.5,44.5
E02003238,44.9,55.1
E02003239,52.1,47.9
E02003240,53.9,46.1
E02003241,49.4,50.6
E02003242,47.1,52.9
E02003243,34.7,65.3
E02003244,41.3,58.7
E02003245,34.6,65.4
E02003246,38.3,61.7
E02003247,39.7,60.3
E02003248,45.7,54.3
E02003249,39.5,60.5
E02003250,37.2,62.8
E02003251,57.8,42.2
E02003252,42.4,57.6
E02003253,35.9,64.1
E02003254,55,45
E02003255,45.6,54.4
E02003257,34.8,65.2
E02003747,46.4,53.6
E02003749,52.4,47.6
E02003753,50.3,49.7
E02003754,56.9,43.1
E02004029,41.3,58.7
E02004031,34.7,65.3
E02004032,51.8,48.2
E02004033,42.4,57.6
E02004036,44.2,55.8
E02004040,48.6,51.4
E02004041,44.5,55.5
E02004045,51.6,48.4
E02004046,48.1,51.9
E02004047,38.3,61.7
E02004048,43.1,56.9
E02004049,48,52
E02004050,41.2,58.8
E02004051,42.5,57.5
E02004052,47.9,52.1
E02004053,42.6,57.4
E02004054,46.7,53.3
E02004056,39.1,60.9
E02004057,39,61
E02004059,48.2,51.8
E02004060,47,53
E02004078,36.1,63.9
E02004080,35.9,64.1
E02004082,55.4,44.6
E02004083,42.9,57.1
E02004084,41.8,58.2
E02004085,46.7,53.3
E02004086,51.3,48.7
E02004087,41.3,58.7
E02004088,55.4,44.6
E02004089,29.4,70.6
E02004090,47.8,52.2
E02004091,46.3,53.7
E02004092,46.1,53.9
E02004105,49,51
E02004111,49.1,50.9
E02004113,38.7,61.3
E02004115,48.1,51.9
E02004117,50.3,49.7
E02004121,52.9,47.1
E02005334,51.4,48.6
E02005335,55.4,44.6
E02005336,44.6,55.4
E02005337,49.2,50.8
E02005338,46.7,53.3
E02005339,49.4,50.6
E02005340,45.8,54.2
E02005341,49.7,50.3
E02005342,51.5,48.5
E02005343,52.8,47.2
E02005344,51.7,48.3
E02005345,50.7,49.3
E02005346,32.2,67.8
E02005347,18.6,81.4
E02005348,51,49
E02005349,48,52
E02005350,46.2,53.8
E02005351,20,80
E02005352,59.3,40.7
E02005353,39.5,60.5
E02005354,56,44
E02005355,50.5,49.5
E02005356,52.6,47.4
E02005357,43.4,56.6
E02005358,47.2,52.8
E02005359,55.3,44.7
E02005360,58.8,41.2
E02005361,45.5,54.5
E02005362,48.8,51.2
E02005363,56.7,43.3
E02005364,51.8,48.2
E02005365,49.6,50.4
E02005366,47.8,52.2
E02005368,58.7,41.3
E02005369,54.2,45.8
E02005370,51.6,48.4
E02005371,54.8,45.2
E02005372,58.1,41.9
E02005377,50.2,49.8
E02005378,54.5,45.5
E02005379,52.3,47.7
E02005380,57.7,42.3
E02005381,55.4,44.6
E02005382,45.1,54.9
E02005383,44,56
E02005385,55.9,44.1
E02005386,36.1,63.9
E02005387,45.6,54.4
E02005388,43.3,56.7
E02005389,47.2,52.8
E02005390,55.4,44.6
E02005391,56.7,43.3
E02005392,51.7,48.3
E02005393,52.4,47.6
E02005394,42.7,57.3
E02005395,47.2,52.8
E02005396,57.6,42.4
E02005397,49.3,50.7
E02005398,42.3,57.7
E02005400,50.5,49.5
E02005403,49,51
E02005405,44.8,55.2
E02005406,38.3,61.7
E02005407,48,52
E02005409,47.1,52.9
E02005412,53.4,46.6
E02005414,39.6,60.4
E02005415,39.2,60.8
E02005416,53.2,46.8
E02005418,33.8,66.2
E02005419,34.3,65.7
E02005420,39.8,60.2
E02005422,50.7,49.3
E02005423,47,53
E02005430,56,44
E02005434,47.5,52.5
E02005439,52.2,47.8
E02005441,54.7,45.3
E02005442,31.6,68.4
E02005443,40.9,59.1
E02005444,33.5,66.5
E02005445,28.5,71.5
E02005446,11.1,88.9
E02005447,20.5,79.5
E02005448,35.6,64.4
E02005449,28.6,71.4
E02005450,48.4,51.6
E02005451,31.8,68.2
E02005452,49,51
E02005453,57,43
E02005455,54.5,45.5
E02005456,48.9,51.1
E02005457,53.2,46.8
E02005458,57.6,42.4
E02005459,52,48
E02005460,52.7,47.3
E02005461,57.6,42.4
E02005462,41.7,58.3
E02005463,53.7,46.3
E02005464,55.6,44.4
E02005465,53.7,46.3
E02005468,55.7,44.3
E02005469,52.1,47.9
E02005470,43.2,56.8
E02005471,43,57
E02005473,47.6,52.4
E02005475,51.5,48.5
E02005476,58,42
E02005477,59.7,40.3
E02005478,47.6,52.4
E02005479,50,50
E02005480,39.9,60.1
E02005481,36.9,63.1
E02005482,55.9,44.1
E02005483,55.9,44.1
E02005484,52.6,47.4
E02005485,50.6,49.4
E02005486,47.3,52.7
E02005487,60.9,39.1
E02005488,52,48
E02005489,52.9,47.1
E02005490,42.9,57.1
E02005491,47.5,52.5
E02005498,58,42
E02005499,54.8,45.2
E02005500,53.2,46.8
E02005501,57.2,42.8
E02005502,53.5,46.5
E02005612,47.3,52.7
E02005613,40.2,59.8
E02005614,44.6,55.4
E02005615,41.6,58.4
E02005616,38.6,61.4
E02005629,57.3,42.7
E02005630,54.7,45.3
E02005819,46.8,53.2
E02005820,49.8,50.2
E02005821,41,59
E02005822,37.1,62.9
E02005823,34.8,65.2
E02005824,48.2,51.8
E02005825,46.7,53.3
E02005826,36.2,63.8
E02005827,47.9,52.1
E02005828,49.2,50.8
E02005829,47.7,52.3
E02005830,49.6,50.4
E02005831,49,51
E02005832,34.5,65.5
E02005833,53.1,46.9
E02005834,39.7,60.3
E02005839,45.8,54.2
E02005840,49.5,50.5
E02005842,44.8,55.2
E02005843,47.7,52.3
E02005844,42.8,57.2
E02005846,32,68
E02005847,46.4,53.6
E02005848,51.7,48.3
E02005849,53.5,46.5
E02005850,50.4,49.6
E02005851,39.3,60.7
E02005852,53,47
E02005853,50,50
E02005856,58,42
E02005857,39.9,60.1
E02005858,38.9,61.1
E02005859,43.4,56.6
E02005860,32.5,67.5
E02005861,37.5,62.5
E02005862,46.8,53.2
E02005863,53.7,46.3
E02005864,54,46
E02005865,58,42
E02005866,51.5,48.5
E02005868,48.4,51.6
E02005869,37.5,62.5
E02005870,35.3,64.7
E02005871,49.1,50.9
E02005872,53.8,46.2
E02005873,54.7,45.3
E02005874,48.1,51.9
E02005875,44.6,55.4
E02005876,46.2,53.8
E02005877,41.7,58.3
E02005878,39.9,60.1
E02005879,33.1,66.9
E02005880,45.1,54.9
E02005881,46.5,53.5
E02005882,52.8,47.2
E02005883,40.3,59.7
E02005884,46.2,53.8
E02005885,42.8,57.2
E02005886,50.5,49.5
E02005887,31.8,68.2
E02005888,32.9,67.1
E02005889,44.7,55.3
E02005890,52.8,47.2
E02005891,35.4,64.6
E02005892,53.6,46.4
E02005893,42.7,57.3
E02005894,47.4,52.6
E02005895,58.8,41.2
E02005896,56.4,43.6
E02005897,54.4,45.6
E02005898,43.6,56.4
E02005899,33.9,66.1
E02005900,51,49
E02005901,44.1,55.9
E02005902,42.4,57.6
E02005903,47.2,52.8
E02005904,54.7,45.3
E02005905,52.9,47.1
E02005906,51.7,48.3
E02005907,50.7,49.3
E02005908,53.2,46.8
E02005909,50.7,49.3
E02005910,35.1,64.9
E02005911,53.5,46.5
E02005912,54.1,45.9
E02005913,55.7,44.3
E02005914,46.7,53.3
E02005915,57.9,42.1
E02005916,49.4,50.6
E02005917,64.2,35.8
E02005918,52.1,47.9
E02005919,45.5,54.5
E02005920,56.9,43.1
E02006803,52.3,47.7
E02006804,41.9,58.1
E02006815,46.1,53.9
E02006816,57.2,42.8
E02006817,39.3,60.7
E02006818,54.4,45.6
E02006819,35.2,64.8
E02006820,51.9,48.1
E02006827,36.8,63.2
E02006828,47.1,52.9
E02006834,30.8,69.2
E02006835,47.5,52.5
E02006850,13.1,86.9
E02006851,11.2,88.8
E02006864,52.5,47.5
E02006865,50.7,49.3
E02006866,49.9,50.1
E02006867,50.6,49.4
E02006877,45.3,54.7
E02006878,45,55
E02006903,47.9,52.1
E02006904,14.9,85.1
E02006905,30.9,69.1
E02006906,51.7,48.3
E02006964,55.6,44.4
E02006965,52.6,47.4
E02006966,47,53
E02006967,59.8,40.2
E02007082,31.5,68.5
