areacd,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E02002805,53.2,31.2,4.7,10.9
E02002809,34.7,32.3,19.7,13.2
E02002827,26.6,30.6,27.6,15.3
E02002828,40.8,32.6,4.8,21.9
E02002829,18.1,21.4,42,18.6
E02002830,18.3,24,39.3,18.4
E02002831,38.1,27.8,7.3,26.8
E02002832,28.4,18,24,29.6
E02002833,29.1,19,23.2,28.7
E02002834,30.6,26.8,9.3,33.3
E02002836,28.2,16.5,21.7,33.6
E02002837,17.7,26.7,33,22.6
E02002838,17.4,17.9,49.8,14.9
E02002839,29.2,32.7,22.6,15.4
E02002842,13.6,12,16.1,58.3
E02002843,23.4,18.3,18.6,39.7
E02002844,22.8,11,48.4,17.8
E02002845,25.1,22.4,31.4,21.1
E02002846,38.1,35,6.2,20.8
E02002847,40.8,24.1,5.8,29.3
E02002848,24.9,13.2,21.6,40.3
E02002849,14.4,11.2,11.9,62.5
E02002851,49.2,31.9,6,12.9
E02002852,11.5,16.8,63.2,8.5
E02002853,35.9,18.2,9.2,36.7
E02002854,17.2,24.9,39,18.9
E02002855,24.8,20.2,4.9,50
E02002856,26,19.9,5.9,48.2
E02002857,18.1,23.7,12.5,45.8
E02002858,44.1,34.6,2.7,18.5
E02002860,34,33.2,15.7,17.2
E02002861,15,19.1,54.5,11.4
E02002862,18.4,23.3,44,14.3
E02002863,40.2,26.3,8.8,24.7
E02002864,40,34,10.7,15.3
E02002865,46.6,24.5,12.4,16.6
E02002866,46.1,31.5,9.7,12.7
E02002867,45.1,26.9,12.3,15.7
E02002868,44,31.8,14.6,9.5
E02002869,19,20.4,36.8,23.9
E02002871,33,29.8,15.6,21.6
E02002872,22.4,21.6,38.5,17.4
E02002873,18.7,26.3,33.1,22
E02002874,30.8,32.5,21,15.7
E02002875,19.3,26.1,29.2,25.3
E02002876,26.6,30.3,21.6,21.6
E02002877,30.3,28.1,10.8,30.8
E02002878,13.3,19.9,48.3,18.4
E02002879,23,30.9,11.9,34.3
E02002880,15.8,26.4,38.3,19.6
E02002881,20.5,29,37,13.4
E02002882,22.9,23.6,9.7,43.8
E02002883,20,24.8,28.8,26.4
E02002884,17.4,16.5,11.6,54.6
E02002885,11,14.3,24.4,50.4
E02002886,28.5,34.9,16.7,19.9
E02002887,22.7,23.9,40.5,12.9
E02002888,16.3,18.8,42.5,22.4
E02002889,6.4,8,29.1,56.6
E02002890,9.4,8.6,43.9,38.1
E02002891,35.3,33.1,15.3,16.3
E02002892,25.3,28.7,32.3,13.7
E02002893,10.4,10.5,32.4,46.6
E02002895,16.8,15.7,11.1,56.3
E02002896,13.7,18.3,26.9,41
E02002897,49.2,29.4,10,11.5
E02002898,11.1,7.4,15.2,66.3
E02002901,38.8,34.9,11.8,14.5
E02002902,27.6,25,26.8,20.5
E02002903,28.1,27.4,29.7,14.9
E02002904,27.6,28.7,24.9,18.8
E02003237,46.9,33.8,6.8,12.5
E02003238,29.9,34.8,15.2,20.1
E02003239,44.8,35.7,6,13.5
E02003240,32.2,34.4,9.3,24.1
E02003241,33.1,36.7,13.7,16.5
E02003242,40.6,29.9,14,15.5
E02003243,13.7,27.4,42.7,16.2
E02003244,20.8,26.6,35,17.6
E02003245,16,19.3,39.3,25.4
E02003246,20,24.5,16.6,38.9
E02003247,25.3,21.7,28,24.9
E02003248,28.3,29.2,8.3,34.2
E02003249,21.8,25.7,26.5,26
E02003250,17.7,14.7,12.8,54.8
E02003251,47.9,32,6.1,14
E02003252,19,31.4,13,36.6
E02003253,21.1,27.7,18.6,32.6
E02003254,43,32.2,8.3,16.5
E02003255,27.5,40.6,15.6,16.4
E02003257,17,20.6,34.7,27.7
E02003747,36.3,34.2,11.5,18
E02003749,41.6,37.6,5.5,15.3
E02003753,35.6,38,12.3,14.2
E02003754,41.1,33.2,10.1,15.6
E02004029,32.3,30.1,21.1,16.5
E02004031,24.5,22.4,36.5,16.6
E02004032,48,32.9,6.4,12.8
E02004033,38.7,33.4,8.1,19.8
E02004036,38.3,29,18.5,14.1
E02004040,38.2,39.3,6.9,15.6
E02004041,38.3,35.1,8.6,18
E02004045,40.6,36.4,7.9,15.1
E02004046,38.7,30.4,19.4,11.6
E02004047,26.3,25.6,22,26
E02004048,32.3,28.5,19,20.2
E02004049,42.5,30.6,16,10.9
E02004050,28.6,30.3,27.2,13.9
E02004051,32.7,25.1,15.9,26.3
E02004052,36.3,35.1,14,14.6
E02004053,31.7,31.5,17.6,19.2
E02004054,38.1,35.5,10.4,16
E02004056,27.3,24.3,34.9,13.5
E02004057,30.3,31.6,17,21.1
E02004059,43.1,30.6,15.3,11
E02004060,38.8,28.5,22.3,10.4
E02004078,28,21.6,31.8,18.7
E02004080,30.6,27.7,11.5,30.2
E02004082,52.4,35.7,2.1,9.7
E02004083,33.9,41.3,9.1,15.7
E02004084,33.8,29.3,24.8,12.1
E02004085,40.2,33.4,12.7,13.8
E02004086,45.1,32.9,10.3,11.7
E02004087,31.6,34.8,15.5,18.1
E02004088,48.4,37.7,2.1,11.8
E02004089,21.7,26.6,19.1,32.6
E02004090,43.9,28.7,12.1,15.4
E02004091,41.5,36.5,4.9,17.1
E02004092,36,34.4,16.7,12.9
E02004105,39.4,32.3,18.4,10
E02004111,44.1,30.5,15.7,9.8
E02004113,25.9,24.4,37.8,12
E02004115,41.6,32.5,14,11.9
E02004117,39.2,28.6,23.3,8.9
E02004121,38.4,44.8,7.3,9.5
E02005334,41.3,44.8,2,11.8
E02005335,45.5,37.3,6.2,11
E02005336,27.3,40.6,7.8,24.2
E02005337,42.1,34.8,5.1,17.9
E02005338,35.4,41.2,10.5,12.9
E02005339,40.6,39.3,6.2,13.9
E02005340,40.1,35.8,11.5,12.5
E02005341,34.6,44.3,11.4,9.8
E02005342,41.9,36.8,11.4,9.8
E02005343,43.3,39.1,7.8,9.8
E02005344,38.7,41.2,10.6,9.5
E02005345,42.3,31.8,10.1,15.8
E02005346,18.6,20.4,28.8,32.2
E02005347,19.9,14,18.7,47.3
E02005348,44.4,27.1,11.4,17.2
E02005349,38.4,36.3,10.5,14.8
E02005350,37.3,34.8,11.2,16.7
E02005351,32.3,22.5,20.3,24.9
E02005352,48.8,36.2,4.2,10.8
E02005353,27.8,33.2,21.4,17.6
E02005354,48.6,36.9,2.4,12.1
E02005355,41.1,37,8.5,13.4
E02005356,43.3,34.3,7.8,14.5
E02005357,32.9,40.6,10.4,16.1
E02005358,34.5,41.6,11.2,12.7
E02005359,42.9,40.9,6.4,9.8
E02005360,52,33.7,4.3,10
E02005361,36.9,32.4,9.2,21.5
E02005362,39.5,38,11.2,11.3
E02005363,43.5,38.9,5.2,12.4
E02005364,42.3,38.5,5.5,13.8
E02005365,42.6,31.5,10.7,15.1
E02005366,37.7,37.8,12,12.5
E02005368,47.2,31.5,6.1,15.2
E02005369,39.7,37.6,9.9,12.7
E02005370,39,43.3,6.2,11.5
E02005371,42.3,38.4,6.3,13
E02005372,44.8,37,7.4,10.8
E02005377,43.2,35.5,10.6,10.6
E02005378,45.4,38.3,5.3,11
E02005379,45,35.2,9.4,10.4
E02005380,45.9,31.8,8.4,13.8
E02005381,45.6,35.3,10.5,8.6
E02005382,35.2,33.5,15,16.3
E02005383,35.3,34.3,13.3,17.1
E02005385,47.6,39.5,3.7,9.2
E02005386,29.2,31.3,9.9,29.6
E02005387,33.2,40.1,10.1,16.6
E02005388,31.8,34.2,15.8,18.2
E02005389,39.5,29,19.9,11.6
E02005390,44.2,40.8,4,11
E02005391,44.4,32.1,7.7,15.9
