areacd,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E02002805,8.8,20.4,61.3,9.5
E02002809,8.4,19.9,64,7.7
E02002827,9.1,23.5,60.8,6.7
E02002828,9.2,22.5,62.5,5.8
E02002829,9.5,22.3,62.1,6.2
E02002830,9.9,21.7,61.2,7.1
E02002831,11.6,24.7,59.1,4.6
E02002832,10.4,24.2,61.5,3.8
E02002833,8.9,27.1,59.8,4.2
E02002834,8.6,19.9,64.2,7.3
E02002836,9,25.8,62.1,3.1
E02002837,9.7,27,58.3,5
E02002838,8.3,25.1,60,6.6
E02002839,9.2,25.1,59.9,5.8
E02002842,8.9,18.4,65.8,6.9
E02002843,10.2,30.7,56.2,3
E02002844,13,33.8,50.6,2.7
E02002845,10.3,28.5,56.3,5
E02002846,8.6,18.7,63.6,9.1
E02002847,11.3,29.8,55.1,3.8
E02002848,12.2,34.7,49.8,3.3
E02002849,11.9,18.3,62.9,6.8
E02002851,11.5,24.6,58.2,5.8
E02002852,9.2,25.9,59.6,5.3
E02002853,14.2,29.2,51.8,4.9
E02002854,9.4,23.3,60.4,6.9
E02002855,10.3,17.8,64.9,7
E02002856,13.8,18,59,9.3
E02002857,9.4,19.1,64.6,6.9
E02002858,10.8,18.8,57.7,12.6
E02002860,9.1,19.6,62.7,8.6
E02002861,10.5,24.3,57.7,7.4
E02002862,9.1,22.1,61.9,6.9
E02002863,10.5,16.3,52.6,20.6
E02002864,11.1,19.3,56.6,13.1
E02002865,13,19.4,54.1,13.5
E02002866,11.7,19.7,53,15.6
E02002867,11.9,20.1,51.5,16.5
E02002868,8.4,21.8,61.4,8.4
E02002869,7.9,24.4,60.7,7
E02002871,10.2,21.9,60.4,7.5
E02002872,8.4,23.7,61,6.9
E02002873,7.8,23.2,62.5,6.6
E02002874,9.8,22.2,59.3,8.6
E02002875,7.2,22.8,63,7
E02002876,9.3,21.5,61.8,7.4
E02002877,8.9,19.6,63,8.5
E02002878,9.8,26.5,58.1,5.7
E02002879,9.7,20.7,61.9,7.8
E02002880,9.2,25.6,58.2,7
E02002881,8,21.6,61.9,8.4
E02002882,11.8,18,59.3,10.9
E02002883,8,19.7,63.8,8.5
E02002884,11.9,20.9,60.3,6.8
E02002885,14,26.8,53.2,6
E02002886,11.2,24,57.7,7.1
E02002887,11.3,22.9,58.1,7.8
E02002888,9.1,23.8,60.5,6.6
E02002889,31.4,20.9,42.7,5
E02002890,19.1,22.3,52.8,5.8
E02002891,9.7,24.7,59,6.7
E02002892,8.3,22.7,60.5,8.5
E02002893,21.9,23.4,49,5.7
E02002895,19.9,16.5,52.5,11
E02002896,10.1,21.2,61.2,7.6
E02002897,10.7,20.6,58.3,10.4
E02002898,29.5,17.7,47.3,5.5
E02002901,8.3,19.3,62.8,9.7
E02002902,11.5,21.8,59.8,6.8
E02002903,9.3,22.6,60.2,7.9
E02002904,8.5,21.8,63.6,6.1
E02003237,10.1,18.2,59.1,12.6
E02003238,8,20.8,61.2,10
E02003239,8.8,19.1,61.1,10.9
E02003240,8.8,16.8,60.8,13.6
E02003241,8.6,18.9,61.2,11.3
E02003242,8,19.6,62.2,10.2
E02003243,8.1,20.3,62.2,9.4
E02003244,10,22.6,59.4,8.1
E02003245,9.2,21.3,62.3,7.1
E02003246,9.8,23.5,59,7.8
E02003247,8.7,19.3,63.6,8.4
E02003248,11,24.5,57,7.5
E02003249,8.7,20,62.8,8.5
E02003250,9,18.6,63.3,9.1
E02003251,10.6,21.3,57.8,10.3
E02003252,8.6,18.5,62.9,9.9
E02003253,7.1,16.6,67.5,8.9
E02003254,10.6,18.2,60.2,11
E02003255,6.4,17.9,65.3,10.3
E02003257,9,19.8,61.6,9.6
E02003747,8.9,18.9,60.4,11.8
E02003749,8.8,18.8,57.5,14.9
E02003753,9.1,18.8,60.8,11.4
E02003754,10.6,17.6,56.6,15.2
E02004029,8.7,18.2,63.4,9.7
E02004031,8.4,19.4,62.2,10
E02004032,8.8,20.3,60.5,10.4
E02004033,9.6,19,60.5,10.9
E02004036,8.8,19.9,61.6,9.7
E02004040,8.5,18.9,62,10.6
E02004041,9.2,18.9,62.4,9.5
E02004045,8.8,18.9,60.1,12.2
E02004046,8.8,20.5,59.8,10.9
E02004047,7.2,21,61.4,10.4
E02004048,8.9,21,59.9,10.2
E02004049,8.2,21,60.3,10.5
E02004050,6.4,20.5,64.3,8.8
E02004051,8.4,19.2,62.1,10.2
E02004052,8.6,20.4,59.6,11.4
E02004053,8.1,17.8,63.3,10.7
E02004054,8.5,17.9,62.4,11.1
E02004056,10.9,23,56.1,10.1
E02004057,8.9,21.6,60.1,9.4
E02004059,8.7,22.2,58.7,10.4
E02004060,9.6,22.5,59.5,8.4
E02004078,8.2,20.6,62.3,8.9
E02004080,9.3,19.2,62.6,9
E02004082,10.8,19.4,59.5,10.3
E02004083,8.5,19.5,63.2,8.8
E02004084,9,21.5,60.6,8.9
E02004085,10.2,20.1,59.7,10
E02004086,9.7,19.7,60.3,10.3
E02004087,7.8,19.7,63.9,8.5
E02004088,9.7,17.8,62.5,10
E02004089,9,17.7,65.3,8
E02004090,9.9,19.9,59.5,10.6
E02004091,8.4,19.3,63.2,9.1
E02004092,9.1,18.3,64.4,8.3
E02004105,9.9,22.6,58.2,9.3
E02004111,9.4,20.1,58.6,11.9
E02004113,7.9,21.3,61,9.8
E02004115,9.4,21.7,58.7,10.2
E02004117,10.1,21.2,56.7,12
E02004121,9.1,17.8,61.1,12
E02005334,9.1,19.2,61.9,9.9
E02005335,10.3,19.7,57.4,12.5
E02005336,7.2,18.7,64.8,9.3
E02005337,9.2,20.5,62.9,7.4
E02005338,8.7,18,63.6,9.8
E02005339,8.3,19.2,62.9,9.6
E02005340,9.1,20.6,59.7,10.6
E02005341,8.8,19.1,61.4,10.8
E02005342,9.5,20.3,59,11.1
E02005343,9.6,20.1,59.4,10.9
E02005344,9.6,17.6,61.4,11.4
E02005345,9.3,19.3,62.1,9.2
E02005346,11.6,20.3,59.7,8.4
E02005347,21.9,19.6,51.3,7.1
E02005348,8.6,20,62.8,8.6
E02005349,8.2,18.7,62.5,10.7
E02005350,8.7,18.5,63.1,9.7
E02005351,21.6,20.2,49.6,8.5
E02005352,12.4,18.8,53.2,15.5
E02005353,9.8,20.3,59.8,10.1
E02005354,10.8,19.6,58.8,10.8
E02005355,10,18.8,59.6,11.6
E02005356,10.7,19.1,57.6,12.5
E02005357,7.8,19.2,62.8,10.3
E02005358,9.1,18.8,61.8,10.4
E02005359,9.6,19.2,60.8,10.4
E02005360,12.9,18.7,52.4,15.9
E02005361,8.8,19.6,61.3,10.2
E02005362,9.1,20.2,61.9,8.8
E02005363,9.1,20.3,62.5,8.1
E02005364,8.5,21.4,62.1,8
E02005365,8.9,21.7,62.2,7.2
E02005366,8.8,19.1,61.8,10.3
E02005368,13,17.9,49.3,19.8
E02005369,10.5,18.6,57.6,13.3
E02005370,9.3,19.1,60.3,11.3
E02005371,11.5,17.7,56,14.8
E02005372,12.2,18.4,52.7,16.7
E02005377,9.2,19,60.1,11.7
E02005378,9.8,20.3,61,8.9
E02005379,8.6,20.8,60.7,9.9
E02005380,11.3,19.5,55.5,13.7
E02005381,9.3,19.4,58.3,13
E02005382,8.9,18.5,61.9,10.7
E02005383,8.9,18.7,61.8,10.6
E02005385,10.3,17.7,61.1,10.8
E02005386,7.2,17.6,65.9,9.3
E02005387,7.3,18.3,64.2,10.2
E02005388,8,18.7,63.5,9.8
E02005389,9.9,19.2,60.7,10.2
E02005390,8.8,18.8,61,11.4
E02005391,12.4,19,52.5,16.1
E02005392,10,19.9,58.1,12
E02005393,10.2,19.4,55.5,14.9
E02005394,9.6,19.9,60.3,10.2
E02005395,10.4,20.5,57.9,11.2
E02005396,12.5,18.2,51.2,18.1
E02005397,9.2,15.8,63,12
E02005398,11.2,17.1,59.1,12.7
E02005400,10.1,18.4,60.1,11.4
E02005403,7.7,18.9,62.9,10.5
E02005405,9.2,19.2,60.2,11.4
E02005406,7.7,18.6,63.6,10.1
E02005407,8,16.3,64.6,11.1
E02005409,8.1,18.1,62.2,11.6
E02005412,9.9,21.5,59.2,9.5
E02005414,9.5,19.7,62.4,8.4
E02005415,8.4,20.9,62.6,8.1
E02005416,9.3,20.6,62,8.1
E02005418,6.4,17.6,65.2,10.8
E02005419,7.5,17.1,64,11.3
E02005420,7.2,21,60.3,11.5
E02005422,9.9,20.2,53.6,16.3
E02005423,9.1,20.4,55.9,14.7
E02005430,11,21.3,51.4,16.2
E02005434,11.2,22.3,54.7,11.8
E02005439,10.1,17.6,58.9,13.3
E02005441,11.7,21.1,50.2,17
E02005442,9.9,23.8,58.4,7.9
E02005443,8.3,20.9,60.9,9.8
E02005444,12.8,19.2,58,10
E02005445,10.5,19.4,61.2,8.9
E02005446,26.5,19,48.1,6.5
E02005447,13,18.4,59.6,9
E02005448,9.7,20.6,60.1,9.6
E02005449,13.8,18.9,59.6,7.7
E02005450,9.4,20.2,59.9,10.6
E02005451,9.5,21.9,60,8.6
E02005452,9.3,21.4,59.5,9.8
E02005453,9.7,19.7,59.2,11.3
E02005455,9.9,18.6,57.3,14.3
E02005456,7.8,17.2,65.2,9.8
E02005457,9.7,20.3,57.8,12.3
E02005458,12,18.7,54.1,15.1
E02005459,10.8,19.2,54.5,15.4
E02005460,7.8,14.2,63.3,14.7
E02005461,11.5,18.8,55.1,14.6
E02005462,9.2,19.1,59.5,12.2
E02005463,8.4,18,61.9,11.7
E02005464,10.5,18.7,54.7,16.1
E02005465,10.4,20.5,52.3,16.8
E02005468,10.5,18.7,53,17.9
E02005469,8.4,18.3,58.3,15
E02005470,6.5,14.8,64.8,13.9
E02005471,7.1,15.9,63,14
E02005473,6.2,16,63.5,14.3
E02005475,8.1,18.3,59.3,14.3
E02005476,12.4,19.8,52.7,15.1
E02005477,12.2,19.8,53.6,14.4
E02005478,10,21,57.5,11.5
E02005479,8.7,17.5,62.2,11.6
E02005480,8.9,22,59.9,9.1
E02005481,8.6,17.3,63.5,10.6
E02005482,10.1,19.5,56.6,13.8
E02005483,11.2,18.8,55.7,14.4
E02005484,10.2,18,56.2,15.6
E02005485,9.5,17.2,61.6,11.7
E02005486,9.5,18.9,59,12.7
E02005487,11.5,19.8,52.8,16
E02005488,10.6,18.5,59.5,11.3
E02005489,9.1,19,60.7,11.3
E02005490,9.5,19.7,58.6,12.2
E02005491,9.7,18.7,57.3,14.3
E02005498,11.6,20.4,53.9,14
E02005499,10.8,20.6,55.3,13.3
E02005500,9.6,19.7,57.5,13.2
E02005501,11.2,19.1,56.6,13.1
E02005502,10.2,20.5,57.2,12.2
E02005612,9.1,16.9,63.1,10.9
E02005613,6.9,17.5,67.1,8.4
E02005614,6.4,14.9,66.3,12.4
E02005615,7,17.4,67.2,8.4
E02005616,7,17.9,66,9.1
E02005629,11.7,17.8,54.9,15.7
E02005630,11.9,16.2,55.6,16.2
E02005819,8.7,19.6,61.4,10.3
E02005820,7.9,20.4,62.5,9.2
E02005821,8.2,17.2,65,9.6
E02005822,7.4,20.2,63.8,8.5
E02005823,8,20,63.4,8.6
E02005824,7.5,19.4,62.7,10.4
E02005825,9.2,20.1,61.3,9.5
E02005826,8.1,19.8,64.3,7.9
E02005827,8.3,18.8,62.8,10.2
E02005828,8.7,18.6,62.6,10.2
E02005829,8.6,19.6,60.6,11.2
E02005830,9.7,20.9,59.4,10.1
E02005831,7.6,19.4,63.7,9.3
E02005832,7.6,20.2,64,8.2
E02005833,9,20.5,62.2,8.3
E02005834,8.1,19.4,63.9,8.6
E02005839,9.1,22.5,57.6,10.8
E02005840,8.7,19.9,60.6,10.8
E02005842,9.4,21.1,58.1,11.4
E02005843,7.8,19.8,62.5,9.9
E02005844,8.7,19.5,60.9,10.9
E02005846,7.5,22.1,62.7,7.6
E02005847,8.9,20.5,61.2,9.5
E02005848,9.2,21.1,57.9,11.8
E02005849,12.2,19.5,51.1,17.2
E02005850,10.1,21.1,58.6,10.1
E02005851,9.6,20.4,61.6,8.4
E02005852,9.1,20,61.4,9.4
E02005853,8.9,21.7,60.2,9.1
E02005856,10.5,19.1,59.2,11.2
E02005857,9,19.3,62.8,8.9
E02005858,11.5,19.2,59.7,9.6
E02005859,9.1,21.7,61,8.2
E02005860,10.9,17.2,62.8,9.1
E02005861,8.1,18.5,65.7,7.7
E02005862,9.6,20,61.9,8.4
E02005863,9.7,21.6,60,8.6
E02005864,8.4,19,63.1,9.6
E02005865,10.7,19.1,57.5,12.7
E02005866,10.1,21.4,58.1,10.4
E02005868,8.8,20.9,61.4,8.9
E02005869,9,23.1,60.1,7.8
E02005870,8.6,21.9,61,8.5
E02005871,8.9,21.7,60.4,9
E02005872,11.3,20.5,55.8,12.4
E02005873,9.9,20.4,60,9.6
E02005874,8.8,20.1,61.2,9.9
E02005875,7.4,20.3,62.9,9.5
E02005876,8.2,20.6,60.9,10.3
E02005877,9.9,20.1,61.9,8.1
E02005878,8.7,21.6,60.4,9.3
E02005879,8.4,20.1,63.1,8.5
E02005880,8.9,21.7,57.9,11.5
E02005881,10.1,21.3,58,10.6
E02005882,11,20.9,56.6,11.5
E02005883,7.5,21.2,61.4,9.9
E02005884,9,21.5,60.3,9.2
E02005885,8.9,20.1,61.8,9.2
E02005886,8.3,20.6,61.8,9.4
E02005887,6.8,17.4,66.7,9.2
E02005888,7.5,20.3,62.7,9.5
E02005889,8.7,20.8,61.1,9.4
E02005890,8.5,20.7,61.4,9.5
E02005891,8.9,22.1,59.3,9.6
E02005892,8.1,18.7,61.1,12.1
E02005893,9.2,18.7,60.3,11.8
E02005894,9.4,18.2,59.8,12.6
E02005895,11.6,18.6,53.1,16.7
E02005896,11.1,18.6,55.3,15.1
E02005897,11.4,21,53.2,14.4
E02005898,8.6,19.6,61.2,10.6
E02005899,7.7,17.1,64.6,10.7
E02005900,14.1,21.8,50.8,13.2
E02005901,9.1,18.8,61.6,10.5
E02005902,9.7,20.5,58.8,11
E02005903,9.2,18.8,61.1,10.9
E02005904,10,18.3,57.4,14.3
E02005905,14.5,19.8,50.9,14.8
E02005906,11.8,20.6,52.8,14.9
E02005907,9.7,19.2,60.8,10.2
E02005908,10.4,18.7,58.8,12.1
E02005909,9.9,18.7,59.4,12.1
E02005910,10.9,15.8,61.7,11.6
E02005911,10.4,19.2,57.4,13
E02005912,8.6,17.9,63.3,10.2
E02005913,9.4,19.1,59.1,12.4
E02005914,8.6,20.1,61.6,9.7
E02005915,11.5,19.8,54.6,14.2
E02005916,8.9,19,60.4,11.6
E02005917,13,19.3,51.7,16
E02005918,10.1,20.2,58.3,11.4
E02005919,11.5,18.6,58.2,11.7
E02005920,10.1,18.1,57.9,13.9
E02006803,8.6,19.9,61.5,10
E02006804,8.6,21.5,59.7,10.3
E02006815,8.5,25,60.6,5.9
E02006816,9.6,19,61.9,9.5
E02006817,12.4,22.2,58,7.4
E02006818,9.6,23.2,59.5,7.7
E02006819,8.3,23.3,61.1,7.3
E02006820,8.6,19.7,62.4,9.4
E02006827,9,19.3,62.5,9.2
E02006828,8.5,20.2,62.5,8.9
E02006834,6.7,23.5,62.9,6.9
E02006835,8.7,21.7,59.9,9.7
E02006850,21.4,21,51.9,5.7
E02006851,19.3,18.9,54.9,6.8
E02006864,7.5,20.8,59.3,12.4
E02006865,7.7,20.6,59.5,12.1
E02006866,8.1,17.8,63.8,10.2
E02006867,8.6,20.2,61.2,10
E02006877,7.4,16.2,65.1,11.2
E02006878,7.7,15.7,65.2,11.4
E02006903,8.7,23,59.6,8.8
E02006904,13.2,13.1,64.9,8.9
E02006905,10,21.9,61,7.1
E02006906,9.8,19.3,61.3,9.7
E02006964,9.9,21.8,62.7,5.6
E02006965,10.2,23.1,60.5,6.2
E02006966,13.8,21,54.7,10.5
E02006967,10.2,19.7,61.7,8.3
E02007082,15.1,19.1,56.7,9.2
