areacd,hours_per_week_worked_3a-001,hours_per_week_worked_3a-002
E02002805,29.2,70.8
E02002809,28.3,71.7
E02002827,32.5,67.5
E02002828,31.6,68.4
E02002829,31.7,68.3
E02002830,31.7,68.3
E02002831,36.3,63.7
E02002832,34.6,65.4
E02002833,36,64
E02002834,28.6,71.4
E02002836,34.8,65.2
E02002837,36.7,63.3
E02002838,33.5,66.5
E02002839,34.3,65.7
E02002842,27.3,72.7
E02002843,40.9,59.1
E02002844,46.7,53.3
E02002845,38.7,61.3
E02002846,27.3,72.7
E02002847,41.1,58.9
E02002848,47,53
E02002849,30.3,69.7
E02002851,36.1,63.9
E02002852,35.1,64.9
E02002853,43.3,56.7
E02002854,32.7,67.3
E02002855,28.1,71.9
E02002856,31.8,68.2
E02002857,28.5,71.5
E02002858,29.7,70.3
E02002860,28.8,71.2
E02002861,34.8,65.2
E02002862,31.2,68.8
E02002863,26.8,73.2
E02002864,30.4,69.6
E02002865,32.4,67.6
E02002866,31.4,68.6
E02002867,32,68
E02002868,30.1,69.9
E02002869,32.2,67.8
E02002871,32.1,67.9
E02002872,32.1,67.9
E02002873,31,69
E02002874,32.1,67.9
E02002875,30,70
E02002876,30.9,69.1
E02002877,28.5,71.5
E02002878,36.2,63.8
E02002879,30.4,69.6
E02002880,34.8,65.2
E02002881,29.6,70.4
E02002882,29.8,70.2
E02002883,27.7,72.3
E02002884,32.9,67.1
E02002885,40.8,59.2
E02002886,35.2,64.8
E02002887,34.1,65.9
E02002888,32.9,67.1
E02002889,52.3,47.7
E02002890,41.4,58.6
E02002891,34.3,65.7
E02002892,30.9,69.1
E02002893,45.3,54.7
E02002895,36.5,63.5
E02002896,31.3,68.7
E02002897,31.3,68.7
E02002898,47.2,52.8
E02002901,27.6,72.4
E02002902,33.4,66.6
E02002903,31.9,68.1
E02002904,30.3,69.7
E02003237,28.3,71.7
E02003238,28.8,71.2
E02003239,28,72
E02003240,25.6,74.4
E02003241,27.5,72.5
E02003242,27.6,72.4
E02003243,28.4,71.6
E02003244,32.5,67.5
E02003245,30.6,69.4
E02003246,33.2,66.8
E02003247,28,72
E02003248,35.4,64.6
E02003249,28.7,71.3
E02003250,27.6,72.4
E02003251,31.9,68.1
E02003252,27.2,72.8
E02003253,23.7,76.3
E02003254,28.8,71.2
E02003255,24.3,75.7
E02003257,28.8,71.2
E02003747,27.8,72.2
E02003749,27.6,72.4
E02003753,27.8,72.2
E02003754,28.2,71.8
E02004029,26.9,73.1
E02004031,27.8,72.2
E02004032,29.1,70.9
E02004033,28.6,71.4
E02004036,28.7,71.3
E02004040,27.4,72.6
E02004041,28.1,71.9
E02004045,27.7,72.3
E02004046,29.3,70.7
E02004047,28.2,71.8
E02004048,29.9,70.1
E02004049,29.2,70.8
E02004050,26.9,73.1
E02004051,27.6,72.4
E02004052,29,71
E02004053,26,74
E02004054,26.4,73.6
E02004056,33.8,66.2
E02004057,30.5,69.5
E02004059,30.9,69.1
E02004060,32.1,67.9
E02004078,28.8,71.2
E02004080,28.4,71.6
E02004082,30.2,69.8
E02004083,28,72
E02004084,30.5,69.5
E02004085,30.3,69.7
E02004086,29.5,70.5
E02004087,27.5,72.5
E02004088,27.6,72.4
E02004089,26.7,73.3
E02004090,29.9,70.1
E02004091,27.7,72.3
E02004092,27.4,72.6
E02004105,32.4,67.6
E02004111,29.5,70.5
E02004113,29.2,70.8
E02004115,31.1,68.9
E02004117,31.3,68.7
E02004121,26.9,73.1
E02005334,28.2,71.8
E02005335,30.1,69.9
E02005336,25.9,74.1
E02005337,29.7,70.3
E02005338,26.7,73.3
E02005339,27.5,72.5
E02005340,29.7,70.3
E02005341,27.8,72.2
E02005342,29.9,70.1
E02005343,29.7,70.3
E02005344,27.2,72.8
E02005345,28.7,71.3
E02005346,31.9,68.1
E02005347,41.5,58.5
E02005348,28.6,71.4
E02005349,26.8,73.2
E02005350,27.3,72.7
E02005351,41.9,58.1
E02005352,31.3,68.7
E02005353,30.1,69.9
E02005354,30.4,69.6
E02005355,28.8,71.2
