areacd,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E02002805,80.9,14.3,4.8
E02002809,77.3,15.4,7.3
E02002827,82,12.7,5.3
E02002828,80.7,14,5.3
E02002829,78.7,14.1,7.2
E02002830,81.6,13.1,5.3
E02002831,80.2,13.7,6.1
E02002832,79.9,14.1,6.1
E02002833,82.4,12.8,4.8
E02002834,83.9,12,4.1
E02002836,82.8,11.8,5.4
E02002837,84,11.3,4.7
E02002838,78.6,14.8,6.6
E02002839,81.6,12.5,5.9
E02002842,84.8,11.2,4
E02002843,85.9,10.3,3.8
E02002844,83,11.4,5.6
E02002845,80.6,13.1,6.3
E02002846,82.5,12.3,5.3
E02002847,84.5,10.9,4.5
E02002848,81.7,12.6,5.6
E02002849,85.5,10.9,3.7
E02002851,81,14.4,4.6
E02002852,77,15.1,7.9
E02002853,83.4,12,4.6
E02002854,77.6,15,7.4
E02002855,85.5,10.8,3.7
E02002856,84.8,11.5,3.7
E02002857,82.3,12.8,4.9
E02002858,85,11,4
E02002860,80.1,14.2,5.7
E02002861,76.4,15.3,8.3
E02002862,76.3,15.9,7.8
E02002863,85.3,11.4,3.4
E02002864,83.7,12.3,3.9
E02002865,83.5,12.8,3.7
E02002866,84.4,12.5,3.1
E02002867,85.9,10.5,3.6
E02002868,78.2,15.7,6.1
E02002869,74.3,17.1,8.6
E02002871,77.4,15.6,7
E02002872,75.7,15.9,8.4
E02002873,79,14.4,6.6
E02002874,78.7,15.3,6
E02002875,78.3,14.5,7.1
E02002876,77.8,15.2,7
E02002877,81.6,13,5.4
E02002878,80.4,12.8,6.8
E02002879,83.3,11.7,5
E02002880,80.5,13.3,6.3
E02002881,76.6,16.1,7.2
E02002882,83.4,11.8,4.7
E02002883,79.6,13.6,6.8
E02002884,80.7,13.3,6
E02002885,82.4,11.2,6.3
E02002886,81.7,12.4,5.9
E02002887,69.6,17.4,12.9
E02002888,77.8,13.7,8.5
E02002889,88,9.1,2.9
E02002890,82.8,11.8,5.4
E02002891,79.9,13.9,6.2
E02002892,75.5,15.2,9.2
E02002893,85.4,10.2,4.5
E02002895,90.8,6.8,2.4
E02002896,80.9,12.8,6.3
E02002897,83.5,12.3,4.3
E02002898,89.7,7.7,2.6
E02002901,82.3,12.7,5
E02002902,78.4,14.6,7
E02002903,74.9,17.1,8
E02002904,76.9,15.7,7.3
E02003237,82.9,13,4
E02003238,81.5,13.4,5.1
E02003239,82.2,13.8,4
E02003240,86.8,9.9,3.3
E02003241,81.6,13.3,5.1
E02003242,78.7,15.4,5.9
E02003243,79.4,14.3,6.3
E02003244,79.3,13.7,6.9
E02003245,79.5,13.7,6.8
E02003246,79.5,14.2,6.4
E02003247,78.5,15.3,6.2
E02003248,82.4,12.7,4.9
E02003249,81.6,13.2,5.2
E02003250,82.1,12.6,5.2
E02003251,81.2,14.2,4.6
E02003252,85.3,10.5,4.3
E02003253,81.6,13.5,4.9
E02003254,83.9,11.5,4.6
E02003255,83.1,12.2,4.7
E02003257,77.9,15.1,7
E02003747,79.6,15,5.4
E02003749,80.1,14.7,5.2
E02003753,82.3,13,4.7
E02003754,83,12.9,4.1
E02004029,76.1,16.7,7.2
E02004031,73.4,17.8,8.8
E02004032,80,14.4,5.6
E02004033,78.5,15.6,5.9
E02004036,77.9,15.5,6.6
E02004040,81.5,13.4,5.1
E02004041,79,15.2,5.8
E02004045,79.7,14,6.3
E02004046,75.7,16.5,7.8
E02004047,73.5,17.4,9.1
E02004048,75.1,16.6,8.3
E02004049,75.1,17.1,7.7
E02004050,75.3,15.6,9.1
E02004051,73.1,17.4,9.5
E02004052,78.5,15.1,6.4
E02004053,76.1,16.3,7.6
E02004054,77.3,15.9,6.9
E02004056,74.7,16.8,8.5
E02004057,78,15.6,6.5
E02004059,75.8,17.3,6.9
E02004060,74,17.7,8.4
E02004078,72.5,18,9.4
E02004080,77,16.5,6.5
E02004082,83,13.2,3.7
E02004083,81.2,13.9,4.9
E02004084,74.2,18.7,7.1
E02004085,79.7,14.5,5.9
E02004086,81.6,13.3,5.1
E02004087,78.9,15.6,5.5
E02004088,83.8,12.4,3.8
E02004089,76.9,15.5,7.7
E02004090,80.8,14.1,5.1
E02004091,82.2,13.2,4.6
E02004092,79.3,15.1,5.6
E02004105,79.6,14.1,6.3
E02004111,75.2,17.1,7.7
E02004113,73,18,9
E02004115,76.6,16.3,7.1
E02004117,76.9,16.1,7
E02004121,85.3,10.8,3.9
E02005334,85.5,11.4,3.2
E02005335,83.4,11.9,4.7
E02005336,84.5,11.6,3.9
E02005337,80.7,14.5,4.8
E02005338,83.2,12.4,4.4
E02005339,84.9,11.6,3.5
E02005340,81.4,13.8,4.8
E02005341,85.6,10.4,4
E02005342,83.3,12.5,4.2
E02005343,84.6,11.7,3.8
E02005344,84.4,11.8,3.8
E02005345,82.6,13.3,4
E02005346,79.6,14,6.4
E02005347,85.1,10.4,4.5
E02005348,79.6,15.2,5.2
E02005349,82.2,13.3,4.5
E02005350,79.7,15.8,4.5
E02005351,88.3,8.9,2.9
E02005352,87,9.8,3.2
E02005353,82.2,12.8,5
E02005354,86.3,10.5,3.2
E02005355,84.4,11.3,4.3
E02005356,84.8,11.5,3.7
E02005357,82.5,13.1,4.3
E02005358,86,10.5,3.5
E02005359,85.2,11.8,3.1
E02005360,86.8,10.1,3.1
E02005361,83.1,12.5,4.4
E02005362,82.2,12.7,5
E02005363,84.2,11.8,3.9
E02005364,84,12.2,3.8
E02005365,78.7,15.6,5.7
E02005366,84.5,11.8,3.7
E02005368,86.7,9.8,3.4
E02005369,86.1,10.5,3.4
E02005370,86.4,10.5,3.2
E02005371,85.9,10.7,3.4
E02005372,86.5,10.5,3
E02005377,82.2,13.2,4.6
E02005378,85.6,11,3.4
E02005379,83.7,11.9,4.4
E02005380,83.5,12.1,4.4
E02005381,81.7,13.1,5.1
E02005382,79.2,15.2,5.7
E02005383,79.6,14.5,5.9
E02005385,83.5,12.6,3.9
E02005386,80,14.9,5.1
E02005387,83.1,12.5,4.4
E02005388,81.2,14,4.8
E02005389,77.9,15.9,6.2
E02005390,85.3,11.3,3.4
E02005391,84,12.2,3.9
E02005392,83.8,12.8,3.3
E02005393,83.8,12.6,3.7
E02005394,81.5,14.2,4.3
