areacd,disability_3a-001,disability_3a-002
E02002805,19.2,80.8
E02002809,21.9,78.1
E02002827,17.2,82.8
E02002828,15.8,84.2
E02002829,20.2,79.8
E02002830,16,84
E02002831,16,84
E02002832,14.8,85.2
E02002833,12.6,87.4
E02002834,13.4,86.6
E02002836,12.2,87.8
E02002837,12.9,87.1
E02002838,19.6,80.4
E02002839,15.9,84.1
E02002842,13.4,86.6
E02002843,10,90
E02002844,13,87
E02002845,16.1,83.9
E02002846,15.7,84.3
E02002847,11.4,88.6
E02002848,13.8,86.2
E02002849,14.5,85.5
E02002851,14.9,85.1
E02002852,20.7,79.3
E02002853,12.6,87.4
E02002854,20.6,79.4
E02002855,13.2,86.8
E02002856,16.3,83.7
E02002857,17.7,82.3
E02002858,14.7,85.3
E02002860,19.8,80.2
E02002861,22.8,77.2
E02002862,22.9,77.1
E02002863,15.5,84.5
E02002864,16.2,83.8
E02002865,17.1,82.9
E02002866,15.3,84.7
E02002867,15.3,84.7
E02002868,21,79
E02002869,24.3,75.7
E02002871,21.3,78.7
E02002872,22.6,77.4
E02002873,19.8,80.2
E02002874,21.2,78.8
E02002875,20.9,79.1
E02002876,20.3,79.7
E02002877,19.6,80.4
E02002878,19.6,80.4
E02002879,16.2,83.8
E02002880,18,82
E02002881,21.8,78.2
E02002882,18.1,81.9
E02002883,19.6,80.4
E02002884,17.7,82.3
E02002885,15,85
E02002886,15.9,84.1
E02002887,28.7,71.3
E02002888,20.3,79.7
E02002889,15.5,84.5
E02002890,17.5,82.5
E02002891,18.8,81.2
E02002892,23.5,76.5
E02002893,15,85
E02002895,11.7,88.3
E02002896,17.9,82.1
E02002897,16.2,83.8
E02002898,13.7,86.3
E02002901,17.8,82.2
E02002902,21,79
E02002903,24.1,75.9
E02002904,21.5,78.5
E02003237,17.1,82.9
E02003238,18.5,81.5
E02003239,16.8,83.2
E02003240,13.9,86.1
E02003241,18.2,81.8
E02003242,20.3,79.7
E02003243,18.8,81.2
E02003244,18.8,81.2
E02003245,18.9,81.1
E02003246,16.8,83.2
E02003247,20.2,79.8
E02003248,13.2,86.8
E02003249,15.5,84.5
E02003250,13.2,86.8
E02003251,17.4,82.6
E02003252,12.9,87.1
E02003253,16.1,83.9
E02003254,16.2,83.8
E02003255,15.5,84.5
E02003257,20.7,79.3
E02003747,19.3,80.7
E02003749,18.1,81.9
E02003753,17.4,82.6
E02003754,16.3,83.7
E02004029,22.9,77.1
E02004031,25.7,74.3
E02004032,18.8,81.2
E02004033,21,79
E02004036,21.3,78.7
E02004040,18.4,81.6
E02004041,20.5,79.5
E02004045,19.8,80.2
E02004046,24,76
E02004047,25.8,74.2
E02004048,24.7,75.3
E02004049,23.4,76.6
E02004050,24,76
E02004051,25.2,74.8
E02004052,20.2,79.8
E02004053,22.7,77.3
E02004054,20.6,79.4
E02004056,25,75
E02004057,21.8,78.2
E02004059,22.3,77.7
E02004060,25.5,74.5
E02004078,26.6,73.4
E02004080,21.6,78.4
E02004082,16.7,83.3
E02004083,18.4,81.6
E02004084,23.9,76.1
E02004085,19.7,80.3
E02004086,18.9,81.1
E02004087,19.2,80.8
E02004088,15.9,84.1
E02004089,22.3,77.7
E02004090,18.3,81.7
E02004091,17.5,82.5
E02004092,19.4,80.6
E02004105,19.5,80.5
E02004111,24.3,75.7
E02004113,26.2,73.8
E02004115,22.2,77.8
E02004117,21.8,78.2
E02004121,14.4,85.6
E02005334,13.7,86.3
E02005335,16.7,83.3
E02005336,14.5,85.5
E02005337,16.3,83.7
E02005338,16.5,83.5
E02005339,15,85
E02005340,18.1,81.9
E02005341,14.5,85.5
E02005342,16.4,83.6
E02005343,15.7,84.3
E02005344,15,85
E02005345,16.2,83.8
E02005346,19.2,80.8
E02005347,16.4,83.6
E02005348,17.7,82.3
E02005349,17.6,82.4
E02005350,20.2,79.8
E02005351,13.3,86.7
E02005352,13,87
E02005353,18.3,81.7
E02005354,15,85
E02005355,16.3,83.7
E02005356,15.6,84.4
E02005357,18,82
E02005358,14.6,85.4
E02005359,14.9,85.1
E02005360,13.7,86.3
E02005361,17.1,82.9
E02005362,16.8,83.2
E02005363,15.9,84.1
E02005364,16,84
E02005365,18,82
E02005366,16.1,83.9
E02005368,13.3,86.7
E02005369,14.4,85.6
E02005370,14,86
E02005371,14.3,85.7
E02005372,13.1,86.9
E02005377,17.1,82.9
E02005378,14.7,85.3
E02005379,16,84
E02005380,16.9,83.1
E02005381,17.7,82.3
E02005382,20,80
E02005383,20.2,79.8
E02005385,15.9,84.1
E02005386,19.7,80.3
E02005387,16.3,83.7
E02005388,18.4,81.6
E02005389,22.1,77.9
E02005390,14.3,85.7
E02005391,16,84
E02005392,16.2,83.8
E02005393,16.2,83.8
E02005394,18,82
E02005395,18.2,81.8
E02005396,16.2,83.8
E02005397,17,83
E02005398,15.2,84.8
E02005400,19.7,80.3
E02005403,19.8,80.2
E02005405,23.5,76.5
E02005406,18.8,81.2
E02005407,15,85
E02005409,16.8,83.2
E02005412,17.6,82.4
E02005414,23.3,76.7
E02005415,20.5,79.5
E02005416,16.2,83.8
E02005418,16.2,83.8
E02005419,13.5,86.5
E02005420,18,82
E02005422,21,79
E02005423,20.2,79.8
E02005430,22.6,77.4
E02005434,23.4,76.6
E02005439,20.6,79.4
E02005441,23,77
E02005442,26.2,73.8
E02005443,21.2,78.8
E02005444,19.8,80.2
E02005445,21.1,78.9
E02005446,19.3,80.7
E02005447,18.1,81.9
E02005448,22.8,77.2
E02005449,18.4,81.6
E02005450,19.9,80.1
E02005451,22.8,77.2
E02005452,19.2,80.8
E02005453,17.3,82.7
E02005455,16.8,83.2
E02005456,18.1,81.9
E02005457,19.8,80.2
E02005458,19.2,80.8
E02005459,23.8,76.2
E02005460,16,84
E02005461,21.3,78.7
E02005462,21.2,78.8
E02005463,15.8,84.2
E02005464,21.5,78.5
E02005465,20.4,79.6
E02005468,19.6,80.4
E02005469,16.7,83.3
E02005470,14.2,85.8
E02005471,18,82
E02005473,16.1,83.9
E02005475,17.9,82.1
E02005476,17.8,82.2
E02005477,18.7,81.3
E02005478,22,78
E02005479,17.1,82.9
E02005480,21,79
E02005481,17.8,82.2
E02005482,17.1,82.9
E02005483,19.4,80.6
E02005484,17.8,82.2
E02005485,15,85
E02005486,19,81
E02005487,16.2,83.8
E02005488,17.4,82.6
E02005489,16,84
E02005490,19,81
E02005491,15.2,84.8
E02005498,21.8,78.2
E02005499,18.6,81.4
E02005500,18,82
E02005501,16.3,83.7
E02005502,20.7,79.3
E02005612,17.7,82.3
E02005613,18.6,81.4
E02005614,13.7,86.3
E02005615,19.5,80.5
E02005616,19.5,80.5
E02005629,17.2,82.8
E02005630,14.8,85.2
E02005819,24.3,75.7
E02005820,21.6,78.4
E02005821,23.3,76.7
E02005822,22.1,77.9
E02005823,29.1,70.9
E02005824,20.1,79.9
E02005825,23.2,76.8
E02005826,25.7,74.3
E02005827,19.2,80.8
E02005828,21.4,78.6
E02005829,22.8,77.2
E02005830,20.8,79.2
E02005831,18.4,81.6
E02005832,22.2,77.8
