areacd,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E02005355,29,37.6,15.1,18.2
E02005356,30.1,38.6,14.1,17.3
E02005357,27.1,35.9,18.1,18.9
E02005358,27.4,37.4,16.3,18.9
E02005359,21.2,37.6,18.4,22.8
E02005360,23.9,41.1,16,18.9
E02005361,33.7,32.7,16.5,17.1
E02005362,26,35.1,17.6,21.3
E02005363,24.4,33.7,18.3,23.5
E02005364,24.9,33.4,17.9,23.7
E02005365,29.5,32.2,17.2,21.1
E02005366,28.5,37.3,16.3,18
E02005368,24.7,40.5,14.7,20.2
E02005369,26.8,35.4,16.3,21.4
E02005370,22.2,37.8,18.8,21.1
E02005371,24,39.3,16.2,20.6
E02005372,21.4,42.6,15.5,20.5
E02005377,28,38.3,15.5,18.2
E02005378,24.4,38.8,17.3,19.5
E02005379,26.7,40.3,15.6,17.4
E02005380,25.2,41.2,15.4,18.2
E02005381,25.1,39.8,15.6,19.6
E02005382,29.6,38.4,15.6,16.5
E02005383,30.7,38.4,15,15.9
E02005385,24.2,41.3,17.1,17.5
E02005386,37.7,34.2,15.4,12.8
E02005387,27.5,37.9,16.8,17.8
E02005388,32.2,35.6,16.6,15.7
E02005389,32.5,37,14.6,15.9
E02005390,26.2,40.3,16.4,17.1
E02005391,25.7,41.5,15.5,17.3
E02005392,27.7,39.4,15.6,17.3
E02005393,27.3,42.2,14.3,16.3
E02005394,30.4,35.7,16.3,17.6
E02005395,32.2,37.6,14.4,15.7
E02005396,24.6,45,13.4,17.1
E02005397,29.4,38.5,15.7,16.4
E02005398,28.8,36.3,16.9,18
E02005400,28.4,41.4,15.2,15
E02005403,31.2,38.9,15.7,14.1
E02005405,27.5,37.5,15.7,19.4
E02005406,31.7,32.4,17.4,18.5
E02005407,24,38,18.9,19.1
E02005409,27.1,37.5,16.3,19.1
E02005412,31.4,29.2,16,23.4
E02005414,33.8,31,15.6,19.6
E02005415,32.8,33.1,17.2,16.9
E02005416,27.9,39.4,14.9,17.8
E02005418,29.1,29.6,18.6,22.7
E02005419,33.4,31.6,17,18.1
E02005420,30.6,32.6,16.8,20
E02005422,26.4,42,14.1,17.6
E02005423,27.2,38.5,15.4,19
E02005430,26,46.4,13.8,13.8
E02005434,34,39.7,13,13.3
E02005439,28.7,41.8,14,15.5
E02005441,25.8,45.4,13.9,14.9
E02005442,35.8,31.2,15.2,17.8
E02005443,34,35.3,15.2,15.5
E02005444,34.4,35.7,13.8,16.2
E02005445,33.3,30,15.6,21.2
E02005446,39.5,30.1,11.8,18.7
E02005447,37.2,29,15.4,18.4
E02005448,30.5,34.8,17,17.6
E02005449,31.1,37,15.9,16
E02005450,29.7,40.5,15.6,14.2
E02005451,36.3,30.1,16.5,17.1
E02005452,26.7,38.3,16.5,18.5
E02005453,25.7,44.1,14.7,15.5
E02005455,23.8,40.5,17.1,18.6
E02005456,28.6,37.6,16,17.8
E02005457,27,41.2,15.8,16.1
E02005458,26.2,43.5,15.3,15
E02005459,27.4,40.8,13.7,18.1
E02005460,24.3,40.5,16.6,18.6
E02005461,29,44.9,13.6,12.6
E02005462,36.4,34,14.4,15.2
E02005463,24.8,37.3,17.5,20.4
E02005464,27.1,44.6,14.9,13.4
E02005465,25.3,43.2,14.1,17.4
E02005468,24,43.7,15,17.3
E02005469,23.5,40.8,15.8,19.9
E02005470,28.6,34.6,18.6,18.3
E02005471,29.9,34.9,17.1,18.1
E02005473,25.7,37.3,18.3,18.7
E02005475,24.5,41.3,15.4,18.8
E02005476,24.4,43.8,14.4,17.3
E02005477,27,43.7,13.2,16
E02005478,31.8,35.6,14.6,18.1
E02005479,30.6,37.4,16.2,15.8
E02005480,24.5,32.8,19.4,23.3
E02005481,35.4,34,15.2,15.4
E02005482,23.9,44.3,15.5,16.3
E02005483,25.5,42.1,15.4,17
E02005484,27.4,42.6,14.5,15.6
E02005485,26.2,38,16.5,19.3
E02005486,31.1,35.9,15.3,17.7
E02005487,23.1,44,15.2,17.6
E02005488,28.9,39.2,14.9,17
E02005489,26.6,40.4,15.2,17.8
E02005490,32.4,36.5,15.6,15.4
E02005491,35.9,37.6,13.4,13.1
E02005498,27.4,47.5,12.7,12.4
E02005499,26.2,39,16.5,18.3
E02005500,28.9,42.9,14.1,14.2
E02005501,26.3,42.3,14.3,17
E02005502,27.5,42.4,14.5,15.6
E02005612,24.2,37.7,18.8,19.3
E02005613,27.5,32.7,18.3,21.5
E02005614,22.6,36.6,18.8,22.1
E02005615,27.8,34.6,18.6,18.9
E02005616,28.1,32.8,18.1,20.9
E02005629,24.3,42.7,14.3,18.7
E02005630,28.6,40.2,14.4,16.8
E02005819,28.5,40.6,15.3,15.5
E02005820,29,40.7,15.5,14.8
E02005821,33.9,33.2,15.9,17
E02005822,30.2,32.9,18.1,18.8
E02005823,35.5,30.9,15,18.6
E02005824,26.2,39.4,18,16.5
E02005825,27.1,37,17.2,18.8
E02005826,33.4,29.5,17.4,19.7
E02005827,26.3,37.4,17.6,18.8
E02005828,28.1,39.7,16.8,15.4
E02005829,28.5,37.7,16.5,17.3
E02005830,30.3,40.5,15.3,13.8
E02005831,26.7,37.7,17.3,18.3
E02005832,37,32.6,15.5,14.9
E02005833,24,40.1,16.8,19.1
E02005834,27.6,35.4,18,19
E02005839,35.3,38,13.4,13.4
E02005840,23,35.8,19,22.3
E02005842,34.6,36.5,14.9,14
E02005843,27.6,36.9,17.9,17.6
E02005844,35.2,34.3,15.3,15.2
E02005846,36.9,28.4,17.8,16.9
E02005847,30.2,39.6,15.8,14.4
E02005848,26.5,40.7,16.6,16.2
E02005849,26.4,42.4,14,17.3
E02005850,28,42.9,15.3,13.9
E02005851,33.5,35.6,15.3,15.6
E02005852,27.5,42.4,15.1,15
E02005853,28.9,37.5,17.1,16.6
E02005856,26.8,40.7,13.9,18.6
E02005857,33,35.3,16.3,15.4
E02005858,29.1,35.4,15.1,20.4
E02005859,31.3,34.7,16.9,17
E02005860,37.7,34.5,13.7,14
E02005861,35.9,37.5,13.3,13.3
E02005862,30.3,37.6,15.9,16.2
E02005863,28.8,38.8,15.2,17.2
E02005864,27.3,36.7,16.2,19.8
