areacd,heating_type_3a-001,heating_type_3a-002
E02002805,1.1,98.9
E02002809,1.5,98.5
E02002827,2.5,97.5
E02002828,1.7,98.3
E02002829,2.2,97.8
E02002830,1.7,98.3
E02002831,2,98
E02002832,1.7,98.3
E02002833,1.6,98.4
E02002834,1.8,98.2
E02002836,1.9,98.1
E02002837,2.1,97.9
E02002838,1.5,98.5
E02002839,1.1,98.9
E02002842,3.2,96.8
E02002843,2.2,97.8
E02002844,1.6,98.4
E02002845,1.8,98.2
E02002846,1,99
E02002847,1.6,98.4
E02002848,2.8,97.2
E02002849,2.6,97.4
E02002851,1,99
E02002852,1,99
E02002853,1.7,98.3
E02002854,2.3,97.7
E02002855,1.8,98.2
E02002856,1.5,98.5
E02002857,2.3,97.7
E02002858,0.9,99.1
E02002860,1.4,98.6
E02002861,1.4,98.6
E02002862,2,98
E02002863,0.8,99.2
E02002864,0.6,99.4
E02002865,0.8,99.2
E02002866,0.7,99.3
E02002867,0.8,99.2
E02002868,0.6,99.4
E02002869,1.6,98.4
E02002871,1.7,98.3
E02002872,1.2,98.8
E02002873,1.3,98.7
E02002874,1.2,98.8
E02002875,1.5,98.5
E02002876,1.4,98.6
E02002877,1.5,98.5
E02002878,1.3,98.7
E02002879,1.6,98.4
E02002880,1,99
E02002881,1.1,98.9
E02002882,2.4,97.6
E02002883,2,98
E02002884,2,98
E02002885,3.1,96.9
E02002886,1.3,98.7
E02002887,1.5,98.5
E02002888,1.8,98.2
E02002889,1.6,98.4
E02002890,3.5,96.5
E02002891,1.6,98.4
E02002892,1,99
E02002893,2.4,97.6
E02002895,1.9,98.1
E02002896,1.8,98.2
E02002897,0.8,99.2
E02002898,1.7,98.3
E02002901,1.1,98.9
E02002902,1.3,98.7
E02002903,1.2,98.8
E02002904,1.2,98.8
E02003237,0.7,99.3
E02003238,1.1,98.9
E02003239,1.1,98.9
E02003240,0.7,99.3
E02003241,0.9,99.1
E02003242,0.8,99.2
E02003243,1.3,98.7
E02003244,1.4,98.6
E02003245,1.2,98.8
E02003246,2.2,97.8
E02003247,1.2,98.8
E02003248,1.6,98.4
E02003249,1.6,98.4
E02003250,2.7,97.3
E02003251,0.5,99.5
E02003252,1.7,98.3
E02003253,1.6,98.4
E02003254,0.5,99.5
E02003255,0.7,99.3
E02003257,1.2,98.8
E02003747,0.9,99.1
E02003749,1,99
E02003753,0.7,99.3
E02003754,0.8,99.2
E02004029,1.1,98.9
E02004031,1.2,98.8
E02004032,1,99
E02004033,1.1,98.9
E02004036,0.9,99.1
E02004040,1,99
E02004041,0.7,99.3
E02004045,0.6,99.4
E02004046,0.6,99.4
E02004047,0.5,99.5
E02004048,0.6,99.4
E02004049,0.4,99.6
E02004050,0.6,99.4
E02004051,0.9,99.1
E02004052,0.6,99.4
E02004053,0.8,99.2
E02004054,0.6,99.4
E02004056,0.5,99.5
E02004057,0.9,99.1
E02004059,0.7,99.3
E02004060,0.7,99.3
E02004078,1.3,98.7
E02004080,1.7,98.3
E02004082,1,99
E02004083,1.3,98.7
E02004084,1.7,98.3
E02004085,1.4,98.6
E02004086,1.2,98.8
E02004087,1.7,98.3
E02004088,1,99
E02004089,2.6,97.4
E02004090,1.2,98.8
E02004091,1,99
E02004092,1.6,98.4
E02004105,0.7,99.3
E02004111,0.4,99.6
E02004113,0.4,99.6
E02004115,0.8,99.2
E02004117,0.7,99.3
E02004121,0.5,99.5
E02005334,0.6,99.4
E02005335,0.6,99.4
E02005336,0.8,99.2
E02005337,1.2,98.8
E02005338,0.9,99.1
E02005339,0.7,99.3
E02005340,0.7,99.3
E02005341,0.6,99.4
E02005342,0.5,99.5
E02005343,0.6,99.4
E02005344,0.8,99.2
E02005345,1,99
E02005346,1.9,98.1
E02005347,1.2,98.8
E02005348,1.4,98.6
E02005349,0.7,99.3
E02005350,1,99
E02005351,1.5,98.5
E02005352,0.8,99.2
E02005353,1.2,98.8
E02005354,0.5,99.5
E02005355,1.1,98.9
E02005356,0.8,99.2
E02005357,0.6,99.4
E02005358,0.7,99.3
E02005359,0.8,99.2
E02005360,0.3,99.7
E02005361,1,99
E02005362,0.8,99.2
E02005363,0.6,99.4
E02005364,1.1,98.9
E02005365,1.1,98.9
E02005366,0.5,99.5
E02005368,0.8,99.2
E02005369,0.5,99.5
E02005370,0.7,99.3
E02005371,0.9,99.1
E02005372,0.7,99.3
E02005377,0.8,99.2
E02005378,0.6,99.4
E02005379,0.4,99.6
E02005380,0.6,99.4
E02005381,0.6,99.4
E02005382,0.8,99.2
E02005383,1.1,98.9
E02005385,0.4,99.6
E02005386,1.5,98.5
E02005387,0.9,99.1
E02005388,1.5,98.5
E02005389,0.9,99.1
E02005390,0.8,99.2
E02005391,0.8,99.2
E02005392,0.7,99.3
E02005393,1.7,98.3
E02005394,1.2,98.8
E02005395,1.7,98.3
E02005396,1,99
E02005397,1.2,98.8
E02005398,1,99
E02005400,0.4,99.6
E02005403,0.6,99.4
E02005405,0.5,99.5
E02005406,1.3,98.7
E02005407,0.4,99.6
E02005409,0.6,99.4
E02005412,1,99
E02005414,1.5,98.5
E02005415,1.4,98.6
E02005416,0.7,99.3
E02005418,1.3,98.7
E02005419,2.1,97.9
E02005420,1.1,98.9
E02005422,0.9,99.1
E02005423,1.1,98.9
E02005430,1.3,98.7
E02005434,1.1,98.9
E02005439,0.7,99.3
E02005441,1.4,98.6
E02005442,1.1,98.9
E02005443,1.2,98.8
E02005444,0.9,99.1
E02005445,1.6,98.4
E02005446,2,98
E02005447,2.6,97.4
E02005448,0.7,99.3
E02005449,1.2,98.8
E02005450,0.6,99.4
E02005451,1.2,98.8
E02005452,0.5,99.5
E02005453,0.4,99.6
E02005455,0.8,99.2
E02005456,0.5,99.5
E02005457,0.7,99.3
E02005458,0.7,99.3
E02005459,1,99
E02005460,0.6,99.4
E02005461,0.8,99.2
E02005462,1.2,98.8
E02005463,0.5,99.5
E02005464,1,99
E02005465,1.1,98.9
E02005468,1.1,98.9
E02005469,0.9,99.1
E02005470,1,99
E02005471,1.2,98.8
E02005473,0.5,99.5
E02005475,0.7,99.3
E02005476,0.8,99.2
E02005477,0.4,99.6
E02005478,1.1,98.9
E02005479,1,99
E02005480,1.2,98.8
E02005481,2,98
E02005482,1.2,98.8
E02005483,1.2,98.8
E02005484,1.5,98.5
E02005485,0.6,99.4
E02005486,0.7,99.3
E02005487,0.8,99.2
E02005488,0.7,99.3
E02005489,0.5,99.5
E02005490,0.8,99.2
E02005491,0.7,99.3
E02005498,0.9,99.1
E02005499,0.5,99.5
E02005500,0.3,99.7
E02005501,0.4,99.6
E02005502,0.5,99.5
E02005612,0.8,99.2
E02005613,0.7,99.3
E02005614,0.7,99.3
E02005615,0.7,99.3
E02005616,1.2,98.8
E02005629,0.7,99.3
E02005630,1,99
E02005819,0.9,99.1
E02005820,0.5,99.5
E02005821,0.6,99.4
E02005822,1.1,98.9
E02005823,0.8,99.2
E02005824,0.7,99.3
E02005825,0.6,99.4
E02005826,0.5,99.5
E02005827,0.6,99.4
E02005828,0.3,99.7
E02005829,0.3,99.7
E02005830,0.7,99.3
E02005831,0.6,99.4
E02005832,1.4,98.6
E02005833,0.9,99.1
E02005834,0.6,99.4
E02005839,0.7,99.3
E02005840,0.5,99.5
E02005842,1.2,98.8
E02005843,0.8,99.2
E02005844,0.9,99.1
E02005846,1.6,98.4
E02005847,1.3,98.7
E02005848,0.8,99.2
E02005849,0.9,99.1
E02005850,0.7,99.3
E02005851,0.8,99.2
E02005852,0.7,99.3
E02005853,0.9,99.1
E02005856,0.5,99.5
E02005857,1.5,98.5
E02005858,1.2,98.8
E02005859,1.4,98.6
E02005860,1.4,98.6
E02005861,1.7,98.3
E02005862,1.2,98.8
E02005863,0.7,99.3
E02005864,0.6,99.4
E02005865,0.4,99.6
E02005866,0.9,99.1
E02005868,0.6,99.4
E02005869,0.9,99.1
E02005870,1.2,98.8
E02005871,0.9,99.1
E02005872,0.3,99.7
E02005873,0.4,99.6
E02005874,0.3,99.7
E02005875,0.9,99.1
E02005876,0.9,99.1
E02005877,1.4,98.6
E02005878,0.9,99.1
E02005879,1.5,98.5
E02005880,0.5,99.5
E02005881,0.8,99.2
E02005882,0.5,99.5
E02005883,1.2,98.8
E02005884,0.8,99.2
E02005885,0.7,99.3
E02005886,0.4,99.6
E02005887,1.5,98.5
E02005888,1.1,98.9
E02005889,0.5,99.5
E02005890,0.7,99.3
E02005891,0.7,99.3
E02005892,0.5,99.5
E02005893,0.6,99.4
E02005894,0.4,99.6
E02005895,0.7,99.3
E02005896,0.6,99.4
E02005897,0.7,99.3
E02005898,0.6,99.4
E02005899,1.3,98.7
E02005900,0.4,99.6
E02005901,1.2,98.8
E02005902,1.1,98.9
E02005903,1.2,98.8
E02005904,0.7,99.3
E02005905,0.6,99.4
E02005906,0.5,99.5
E02005907,0.6,99.4
E02005908,0.4,99.6
E02005909,1,99
E02005910,1.7,98.3
E02005911,0.6,99.4
E02005912,0.9,99.1
E02005913,0.5,99.5
E02005914,0.4,99.6
E02005915,0.6,99.4
E02005916,0.9,99.1
E02005917,0.5,99.5
E02005918,0.7,99.3
E02005919,0.9,99.1
E02005920,0.5,99.5
E02006803,0.7,99.3
E02006804,0.7,99.3
E02006815,1.4,98.6
E02006816,0.8,99.2
E02006817,1.2,98.8
E02006818,1.1,98.9
E02006819,1.6,98.4
E02006820,0.6,99.4
E02006827,1.1,98.9
E02006828,0.9,99.1
E02006834,1.3,98.7
E02006835,1.1,98.9
E02006850,3.4,96.6
E02006851,4.7,95.3
E02006864,0.8,99.2
E02006865,0.4,99.6
E02006866,0.4,99.6
E02006867,0.7,99.3
E02006877,0.8,99.2
E02006878,0.6,99.4
E02006903,0.8,99.2
E02006904,3.2,96.8
E02006905,1.9,98.1
E02006906,0.8,99.2
E02006964,1.1,98.9
E02006965,1.7,98.3
E02006966,0.6,99.4
E02006967,0.5,99.5
E02007082,0.7,99.3
