areacd,english_proficiency_4a-001,english_proficiency_4a-002,english_proficiency_4a-003
E02002805,98.8,0.9,0.3
E02002809,97.5,2.1,0.4
E02002827,83.2,13.9,2.9
E02002828,67,25.5,7.4
E02002829,77.5,17.7,4.8
E02002830,77.4,18.8,3.8
E02002831,56.2,31.4,12.4
E02002832,43.6,33.9,22.5
E02002833,44.9,34.8,20.3
E02002834,70.5,23.2,6.3
E02002836,37,35.9,27.1
E02002837,57.7,26.5,15.8
E02002838,81.4,14.9,3.7
E02002839,80.8,14.6,4.6
E02002842,63,28.6,8.5
E02002843,41.3,31.1,27.6
E02002844,53.2,29.5,17.3
E02002845,63.6,23.8,12.6
E02002846,84.4,12.7,2.9
E02002847,58.3,26.4,15.4
E02002848,55.8,28.2,15.9
E02002849,67,25.5,7.6
E02002851,74.7,19.1,6.1
E02002852,85.2,12,2.7
E02002853,68.1,21.8,10.1
E02002854,81.6,14.7,3.8
E02002855,64.6,27.7,7.7
E02002856,86.1,11.5,2.4
E02002857,84.4,12.7,2.8
E02002858,90.8,7.7,1.5
E02002860,91.7,6.7,1.5
E02002861,87.3,9.7,3
E02002862,88.8,8.5,2.7
E02002863,97.8,1.8,0.4
E02002864,98.1,1.7,0.3
E02002865,97.7,2,0.3
E02002866,98.9,1,0.1
E02002867,98.1,1.8,0.2
E02002868,93.1,5.7,1.2
E02002869,92.9,5.5,1.6
E02002871,93.6,5.4,1
E02002872,92.6,5.9,1.5
E02002873,86.9,10.9,2.2
E02002874,89.2,9,1.8
E02002875,89.1,8.9,2
E02002876,89.6,8.2,2.2
E02002877,92.1,6.1,1.7
E02002878,84.4,12.8,2.8
E02002879,82.4,13.4,4.2
E02002880,84.6,12.8,2.6
E02002881,89.6,8.3,2.1
E02002882,86.8,10.8,2.4
E02002883,84.3,11.9,3.8
E02002884,66.7,23.1,10.1
E02002885,64.4,24.2,11.4
E02002886,78.3,16.5,5.2
E02002887,89.6,8.2,2.1
E02002888,77,17.1,5.9
E02002889,89.1,9.1,1.8
E02002890,82,14.5,3.4
E02002891,87.8,9,3.3
E02002892,87.1,10.4,2.6
E02002893,78.2,17,4.7
E02002895,88.9,9,2.1
E02002896,75.2,18.3,6.5
E02002897,89.1,8.9,2
E02002898,89.2,9.3,1.5
E02002901,94.4,4.8,0.8
E02002902,91.5,7,1.5
E02002903,93.3,5.9,0.8
E02002904,93.1,5.8,1.1
E02003237,96.7,2.9,0.4
E02003238,91.9,6.8,1.3
E02003239,94.6,4.6,0.9
E02003240,97.8,1.9,0.3
E02003241,96.2,3.1,0.7
E02003242,90.8,7.6,1.6
E02003243,78.3,17,4.7
E02003244,74.5,19.9,5.6
E02003245,72.7,21.3,6
E02003246,62.1,25.9,12
E02003247,77.7,18.1,4.2
E02003248,64.7,24.2,11.1
E02003249,70.2,23.4,6.4
E02003250,57,29.9,13.1
E02003251,85.2,12.4,2.4
E02003252,74.7,19.9,5.3
E02003253,81,15.4,3.6
E02003254,93.7,5.2,1.1
E02003255,85.4,12.4,2.2
E02003257,78.3,17.7,4
E02003747,96.8,2.5,0.7
E02003749,97.9,1.6,0.5
E02003753,96.5,3,0.6
E02003754,98.2,1.5,0.3
E02004029,95.1,3.9,1.1
E02004031,96.2,2.9,0.9
E02004032,99.1,0.7,0.2
E02004033,98.9,1,0.1
E02004036,99.1,0.7,0.2
E02004040,98.4,1.3,0.3
E02004041,98.2,1.5,0.3
E02004045,98.6,1.2,0.2
E02004046,98.6,1.1,0.3
E02004047,97.5,1.9,0.6
E02004048,97.6,1.6,0.8
E02004049,98.8,0.9,0.3
E02004050,91.3,6.1,2.6
E02004051,88.7,7,4.3
E02004052,98.3,1.3,0.3
E02004053,97,2.2,0.8
E02004054,97.9,1.7,0.4
E02004056,98.5,1.1,0.4
E02004057,98.8,0.9,0.4
E02004059,98.7,0.9,0.4
E02004060,98.8,1,0.2
E02004078,97.7,1.9,0.4
E02004080,96.4,2.9,0.7
E02004082,99.4,0.6,0.1
E02004083,97.7,1.7,0.6
E02004084,98.6,1.3,0.1
E02004085,98.2,1.6,0.2
E02004086,98.6,1.1,0.3
E02004087,97,2.7,0.3
E02004088,96.9,2.7,0.5
E02004089,94.2,4.9,0.9
E02004090,99,0.9,0.1
E02004091,97.3,2.4,0.3
E02004092,97.6,2.1,0.3
E02004105,98.8,0.9,0.2
E02004111,98.7,0.9,0.4
E02004113,98.8,1,0.1
E02004115,99.3,0.7,0.1
E02004117,99.1,0.8,0.1
E02004121,97.2,2.4,0.4
E02005334,92.8,6,1.2
E02005335,96.1,3.2,0.6
E02005336,85.9,11.8,2.3
E02005337,82.1,14.2,3.7
E02005338,96.5,3,0.5
E02005339,98.2,1.6,0.3
E02005340,97.3,2.2,0.5
E02005341,97.8,1.9,0.3
E02005342,98.8,1.1,0.1
E02005343,98.7,1.1,0.2
E02005344,98.5,1.3,0.2
E02005345,92.5,6.1,1.4
E02005346,80.5,14.8,4.7
E02005347,88.9,9.5,1.6
E02005348,91.1,7.7,1.2
E02005349,98.3,1.5,0.3
E02005350,97.7,2.1,0.2
E02005351,90.5,8.7,0.8
E02005352,98.6,1.3,0.1
E02005353,91.6,7,1.3
E02005354,93.6,5.5,0.8
E02005355,98.8,1,0.2
E02005356,98.1,1.6,0.3
E02005357,98.2,1.5,0.3
E02005358,98.5,1.3,0.2
E02005359,96.3,3.3,0.4
E02005360,98,1.7,0.2
E02005361,92.7,6.3,1
E02005362,97.3,2.1,0.6
E02005363,90.5,7.9,1.6
E02005364,92.9,6,1.1
E02005365,84.8,12.1,3
E02005366,97.5,2.2,0.3
E02005368,99.1,0.8,0.1
E02005369,96.5,3.1,0.4
E02005370,99,0.8,0.2
E02005371,98.4,1.4,0.2
E02005372,98.8,1,0.2
E02005377,98,1.6,0.4
E02005378,96.8,2.7,0.5
E02005379,98.4,1.4,0.2
E02005380,99.2,0.7,0.1
E02005381,98.2,1.6,0.3
E02005382,97.1,2.4,0.5
E02005383,97.5,2.2,0.4
E02005385,97.3,2.2,0.5
E02005386,93.8,5.2,1
E02005387,95.8,3.5,0.7
E02005388,94.5,4.2,1.2
E02005389,97.9,1.8,0.3
E02005390,97.8,1.8,0.4
E02005391,99.1,0.8,0.1
E02005392,97.1,2.6,0.3
E02005393,98.9,0.9,0.2
E02005394,94.4,4.6,0.9
E02005395,94.9,4.1,1
E02005396,99.1,0.7,0.2
E02005397,97.3,2.4,0.3
E02005398,97,2.8,0.2
E02005400,98,1.6,0.3
E02005403,98.2,1.5,0.3
E02005405,95.8,3.6,0.7
E02005406,90.5,6.8,2.6
E02005407,95.9,3.5,0.6
E02005409,98.3,1.5,0.3
E02005412,85,12.4,2.6
E02005414,94,5.1,0.9
E02005415,95.3,3.8,0.9
E02005416,96.1,3.3,0.6
E02005418,57.3,26.8,15.9
E02005419,56.9,27.7,15.4
E02005420,76.7,16.2,7
E02005422,96.6,2.4,1
E02005423,90.4,7.3,2.4
E02005430,99.2,0.6,0.2
E02005434,98.8,1,0.2
E02005439,98.7,1,0.3
E02005441,98.9,0.8,0.3
E02005442,93.6,5.2,1.3
E02005443,93.5,5.3,1.2
E02005444,94.5,4.5,1
E02005445,82.2,13.5,4.3
E02005446,91.8,7.2,1.1
E02005447,72.2,20,7.7
E02005448,92.5,6.2,1.4
E02005449,89.2,8.9,1.9
E02005450,96.3,3.2,0.5
E02005451,90.5,7.3,2.1
E02005452,96.4,3.1,0.6
E02005453,98.2,1.5,0.3
E02005455,98.2,1.3,0.5
E02005456,98.2,1.6,0.2
E02005457,99,0.9,0.1
E02005458,99.3,0.5,0.2
E02005459,99,0.7,0.2
E02005460,98.7,1,0.2
E02005461,99,0.8,0.1
E02005462,95.5,3.5,1
E02005463,96.3,2.8,0.9
E02005464,98.1,1.5,0.4
E02005465,97.2,2,0.8
E02005468,96.8,2.4,0.7
E02005469,93.7,4.7,1.6
E02005470,71.7,20.8,7.6
E02005471,75.6,17.3,7
E02005473,77.4,17.2,5.4
E02005475,97.1,2.3,0.6
