areacd,country_of_birth_3a-001,country_of_birth_3a-002
E02002805,96.8,3.2
E02002809,94.5,5.5
E02002827,72.9,27.1
E02002828,54.1,45.9
E02002829,68.2,31.8
E02002830,63.9,36.1
E02002831,44,56
E02002832,32.6,67.4
E02002833,35.4,64.6
E02002834,59.3,40.7
E02002836,28,72
E02002837,50.2,49.8
E02002838,73.4,26.6
E02002839,71.6,28.4
E02002842,53.3,46.7
E02002843,34.2,65.8
E02002844,43.2,56.8
E02002845,52.2,47.8
E02002846,75.5,24.5
E02002847,45.6,54.4
E02002848,42.7,57.3
E02002849,52.6,47.4
E02002851,61.3,38.7
E02002852,77.9,22.1
E02002853,51.5,48.5
E02002854,73.3,26.7
E02002855,53.5,46.5
E02002856,73.7,26.3
E02002857,74.9,25.1
E02002858,80.1,19.9
E02002860,84.6,15.4
E02002861,78.5,21.5
E02002862,82.9,17.1
E02002863,90,10
E02002864,92.5,7.5
E02002865,91.2,8.8
E02002866,93.4,6.6
E02002867,91.9,8.1
E02002868,86,14
E02002869,85.7,14.3
E02002871,87.8,12.2
E02002872,84.7,15.3
E02002873,76.5,23.5
E02002874,80.2,19.8
E02002875,80.1,19.9
E02002876,81.2,18.8
E02002877,83.5,16.5
E02002878,74.7,25.3
E02002879,71.7,28.3
E02002880,75.1,24.9
E02002881,83.2,16.8
E02002882,74,26
E02002883,74.3,25.7
E02002884,54.6,45.4
E02002885,50.1,49.9
E02002886,65.6,34.4
E02002887,81.8,18.2
E02002888,65.1,34.9
E02002889,77.8,22.2
E02002890,67.5,32.5
E02002891,79.1,20.9
E02002892,78.9,21.1
E02002893,62.5,37.5
E02002895,77.5,22.5
E02002896,63.2,36.8
E02002897,80.8,19.2
E02002898,76.6,23.4
E02002901,88,12
E02002902,86.2,13.8
E02002903,88.8,11.2
E02002904,87.8,12.2
E02003237,92,8
E02003238,86.1,13.9
E02003239,89.7,10.3
E02003240,91.8,8.2
E02003241,91.3,8.7
E02003242,84.8,15.2
E02003243,72.1,27.9
E02003244,68.6,31.4
E02003245,65.3,34.7
E02003246,54.3,45.7
E02003247,69.3,30.7
E02003248,55.4,44.6
E02003249,61.9,38.1
E02003250,44.8,55.2
E02003251,73.4,26.6
E02003252,62.9,37.1
E02003253,71.5,28.5
E02003254,86.7,13.3
E02003255,78.6,21.4
E02003257,69.6,30.4
E02003747,93.4,6.6
E02003749,94.5,5.5
E02003753,91.1,8.9
E02003754,91.9,8.1
E02004029,92.9,7.1
E02004031,94.4,5.6
E02004032,97.4,2.6
E02004033,97,3
E02004036,97.3,2.7
E02004040,96.8,3.2
E02004041,96,4
E02004045,96.9,3.1
E02004046,97,3
E02004047,95.7,4.3
E02004048,95.5,4.5
E02004049,97,3
E02004050,89,11
E02004051,87,13
E02004052,96.3,3.7
E02004053,94.8,5.2
E02004054,95.2,4.8
E02004056,96.9,3.1
E02004057,96.4,3.6
E02004059,96.9,3.1
E02004060,97.2,2.8
E02004078,95.3,4.7
E02004080,94.2,5.8
E02004082,97.5,2.5
E02004083,95.3,4.7
E02004084,96.4,3.6
E02004085,94.9,5.1
E02004086,96,4
E02004087,93.8,6.2
E02004088,92.8,7.2
E02004089,90.3,9.7
E02004090,96,4
E02004091,93.5,6.5
E02004092,94.5,5.5
E02004105,97.1,2.9
E02004111,96.6,3.4
E02004113,97,3
E02004115,97.3,2.7
E02004117,97.3,2.7
E02004121,93.6,6.4
E02005334,87.1,12.9
E02005335,91.7,8.3
E02005336,79.2,20.8
E02005337,74.8,25.2
E02005338,92.6,7.4
E02005339,95.1,4.9
E02005340,93.9,6.1
E02005341,94.4,5.6
E02005342,96.2,3.8
E02005343,96.5,3.5
E02005344,95.6,4.4
E02005345,86,14
E02005346,70,30
E02005347,78.3,21.7
E02005348,83,17
E02005349,95.5,4.5
E02005350,93.9,6.1
E02005351,78.9,21.1
E02005352,95,5
E02005353,84.4,15.6
E02005354,85.4,14.6
E02005355,95.7,4.3
E02005356,93.1,6.9
E02005357,95.5,4.5
E02005358,95.1,4.9
E02005359,91.6,8.4
E02005360,93.2,6.8
E02005361,86.5,13.5
E02005362,93.6,6.4
E02005363,81.7,18.3
E02005364,86.7,13.3
E02005365,75.7,24.3
E02005366,93.8,6.2
E02005368,94.2,5.8
E02005369,91.7,8.3
E02005370,96.8,3.2
E02005371,95.3,4.7
E02005372,95.3,4.7
E02005377,94.7,5.3
E02005378,92.4,7.6
E02005379,95.4,4.6
E02005380,96.4,3.6
E02005381,95,5
E02005382,93.2,6.8
E02005383,94.5,5.5
E02005385,94.3,5.7
E02005386,90.3,9.7
E02005387,92.8,7.2
E02005388,89.9,10.1
E02005389,95,5
E02005390,94.4,5.6
E02005391,96.5,3.5
E02005392,93.8,6.2
E02005393,95.9,4.1
E02005394,90.7,9.3
E02005395,90.9,9.1
E02005396,95.4,4.6
E02005397,93.2,6.8
E02005398,93.2,6.8
E02005400,95.8,4.2
E02005403,95.9,4.1
E02005405,93,7
E02005406,86.9,13.1
E02005407,92.4,7.6
E02005409,95.7,4.3
E02005412,73.1,26.9
E02005414,89.5,10.5
E02005415,90.5,9.5
E02005416,90.8,9.2
E02005418,55.3,44.7
E02005419,52,48
E02005420,74.5,25.5
E02005422,93.8,6.2
E02005423,87.5,12.5
E02005430,96.1,3.9
E02005434,96.1,3.9
E02005439,94.7,5.3
E02005441,96.2,3.8
E02005442,90.8,9.2
E02005443,88.3,11.7
E02005444,87.8,12.2
E02005445,76.2,23.8
E02005446,84.3,15.7
E02005447,66.1,33.9
E02005448,89,11
E02005449,82.7,17.3
E02005450,92.4,7.6
E02005451,86.8,13.2
E02005452,92.2,7.8
E02005453,93.8,6.2
