geography_code,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E00032474,35.9,26.8,19,18.3
E00032475,3.1,2.1,79.4,15.5
E00032476,20.3,45.6,19.6,14.6
E00032477,16.1,22.6,40.3,21
E00032478,16.1,35.2,38.7,10.1
E00032479,28.2,27.4,25,19.4
E00032480,57.7,31.7,2.1,8.5
E00032481,14.5,26.7,48.9,9.9
E00032482,13.8,30.3,33,22.9
E00032483,24.4,34.4,32.1,9.2
E00032484,62.2,28.3,1.6,7.9
E00032485,28.1,25.2,25.9,20.9
E00032486,55.6,35.7,0.8,7.9
E00032487,60,28.8,0,11.2
E00032488,65.1,22.9,1.8,10.1
E00032489,43.1,48,0,8.9
E00032490,39.8,53.1,0,7.1
E00032491,68,25.6,0,6.4
E00032492,56.6,29.2,0.9,13.2
E00032493,51.3,46,0,2.7
E00032494,40.9,48.2,0.9,10
E00032495,55.4,36.4,0.8,7.4
E00032496,74.8,23.7,0,1.4
E00032497,48.9,45.3,1.4,4.3
E00032498,55.5,21,10.1,13.4
E00034486,57.5,34.9,0,7.5
E00034487,68,27.2,2.4,2.4
E00034488,60,35,0,5
E00034489,57.9,33.1,4.1,5
E00034490,43.2,22.9,21.2,12.7
E00034491,68.1,31,0.9,0
E00034492,53.8,39.3,1.7,5.1
E00034493,40.3,30.6,21.6,7.5
E00034494,20.7,20.7,49.6,9.1
E00034495,49.6,34.6,6.3,9.4
E00034496,71,23.9,0.7,4.3
E00034497,70.1,25.6,0,4.3
E00034498,36.4,31,16.3,16.3
E00034499,67.6,25.2,0.7,6.5
E00034500,29,32.1,29,9.9
E00034501,62.9,35.3,0.9,0.9
E00034502,69.4,27.4,0.8,2.4
E00034503,51.9,35.6,4.4,8.1
E00034504,57.9,36.8,0.9,4.4
E00034505,35.7,28.7,25.6,10.1
E00034506,66.4,27.7,1.7,4.2
E00034507,61.9,36.4,0,1.7
E00034508,47.8,45.2,6.1,0.9
E00034509,57.5,39.2,0.8,2.5
E00034510,51.2,31.5,1.2,16
E00034511,49.1,31.5,1.9,17.6
E00034512,26.8,20.3,48,4.9
E00034513,18.2,22,53.8,6.1
E00034514,52.7,35.9,1.5,9.9
E00034515,44.3,31.1,4.1,20.5
E00034516,51.3,40.3,1.7,6.7
E00034517,59.2,36,0.8,4
E00034518,71.8,26,1.5,0.8
E00034519,51.3,37,0.8,10.9
E00034520,41.8,44.5,0.7,13
E00034521,56.3,38.3,1.6,3.9
E00034522,52.7,35.7,1.8,9.8
E00034523,43.7,35.7,2.4,18.3
E00034524,53.8,40.3,0.8,5
E00034525,60,32.7,0.9,6.4
E00034526,28.9,25.9,34.8,10.4
E00034527,26.1,25,32.6,16.3
E00034528,66.1,27.6,0.8,5.5
E00034529,65.2,26.1,4.3,4.3
E00034530,24.6,30.6,16.4,28.4
E00034531,62.7,34.1,0.8,2.4
E00034532,28.3,24.1,29,18.6
E00034533,60.2,37.2,0,2.7
E00034534,70.1,29.1,0.8,0
E00034535,28.5,27,24.1,20.4
E00034536,59.2,40.8,0,0
E00034537,62.2,29.9,2.4,5.5
E00034538,40,24.2,1.7,34.2
E00034539,66.7,24.8,1,7.6
E00034540,22.3,11.6,48.2,17.9
E00034541,53.6,36,3.2,7.2
E00034542,41,32.5,2.6,23.9
E00034543,18,26.6,41.4,14.1
E00034544,22.8,33.7,34.7,8.9
E00034545,32.8,28.7,23,15.6
E00034546,59.1,39.4,0.7,0.7
E00034547,20.4,16.7,52.8,10.2
E00034548,45.9,42.2,2.8,9.2
E00034549,10.5,18.5,62.1,8.9
E00034550,49.1,32.8,8.6,9.5
E00034551,21.7,20.8,49.2,8.3
E00034552,33.3,54.5,2.4,9.8
E00034553,12.1,18.2,57.6,12.1
E00034554,46.4,25.5,8.2,20
E00034555,17.9,20.7,26.1,35.3
E00034556,41.3,43.5,0.7,14.5
E00034557,48.8,35.5,9.1,6.6
E00034558,16.1,43.5,28.6,11.8
E00034559,26.2,40.3,4.9,28.6
E00034560,24.4,14.2,22.8,38.6
E00034561,26.5,10.3,17.1,46.2
E00034562,14.7,20.6,52.9,11.8
E00034563,42.6,22.1,3.3,32
E00034564,13.7,18.5,47.6,20.2
E00034565,19.5,16.8,39.8,23.9
E00034566,24.8,18.6,25.7,31
E00034567,18.6,22.1,58.4,0.9
E00034568,15,13.2,50.3,21.6
E00034569,15.3,17.3,50,17.3
E00034570,17,7.5,55.7,19.8
E00034571,13.2,22.2,33.5,31.1
E00034572,17.4,14.7,60.6,7.3
E00034573,20.4,13.9,59.3,6.5
E00034574,20.3,12.7,58.5,8.5
E00034575,15.9,13.3,61.9,8.8
E00034576,18.6,16.3,57.4,7.8
E00034577,7.8,17.2,70.3,4.7
E00034578,21.9,12.3,55.3,10.5
E00034579,16.2,14.1,59.2,10.6
E00034580,5.6,4.8,83.1,6.5
E00034581,61.9,28.8,0.8,8.5
E00034582,60.6,33.9,2.4,3.1
E00034583,53.1,39.5,1.4,6.1
E00034584,40.5,31.3,19.1,9.2
E00034585,73.2,26,0.8,0
E00034591,59.7,29.9,0,10.4
E00034592,59.5,35.3,0.9,4.3
E00034593,56.7,35.1,1.5,6.7
E00034594,46.9,25,1.6,26.6
E00034595,61,35.6,0,3.4
E00034596,58.8,35.3,0.8,5
E00034597,62.4,34.9,0.9,1.8
E00034598,56,39,1,4
E00034599,54.7,36.8,2.6,6
E00034600,48.1,40.4,0.5,10.9
E00034601,62.7,32.7,1.8,2.7
E00034602,67.4,22.7,2.3,7.6
E00034603,17.3,6.7,62.7,13.3
E00034604,18.3,26.7,43.3,11.7
E00034605,33.3,35.9,21,9.7
E00034606,47.4,15.5,29.3,7.8
E00034607,17,21.6,53.6,7.8
E00034615,60.6,32.1,1.8,5.5
E00034616,64.8,29.5,1.6,4.1
E00034617,61.9,30.1,2.7,5.3
E00034618,55.5,38.7,0,5.9
E00034619,51.6,38.5,1.6,8.2
E00034620,55.1,38.1,1.4,5.4
E00034621,24.7,28,12.1,35.2
