areacd,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E00104295,27.4,72.6
E00104296,36.9,63.1
E00104297,53.8,46.2
E00104298,42.1,57.9
E00104300,46.8,53.2
E00104301,43.8,56.3
E00104302,43.6,56.4
E00104303,48.4,51.6
E00104304,54.7,45.3
E00104305,44,56
E00104306,44.8,55.2
E00104307,50.2,49.8
E00104308,49.7,50.3
E00104309,51.1,48.9
E00104310,41.8,58.2
E00104311,47.2,52.8
E00104312,39.4,60.6
E00104313,55.2,44.8
E00104314,48.8,51.2
E00104315,47.4,52.6
E00104316,35.5,64.5
E00104317,57.4,42.6
E00104318,43.8,56.2
E00104319,52.6,47.4
E00104320,56.8,43.2
E00104322,53.7,46.3
E00104323,62.1,37.9
E00104324,42.2,57.8
E00104325,32,68
E00104326,43.9,56.1
E00104327,37.2,62.8
E00104328,43.6,56.4
E00104329,34.4,65.6
E00104330,36.9,63.1
E00104331,36.4,63.6
E00104332,40.4,59.6
E00104333,54.4,45.6
E00104335,29.6,70.4
E00104337,50.2,49.8
E00104338,41,59
E00104339,28.4,71.6
E00104340,49,51
E00104341,55.3,44.7
E00104342,56.8,43.2
E00104343,55,45
E00104344,37.7,62.3
E00104345,47.4,52.6
E00104346,54.3,45.7
E00104347,51.2,48.8
E00104348,28.9,71.1
E00104349,31.4,68.6
E00104350,35.2,64.8
E00104351,38.8,61.2
E00104352,35,65
E00104353,35.7,64.3
E00104354,38.6,61.4
E00104355,31.4,68.6
E00104356,44.8,55.2
E00104357,46,54
E00104358,41.7,58.3
E00104359,39.3,60.7
E00104361,36.7,63.3
E00104362,30.9,69.1
E00104363,52,48
E00104364,59.4,40.6
E00104365,58.1,41.9
E00104366,49.8,50.2
E00104367,54.3,45.7
E00104369,36.8,63.2
E00104370,33.5,66.5
E00104371,23.9,76.1
E00104372,52.9,47.1
E00104373,24.2,75.8
E00104374,38.1,61.9
E00104375,36.5,63.5
E00104376,54.1,45.9
E00104377,58.8,41.3
E00104378,44.8,55.2
E00104379,56.3,43.7
E00104380,53.9,46.1
E00104381,26.4,73.6
E00104382,38.6,61.4
E00104383,30.5,69.5
E00104384,57.5,42.5
E00104385,54.3,45.7
E00104387,38.8,61.2
E00104388,45.8,54.2
E00104389,55.8,44.2
E00104390,52.7,47.3
E00104391,38.7,61.3
E00104392,48.4,51.6
E00104393,52.2,47.8
E00104394,55.2,44.8
E00104395,48,52
E00104396,59,41
E00104397,65.6,34.4
E00104398,49.2,50.8
E00104399,49.7,50.3
E00104400,58.6,41.4
E00104401,62.2,37.8
E00104402,54.2,45.8
E00104403,55.2,44.8
E00104404,45.7,54.3
E00104405,47.6,52.4
E00104406,29.7,70.3
E00104407,39.3,60.7
E00104408,18.2,81.8
E00104409,28.8,71.2
E00104410,35.8,64.2
E00104411,43.4,56.6
E00104412,48.7,51.3
E00104413,52.4,47.6
E00104414,35.2,64.8
E00104415,49,51
E00104416,41,59
E00104417,55.7,44.3
E00104418,48.8,51.2
E00104419,41.1,58.9
E00104420,43.5,56.5
E00104421,36.7,63.3
E00104422,36.9,63.1
E00104423,38.1,61.9
E00104424,49.4,50.6
E00104425,36.4,63.6
E00104426,55.5,44.5
E00104427,56.2,43.8
E00104428,44,56
E00104429,63.3,36.7
E00104430,54.4,45.6
E00104431,54.8,45.2
E00104432,62.2,37.8
E00104433,42.6,57.4
E00104434,58.2,41.8
E00104435,44.8,55.2
E00104436,50,50
E00104437,37.5,62.5
E00104438,49.4,50.6
E00104439,47.9,52.1
E00104440,40.6,59.4
E00104441,41.4,58.6
E00104442,51.1,48.9
E00104443,55.3,44.7
E00104444,44,56
E00104445,51.9,48.1
E00104446,31.8,68.2
E00104447,52.6,47.4
