geography_code,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E02002805,96.8,2.6,0.3,0.2,0.1
E02002809,94.5,3.8,0.8,0.5,0.3
E02002827,72.9,19.1,4.3,2.2,1.5
E02002828,54.1,35.9,4.3,3.6,2.1
E02002829,68.2,18.6,5.8,4.8,2.6
E02002830,63.9,24.2,5.4,3.6,2.9
E02002831,44,38,8,5.7,4.3
E02002832,32.6,37.1,14.3,8.5,7.5
E02002833,35.4,35.9,12.9,8.9,7
E02002834,59.3,21.9,8.1,5.9,4.8
E02002836,28,35.1,17.2,11.9,7.8
E02002837,50.2,26,11.7,6.8,5.4
E02002838,73.4,16.1,5.6,3.1,1.8
E02002839,71.6,21.6,3.2,2,1.6
E02002842,53.3,15,13.1,10.8,7.8
E02002843,34.2,28.3,18.8,10.3,8.3
E02002844,43.2,38.8,8.4,5.2,4.4
E02002845,52.2,31,7.6,5,4.2
E02002846,75.5,15.2,4.3,3.2,1.9
E02002847,45.6,34.7,8.4,6.6,4.6
E02002848,42.7,31.6,10,9.2,6.5
E02002849,52.6,14.2,10.8,10.8,11.6
E02002851,61.3,30.8,3.2,2.9,1.9
E02002852,78,14.3,4.9,1.8,1.1
E02002853,51.4,29.7,6.8,6.7,5.3
E02002854,73.3,14.5,5.6,4.3,2.3
E02002855,53.4,18,9.3,10.4,8.8
E02002856,73.7,12.9,4.2,4.3,5
E02002857,75,10.2,6,5.3,3.6
E02002858,80,15.2,2.2,1.5,1.1
E02002860,84.6,9.1,3.1,2.2,1
E02002861,78.5,15.3,3.5,1.7,1.1
E02002862,82.9,9.1,4.6,2.3,1.2
E02002863,90,6.1,1.5,1.5,0.9
E02002864,92.6,4.8,1.3,0.6,0.7
E02002865,91.2,5.6,1.7,0.8,0.7
E02002866,93.4,4.7,0.9,0.5,0.4
E02002867,91.9,4.7,1.1,0.7,1.6
E02002868,85.9,10.3,1.7,1.2,0.9
E02002869,85.7,7.7,2.7,2.4,1.5
E02002871,87.8,7.3,2.1,1.9,0.9
E02002872,84.7,8.5,3.9,1.9,1
E02002873,76.5,12.9,4.7,3.2,2.8
E02002874,80.3,11.4,3.2,2.3,2.9
E02002875,80.1,10.6,3.9,3.1,2.2
E02002876,81.2,11.9,3.1,1.9,1.9
E02002877,83.5,8.4,3.3,2.8,2.1
E02002878,74.7,15.2,5.3,2.8,2
E02002879,71.7,13.9,6.3,4.5,3.6
E02002880,75.1,13.8,5.2,3.6,2.4
E02002881,83.2,9.6,3.8,2,1.5
E02002882,74,11.1,5.1,3.8,5.9
E02002883,74.3,15.1,5.5,3.2,1.9
E02002884,54.6,17.9,11.6,8.8,7.2
E02002885,50.1,18.7,12,10.7,8.5
E02002886,65.6,19.8,6.2,5,3.5
E02002887,81.8,11.9,2.7,2.1,1.5
E02002888,65.1,18.7,8.5,4.9,2.9
E02002889,77.8,8,3.4,3.3,7.5
E02002890,67.5,14.4,5.6,4.5,8.1
E02002891,79.1,13.2,3.4,2.6,1.7
E02002892,78.9,11,4.4,4.4,1.3
E02002893,62.5,14.6,6.8,6.4,9.7
E02002895,77.5,8.4,3.3,3.5,7.2
E02002896,63.2,15.8,8.9,7.7,4.5
E02002897,80.8,12.8,2.4,2,2
E02002898,76.6,9.4,3.2,3.9,6.8
E02002901,88,7.1,2.4,1.5,1
E02002902,86.2,7,3.3,1.6,2
E02002903,88.8,6.1,2.7,1.6,0.8
E02002904,87.8,6.3,3.1,1.5,1.3
E02003237,92,5.7,1.2,0.7,0.4
E02003238,86.1,9,2.6,1.4,0.9
E02003239,89.7,6.8,2.2,1,0.4
E02003240,91.8,6,1.1,0.7,0.4
E02003241,91.3,6.2,1.2,0.8,0.6
E02003242,84.8,9.4,3.2,1.6,1.1
E02003243,72.1,16.4,7.1,3,1.4
E02003244,68.6,19.9,6.4,3.3,1.7
E02003245,65.3,17.8,9,4.2,3.7
E02003246,54.3,22.9,10.3,7.4,5.1
E02003247,69.4,15.8,7,4.4,3.4
E02003248,55.4,24.7,9.9,5.7,4.3
E02003249,61.9,22.2,8.7,4.5,2.8
E02003250,44.8,22.2,13.3,11,8.7
E02003251,73.4,18.9,3,2.5,2.2
E02003252,62.9,17.9,8.3,6.5,4.4
E02003253,71.6,13.9,6.4,4.8,3.3
E02003254,86.7,8.9,2.1,1.2,1.1
E02003255,78.6,13.3,4.7,2.2,1.2
E02003257,69.6,15.5,7.7,4.4,2.8
E02003747,93.4,4.6,1,0.5,0.4
E02003749,94.4,4.1,0.9,0.3,0.2
E02003753,91.1,5.9,1.6,0.8,0.6
E02003754,92,5.5,0.9,0.9,0.8
E02004029,92.9,4.1,1.8,0.8,0.4
E02004031,94.4,3.1,1.8,0.4,0.4
E02004032,97.4,1.7,0.6,0.2,0.1
E02004033,97,1.9,0.5,0.3,0.2
E02004036,97.3,2.1,0.3,0.1,0.2
E02004040,96.8,2.2,0.5,0.3,0.2
E02004041,96,2.8,0.6,0.4,0.2
E02004045,96.9,2.1,0.6,0.3,0.2
E02004046,97,2.1,0.5,0.3,0.1
E02004047,95.7,2.3,1.1,0.5,0.5
E02004048,95.5,2.6,1.1,0.4,0.5
E02004049,97,1.8,0.7,0.4,0.2
E02004050,89,4.5,4,1.4,1.1
E02004051,86.9,3.3,4.9,2.8,2
E02004052,96.3,2.3,0.8,0.4,0.3
E02004053,94.8,3.1,1.2,0.4,0.5
E02004054,95.2,3.1,1.1,0.4,0.2
E02004056,96.9,2,0.6,0.3,0.2
E02004057,96.4,2.6,0.4,0.3,0.3
E02004059,96.9,2.2,0.4,0.3,0.1
E02004060,97.2,2.2,0.5,0.2,0.1
E02004078,95.3,3.1,1,0.4,0.2
E02004080,94.2,3.1,1.3,0.8,0.6
E02004082,97.5,1.9,0.3,0.1,0.1
E02004083,95.3,2.9,0.9,0.6,0.3
E02004084,96.4,2.7,0.4,0.3,0.2
E02004085,94.9,3.3,0.8,0.6,0.4
E02004086,96,3,0.5,0.3,0.2
E02004087,93.8,3.9,1.4,0.5,0.4
E02004088,92.7,5.2,0.9,0.6,0.6
E02004089,90.3,5,2.1,1.5,1
E02004090,95.9,3.1,0.7,0.2,0.1
E02004091,93.5,4.3,1.2,0.7,0.3
E02004092,94.5,3.8,0.8,0.6,0.2
E02004105,97.1,1.9,0.6,0.2,0.1
E02004111,96.6,2.4,0.5,0.3,0.3
E02004113,96.9,2,0.6,0.3,0.3
E02004115,97.3,2.1,0.2,0.2,0.2
E02004117,97.3,2,0.4,0.2,0.1
E02004121,93.6,4.5,1.1,0.5,0.3
E02005334,87.1,9.6,1.9,1.1,0.3
E02005335,91.7,6.3,0.8,0.6,0.6
E02005336,79.2,12.7,4.3,2,1.8
