geography_code,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E02002805,16.4,41.3,10.1,29.2,3
E02002809,21,44.2,9,23.1,2.8
E02002827,23.9,41,5.2,26.5,3.4
E02002828,27.5,36.7,3.7,28.5,3.6
E02002829,29.1,40.9,5.2,20.5,4.4
E02002830,23.8,38.7,4.7,29.4,3.4
E02002831,31.6,36.8,3.6,23.2,4.8
E02002832,38.6,31.5,3.1,19.8,7
E02002833,39.6,32.3,2.9,19.3,5.9
E02002834,22.2,38.3,5.1,30,4.3
E02002836,43.8,29.1,2.7,16.6,7.8
E02002837,36.6,37.1,3.2,17.5,5.5
E02002838,31,40.8,5.1,18.9,4.2
E02002839,25.5,39.7,5,26.4,3.3
E02002842,25.6,38.7,5.3,25,5.4
E02002843,45,32.1,2.5,14,6.5
E02002844,37.4,36.5,2.3,17.7,6
E02002845,32,35.9,3.5,23.6,5.1
E02002846,19.9,36.3,5.3,35.9,2.6
E02002847,33.8,37,2.4,22.2,4.6
E02002848,32.6,37.9,2.2,21.3,6
E02002849,18,43.2,4.3,30.8,3.7
E02002851,24.1,34.6,3.7,33.8,3.8
E02002852,35,40.1,5.4,16.2,3.4
E02002853,24.5,37.5,2.3,32.2,3.5
E02002854,29.3,40,5.7,21.7,3.4
E02002855,21.5,35.2,3.9,34.5,4.9
E02002856,10.9,35.7,2,49.3,2.1
E02002857,20.7,40.7,5.2,30.2,3.2
E02002858,10.5,28.4,3.3,55.7,2
E02002860,23.6,38.9,6.5,27.9,3
E02002861,31.1,41,4.6,19.7,3.5
E02002862,31.1,42.3,5.9,17.5,3.2
E02002863,13,44.6,6.4,33.5,2.6
E02002864,13.9,41.4,5.4,36.8,2.4
E02002865,14.1,40.2,5.2,38,2.5
E02002866,12.3,39.5,5.9,40.2,2.1
E02002867,12.1,38.9,5.2,41.9,1.9
E02002868,23.7,42.4,6.2,23.9,3.7
E02002869,31.5,42.7,5.9,17.4,2.5
E02002871,25.6,43.9,6.4,21.4,2.8
E02002872,29.5,42.7,6.5,18.6,2.7
E02002873,24.8,40.6,5.4,26.4,2.9
E02002874,18.7,39,4.8,34.7,2.8
E02002875,23.5,42.5,5.9,25.2,2.9
E02002876,23.4,43.4,5.8,24.5,2.8
E02002877,13.8,31.6,3.9,48.4,2.3
E02002878,29.1,42.7,5.1,19.4,3.7
E02002879,18.2,37.5,4,37.5,2.7
E02002880,25.9,44.6,4.8,21.6,3.1
E02002881,26.5,41.9,4.5,23.9,3.2
E02002882,11.9,34.2,3.1,49,1.9
E02002883,20.8,39.7,5,31.5,3.1
E02002884,24.3,36.7,3.7,32.2,3.1
E02002885,27.1,39.1,3.8,26,4
E02002886,23.1,37.6,4.5,31.4,3.4
E02002887,32.5,38.5,4.9,20.8,3.2
E02002888,28.6,38,5.6,24.7,3
E02002889,7.2,69.1,1.6,20.9,1.3
E02002890,13.9,56,2.4,25.2,2.6
E02002891,23.5,42.2,5.7,25.2,3.3
E02002892,26.1,39.8,4.9,25.2,4
E02002893,14,58.5,1.8,23,2.8
E02002895,5.2,53.9,1.1,38.4,1.3
E02002896,23.4,38.4,3.8,31.1,3.3
E02002897,14.2,32.4,4.2,47,2.2
E02002898,6,65.4,1.2,26.1,1.3
E02002901,18.5,38.3,5.8,35,2.4
E02002902,21.3,54.1,4.7,17.7,2.1
E02002903,25.4,42.9,6.3,22.1,3.4
E02002904,26.7,45.5,5.7,18.8,3.2
E02003237,16.7,44.9,6.7,29,2.8
E02003238,16.6,49.8,5.4,25.3,3
E02003239,18.7,45.9,7.8,24.9,2.7
E02003240,10.7,44.9,4.9,38.1,1.4
E02003241,18.9,46.4,6.3,24.9,3.4
E02003242,22.8,42.9,7.4,23.3,3.6
E02003243,25.8,45.6,5.8,18.4,4.4
E02003244,31.5,40.9,5.3,17.8,4.5
E02003245,26.7,44.1,5.8,18.9,4.6
E02003246,33,40.2,5.3,16.8,4.7
E02003247,23.3,41.8,6.1,24,4.8
E02003248,29.9,38.9,4.8,21.7,4.7
E02003249,27.2,39.9,6.1,22.2,4.6
E02003250,31.6,32.8,4.7,26,5
E02003251,16.9,36,4.4,39.5,3.2
E02003252,21.3,38.2,4.7,32.2,3.7
E02003253,22.6,41.3,5.7,26.6,3.8
E02003254,14,43,5.5,35.1,2.3
E02003255,20.2,45,6,25.1,3.7
E02003257,26.3,44.6,5.6,19.3,4.1
E02003747,23.8,46.4,6.6,20.6,2.7
E02003749,21.9,48.8,6.3,20,3
E02003753,18.7,46.6,6.8,25,3
