geography_code,sex-001,sex-002
E02002805,51.3,48.7
E02002809,52.3,47.7
E02002827,51.7,48.3
E02002828,51.1,48.9
E02002829,50.9,49.1
E02002830,51.6,48.4
E02002831,50,50
E02002832,50.7,49.3
E02002833,50.8,49.2
E02002834,49.9,50.1
E02002836,50.5,49.5
E02002837,50.2,49.8
E02002838,51.3,48.7
E02002839,50.4,49.6
E02002842,50.2,49.8
E02002843,49.8,50.2
E02002844,50.1,49.9
E02002845,51.4,48.6
E02002846,50.4,49.6
E02002847,50.9,49.1
E02002848,49,51
E02002849,48.2,51.8
E02002851,51.1,48.9
E02002852,51.8,48.2
E02002853,48.8,51.2
E02002854,51.4,48.6
E02002855,49,51
E02002856,50.6,49.4
E02002857,50.4,49.6
E02002858,51.4,48.6
E02002860,50.3,49.7
E02002861,52.4,47.6
E02002862,52.4,47.6
E02002863,39.8,60.2
E02002864,51.8,48.2
E02002865,51.5,48.5
E02002866,50.6,49.4
E02002867,50.6,49.4
E02002868,52.6,47.4
E02002869,53.1,46.9
E02002871,53.2,46.8
E02002872,51.8,48.2
E02002873,52.3,47.7
E02002874,49.1,50.9
E02002875,52.9,47.1
E02002876,50.7,49.3
E02002877,50.3,49.7
E02002878,53.7,46.3
E02002879,50.8,49.2
E02002880,53.7,46.3
E02002881,52.7,47.3
E02002882,49,51
E02002883,50,50
E02002884,49.6,50.4
E02002885,48.8,51.2
E02002886,50.1,49.9
E02002887,52.9,47.1
E02002888,50.8,49.2
E02002889,50.8,49.2
E02002890,51.5,48.5
E02002891,50.9,49.1
E02002892,52.7,47.3
E02002893,48,52
E02002895,49,51
E02002896,48.6,51.4
E02002897,51.5,48.5
E02002898,49.4,50.6
E02002901,51.1,48.9
E02002902,51.5,48.5
E02002903,52.8,47.2
E02002904,51.7,48.3
E02003237,51.5,48.5
E02003238,51.7,48.3
E02003239,51.1,48.9
E02003240,49.1,50.9
E02003241,52.1,47.9
E02003242,52.1,47.9
E02003243,51.1,48.9
E02003244,51,49
E02003245,50.6,49.4
E02003246,47.8,52.2
E02003247,50.5,49.5
E02003248,50.1,49.9
E02003249,50.7,49.3
E02003250,48.6,51.4
E02003251,51,49
