geography_code,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E02002805,0.9,0.7,1.2,97.1,0.1
E02002809,1.6,1.7,2.7,93.6,0.3
E02002827,19.2,12,4.8,61.3,2.7
E02002828,63,3.4,2.3,26.8,4.5
E02002829,22.6,11.3,5,56.1,5
E02002830,25.8,17.6,4.9,48,3.7
E02002831,74,1.9,1.5,17,5.7
E02002832,82.9,3.8,1.6,8.2,3.5
E02002833,84.2,1.2,1.6,10.3,2.7
E02002834,36.1,6.7,3.4,48.6,5.2
E02002836,87.6,2.3,1.6,6.2,2.4
E02002837,63.1,7.7,4.3,20.6,4.2
E02002838,11.7,12.4,4.2,67.6,4.1
E02002839,47.8,3.7,4,41.1,3.4
E02002842,12.9,12.2,4.9,66.1,4
E02002843,87.7,3.3,1.6,4.4,3.1
E02002844,68.8,18.9,2.1,4.8,5.5
E02002845,64.6,6.7,4.3,19.9,4.5
E02002846,15.7,4.7,4.5,72.6,2.4
E02002847,84.5,2.1,1.5,5.3,6.6
E02002848,77.8,7,2.4,9.3,3.4
E02002849,18.6,10.9,4.9,61.2,4.4
E02002851,67.3,2.7,2.6,21.3,6.2
E02002852,5.9,11.9,4.4,75.5,2.3
E02002853,72.2,5,2.9,13.3,6.5
E02002854,10.1,7.6,4.9,74.2,3.1
E02002855,28.1,8.5,3.7,53.4,6.3
E02002856,20.1,4.3,5.3,66.1,4.2
E02002857,10.1,7.5,6,73.7,2.7
E02002858,26.2,2.3,4.4,63.5,3.6
E02002860,9.7,4.4,4.2,80.2,1.5
E02002861,8.5,14.3,5.7,68.3,3.2
E02002862,5.7,7.5,4.1,81.5,1.1
E02002863,2,4.1,2.7,90.6,0.6
E02002864,1.2,0.5,1.4,96.3,0.5
E02002865,1.7,0.8,1.5,95.4,0.6
E02002866,0.9,0.4,1.4,96.9,0.4
E02002867,1.7,0.5,1.9,95.4,0.4
E02002868,8,9.4,6.5,74.7,1.5
E02002869,3,9.1,6.4,80.3,1.2
E02002871,4,7.6,5,82.5,0.9
E02002872,2.9,11.2,6.5,78.4,1
E02002873,7.5,13.9,6.6,69.9,2
E02002874,12.8,10,7.1,68.5,1.6
E02002875,8.2,12,8.5,69.2,2.1
E02002876,14.1,9,6.9,68,2.1
E02002877,6.2,6.8,4.5,81.2,1.3
E02002878,5.9,17,7.2,67.1,2.8
E02002879,17.8,10,6.3,61.3,4.6
E02002880,12.8,13.4,7.1,64.1,2.6
E02002881,9,8.6,8.5,71.8,2
E02002882,13.2,8.3,5.7,69.4,3.4
E02002883,7.8,13.2,8.5,67.2,3.3
E02002884,37.4,7.7,3.8,43.8,7.2
E02002885,36.6,11.7,4.8,40,6.9
E02002886,44.4,7.7,4.1,37.6,6.1
E02002887,18,5.6,4.7,69.3,2.4
E02002888,10.4,22.2,7.5,53.8,6.2
E02002889,12.6,9,6.6,69,2.8
E02002890,12.9,18.1,6.6,57.4,5.1
E02002891,25.1,5.9,4.9,61.4,2.7
E02002892,13.6,8.6,6.3,68.1,3.4
E02002893,26.2,16.6,5.7,46.1,5.3
E02002895,12.1,6.2,6,72.2,3.6
E02002896,23,12.1,6.3,54.7,4
E02002897,19.8,2.5,4.2,68.7,4.8
E02002898,16.2,8.1,6,66.3,3.4
E02002901,5.6,3.2,3,86.9,1.2
E02002902,5.1,5.3,4.2,83.9,1.6
E02002903,3.2,3.7,3.7,88.7,0.7
E02002904,4.3,3.9,4.2,87,0.6
E02003237,2.7,0.9,2,93.8,0.5
E02003238,4.2,2.4,3.1,89.3,1
E02003239,3.7,1.5,2.3,92,0.6
E02003240,1.1,1.2,1.8,95.1,0.8
E02003241,2.6,1.4,2.5,92.7,0.8
E02003242,5.6,2.2,2.9,88.1,1.2
E02003243,6.3,5.3,4.2,81.3,2.9
E02003244,20.4,4,3.3,68.2,4
E02003245,11,6,3.8,75.2,4.1
E02003246,32.1,4,3.4,54.5,6
E02003247,9.4,5.6,4,79,2
E02003248,47.1,2.3,2.6,43.1,5
E02003249,19.1,4.7,4.4,67.6,4.3
E02003250,34.6,4.6,4,51,5.7
E02003251,29.8,2.4,3.5,60.3,4.1
E02003252,24.2,4.9,3.9,63.4,3.5
E02003253,6.3,4.8,4,83.1,1.8
E02003254,3.9,1.7,2.2,91.6,0.6
E02003255,6,4.4,2.8,85.3,1.6
E02003257,3.4,7.5,4.4,82.1,2.6
E02003747,1.4,1.1,1.5,95.3,0.6
E02003749,1,0.6,1.7,96.5,0.3
E02003753,2,1.2,2.3,93.7,0.8
E02003754,1.8,0.6,1.7,95.3,0.5
E02004029,1.5,0.4,1.5,96.4,0.3
E02004031,1,0.5,1.1,97.2,0.3
E02004032,0.7,0.2,0.8,98.3,0.1
E02004033,0.7,0.4,1.3,97.4,0.3
E02004036,0.6,0.2,1.1,97.9,0.2
E02004040,0.7,0.1,1.1,97.9,0.2
E02004041,0.9,0.2,0.9,97.8,0.1
E02004045,1.5,0.3,1,97,0.3
E02004046,0.4,0.3,0.6,98.6,0.1
E02004047,0.5,0.6,1.2,97.6,0.1
E02004048,0.8,0.5,1.1,97.4,0.3
E02004049,0.6,0.4,0.5,98.1,0.3
E02004050,0.7,0.9,1,96.9,0.5
E02004051,0.8,0.7,0.8,97.3,0.5
E02004052,1.2,0.3,0.9,97.4,0.2
E02004053,0.8,0.7,1.2,97.1,0.2
E02004054,1.4,0.6,1.2,96.5,0.4
E02004056,0.8,0.8,1.7,96.3,0.5
E02004057,1.1,0.6,1.3,96.5,0.5
E02004059,1.4,0.6,1,96.8,0.2
E02004060,0.8,0.3,1.1,97.7,0.2
E02004078,0.7,0.7,1.9,96.3,0.4
E02004080,1.7,0.5,1.4,95.7,0.7
E02004082,0.4,0.2,0.9,98.3,0.2
E02004083,1,0.6,1.4,96.7,0.4
E02004084,0.5,0.5,1.1,97.9,0.1
E02004085,1.6,0.8,1.9,95.1,0.6
E02004086,1.2,0.7,1.9,95.7,0.4
E02004087,1.9,1.4,2.6,93.8,0.3
E02004088,4.9,1.1,1.6,91.8,0.5
E02004089,2.2,1.6,3,92.5,0.6
E02004090,1.5,0.3,1.9,96.1,0.2
E02004091,1.8,1.2,2.3,94.4,0.2
E02004092,1.6,0.5,2.4,95,0.4
E02004105,0.8,0.3,1.3,97.4,0.2
E02004111,1.3,0.5,1.3,96.7,0.2
E02004113,0.9,0.2,1.5,97.1,0.2
E02004115,0.9,0.3,0.9,97.8,0.2
E02004117,0.6,0.3,1,97.9,0.3
E02004121,3.8,1.6,2.4,91.4,0.7
E02005334,16,2.2,3.9,75.5,2.5
E02005335,10,0.9,2.2,85.4,1.6
E02005336,15.3,3.2,3.7,75.5,2.3
E02005337,23.5,3.5,3.5,65.4,4.1
E02005338,6.3,1.3,3.2,88.4,0.9
E02005339,3.8,0.7,2.7,92.1,0.7
E02005340,3,1,2.7,92.8,0.4
E02005341,4.3,1.2,2.6,91.2,0.6
E02005342,1.5,0.9,1.7,95.6,0.4
E02005343,1.6,0.5,1.9,95.7,0.4
E02005344,1.6,0.5,1.5,96.1,0.3
E02005345,12.6,1.2,1.8,83,1.4
E02005346,24.8,3.2,3.2,66.4,2.5
E02005347,13.1,4,3.9,77.1,1.9
E02005348,13.6,2.1,2.5,80.3,1.5
E02005349,1.7,0.5,1.3,96.3,0.3
E02005350,2.2,0.4,1.1,95.9,0.4
E02005351,14.1,4.2,4.2,75.4,2
E02005352,3.1,0.6,1.6,94.2,0.6
E02005353,11.4,2.6,3.1,81.6,1.3
E02005354,13.2,1.2,2.9,80.9,1.9
E02005355,1.5,0.3,1.8,96.1,0.2
E02005356,2.7,0.5,2,94.3,0.6
E02005357,2.2,0.3,1.9,95.3,0.3
E02005358,4.8,0.6,2.4,91.7,0.4
E02005359,13.6,0.9,2.5,82,1
E02005360,5.5,0.6,2,91.4,0.5
E02005361,20.1,0.7,2.4,75.6,1.2
E02005362,9.5,0.5,2.2,87,0.8
E02005363,30.5,2,2.7,63.5,1.3
E02005364,22.4,0.9,2.4,73.1,1.1
E02005365,33.5,1.7,2.3,60.4,2.1
E02005366,4.8,1,3.1,90.6,0.5
E02005368,3.1,0.3,1.9,94.4,0.3
E02005369,11.7,0.6,2.6,83.7,1.3
E02005370,0.8,0.5,1.4,97,0.2
E02005371,1.8,0.4,1.9,95.2,0.6
E02005372,1.3,0.3,1.3,96.8,0.3
E02005377,3,0.6,1.4,94.5,0.6
E02005378,8.7,0.5,2.9,86.9,1
E02005379,3.8,0.5,2.3,92.9,0.5
E02005380,0.9,0.2,1.1,97.5,0.3
E02005381,2.7,0.4,1.9,94.3,0.7
E02005382,2.4,1,1.8,94.3,0.5
E02005383,1.2,0.7,1.5,96.2,0.4
E02005385,2.5,0.7,1.8,94.5,0.5
E02005386,2.3,0.5,1.9,94.5,0.8
E02005387,2.4,1,1.9,94.1,0.6
E02005388,3.8,1.3,2,92.3,0.6
E02005389,2,0.3,1.2,95.9,0.6
E02005390,3.6,0.3,1.6,94.1,0.3
E02005391,0.5,0.2,0.9,98.2,0.2
E02005392,1.1,0.6,1.2,96.9,0.2
E02005393,0.8,0.3,1.4,97.3,0.2
E02005394,1.2,0.2,1.6,96.4,0.5
E02005395,2.2,0.5,1.2,95.6,0.6
E02005396,1,0.4,1.4,97.1,0.1
E02005397,1.6,0.4,1.6,95.6,0.8
E02005398,1.2,0.4,1.4,96.4,0.6
E02005400,0.8,0.3,1.3,97,0.6
E02005403,0.8,0.2,1,97.7,0.4
E02005405,1.8,1,1.5,95.3,0.5
E02005406,2.8,1.1,1.9,93.4,0.8
E02005407,2.4,1.4,1.6,94,0.6
E02005409,1.2,0.5,1.4,96.6,0.2
E02005412,40.5,2.9,3.9,47.3,5.3
E02005414,9.9,2,3.4,83.6,1.2
E02005415,6.2,1.6,3.6,87.6,0.9
E02005416,9.7,1.3,1.8,86.1,1
E02005418,1.2,0.5,2.1,94.1,2.1
E02005419,4.2,1.3,1.6,89.8,3.2
E02005420,1.7,0.5,1.7,94.7,1.4
E02005422,0.5,0.2,0.9,98.2,0.1
E02005423,0.9,0.4,1.3,97,0.4
E02005430,0.6,0.1,1,98.2,0.1
E02005434,0.9,0.1,0.8,97.9,0.1
E02005439,0.8,0.3,1.4,97.2,0.3
E02005441,0.7,0.2,0.9,98,0.2
E02005442,1.7,1,1.4,95.2,0.8
E02005443,3.2,1.4,1.8,92.5,1.1
E02005444,2.9,1.5,2.2,92.3,1
E02005445,4.3,2,2.4,89.2,2.1
E02005446,5.4,2.3,3.2,87.4,1.8
E02005447,4.7,2,2.6,88.2,2.5
E02005448,1.5,0.8,1.1,95.5,1
E02005449,5.3,2.1,2,89.4,1.2
E02005450,1.7,0.5,1.4,95.9,0.5
E02005451,2,0.9,1.8,94.4,0.9
E02005452,1.7,0.5,1.3,96.2,0.3
E02005453,1.2,0.4,0.9,96.9,0.5
E02005455,0.6,0.3,1,97.7,0.3
E02005456,1,0.3,1.3,97.2,0.2
E02005457,0.4,0.3,1.2,98,0.1
E02005458,0.9,0.1,0.8,98,0.2
E02005459,0.6,0.3,0.9,98,0.3
E02005460,0.7,0.5,1.4,97.2,0.2
E02005461,0.7,0.2,0.9,98,0.2
E02005462,1.2,0.4,1.6,96.2,0.5
E02005463,1.5,0.3,1.3,96.4,0.5
E02005464,0.7,0.2,0.8,98,0.3
E02005465,0.8,0.5,1.1,97.4,0.3
E02005468,0.7,0.6,1.1,97.3,0.3
E02005469,1.1,0.6,1.3,96.5,0.6
E02005470,2.3,0.7,1.8,93.9,1.4
E02005471,1.7,0.7,1.4,95.3,0.9
E02005473,1.8,0.5,1.7,94.8,1.3
